a sensuous romantic comedy , about as appealing as your average lightweight tv sitcom . 	Translation	Positive	Negative	EmotionRationale
there is no special ingredient on the menu for what is dished out , its the kind of stuff i've seen before and was made nauseous by its silly idea of love and what it thinks is funny . 	there is no special ingredient on the menu for what is dished out , its the kind of stuff i've seen before and was made nauseous by its silly idea of love and what it thinks is funny .	3	-2	 there[0] is[0] no[0] special[1] ingredient[0] on[0] the[0] menu[0] for[0] what[0] is[0] dished[0] out[0] its[0] the[0] kind[1] of[0] stuff[0] i've[0] seen[0] before[0] and[0] was[0] made[0] nauseous[0] by[0] its[0] silly[-1] idea[0] of[0] love[2] and[0] what[0] it[0] thinks[0] is[0] funny[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film plans to exploit the beauty and sweetness of its delicious star pen ? lope cruz , who plays a brazilian chef with a magical touch for bringing out the spices in her preparations , the aromas just sensually waft from her cooking pot , but who can't get by on looks alone in this transparently predictable story . 	the film plans to exploit the beauty and sweetness of its delicious star pen ?<br> lope cruz , who plays a brazilian chef with a magical touch for bringing out the spices in her preparations , the aromas just sensually waft from her cooking pot , but who can't get by on looks alone in this transparently predictable story .	3	-1	 the[0] film[0] plans[0] to[0] exploit[0] the[0] beauty[2] and[0] sweetness[2] of[0] its[0] delicious[2] star[0] pen[0] [[Sentence=-1,3=word max, 1-5]] lope[0] cruz[0] who[0] plays[1] a[0] brazilian[0] chef[0] with[0] a[0] magical[0] touch[0] for[0] bringing[0] out[0] the[0] spices[0] in[0] her[0] preparations[0] the[0] aromas[0] just[0] sensually[0] waft[0] from[0] her[0] cooking[0] pot[0] but[0] who[0] can't[0] get[0] by[0] on[0] looks[0] alone[0] in[0] this[0] transparently[0] predictable[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
pen ? lope was wonderful in pedro almod ? var's " all about my mother , " but here she is so visible in such a stale story , where she can only smile and tease the audience by having us see a constant barrage of cleavage shots as she bends when cooking , that she somehow looks ridiculous , as if she got egg all over her face . 	pen ?<br> lope was wonderful in pedro almod ?<br> var's " all about my mother , " but here she is so visible in such a stale story , where she can only smile and tease the audience by having us see a constant barrage of cleavage shots as she bends when cooking , that she somehow looks ridiculous , as if she got egg all over her face .	3	-3	 pen[0] [[Sentence=-1,1=word max, 1-5]] lope[0] was[0] wonderful[2] in[0] pedro[0] almod[0] [[Sentence=-1,3=word max, 1-5]] var's[0] all[0] about[0] my[0] mother[0] but[0] here[0] she[0] is[0] so[0] visible[0] in[0] such[0] a[0] stale[-1] story[0] where[0] she[0] can[0] only[0] smile[2] and[0] tease[-1] the[0] audience[0] by[0] having[0] us[0] see[0] a[0] constant[0] barrage[0] of[0] cleavage[0] shots[0] as[0] she[0] bends[0] when[0] cooking[0] that[0] she[0] somehow[0] looks[0] ridiculous[-2] as[0] if[0] she[0] got[0] egg[0] all[0] over[0] her[0] face[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the best you can say about her , is that she's not to blame for this picture being so off . 	the best you can say about her , is that she's not to blame for this picture being so off .	2	-1	 the[0] best[1] you[0] can[0] say[0] about[0] her[0] is[0] that[0] she's[0] not[0] to[0] blame[-1][NegatedDueToPreviousWord] for[0] this[0] picture[0] being[0] so[0] off[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this exploitation of sex film without even delivering nudity or sex , is in my opinion , worst than a raunchy film that delivers what it says it will . 	this exploitation of sex film without even delivering nudity or sex , is in my opinion , worst than a raunchy film that delivers what it says it will .	1	-3	 this[0] exploitation[0] of[0] sex[0] film[0] without[0] even[0] delivering[0] nudity[0] or[0] sex[0] is[0] in[0] my[0] opinion[0] worst[-2] than[0] a[0] raunchy[0] film[0] that[0] delivers[0] what[0] it[0] says[0] it[0] will[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the story is all about the love , motion sickness , and cooking ability of isabella ( cruz ) , who is born in bahia , brazil and learns to cook at an early age from her parents' cook . 	the story is all about the love , motion sickness , and cooking ability of isabella ( cruz ) , who is born in bahia , brazil and learns to cook at an early age from her parents' cook .	3	-2	 the[0] story[0] is[0] all[0] about[0] the[0] love[2] motion[0] sickness[-1] and[0] cooking[0] ability[0] of[0] isabella[0] cruz[0] who[0] is[0] born[0] in[0] bahia[0] brazil[0] and[0] learns[0] to[0] cook[0] at[0] an[0] early[0] age[0] from[0] her[0] parents'[0] cook[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
to cure her motion sickness , her parents tried every remedy , until they went to a spiritualist who prayed to the goddess of the sea for her cure . 	to cure her motion sickness , her parents tried every remedy , until they went to a spiritualist who prayed to the goddess of the sea for her cure .	1	-2	 to[0] cure[0] her[0] motion[0] sickness[-1] her[0] parents[0] tried[0] every[0] remedy[0] until[0] they[0] went[0] to[0] a[0] spiritualist[0] who[0] prayed[0] to[0] the[0] goddess[0] of[0] the[0] sea[0] for[0] her[0] cure[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she is able to control it now as long as she doesn't drive a car , ride elevators , follow in dancing , and is the woman on top when making love . 	she is able to control it now as long as she doesn't drive a car , ride elevators , follow in dancing , and is the woman on top when making love .	3	-1	 she[0] is[0] able[0] to[0] control[0] it[0] now[0] as[0] long[0] as[0] she[0] doesn't[0] drive[0] a[0] car[0] ride[0] elevators[0] follow[0] in[0] dancing[0] and[0] is[0] the[0] woman[0] on[0] top[0] when[0] making[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in other words , she has to be in control of things . 	in other words , she has to be in control of things .	1	-1	 in[0] other[0] words[0] she[0] has[0] to[0] be[0] in[0] control[0] of[0] things[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in her small fishing town she falls in love with a handsome macho latin waiter , toninho oliveira ( murilo ben ? cio ) and marries him . 	in her small fishing town she falls in love with a handsome macho latin waiter , toninho oliveira ( murilo ben ?<br> cio ) and marries him .	3	-1	 in[0] her[0] small[0] fishing[0] town[0] she[0] falls[0] in[0] love[2] with[0] a[0] handsome[1] macho[0] latin[0] waiter[0] toninho[0] oliveira[0] murilo[0] ben[0] [[Sentence=-1,3=word max, 1-5]] cio[0] and[0] marries[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
