well lets see . . . i'm 	Translation	Positive	Negative	EmotionRationale
not quite sure how to review this film , based on its laughter factor . 	not quite sure how to review this film , based on its laughter factor .	2	-1	 not[0] quite[0] sure[0] how[0] to[0] review[0] this[0] film[0] based[0] on[0] its[0] laughter[1] factor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well yeah i can , it's not funny . 	well yeah i can , it's not funny .	1	-2	 well[0] yeah[0] i[0] can[0] it's[0] not[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ok so i laughed one time which warranted the 1/2 star , but other than that i sat in my seat wondering when this pos would be over , ( which at a running time of 107 minutes seemed like forever ! ) . 	ok so i laughed one time which warranted the 1/2 star , but other than that i sat in my seat wondering when this pos would be over , ( which at a running time of 107 minutes seemed like forever !<br> ) .	2	-1	 ok[0] so[0] i[0] laughed[1] one[0] time[0] which[0] warranted[0] the[0] 1/2[0] star[0] but[0] other[0] than[0] that[0] i[0] sat[0] in[0] my[0] seat[0] wondering[0] when[0] this[0] pos[0] would[0] be[0] over[0] which[0] at[0] a[0] running[0] time[0] of[0] 107[0] minutes[0] seemed[0] like[1] forever[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , this could be the un-funniest movie i've seen in a long time , if not the un-funniest . 	in fact , this could be the un-funniest movie i've seen in a long time , if not the un-funniest .	2	-1	 in[0] fact[0] this[0] could[0] be[0] the[0] un[0] funniest[1] movie[0] i've[0] seen[0] in[0] a[0] long[0] time[0] if[0] not[0] the[0] un[0] funniest[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
let me be the first to say " ready to rumble " is a huge disappointment . 	let me be the first to say " ready to rumble " is a huge disappointment .	1	-2	 let[0] me[0] be[0] the[0] first[0] to[0] say[0] ready[0] to[0] rumble[0] is[0] a[0] huge[0] disappointment[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
long time wrestling lovers ( david and scott ) dream of making it to the wcw , and watching jimmy king wrestle . 	long time wrestling lovers ( david and scot ) dream of making it to the wcw , and watching jimmy king wrestle .	4	-2	 long[0] time[0] wrestling[0] lovers[3] david[0] and[0] scott/scot[0] dream[0] of[0] making[0] it[0] to[0] the[0] wcw[0] and[0] watching[0] jimmy[0] king[0] wrestle[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
that is their hero of course , whom is kicked out of the wcw . 	that is their hero of course , whom is kicked out of the wcw .	3	-2	 that[0] is[0] their[0] hero[2] of[0] course[0] whom[0] is[0] kicked[-1] out[0] of[0] the[0] wcw[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
well here is where the plot thickens ( lol ) : the two wish to rescue the king , and put him back into the wcw but not that easily , because they are being tampered with by many people who are out to get them , while david's father wants him to become a police officer , and scott is a loser who has to with the help of david clean out johnny on the spots . 	well here is where the plot thickens ( laugh out loud ) : the two wish to rescue the king , and put him back into the wcw but not that easily , because they are being tampered with by many people who are out to get them , while david's father wants him to become a police officer , and scot is a loser who has to with the help of david clean out johnny on the spots .	2	-3	 well[0] here[0] is[0] where[0] the[0] plot[0] thickens[0] lol[1] the[0] two[0] wish[0] to[0] rescue[0] the[0] king[0] and[0] put[0] him[0] back[0] into[0] the[0] wcw[0] but[0] not[0] that[0] easily[0] because[0] they[0] are[0] being[0] tampered[-1] with[0] by[0] many[0] people[0] who[0] are[0] out[0] to[0] get[0] them[0] while[0] david's[0] father[0] wants[0] him[0] to[0] become[0] a[0] police[0] officer[0] and[0] scott/scot[0] is[0] a[0] loser[-2] who[0] has[0] to[0] with[0] the[0] help[0] of[0] david[0] clean[0] out[0] johnny[0] on[0] the[0] spots[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
what a plot eh ? 	what a plot eh ?	1	-1	 what[0] a[0] plot[0] eh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " ready to rumble " is one of those films that tries to be funny , but sadly fails miserably , everything in the film is imcomprehinsable , and even the trailer wasn't funny . 	 " ready to rumble " is one of those films that tries to be funny , but sadly fails miserably , everything in the film is imcomprehinsable , and even the trailer wasn't funny .	2	-4	 ready[0] to[0] rumble[0] is[0] one[0] of[0] those[0] films[0] that[0] tries[0] to[0] be[0] funny[1] but[0] sadly[-1] fails[-2] miserably[-2][-1 MultiplePositiveWords] everything[0] in[0] the[0] film[0] is[0] imcomprehinsable[0] and[0] even[0] the[0] trailer[0] wasn't[0] funny[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
