 " america's sweethearts " has an intriguing premise and a great cast , but it isn't nearly as edgy or funny as it should be . 	Translation	Positive	Negative	EmotionRationale
almost all the problems with the project can be traced back to co-script writer billy crystal , who shows the same lack of discipline with the screenplay that he typically displays while co-hosting " comic relief " charity shows with robin williams and whoopi goldberg ( two other paragons of self-indulgence ) . 	almost all the problems with the project can be traced back to co-script writer billy crystal , who shows the same lack of discipline with the screenplay that he typically displays while co-hosting " comic relief " charity shows with robin williams and whoopi goldberg ( two other paragons of self-indulgence ) .	2	-2	 almost[0] all[0] the[0] problems[-1] with[0] the[0] project[0] can[0] be[0] traced[0] back[0] to[0] co[0] script[0] writer[0] billy[0] crystal[0] who[0] shows[0] the[0] same[0] lack[-1] of[0] discipline[0] with[0] the[0] screenplay[0] that[0] he[0] typically[0] displays[0] while[0] co[0] hosting[0] comic[0] relief[1] charity[0] shows[0] with[0] robin[0] williams[0] and[0] whoopi[0] goldberg[0] two[0] other[0] paragons[0] of[0] self[0] indulgence[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
crystal ignores a simple , but crucial , rule : for a screwball comedy to work , the characters must be placed into a rigid social setting , because only in that context will their unorthodox antics be humorous . 	crystal ignores a simple , but crucial , rule : for a screwball comedy to work , the characters must be placed into a rigid social setting , because only in that context will their unorthodox antics be humorous .	3	-2	 crystal[0] ignores[0] a[0] simple[0] but[0] crucial[0] rule[0] for[0] a[0] screwball[0] comedy[0] to[0] work[0] the[0] characters[0] must[0] be[0] placed[0] into[0] a[0] rigid[-1] social[0] setting[0] because[0] only[0] in[0] that[0] context[0] will[0] their[0] unorthodox[0] antics[0] be[0] humorous[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 " america's sweethearts " takes place at a press junket , where decorum must be maintained in front of the reporters . 	 " america's sweethearts " takes place at a press junket , where decorum must be maintained in front of the reporters .	4	-1	 america's[0] sweethearts[3] takes[0] place[0] at[0] a[0] press[0] junket[0] where[0] decorum[0] must[0] be[0] maintained[0] in[0] front[0] of[0] the[0] reporters[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it's a promising set-up , but the screenplay quickly blows off the rules , thus dissipating the tension of the situation . 	it's a promising set-up , but the screenplay quickly blows off the rules , thus dissipating the tension of the situation .	2	-3	 it's[0] a[0] promising[1] set[0] up[0] but[0] the[0] screenplay[0] quickly[0] blows[0] off[0] the[0] rules[0] thus[0] dissipating[0] the[0] tension[-2] of[0] the[0] situation[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
by the end of the film , all the lead performers participate in a huge fight with a room full of journalists looking on , but their outbursts are only mildly amusing because the structure has been destroyed . 	by the end of the film , all the lead performers participate in a huge fight with a room full of journalists looking on , but their outbursts are only mildly amusing because the structure has been destroyed .	2	-3	 by[0] the[0] end[0] of[0] the[0] film[0] all[0] the[0] lead[0] performers[0] participate[0] in[0] a[0] huge[0] fight[-2] with[0] a[0] room[0] full[0] of[0] journalists[0] looking[0] on[0] but[0] their[0] outbursts[-1] are[0] only[0] mildly[0] amusing[1] because[0] the[0] structure[0] has[0] been[0] destroyed[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
john cusack and catherine zeta-jones play eddie thomas and gwen harrison , a beloved acting duo whose marriage hit the skids when gwen began seeing hector ( hank azaria ) , a spanish actor with an ego almost as pronounced as his lisp . 	john cusack and catherine zeta-jones play eddie thomas and gwen harrison , a beloved acting duo whose marriage hit the skids when gwen began seeing hector ( hank azaria ) , a spanish actor with an ego almost as pronounced as his lisp .	3	-1	 john[0] cusack[0] and[0] catherine[0] zeta[0] jones[0] play[0] eddie[0] thomas[0] and[0] gwen[0] harrison[0] a[0] beloved[2] acting[0] duo[0] whose[0] marriage[0] hit[0] the[0] skids[0] when[0] gwen[0] began[0] seeing[0] hector[0] hank[0] azaria[0] a[0] spanish[0] actor[0] with[0] an[0] ego[0] almost[0] as[0] pronounced[0] as[0] his[0] lisp[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
of the last nine films eddie and gwen made together , six crossed the  100 million mark , but the prospects for their final effort , a space opus titled " time over time , " are far from rosy . 	of the last nine films eddie and gwen made together , six crossed the  100 million mark , but the prospects for their final effort , a space opus titled " time over time , " are far from rosy .	1	-1	 of[0] the[0] last[0] nine[0] films[0] eddie[0] and[0] gwen[0] made[0] together[0] six[0] crossed[0] the[0] 100[0] million[0] mark[0] but[0] the[0] prospects[0] for[0] their[0] final[0] effort[0] a[0] space[0] opus[0] titled[0] time[0] over[0] time[0] are[0] far[0] from[0] rosy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while eddie has spent many months in a new age rest clinic fretting over the breakup , gwen's solo films have tanked . 	while eddie has spent many months in a new age rest clinic fretting over the breakup , gwen's solo films have tanked .	1	-3	 while[0] eddie[0] has[0] spent[0] many[0] months[0] in[0] a[0] new[0] age[0] rest[0] clinic[0] fretting[-2] over[0] the[0] breakup[0] gwen's[0] solo[0] films[0] have[0] tanked[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to make matter worse , the director of the movie ( christopher walken ) , a " visionary " who purchased the unabomber's cabin and had it moved to his backyard , is withholding the film from the studio , insisting that the first screening be held at the junket . 	to make matter worse , the director of the movie ( christopher walken ) , a " visionary " who purchased the unabomber's cabin and had it moved to his backyard , is witholding the film from the studio , insisting that the first screening be held at the junket .	1	-3	 to[0] make[0] matter[0] worse[-2] the[0] director[0] of[0] the[0] movie[0] christopher[0] walken[0] a[0] visionary[0] who[0] purchased[0] the[0] unabomber's[0] cabin[0] and[0] had[0] it[0] moved[0] to[0] his[0] backyard[0] is[0] withholding/witholding[0] the[0] film[0] from[0] the[0] studio[0] insisting[0] that[0] the[0] first[0] screening[0] be[0] held[0] at[0] the[0] junket[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
desperate to win over the press , the studio elects to hire lee ( billy crystal ) , a recently fired publicist , to salvage the situation . 	desperate to win over the press , the studio elects to hire lee ( billy crystal ) , a recently fired publicist , to salvage the situation .	1	-3	 desperate[-2] to[0] win[0] over[0] the[0] press[0] the[0] studio[0] elects[0] to[0] hire[0] lee[0] billy[0] crystal[0] a[0] recently[0] fired[-2] publicist[0] to[0] salvage[0] the[0] situation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
