the classic story & the production which ruined it 	Translation	Positive	Negative	EmotionRationale
marking the centennial anniversary of the 1896 h . g . wells classic , new line cinema , armed with a stellar cast and expert make-up effects man stan winston ( alien , predator , terminator etc ) churns out yet another hollywood film based on the classic novel . 	marking the centennial anniversary of the 1896 h .<br> grin� .<br> wells classic , new line cinema , armed with a stellar cast and expert make-up effects man stan winston ( alien , predator , terminator etc ) churns out yet another hollywood film based on the classic novel .	1	-2	 marking[0] the[0] centennial[0] anniversary[0] of[0] the[0] 1896[0] h[0] [[Sentence=-1,1=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]] wells[0] classic[0] new[0] line[0] cinema[0] armed[0] with[0] a[0] stellar[0] cast[0] and[0] expert[0] make[0] up[0] effects[0] man[0] stan[0] winston[0] alien[-1] predator[0] terminator[0] etc[0] churns[0] out[0] yet[0] another[0] hollywood[0] film[0] based[0] on[0] the[0] classic[0] novel[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , the production is no doubt much more superior compared to the earlier 2 movies , one of which was made back in the 1933 and the other in the 1977 , under the title the island of lost souls ( sounds like a much better title . . ) . 	of course , the production is no doubt much more superior compared to the earlier 2 movies , one of which was made back in the 1933 and the other in the 1977 , under the title the island of lost souls ( sounds like a much better title .<br> .<br> ) .	3	-2	 of[0] course[0] the[0] production[0] is[0] no[0] doubt[-1] much[0] more[0] superior[2] compared[0] to[0] the[0] earlier[0] 2[0] movies[0] one[0] of[0] which[0] was[0] made[0] back[0] in[0] the[0] 1933[0] and[0] the[0] other[0] in[0] the[0] 1977[0] under[0] the[0] title[0] the[0] island[0] of[0] lost[0] souls[0] sounds[0] like[1] a[0] much[0] better[0] title[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the story begins with edward douglas ( thewlis ) , a un representative sent to oversee a peace treaty somewhere in the south pacific , who is saved from the brink of death by montgomery ( kilmer ) after his plane crashes into the sea . 	the story begins with edward douglas ( thewlis ) , a un representative sent to oversee a peace treaty somewhere in the south pacific , who is saved from the brink of death by montgomery ( kilmer ) after his plane crashes into the sea .	2	-3	 the[0] story[0] begins[0] with[0] edward[0] douglas[0] thewlis[0] a[0] un[0] representative[0] sent[0] to[0] oversee[0] a[0] peace[0] treaty[0] somewhere[0] in[0] the[0] south[0] pacific[0] who[0] is[0] saved[1] from[0] the[0] brink[0] of[0] death[-2] by[0] montgomery[0] kilmer[0] after[0] his[0] plane[0] crashes[0] into[0] the[0] sea[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
douglas soon learns that montgomery is working for dr . moreau , who incidently , owns the island and also a reputable geneticist who has been awarded the nobel prize . 	douglas soon learns that montgomery is working for dr .<br> moreau , who incidently , owns the island and also a reputable geneticist who has been awarded the nobel prize .	3	-1	 douglas[0] soon[0] learns[0] that[0] montgomery[0] is[0] working[0] for[0] dr[0] [[Sentence=-1,1=word max, 1-5]] moreau[0] who[0] incidently[0] owns[0] the[0] island[0] and[0] also[0] a[0] reputable[0] geneticist[0] who[0] has[0] been[0] awarded[0] the[0] nobel[0] prize[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his host's reluctance to allow him to freely move around the island becomes clear when he stumbled into moreau's lab , when a monstrous birth was in progress . 	his host's reluctance to allow him to freely move around the island becomes clear when he stumbled into moreau's lab , when a monstrous birth was in progress .	1	-3	 his[0] host's[0] reluctance[-1] to[0] allow[0] him[0] to[0] freely[0] move[0] around[0] the[0] island[0] becomes[0] clear[0] when[0] he[0] stumbled[0] into[0] moreau's[0] lab[0] when[0] a[0] monstrous[-2] birth[0] was[0] in[0] progress[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
even worse , the other workers in the lab are not exactly normal " people . " 	even worse , the other workers in the lab are not exactly normal " people .<br> "	1	-3	 even[0] worse[-2] the[0] other[0] workers[0] in[0] the[0] lab[0] are[0] not[0] exactly[0] normal[0] people[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
douglas stumbles across yet another shocking discovery when he is led to the beast-people community , which considers dr . moreau their maker . 	douglas stumbles across yet another shocking discovery when he is led to the beast-people community , which considers dr .<br> moreau their maker .	1	-3	 douglas[0] stumbles[0] across[0] yet[0] another[0] shocking[-2] discovery[0] when[0] he[0] is[0] led[0] to[0] the[0] beast[0] people[0] community[0] which[0] considers[0] dr[0] [[Sentence=-3,1=word max, 1-5]] moreau[0] their[0] maker[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
using shock-therapy and the law , dr . moreau has long been able to keep his beast-people civilised to some extent but there are a few animal-men who are just too savage to be controlled . 	using shock-therapy and the law , dr .<br> moreau has long been able to keep his beast-people civilised to some extent but there are a few animal-men who are just too savage to be controlled .	1	-3	 using[0] shock[-2] therapy[0] and[0] the[0] law[0] dr[0] [[Sentence=-3,1=word max, 1-5]] moreau[0] has[0] long[0] been[0] able[0] to[0] keep[0] his[0] beast[0] people[0] civilised[0] to[0] some[0] extent[0] but[0] there[0] are[0] a[0] few[0] animal[0] men[0] who[0] are[0] just[0] too[0] savage[-2] to[0] be[0] controlled[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the island of dr . 	the island of dr .	1	-1	 the[0] island[0] of[0] dr[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
moreau questions the ability of men playing god . 	moreau questions the ability of men playing god .	2	-1	 moreau[0] questions[0] the[0] ability[0] of[0] men[0] playing[1] god[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
