old soldiers never die , they just turn into cliches 	Translation	Positive	Negative	EmotionRationale
soldier a film review by michael redman copyright 1998 by michael redman 	soldier a film review by michael redman copyright 1998 by michael redman	1	-1	 soldier[0] a[0] film[0] review[0] by[0] michael[0] redman[0] copyright[0] 1998[0] by[0] michael[0] redman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the warrior and the lover are two personality aspects that find it difficult to exist in the same body . 	the warrior and the lover are two personality aspects that find it difficult to exist in the same body .	4	-2	 the[0] warrior[0] and[0] the[0] lover[3] are[0] two[0] personality[0] aspects[0] that[0] find[0] it[0] difficult[-1] to[0] exist[0] in[0] the[0] same[0] body[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
jungian archetypes , these two opposites need each other to create a whole , but it's difficult to integrate both . 	jungian archetypes , these two opposites need each other to create a whole , but it's difficult to integrate both .	1	-2	 jungian[0] archetypes[0] these[0] two[0] opposites[0] need[0] each[0] other[0] to[0] create[0] a[0] whole[0] but[0] it's[0] difficult[-1] to[0] integrate[0] both[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
often we'll encounter lovers who think everything is just wonderful and , with the help of jung's magician , sit around imagining grand schemes . 	often we'll encounter lovers who think everything is just wonderful and , with the help of jung's magician , sit around imagining grand schemes .	4	-1	 often[0] we'll[0] encounter[0] lovers[3] who[0] think[0] everything[0] is[0] just[0] wonderful[2][-1 LastWordBoosterStrength] and[0] with[0] the[0] help[0] of[0] jung's[0] magician[0] sit[0] around[0] imagining[0] grand[1] schemes[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
without the drive to manifest their plans , much less the wisdom to recognize the darkness , all they have are dreams . 	without the drive to manifest their plans , much less the wisdom to recognize the darkness , all they have are dreams .	1	-1	 without[0] the[0] drive[0] to[0] manifest[0] their[0] plans[0] much[0] less[0] the[0] wisdom[0] to[0] recognize[0] the[0] darkness[0] all[0] they[0] have[0] are[0] dreams[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
warriors on the other hand , are ready to go to war at the drop of a hat , and will do combat with every last bit of their energy . 	warriors on the other hand , are ready to go to war at the drop of a hat , and will do combat with every last bit of their energy .	1	-3	 warriors[0] on[0] the[0] other[0] hand[0] are[0] ready[0] to[0] go[0] to[0] war[-2] at[0] the[0] drop[-1] of[0] a[0] hat[0] and[0] will[0] do[0] combat[-1] with[0] every[0] last[0] bit[0] of[0] their[0] energy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they don't care enough about anything to know what's worth fighting for : gladiators who live only for the battle . 	they don't care enough about anything to know what's worth fighting for : gladiators who live only for the battle .	1	-3	 they[0] don't[0] care[1][NegatedDueToPreviousWord] enough[0] about[0] anything[0] to[0] know[0] what's[0] worth[0] fighting[-2] for[0] gladiators[0] who[0] live[0] only[0] for[0] the[0] battle[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this dichotomy not only describes individuals that we all know , but can also illustrate societies . 	this dichotomy not only describes individuals that we all know , but can also illustrate societies .	1	-1	 this[0] dichotomy[0] not[0] only[0] describes[0] individuals[0] that[0] we[0] all[0] know[0] but[0] can[0] also[0] illustrate[0] societies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
america during the late sixties was a conflict between old style cold warriors and the new hippie lovers . 	america during the late sixties was a conflict between old style cold warriors and the new hippie lovers .	4	-2	 america[0] during[0] the[0] late[0] sixties[0] was[0] a[0] conflict[-1] between[0] old[0] style[0] cold[-1] warriors[0] and[0] the[0] new[0] hippie[0] lovers[3] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
todd 3465 ( kurt russell ) is a living , breathing archetype . 	todd 3465 ( kurt russell ) is a living , breathing archetype .	1	-1	 todd[0] 3465[0] kurt[0] russell[0] is[0] a[0] living[0] breathing[0] archetype[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
