take a look at the following equation . . . . 	Translation	Positive	Negative	EmotionRationale
a christmas carol ghostbusters scrooged 	a christmas carol ghostbusters scrooged	1	-1	 a[0] christmas[0] carol[0] ghostbusters[0] scrooged[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes , scrooged is the odd mixture of sentiment , comedy and horror you would get if you mixed those two elements toghether . 	yes , scrooged is the odd mixture of sentiment , comedy and horror you would get if you mixed those two elements toghether .	1	-4	 yes[0] scrooged[0] is[0] the[0] odd[0] mixture[0] of[0] sentiment[0] comedy[0] and[0] horror[-3] you[0] would[0] get[0] if[0] you[0] mixed[0] those[0] two[0] elements[0] toghether[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
scrooged is alternatively sick , gross , funny , and then sickly soppy . 	scrooged is alternatively sick , gross , funny , and then sickly soppy .	2	-2	 scrooged[0] is[0] alternatively[0] sick[-1] gross[-1] funny[1] and[0] then[0] sickly[-1] soppy[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
bill murray plays frank cross , a t . v executive with a horrible personality . 	bill murray plays frank cross , a t .<br> v executive with a horrible personality .	2	-4	 bill[0] murray[0] plays[1] frank[0] cross[-1] a[0] t[0] [[Sentence=-2,2=word max, 1-5]] v[0] executive[0] with[0] a[0] horrible[-3] personality[0] [[Sentence=-4,1=word max, 1-5]][[[2,-4 max of sentences]]]
he's evil to secretary , actors , crew , everyone , except the t . v's station's boss , of course ( played by the late robert mitchum ) however , he is then visited by a very dead exec , who warns cross that he will be visited by three ghosts , past , present and future ( who is called the ghost of yet to come , for some reason ) sure enough , they arrive , show cross how much of a s . o . b he is , and he changes his way . 	he's evil to secretary , actors , crew , everyone , except the t .<br> v's station's boss , of course ( played by the late robert mitchum ) however , he is then visited by a very dead exec , who warns cross that he will be visited by three ghosts , past , present and future ( who is called the ghost of yet to come , for some reason ) sure enough , they arrive , show cross how much of a s .<br> o .<br> b he is , and he changes his way .	1	-4	 he's[0] evil[-2] to[0] secretary[0] actors[0] crew[0] everyone[0] except[0] the[0] t[0] [[Sentence=-3,1=word max, 1-5]] v's[0] station's[0] boss[0] of[0] course[0] played[0] by[0] the[0] late[0] robert[0] mitchum[0] however[0] he[0] is[0] then[0] visited[0] by[0] a[0] very[0] dead[-2][-1 LastWordBoosterStrength] exec[0] who[0] warns[0] cross[-1] that[0] he[0] will[0] be[0] visited[0] by[0] three[0] ghosts[0] past[0] present[0] and[0] future[0] who[0] is[0] called[0] the[0] ghost[0] of[0] yet[0] to[0] come[0] for[0] some[0] reason[0] sure[0] enough[0] they[0] arrive[0] show[0] cross[-1] how[0] much[0] of[0] a[0] s[0] [[Sentence=-4,1=word max, 1-5]] o[0] [[Sentence=-1,1=word max, 1-5]] b[0] he[0] is[0] and[0] he[0] changes[0] his[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , throughout this simple plot , we've got to suffer outlandish special effects , poor comedy , and an very , very mean performance from bill murray . 	however , throughout this simple plot , we've got to suffer outlandish special effects , poor comedy , and an very , very mean performance from bill murray .	2	-4	 however[0] throughout[0] this[0] simple[0] plot[0] we've[0] got[0] to[0] suffer[-3] outlandish[0] special[1] effects[0] poor[-1] comedy[0] and[0] an[0] very[0] very[0] mean[0] performance[0] from[0] bill[0] murray[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
frank cross isn't 'funny' mean , he's just mean . 	frank cross isn't 'funny' mean , he's just mean .	1	-2	 frank[0] cross[-1] isn't[0] 'funny'[0] mean[0] he's[0] just[0] mean[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he also isn't very good at emotional scenes , and totally destroys the last ten minutes of the film , with an utterly desperate speech saying how great christmas is , and how he has changed . 	he also isn't very good at emotional scenes , and totally destroys the last ten minutes of the film , with an utterly desperate speech saying how great christmas is , and how he has changed .	3	-4	 he[0] also[0] isn't[0] very[0] good[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] at[0] emotional[-1] scenes[0] and[0] totally[0] destroys[-2][-1 LastWordBoosterStrength] the[0] last[0] ten[0] minutes[0] of[0] the[0] film[0] with[0] an[0] utterly[0] desperate[-2] speech[0] saying[0] how[0] great[2] christmas[0] is[0] and[0] how[0] he[0] has[0] changed[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
however , the supporting cast are ok , with good performances from mitchum , allen ( who plays his girlfriend ) and john glover ( who plays cross's 'partner' ) the ghost of christmas past isn't that bad either . 	however , the supporting cast are ok , with good performances from mitchum , allen ( who plays his girlfriend ) and john glover ( who plays cross's 'partner' ) the ghost of christmas past isn't that bad either .	2	-1	 however[0] the[0] supporting[1] cast[0] are[0] ok[0] with[0] good[1] performances[0] from[0] mitchum[0] allen[0] who[0] plays[1] his[0] girlfriend[0] and[0] john[0] glover[0] who[0] plays[1] cross's[0] 'partner'[0] the[0] ghost[0] of[0] christmas[0] past[0] isn't[0] that[0] bad[-1][NegatedDueToPreviousWord] either[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sadly , though , the audience has to suffer 25 minutes of 'home alone' style violence from the ghost of christmas present , played by carol kane . 	sadly , though , the audience has to suffer 25 minutes of 'home alone' style violence from the ghost of christmas present , played by carol kane .	1	-4	 sadly[-1] though[0] the[0] audience[0] has[0] to[0] suffer[-3] 25[0] minutes[0] of[0] 'home[0] alone'[0] style[0] violence[-3] from[0] the[0] ghost[0] of[0] christmas[0] present[0] played[0] by[0] carol[0] kane[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
