this movie stinks ! 	Translation	Positive	Negative	EmotionRationale
although it is professionally crafted and there are some decent performances , the plot is so bad it drags the film into the abyss . 	although it is professionally crafted and there are some decent performances , the plot is so bad it drags the film into the abyss .	1	-2	 although[0] it[0] is[0] professionally[0] crafted[0] and[0] there[0] are[0] some[0] decent[0] performances[0] the[0] plot[0] is[0] so[0] bad[-1] it[0] drags[0] the[0] film[0] into[0] the[0] abyss[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i knew i was in for trouble when , during the opening establishment shots , we see a detailed close-up of warrant officer paul brenner's ( john travolta ) military identification card and it is the wrong color . 	i knew i was in for trouble when , during the opening establishment shots , we see a detailed close-up of warrant officer paul brenner's ( john travolta ) military identification card and it is the wrong color .	1	-2	 i[0] knew[0] i[0] was[0] in[0] for[0] trouble[-1] when[0] during[0] the[0] opening[0] establishment[0] shots[0] we[0] see[0] a[0] detailed[0] close[0] up[0] of[0] warrant[0] officer[0] paul[0] brenner's[0] john[0] travolta[0] military[0] identification[0] card[0] and[0] it[0] is[0] the[0] wrong[-1] color[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this might seem like a minor detail , but anyone who has spent anytime with the military knows that active duty identification cards are green and dependant cards are yellow . 	this might seem like a minor detail , but anyone who has spent anytime with the military knows that active duty identification cards are green and dependant cards are yellow .	2	-2	 this[0] might[0] seem[0] like[1] a[0] minor[0] detail[0] but[0] anyone[0] who[0] has[0] spent[0] anytime[0] with[0] the[0] military[0] knows[0] that[0] active[0] duty[-1] identification[0] cards[0] are[0] green[0] and[0] dependant[0] cards[0] are[0] yellow[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and what about the senior military officer whose uniform shirt is so wrinkled he looks like he is a recruit on his first day of training . 	and what about the senior military officer whose uniform shirt is so wrinkled he looks like he is a recruit on his first day of training .	2	-1	 and[0] what[0] about[0] the[0] senior[0] military[0] officer[0] whose[0] uniform[0] shirt[0] is[0] so[0] wrinkled[0] he[0] looks[0] like[1] he[0] is[0] a[0] recruit[0] on[0] his[0] first[0] day[0] of[0] training[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
or what about when brenner tells a suspect that , because he is in the military , he doesn't have the right not to answer his questions even though these rights were central to military law well before the miranda decision . 	or what about when brenner tells a suspect that , because he is in the military , he doesn't have the right not to answer his questions even though these rights were central to military law well before the miranda decision .	1	-2	 or[0] what[0] about[0] when[0] brenner[0] tells[0] a[0] suspect[-1] that[0] because[0] he[0] is[0] in[0] the[0] military[0] he[0] doesn't[0] have[0] the[0] right[0] not[0] to[0] answer[0] his[0] questions[0] even[0] though[0] these[0] rights[0] were[0] central[0] to[0] military[0] law[0] well[0] before[0] the[0] miranda[0] decision[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how hard is it to get someone familiar with the military to check these facts ? 	how hard is it to get someone familiar with the military to check these facts ?	1	-1	 how[0] hard[0] is[0] it[0] to[0] get[0] someone[0] familiar[0] with[0] the[0] military[0] to[0] check[0] these[0] facts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now details like this could be overlooked if the underlying story held up , but this story is so full of holes it is painful to sit through . 	now details like this could be overlooked if the underlying story held up , but this story is so full of holes it is painful to sit through .	2	-4	 now[0] details[0] like[1] this[0] could[0] be[0] overlooked[-1] if[0] the[0] underlying[0] story[0] held[0] up[0] but[0] this[0] story[0] is[0] so[0] full[0] of[0] holes[0] it[0] is[0] painful[-3] to[0] sit[0] through[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
for example , at the beginning of the film , paul brenner , an undercover army investigator , gets into a gun and knife battle at his off-post houseboat and winds-up killing an arms dealer he had been investigating . 	for example , at the beginning of the film , paul brenner , an undercover army investigator , gets into a gun and knife battle at his off-post houseboat and winds-up killing an arms dealer he had been investigating .	1	-2	 for[0] example[0] at[0] the[0] beginning[0] of[0] the[0] film[0] paul[0] brenner[0] an[0] undercover[0] army[0] investigator[0] gets[0] into[0] a[0] gun[-1] and[0] knife[-1] battle[-1] at[0] his[0] off[0] post[0] houseboat[0] and[0] winds[0] up[0] killing[-1] an[0] arms[0] dealer[0] he[0] had[0] been[0] investigating[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the local police investigating the death are openly hostile to the military and they discover that brenner has been lying to them about the killing . 	the local police investigating the death are openly hostile to the military and they discover that brenner has been lying to them about the killing .	1	-4	 the[0] local[0] police[0] investigating[0] the[0] death[-2] are[0] openly[0] hostile[-2] to[0] the[0] military[0] and[0] they[0] discover[0] that[0] brenner[0] has[0] been[0] lying[-3] to[0] them[0] about[0] the[0] killing[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but instead of arresting him , or at least take him into custody for further questioning , they release him . 	but instead of arresting him , or at least take him into custody for further questioning , they release him .	1	-1	 but[0] instead[0] of[0] arresting[0] him[0] or[0] at[0] least[0] take[0] him[0] into[0] custody[0] for[0] further[0] questioning[0] they[0] release[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
