the tagline on random hearts reads " in a perfect world , they never would have met . " 	Translation	Positive	Negative	EmotionRationale
in a perfect world , i never would have seen this movie . 	in a perfect world , i never would have seen this movie .	2	-1	 in[0] a[0] perfect[1] world[0] i[0] never[0] would[0] have[0] seen[0] this[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the biggest flaw is that 20 minutes into this film , kay chandler ( kristin scott thomas ) and dutch van den broeck ( harrison ford ) are the only two major characters alive ; resulting in little doubt that they will end up together at some point during the laborious two-hours-and-then-some production . 	the biggest flaw is that 20 minutes into this film , kay chandler ( kristin scot thomas ) and dutch van den broeck ( harrison ford ) are the only two major characters alive ; resulting in little doubt that they will end up together at some point during the laborious two-hours-and-then-some production .	1	-2	 the[0] biggest[0] flaw[-1] is[0] that[0] 20[0] minutes[0] into[0] this[0] film[0] kay[0] chandler[0] kristin[0] scott/scot[0] thomas[0] and[0] dutch[0] van[0] den[0] broeck[0] harrison[0] ford[0] are[0] the[0] only[0] two[0] major[0] characters[0] alive[0] resulting[0] in[0] little[0] doubt[-1] that[0] they[0] will[0] end[0] up[0] together[0] at[0] some[0] point[0] during[0] the[0] laborious[0] two[0] hours[0] and[0] then[0] some[0] production[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dutch is a sergeant in internal affairs at the district of columbia police department . 	dutch is a sergeant in internal affairs at the district of columbia police department .	1	-1	 dutch[0] is[0] a[0] sergeant[0] in[0] internal[0] affairs[0] at[0] the[0] district[0] of[0] columbia[0] police[0] department[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kay is a congresswoman from new hampshire . 	kay is a congresswoman from new hampshire .	1	-1	 kay[0] is[0] a[0] congresswoman[0] from[0] new[0] hampshire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although they both think they are happily married , their spouses are cheating with each other behind their backs . 	although they both think they are happily married , their spouses are cheating with each other behind their backs .	3	-3	 although[0] they[0] both[0] think[0] they[0] are[0] happily[2] married[0] their[0] spouses[0] are[0] cheating[-2] with[0] each[0] other[0] behind[0] their[0] backs[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
dutch and kay are soon widowed when a plane goes down carrying their partners ; they subsequently discover the affair . 	dutch and kay are soon widowed when a plane goes down carrying their partners ; they subsequently discover the affair .	1	-1	 dutch[0] and[0] kay[0] are[0] soon[0] widowed[0] when[0] a[0] plane[0] goes[0] down[0] carrying[0] their[0] partners[0] they[0] subsequently[0] discover[0] the[0] affair[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the rest of the film is the pointless , unrealistic and often-times boring story of their researching the sexual relationship that they were blind to , and getting to know each other in the process . 	the rest of the film is the pointless , unrealistic and often-times boring story of their researching the sexual relationship that they were blind to , and getting to know each other in the process .	1	-2	 the[0] rest[0] of[0] the[0] film[0] is[0] the[0] pointless[-1] unrealistic[0] and[0] often[0] times[0] boring[-1] story[0] of[0] their[0] researching[0] the[0] sexual[0] relationship[0] that[0] they[0] were[0] blind[-1] to[0] and[0] getting[0] to[0] know[0] each[0] other[0] in[0] the[0] process[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
two sub plots are of little help to the already problematic film . 	two sub plots are of little help to the already problematic film .	1	-2	 two[0] sub[0] plots[0] are[0] of[0] little[0] help[0] to[0] the[0] already[0] problematic[-1] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dutch is trying to arrest a fellow officer , a task that seems rather ordinary for hollywood fare . 	dutch is trying to arrest a fellow officer , a task that seems rather ordinary for hollywood fare .	1	-1	 dutch[0] is[0] trying[0] to[0] arrest[0] a[0] fellow[0] officer[0] a[0] task[0] that[0] seems[0] rather[0] ordinary[0] for[0] hollywood[0] fare[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all the great stereotypes get pulled , including my personal favorite of the key witness that makes bail and is murdered soon thereafter . 	all the great stereotypes get pulled , including my personal favorite of the key witness that makes bail and is murdered soon thereafter .	3	-4	 all[0] the[0] great[2] stereotypes[0] get[0] pulled[0] including[0] my[0] personal[0] favorite[1] of[0] the[0] key[0] witness[0] that[0] makes[0] bail[-1] and[0] is[0] murdered[-3] soon[0] thereafter[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
kay's distraction from the film's primary focus is her campaign for re-election and attempts to shield her 15 year old daughter from the truth about the father she put on a pedestal . 	kay's distraction from the film's primary focus is her campaign for re-election and attempts to shield her 15 year old daughter from the truth about the father she put on a pedestal .	2	-2	 kay's[0] distraction[-1] from[0] the[0] film's[0] primary[0] focus[0] is[0] her[0] campaign[0] for[0] re[0] election[0] and[0] attempts[0] to[0] shield[0] her[0] 15[0] year[0] old[0] daughter[0] from[0] the[0] truth[1] about[0] the[0] father[0] she[0] put[0] on[0] a[0] pedestal[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
these sub plots could have made for semi-interesting points , but the film seems afraid to explore politics or mother-daughter relations in depth , and consequently suffers . 	these sub plots could have made for semi-interesting points , but the film seems afraid to explore politics or mother-daughter relations in depth , and consequently suffers .	2	-4	 these[0] sub[0] plots[0] could[0] have[0] made[0] for[0] semi[0] interesting[1] points[0] but[0] the[0] film[0] seems[0] afraid[-3] to[0] explore[0] politics[0] or[0] mother[0] daughter[0] relations[0] in[0] depth[0] and[0] consequently[0] suffers[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
random hearts' two primary characters seem to live in shells . 	random hearts' two primary characters seem to live in shells .	1	-1	 random[0] hearts'[0] two[0] primary[0] characters[0] seem[0] to[0] live[0] in[0] shells[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
