the scene at the end of 1989's `dead poets society , ' when robin williams' english students stand up on their desk and say , `captain , my captain , ' gets me every time . 	Translation	Positive	Negative	EmotionRationale
unfortunately , the court room scene near the end of robin's newest film ,  patch adams , ' doesn't have anywhere near the same impact . 	unfortunately , the court room scene near the end of robin's newest film ,  patch adams , ' doesn't have anywhere near the same impact .	1	-2	 unfortunately[-1] the[0] court[0] room[0] scene[0] near[0] the[0] end[0] of[0] robin's[0] newest[0] film[0] patch[0] adams[0] '[0] doesn't[0] have[0] anywhere[0] near[0] the[0] same[0] impact[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
from the surface  patch adams' looks very promising . 	from the surface  patch adams' looks very promising .	3	-1	 from[0] the[0] surface[0] patch[0] adams'[0] looks[0] very[0] promising[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's a story about a not so young man , patch adams ( robin williams ) , who finds meaning in his life through helping sick people . 	it's a story about a not so young man , patch adams ( robin williams ) , who finds meaning in his life through helping sick people .	1	-2	 it's[0] a[0] story[0] about[0] a[0] not[0] so[0] young[0] man[0] patch[0] adams[0] robin[0] williams[0] who[0] finds[0] meaning[0] in[0] his[0] life[0] through[0] helping[0] sick[-1] people[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when the film opens , we find patch , depressed and suicidal , checking himself into a mental hospital . 	when the film opens , we find patch , depressed and suicidal , checking himself into a mental hospital .	1	-4	 when[0] the[0] film[0] opens[0] we[0] find[0] patch[0] depressed[-3] and[0] suicidal[0] checking[0] himself[0] into[0] a[0] mental[0] hospital[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in a few scenes , strongly reminiscent of  one flew over the cuckoo's nest , ' he ends up helping the patients through their problems ; and it's here that he finds how much he loves working with people . 	in a few scenes , strongly reminiscent of  one flew over the cuckoo's nest , ' he ends up helping the patients through their problems ; and it's here that he finds how much he loves working with people .	3	-2	 in[0] a[0] few[0] scenes[0] strongly[0] reminiscent[0] of[0] one[0] flew[0] over[0] the[0] cuckoo's[0] nest[0] '[0] he[0] ends[0] up[0] helping[0] the[0] patients[0] through[0] their[0] problems[-1] and[0] it's[0] here[0] that[0] he[0] finds[0] how[0] much[0] he[0] loves[2] working[0] with[0] people[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
so he checks himself out of the hospital , and heads straight to medical school . 	so he checks himself out of the hospital , and heads straight to medical school .	1	-1	 so[0] he[0] checks[0] himself[0] out[0] of[0] the[0] hospital[0] and[0] heads[0] straight[0] to[0] medical[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
right from the start , patch uses comedy to help make the patient more comfortable . 	right from the start , patch uses comedy to help make the patient more comfortable .	2	-1	 right[0] from[0] the[0] start[0] patch[0] uses[0] comedy[0] to[0] help[0] make[0] the[0] patient[0] more[0] comfortable[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he continuously breaks medical tradition and makes the dean of the school angry . 	he continuously breaks medical tradition and makes the dean of the school angry .	1	-4	 he[0] continuously[0] breaks[0] medical[0] tradition[0] and[0] makes[0] the[0] dean[0] of[0] the[0] school[0] angry[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
shortly after joining medical school , he meets and falls in love with carin ( monica potter ) . 	shortly after joining medical school , he meets and falls in love with carin ( monica potter ) .	3	-1	 shortly[0] after[0] joining[0] medical[0] school[0] he[0] meets[0] and[0] falls[0] in[0] love[2] with[0] carin[0] monica[0] potter[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they , along with patch's dork friend , truman ( daniel london ) , start a medical clinic for uninsured people . 	they , along with patch's dork friend , truman ( daniel london ) , start a medical clinic for uninsured people .	2	-3	 they[0] along[0] with[0] patch's[0] dork[-2] friend[1] truman[0] daniel[0] london[0] start[0] a[0] medical[0] clinic[0] for[0] uninsured[0] people[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
once the dean catches wind of the clinic , he tells patch he can't graduate and kicks him out of school . 	once the dean catches wind of the clinic , he tells patch he can't graduate and kicks him out of school .	1	-2	 once[0] the[0] dean[0] catches[0] wind[0] of[0] the[0] clinic[0] he[0] tells[0] patch[0] he[0] can't[0] graduate[0] and[0] kicks[-1] him[0] out[0] of[0] school[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
patch , like what any true american would do , takes the school to court . 	patch , like what any true american would do , takes the school to court .	2	-1	 patch[0] like[1] what[0] any[0] true[1] american[0] would[0] do[0] takes[0] the[0] school[0] to[0] court[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's here where the not so climatic court room battle takes place , over whether or not patch can become a real doctor . 	it's here where the not so climatic court room battle takes place , over whether or not patch can become a real doctor .	1	-2	 it's[0] here[0] where[0] the[0] not[0] so[0] climatic[0] court[0] room[0] battle[-1] takes[0] place[0] over[0] whether[0] or[0] not[0] patch[0] can[0] become[0] a[0] real[0] doctor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
