_soldier_ is hands down one of the worst movies a person could ever have to sit through that doesn't have jean claude van damme in it . 	Translation	Positive	Negative	EmotionRationale
i could liken it to the sci-fi cheese that was the hollywood product-of-choice back in the early 80s , but that would be too much of a compliment . 	i could liken it to the sci-fi cheese that was the hollywood product-of-choice back in the early 80s , but that would be too much of a compliment .	2	-1	 i[0] could[0] liken[0] it[0] to[0] the[0] sci[0] fi[0] cheese[0] that[0] was[0] the[0] hollywood[0] product[0] of[0] choice[0] back[0] in[0] the[0] early[0] 80s[0] but[0] that[0] would[0] be[0] too[0] much[0] of[0] a[0] compliment[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if there is a movie theater in hell , this film is playing there 24 hours a day . 	if there is a movie theater in hell , this film is playing there 24 hours a day .	2	-2	 if[0] there[0] is[0] a[0] movie[0] theater[0] in[0] hell[-1] this[0] film[0] is[0] playing[1] there[0] 24[0] hours[0] a[0] day[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the story , such that there is , revolves around todd ( kurt russell ) , an automaton of a man who has been raised from birth to be a merciless soldier in a not-too-distant ultra-conservative future ( is there any other kind ? ) 	the story , such that there is , revolves around todd ( kurt russell ) , an automaton of a man who has been raised from birth to be a merciless soldier in a not-too-distant ultra-conservative future ( is there any other kind ?<br> )	2	-2	 the[0] story[0] such[0] that[0] there[0] is[0] revolves[0] around[0] todd[0] kurt[0] russell[0] an[0] automaton[0] of[0] a[0] man[0] who[0] has[0] been[0] raised[0] from[0] birth[0] to[0] be[0] a[0] merciless[-1] soldier[0] in[0] a[0] not[0] too[0] distant[0] ultra[0] conservative[0] future[0] is[0] there[0] any[0] other[0] kind[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after years of desensitization at a military academy full of other boys just like him , todd becomes a ground fighter in a series of wars all over the galaxy . 	after years of desensitization at a military academy full of other boys just like him , todd becomes a ground fighter in a series of wars all over the galaxy .	1	-3	 after[0] years[0] of[0] desensitization[0] at[0] a[0] military[0] academy[0] full[0] of[0] other[0] boys[0] just[0] like[1][-1 LastWordBoosterStrength] him[0] todd[0] becomes[0] a[0] ground[0] fighter[-2] in[0] a[0] series[0] of[0] wars[-2] all[0] over[0] the[0] galaxy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
who the enemies in these wars are is never revealed , but the few glimpses of todd in battle show that it doesn't matter , because innocent hostages are wiped out as indifferently as the bad guys . 	who the enemies in these wars are is never revealed , but the few glimpses of todd in battle show that it doesn't matter , because innocent hostages are wiped out as indifferently as the bad guys .	2	-3	 who[0] the[0] enemies[-1] in[0] these[0] wars[-2] are[0] is[0] never[0] revealed[0] but[0] the[0] few[0] glimpses[0] of[0] todd[0] in[0] battle[-1] show[0] that[0] it[0] doesn't[0] matter[0] because[0] innocent[1] hostages[0] are[0] wiped[0] out[0] as[0] indifferently[0] as[0] the[0] bad[-1] guys[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
after ten minutes of this nihilistic trash -- yes folks , there's more -- we see todd as a buff , scarred adult , now so accustomed to the carnage that no confrontation at all causes him to break a sweat . 	after ten minutes of this nihilistic trash - yes folks , there's more - we see todd as a buff , scarred adult , now so accustomed to the carnage that no confrontation at all causes him to break a sweat .	1	-3	 after[0] ten[0] minutes[0] of[0] this[0] nihilistic[0] trash[-1] yes[0] folks[0] there's[0] more[0] we[0] see[0] todd[0] as[0] a[0] buff[0] scarred[0] adult[0] now[0] so[0] accustomed[-1] to[0] the[0] carnage[0] that[0] no[0] confrontation[-2] at[0] all[0] causes[0] him[0] to[0] break[0] a[0] sweat[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's a new wrinkle , though . 	there's a new wrinkle , though .	1	-2	 there's[0] a[0] new[0] wrinkle[-1] though[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
todd and his brethren are declared obsolete , and a new batch of soldiers takes their place . 	todd and his brethren are declared obsolete , and a new batch of soldiers takes their place .	1	-2	 todd[0] and[0] his[0] brethren[0] are[0] declared[0] obsolete[-1] and[0] a[0] new[0] batch[0] of[0] soldiers[0] takes[0] their[0] place[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after losing a sanctioned battle with _dragon_'s jason scott lee , the seemingly dead todd is dumped by a flying ice-cube tray ( well , that's what is looked like ) on a remote garbage planet . 	after losing a sanctioned battle with _dragon_'s jason scot lee , the seemingly dead todd is dumped by a flying ice-cube tray ( well , that's what is looked like ) on a remote garbage planet .	2	-3	 after[0] losing[-2] a[0] sanctioned[0] battle[-1] with[0] _dragon_'s[0] jason[0] scott/scot[0] lee[0] the[0] seemingly[0] dead[-2] todd[0] is[0] dumped[-1] by[0] a[0] flying[0] ice[0] cube[0] tray[0] well[0] that's[0] what[0] is[0] looked[0] like[1] on[0] a[0] remote[0] garbage[-2] planet[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if you predict that todd meets a bunch of outcast settlers on this planet , and that they band together to fight a bunch of bad guys coming to destroy them , you're way ahead of the game . 	if you predict that todd meets a bunch of outcast settlers on this planet , and that they band together to fight a bunch of bad guys coming to destroy them , you're way ahead of the game .	1	-3	 if[0] you[0] predict[0] that[0] todd[0] meets[0] a[0] bunch[0] of[0] outcast[-1] settlers[0] on[0] this[0] planet[0] and[0] that[0] they[0] band[0] together[0] to[0] fight[-2] a[0] bunch[0] of[0] bad[-1] guys[0] coming[0] to[0] destroy[-2] them[0] you're[0] way[0] ahead[0] of[0] the[0] game[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
