the last line ( or near to that honor ) is the great butler , alfred ( the ubergod , michael gough ) saying , " i think we need a bigger bat cave , " or something to that note . 	Translation	Positive	Negative	EmotionRationale
that's exactly what this film is - too big for its own good because it has too damn much . 	that's exactly what this film is - too big for its own good because it has too damn much .	2	-2	 that's[0] exactly[0] what[0] this[0] film[0] is[0] too[0] big[0] for[0] its[0] own[0] good[1] because[0] it[0] has[0] too[0] damn[-1] much[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
cut batgirl out . 	cut batgirl out .	1	-1	 cut[0] batgirl[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cut one of the villains . 	cut one of the villains .	1	-3	 cut[0] one[0] of[0] the[0] villains[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's too much to handle in one dosage . 	it's too much to handle in one dosage .	1	-1	 it's[0] too[0] much[0] to[0] handle[0] in[0] one[0] dosage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's so much that characters get left behind . 	it's so much that characters get left behind .	1	-1	 it's[0] so[0] much[0] that[0] characters[0] get[0] left[0] behind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
poor elle gets a mere 3 scenes and a subplot which is introduced but never finished in any way , shape or form . 	poor elle gets a mere 3 scenes and a subplot which is introduced but never finished in any way , shape or form .	1	-2	 poor[-1] elle[0] gets[0] a[0] mere[0] 3[0] scenes[0] and[0] a[0] subplot[0] which[0] is[0] introduced[0] but[0] never[0] finished[0] in[0] any[0] way[0] shape[0] or[0] form[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and elle deserves better . 	and elle deserves better .	1	-1	 and[0] elle[0] deserves[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is the fourth in the gigantic film series and the second from director joel schumacher . 	this is the fourth in the gigantic film series and the second from director joel schumacher .	1	-1	 this[0] is[0] the[0] fourth[0] in[0] the[0] gigantic[0] film[0] series[0] and[0] the[0] second[0] from[0] director[0] joel[0] schumacher[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's also the fourth worst in the series ( and second worst from joel ) . 	it's also the fourth worst in the series ( and second worst from joel ) .	1	-3	 it's[0] also[0] the[0] fourth[0] worst[-2] in[0] the[0] series[0] and[0] second[0] worst[-2] from[0] joel[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the series has been declining since its stunning debut , followed by the almost-as-stunning sequel and then the anti-climactic third one ( first by joel ) . 	the series has been declining since its stunning debut , followed by the almost-as-stunning sequel and then the anti-climactic third one ( first by joel ) .	1	-1	 the[0] series[0] has[0] been[0] declining[0] since[0] its[0] stunning[0] debut[0] followed[0] by[0] the[0] almost[0] as[0] stunning[0] sequel[0] and[0] then[0] the[0] anti[0] climactic[0] third[0] one[0] first[0] by[0] joel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this one's not anti-climactic - i knew it was gonna suck . 	this one's not anti-climactic - i knew it was gonna suck .	1	-2	 this[0] one's[0] not[0] anti[0] climactic[0] i[0] knew[0] it[0] was[0] gonna[0] suck[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's up to joel to make it fun though . 	it's up to joel to make it fun though .	2	-1	 it's[0] up[0] to[0] joel[0] to[0] make[0] it[0] fun[1] though[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " batman forever " was fun . 	 " batman forever " was fun .	2	-1	 batman[0] forever[0] was[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is a big bore of over-produced action sequences and shallow characters . 	this is a big bore of over-produced action sequences and shallow characters .	1	-2	 this[0] is[0] a[0] big[0] bore[-1] of[0] over[0] produced[0] action[0] sequences[0] and[0] shallow[-1] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i mean , this one bit . 	i mean , this one bit .	1	-1	 i[0] mean[0] this[0] one[0] bit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm gonna put all the plot in one paragraph : mr . freeze ( ah-nold ) , who's wife was dying of some disease , has become the new big villain these days . 	i'm gonna put all the plot in one paragraph : mr .<br> freeze ( ah-nold ) , who's wife was dying of some disease , has become the new big villain these days .	1	-3	 i'm[0] gonna[0] put[0] all[0] the[0] plot[0] in[0] one[0] paragraph[0] mr[0] [[Sentence=-1,1=word max, 1-5]] freeze[0] ah[0] nold[0] who's[0] wife[0] was[0] dying[-1] of[0] some[0] disease[-2][--1 LastWordBoosterStrength] has[0] become[0] the[0] new[0] big[0] villain[-2] these[0] days[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he's a huge ex-scientist who fell into some weird liquid ( hello ? 	he's a huge ex-scientist who fell into some weird liquid ( hello ?	1	-1	 he's[0] a[0] huge[0] ex[0] scientist[0] who[0] fell[0] into[0] some[0] weird[-1][--1 LastWordBoosterStrength] liquid[0] hello[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
