the job of the film critic is to see a movie and write a review of it that tells you what it's about and why it's good or bad . 	Translation	Positive	Negative	EmotionRationale
i feel kind of embarrassed to admit this , but i after having seen " get carter " i really can't tell you what it's about although i could go on and on about how and why it's a bad movie . 	i feel kind of embarrassed to admit this , but i after having seen " get carter " i really can't tell you what it's about although i could go on and on about how and why it's a bad movie .	2	-3	 i[0] feel[0] kind[1] of[0] embarrassed[-2] to[0] admit[0] this[0] but[0] i[0] after[0] having[0] seen[0] get[0] carter[0] i[0] really[0] can't[0] tell[0] you[0] what[0] it's[0] about[0] although[0] i[0] could[0] go[0] on[0] and[0] on[0] about[0] how[0] and[0] why[0] it's[0] a[0] bad[-1] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " get carter " falls into that category of ? movies that continue to be made for reasons unknown to anyone outside of a hollywood executive board room . 	 " get carter " falls into that category of ?<br> movies that continue to be made for reasons unknown to anyone outside of a hollywood executive board room .	1	-1	 get[0] carter[0] falls[0] into[0] that[0] category[0] of[0] [[Sentence=-1,1=word max, 1-5]] movies[0] that[0] continue[0] to[0] be[0] made[0] for[0] reasons[0] unknown[0] to[0] anyone[0] outside[0] of[0] a[0] hollywood[0] executive[0] board[0] room[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you might call them the " steven seagal/mickey rourke/jean-claude van damme/wesley snipes school of mediocre action/crime thrillers . " 	you might call them the " steven seagal/mickey rourke/jean-claude van damme/wesley snipes school of mediocre action/crime thrillers .<br> "	2	-2	 you[0] might[0] call[0] them[0] the[0] steven[0] seagal/mickey[0] rourke/jean[0] claude[0] van[0] damme/wesley[0] snipes[0] school[0] of[0] mediocre[-1] action/crime[0] thrillers[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
you know - the potboilers that are heavy on fistfights , shoot-outs and car chases but really light on plot and character development . 	you know - the potboilers that are heavy on fistfights , shoot-outs and car chases but really light on plot and character development .	1	-2	 you[0] know[0] the[0] potboilers[0] that[0] are[0] heavy[0] on[0] fistfights[0] shoot[-1] outs[0] and[0] car[0] chases[-1] but[0] really[0] light[0] on[0] plot[0] and[0] character[0] development[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they have stories where the so-called hero just keeps running into characters who have some connection to one of the other characters who are all antagonists without a reason for being in the movie other than to give the protagonist someone to fight , chase or shoot at . 	they have stories where the so-called hero just keeps running into characters who have some connection to one of the other characters who are all antagonists without a reason for being in the movie other than to give the protagonist someone to fight , chase or shoot at .	3	-3	 they[0] have[0] stories[0] where[0] the[0] so[0] called[0] hero[2] just[0] keeps[0] running[0] into[0] characters[0] who[0] have[0] some[0] connection[0] to[0] one[0] of[0] the[0] other[0] characters[0] who[0] are[0] all[0] antagonists[-1] without[0] a[0] reason[0] for[0] being[0] in[0] the[0] movie[0] other[0] than[0] to[0] give[0] the[0] protagonist[0] someone[0] to[0] fight[-2] chase[-1] or[0] shoot[-1] at[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
sylvester stallone stars as jack carter , a las vegas-based mob enforcer who returns home * for his brother's funeral . 	sylvester stallone stars as jack carter , a las vegas-based mob enforcer who returns home * for his brother's funeral .	1	-2	 sylvester[0] stallone[0] stars[0] as[0] jack[0] carter[0] a[0] las[0] vegas[0] based[0] mob[0] enforcer[-1] who[0] returns[0] home[0] for[0] his[0] brother's[0] funeral[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he believes his brother ? richie was " taken out " and didn't die from a dwi accident . 	he believes his brother ?<br> richie was " taken out " and didn't die from a dwi accident .	1	-2	 he[0] believes[0] his[0] brother[0] [[Sentence=-1,1=word max, 1-5]] richie[0] was[0] taken[0] out[0] and[0] didn't[0] die[0] from[0] a[0] dwi[0] accident[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
carter's one of the most cliche bad-asses ever captured on celluloid . 	carter's one of the most cliche bad-asses ever captured on celluloid .	1	-2	 carter's[0] one[0] of[0] the[0] most[0] cliche[0] bad[-1] asses[0] ever[0] captured[-1] on[0] celluloid[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his face alone is pretty intimidating and there's quite a few scenes in which he leans on both regular citizens and criminal lowlives simply by staring them down and speaking with confidence in his " rambo-on-testosterone-therapy " voice . 	his face alone is pretty intimidating and there's quite a few scenes in which he leans on both regular citizens and criminal lowlives simply by staring them down and speaking with confidence in his " rambo-on-testosterone-therapy " voice .	3	-4	 his[0] face[0] alone[0] is[0] pretty[2] intimidating[-3] and[0] there's[0] quite[0] a[0] few[0] scenes[0] in[0] which[0] he[0] leans[0] on[0] both[0] regular[0] citizens[0] and[0] criminal[-1] lowlives[-1] simply[0] by[0] staring[0] them[0] down[0] and[0] speaking[0] with[0] confidence[1] in[0] his[0] rambo[0] on[0] testosterone[0] therapy[0] voice[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
stallone's performance in this movie is so forced and unnatural he doesn't realize he's mocking himself . 	stallone's performance in this movie is so forced and unnatural he doesn't realize he's mocking himself .	1	-3	 stallone's[0] performance[0] in[0] this[0] movie[0] is[0] so[0] forced[0] and[0] unnatural[-1] he[0] doesn't[0] realize[0] he's[0] mocking[-2] himself[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
