tim burton has now completed his evolution from the brilliant director of macabre stories about outcast individuals yearning for acceptance , and into a studio monkey whose name is used as part of multi-tiered marketing materials for crap movies . 	Translation	Positive	Negative	EmotionRationale
and here he hits rock bottom , with planet of the apes . 	and here he hits rock bottom , with planet of the apes .	2	-1	 and[0] here[0] he[0] hits[0] rock[1] bottom[0] with[0] planet[0] of[0] the[0] apes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i didn't expect much from this latest " interpretation " of pierre boulle's classic novel planet of the apes . 	i didn't expect much from this latest " interpretation " of pierre boulle's classic novel planet of the apes .	1	-1	 i[0] didn't[0] expect[0] much[0] from[0] this[0] latest[0] interpretation[0] of[0] pierre[0] boulle's[0] classic[0] novel[0] planet[0] of[0] the[0] apes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i mean , how could you top the force and impact of the original film , intelligently co-scripted by rod serling ( of twilight zone fame ) combined with the overbearing chuck heston growling and yelling at those " damn dirty apes , " in one of his best roles of his career ? 	i mean , how could you top the force and impact of the original film , intelligently co-scripted by rod serling ( of twilight zone fame ) combined with the overbearing chuck heston growling and yelling at those " damn dirty apes , " in one of his best roles of his career ?	2	-2	 i[0] mean[0] how[0] could[0] you[0] top[0] the[0] force[-1] and[0] impact[0] of[0] the[0] original[0] film[0] intelligently[1] co[0] scripted[0] by[0] rod[0] serling[0] of[0] twilight[0] zone[0] fame[0] combined[0] with[0] the[0] overbearing[-1] chuck[0] heston[0] growling[0] and[0] yelling[0] at[0] those[0] damn[-1] dirty[-1] apes[0] in[0] one[0] of[0] his[0] best[1] roles[0] of[0] his[0] career[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sadly , i sat down to watch burton's version of planet of the apes and within the first 20 minutes , i was checking my watch and my girlfriend ( a big fan of the original film ) started to nod off . 	sadly , i sat down to watch burton's version of planet of the apes and within the first 20 minutes , i was checking my watch and my girlfriend ( a big fan of the original film ) started to nod off .	1	-2	 sadly[-1] i[0] sat[0] down[0] to[0] watch[0] burton's[0] version[0] of[0] planet[0] of[0] the[0] apes[0] and[0] within[0] the[0] first[0] 20[0] minutes[0] i[0] was[0] checking[0] my[0] watch[0] and[0] my[0] girlfriend[0] a[0] big[0] fan[0] of[0] the[0] original[0] film[0] started[0] to[0] nod[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this time around , the story plays out like a cross between enemy mine , braveheart , and project x . marky mark wahlberg , who was enjoyable in boogie nights and the corrupter , plays leo davidson , a hot shot u . s . air force pilot . 	this time around , the story plays out like a cross between enemy mine , braveheart , and project x .<br> marky mark wahlberg , who was enjoyable in boogie nights and the corrupter , plays leo davidson , a hot shot you .<br> s .<br> air force pilot .	3	-3	 this[0] time[0] around[0] the[0] story[0] plays[1] out[0] like[1] a[0] cross[-1] between[0] enemy[-1] mine[0] braveheart[2] and[0] project[0] x[1] [[Sentence=-2,3=word max, 1-5]] marky[0] mark[0] wahlberg[0] who[0] was[0] enjoyable[2] in[0] boogie[0] nights[0] and[0] the[0] corrupter[-2] plays[1] leo[0] davidson[0] a[0] hot[0] shot[-1] u[0] [[Sentence=-3,3=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] air[0] force[-1] pilot[0] [[Sentence=-2,1=word max, 1-5]][[[3,-3 max of sentences]]]
leo and his crew are in search of some mysterious magnetic storms ( no real explanation given in the film ) and leo sends one of his genetically altered " smart " chimps into the storms to collect data . 	leo and his crew are in search of some mysterious magnetic storms ( no real explanation given in the film ) and leo sends one of his genetically altered " smart " chimps into the storms to collect data .	2	-1	 leo[0] and[0] his[0] crew[0] are[0] in[0] search[0] of[0] some[0] mysterious[0] magnetic[0] storms[0] no[0] real[0] explanation[0] given[0] in[0] the[0] film[0] and[0] leo[0] sends[0] one[0] of[0] his[0] genetically[0] altered[0] smart[1] chimps[0] into[0] the[0] storms[0] to[0] collect[0] data[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
leo and his crew lose communication with the chimp , leo hops in another ship to find the monkey , and then he's thrown through some type of time-space wormhole which crashes lands on the twentieth century fox studio backlot , all mocked up to look like the amazon jungle . 	leo and his crew lose communication with the chimp , leo hops in another ship to find the monkey , and then he's thrown through some type of time-space wormhole which crashes lands on the twentieth century fox studio backlot , all mocked up to look like the amazon jungle .	2	-3	 leo[0] and[0] his[0] crew[0] lose[-1] communication[0] with[0] the[0] chimp[0] leo[0] hops[0] in[0] another[0] ship[0] to[0] find[0] the[0] monkey[0] and[0] then[0] he's[0] thrown[0] through[0] some[0] type[0] of[0] time[0] space[0] wormhole[0] which[0] crashes[0] lands[0] on[0] the[0] twentieth[0] century[0] fox[0] studio[0] backlot[0] all[0] mocked[-2] up[0] to[0] look[0] like[1] the[0] amazon[0] jungle[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
leo ends up getting captured by a group of talking apes and is sold to a slave trader named limbo ( paul giamatti ) who in turn sells leo to a chimpanzee named ari ( helena bonham carter ) . 	leo ends up getting captured by a group of talking apes and is sold to a slave trader named limbo ( paul giamatti ) who in turn sells leo to a chimpanzee named ari ( helena bonham carter ) .	1	-2	 leo[0] ends[0] up[0] getting[0] captured[-1] by[0] a[0] group[0] of[0] talking[0] apes[0] and[0] is[0] sold[0] to[0] a[0] slave[0] trader[0] named[0] limbo[0] paul[0] giamatti[0] who[0] in[0] turn[0] sells[0] leo[0] to[0] a[0] chimpanzee[0] named[0] ari[0] helena[0] bonham[0] carter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the kind ari then helps leo and his fellow humans escape to the mountains to find leo's ship . 	the kind ari then helps leo and his fellow humans escape to the mountains to find leo's ship .	2	-1	 the[0] kind[1] ari[0] then[0] helps[0] leo[0] and[0] his[0] fellow[0] humans[0] escape[0] to[0] the[0] mountains[0] to[0] find[0] leo's[0] ship[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
along the way , monkeys played by tim roth ( overacting his role of a vicious general named thade ) and michael clarke duncan ( who further enhances his career by playing another heavy in a bad action movie ) strive out to hunt down leo and his band of human savages , just like battlefield earth ! 	along the way , monkeys played by tim roth ( overacting his role of a vicious general named thade ) and michael clarke duncan ( who further enhances his career by playing another heavy in a bad action movie ) strive out to hunt down leo and his band of human savages , just like battlefield earth !	2	-4	 along[0] the[0] way[0] monkeys[0] played[0] by[0] tim[0] roth[0] overacting[0] his[0] role[0] of[0] a[0] vicious[-3] general[0] named[0] thade[0] and[0] michael[0] clarke[0] duncan[0] who[0] further[0] enhances[0] his[0] career[0] by[0] playing[1] another[0] heavy[0] in[0] a[0] bad[-1] action[0] movie[0] strive[0] out[0] to[0] hunt[0] down[0] leo[0] and[0] his[0] band[0] of[0] human[0] savages[-2] just[0] like[1][-1 LastWordBoosterStrength] battlefield[-1] earth[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
in the end , it all culminates into another braveheart rip-off human versus ape battle scene . 	in the end , it all culminates into another braveheart rip-off human versus ape battle scene .	3	-2	 in[0] the[0] end[0] it[0] all[0] culminates[0] into[0] another[0] braveheart[2] rip[-1] off[0] human[0] versus[0] ape[0] battle[-1] scene[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
while rick baker's makeup work is amazing , the script is a pathetic hodgepodge ( courtesy of three writers ) , the acting is horrible , and the " surprise " ending feels like a swing from a ball-peen hammer into the temple . 	while rick baker's makeup work is amazing , the script is a pathetic hodgepodge ( courtesy of three writers ) , the acting is horrible , and the " surprise " ending feels like a swing from a ball-pen hammer into the temple .	3	-4	 while[0] rick[0] baker's[0] makeup[0] work[0] is[0] amazing[2] the[0] script[0] is[0] a[0] pathetic[-2] hodgepodge[0] courtesy[0] of[0] three[0] writers[0] the[0] acting[0] is[0] horrible[-3] and[0] the[0] surprise[0] ending[0] feels[0] like[1] a[0] swing[0] from[0] a[0] ball[0] peen/pen[0] hammer[0] into[0] the[0] temple[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
wahlberg does not have the physical or mental presence of a chuck heston to carry the film or any of its action sequences . 	wahlberg does not have the physical or mental presence of a chuck heston to carry the film or any of its action sequences .	1	-1	 wahlberg[0] does[0] not[0] have[0] the[0] physical[0] or[0] mental[0] presence[0] of[0] a[0] chuck[0] heston[0] to[0] carry[0] the[0] film[0] or[0] any[0] of[0] its[0] action[0] sequences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this remake , or re-interpretation , as tim burton has proclaimed it , is an insult to the intelligence and wit of the original film . 	this remake , or re-interpretation , as tim burton has proclaimed it , is an insult to the intelligence and wit of the original film .	1	-3	 this[0] remake[0] or[0] re[0] interpretation[0] as[0] tim[0] burton[0] has[0] proclaimed[0] it[0] is[0] an[0] insult[-2] to[0] the[0] intelligence[0] and[0] wit[0] of[0] the[0] original[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the ethical arguments about the equality of species , fascism , and military buildup have been replaced by tremendous amounts of ridiculous dialogue , an unimaginative narrative structure , and a romance between a monkey and a human . 	the ethical arguments about the equality of species , fascism , and military buildup have been replaced by tremendous amounts of ridiculous dialogue , an unimaginative narrative structure , and a romance between a monkey and a human .	4	-3	 the[0] ethical[0] arguments[-1] about[0] the[0] equality[0] of[0] species[0] fascism[0] and[0] military[0] buildup[0] have[0] been[0] replaced[0] by[0] tremendous[0] amounts[0] of[0] ridiculous[-2] dialogue[0] an[0] unimaginative[0] narrative[0] structure[0] and[0] a[0] romance[3] between[0] a[0] monkey[0] and[0] a[0] human[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
even chuck heston's anti-gun tirade ( in the de rigeur cameo ) seems shallow and jokey . 	even chuck heston's anti-gun tirade ( in the de rigeur cameo ) seems shallow and jokey .	2	-2	 even[0] chuck[0] heston's[0] anti[0] gun[-1] tirade[0] in[0] the[0] de[0] rigeur[0] cameo[0] seems[0] shallow[-1] and[0] jokey[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but the main element missing from this tim burton film is tim burton . 	but the main element missing from this tim burton film is tim burton .	1	-1	 but[0] the[0] main[0] element[0] missing[0] from[0] this[0] tim[0] burton[0] film[0] is[0] tim[0] burton[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even though his name is plastered across every billboard in america , john badham could have directed this film . 	even though his name is plastered across every billboard in america , john badham could have directed this film .	1	-1	 even[0] though[0] his[0] name[0] is[0] plastered[0] across[0] every[0] billboard[0] in[0] america[0] john[0] badham[0] could[0] have[0] directed[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even joel schumacher could have directed this film . 	even joel schumacher could have directed this film .	1	-1	 even[0] joel[0] schumacher[0] could[0] have[0] directed[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
