that's exactly how long the movie felt to me . 	Translation	Positive	Negative	EmotionRationale
there weren't even nine laughs in nine months . 	there weren't even nine laughs in nine months .	2	-1	 there[0] weren't[0] even[0] nine[0] laughs[1] in[0] nine[0] months[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a terrible mess of a movie starring a terrible mess of a man , mr . hugh grant , a huge dork . 	it's a terrible mess of a movie starring a terrible mess of a man , mr .<br> hugh grant , a huge dork .	1	-4	 it's[0] a[0] terrible[-3] mess[0] of[0] a[0] movie[0] starring[0] a[0] terrible[-3] mess[0] of[0] a[0] man[0] mr[0] [[Sentence=-4,1=word max, 1-5]] hugh[0] grant[0] a[0] huge[0] dork[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's not the whole oral-sex/prostitution thing ( referring to grant , not me ) that bugs me , it's the fact that grant is annoying . 	it's not the whole oral-sex/prostitution thing ( referring to grant , not me ) that bugs me , it's the fact that grant is annoying .	1	-3	 it's[0] not[0] the[0] whole[0] oral[0] sex/prostitution[0] thing[0] referring[0] to[0] grant[0] not[0] me[0] that[0] bugs[0] me[0] it's[0] the[0] fact[0] that[0] grant[0] is[0] annoying[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
not just adam sandler-annoying , we're talking jim carrey-annoying . 	not just adam sandler-annoying , we're talking jim carrey-annoying .	1	-3	 not[0] just[0] adam[0] sandler[0] annoying[-2] we're[0] talking[0] jim[0] carrey[0] annoying[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
since when do eye flutters and nervous smiles pass for acting ? 	since when do eye flutters and nervous smiles pass for acting ?	3	-3	 since[0] when[0] do[0] eye[0] flutters[0] and[0] nervous[-2] smiles[2] pass[0] for[0] acting[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but , on the other hand , since when do really bad slapstick ( a fistfight in the delivery room culminating in grant's head in joan cusack's lap--a scene he paid  60 to have included in the movie ) and obscene double entendres ( robin williams , the obstetrician , tells grant's pregnant girlfriend she has " a big pussy , " referring of course to the size of the cat hairs on her coat , but nonetheless , grant paid  60 to have the exchange included in the movie ) pass for comedy ? 	but , on the other hand , since when do really bad slapstick ( a fistfight in the delivery room culminating in grant's head in joan cusack's lap-a scene he paid  60 to have included in the movie ) and obscene double entendres ( robin williams , the obstetrician , tells grant's pregnant girlfriend she has " a big pussy , " referring of course to the size of the cat hairs on her coat , but nonetheless , grant paid  60 to have the exchange included in the movie ) pass for comedy ?	1	-3	 but[0] on[0] the[0] other[0] hand[0] since[0] when[0] do[0] really[0] bad[-1][-1 LastWordBoosterStrength] slapstick[-1] a[0] fistfight[0] in[0] the[0] delivery[0] room[0] culminating[0] in[0] grant's[0] head[0] in[0] joan[0] cusack's[0] lap[0] a[0] scene[0] he[0] paid[0] 60[0] to[0] have[0] included[0] in[0] the[0] movie[0] and[0] obscene[0] double[0] entendres[0] robin[0] williams[0] the[0] obstetrician[0] tells[0] grant's[0] pregnant[0] girlfriend[0] she[0] has[0] a[0] big[0] pussy[0] referring[0] of[0] course[0] to[0] the[0] size[0] of[0] the[0] cat[0] hairs[0] on[0] her[0] coat[0] but[0] nonetheless[0] grant[0] paid[0] 60[0] to[0] have[0] the[0] exchange[0] included[0] in[0] the[0] movie[0] pass[0] for[0] comedy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
nine months is a predictable cookie-cutter movie with no originality in humor or plot . 	nine months is a predictable cookie-cutter movie with no originality in humor or plot .	3	-1	 nine[0] months[0] is[0] a[0] predictable[0] cookie[0] cutter[0] movie[0] with[0] no[0] originality[0] in[0] humor[2] or[0] plot[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
hugh grant plays a successful child psychiatrist . 	hugh grant plays a successful child psychiatrist .	3	-1	 hugh[0] grant[0] plays[1] a[0] successful[2] child[0] psychiatrist[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
why a child psychologist ? 	why a child psychologist ?	1	-1	 why[0] a[0] child[0] psychologist[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so the scriptwriters could inject the following unfunny exchange : 	so the scriptwriters could inject the following unfunny exchange :	1	-1	 so[0] the[0] scriptwriters[0] could[0] inject[0] the[0] following[0] unfunny[0] exchange[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kid : my dad's an asshole . 	kid : my dad's an asshole .	1	-3	 kid[0] my[0] dad's[0] an[0] asshole[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
grant ( flutters eyelashes , offers a nervous smile , then responds in his annoying english accent and i-think-i-actually-have- talent attitude ) : could you possibly elaborate on that ? 	grant ( flutters eyelashes , offers a nervous smile , then responds in his annoying english accent and i-think-i-actually-have- talent attitude ) : could you possibly elaborate on that ?	3	-3	 grant[0] flutters[0] eyelashes[0] offers[0] a[0] nervous[-2] smile[2] then[0] responds[0] in[0] his[0] annoying[-2] english[0] accent[0] and[0] i[0] think[0] i[0] actually[0] have[0] talent[1] attitude[0] could[0] you[0] possibly[0] elaborate[0] on[0] that[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
kid : my dad's a _huge_ asshole . 	kid : my dad's a _huge_ asshole .	1	-3	 kid[0] my[0] dad's[0] a[0] _huge_[0] asshole[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
