warning : may contain slight mild spoilers . 	Translation	Positive	Negative	EmotionRationale
rated : r for intense violence/gore , some strong sexuality and language . 	rated : are for intense violence/gore , some strong sexuality and language .	1	-1	 rated[0] r[0] for[0] intense[0] violence/gore[0] some[0] strong[0] sexuality[0] and[0] language[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
starring : arnold schwarzeneggar , robin tunney , rod stieger , gabriel byrne . 	starring : arnold schwarzeneggar , robin tunney , rod stieger , gabriel byrne .	1	-1	 starring[0] arnold[0] schwarzeneggar[0] robin[0] tunney[0] rod[0] stieger[0] gabriel[0] byrne[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
running time : 132 minutes 	running time : 132 minutes	1	-1	 running[0] time[0] 132[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we go into a movie theater , boom ! 	we go into a movie theater , boom !	1	-1	 we[0] go[0] into[0] a[0] movie[0] theater[0] boom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the lights go down , our hearts race , we go through ten minutes of preview and finally the movie we've been waiting to see for a long time comes on . 	the lights go down , our hearts race , we go through ten minutes of preview and finally the movie we've been waiting to see for a long time comes on .	1	-1	 the[0] lights[0] go[0] down[0] our[0] hearts[0] race[0] we[0] go[0] through[0] ten[0] minutes[0] of[0] preview[0] and[0] finally[0] the[0] movie[0] we've[0] been[0] waiting[0] to[0] see[0] for[0] a[0] long[0] time[0] comes[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we sit there , watch in disbelief that this movie is as bad as it is . 	we sit there , watch in disbelief that this movie is as bad as it is .	1	-2	 we[0] sit[0] there[0] watch[0] in[0] disbelief[-1] that[0] this[0] movie[0] is[0] as[0] bad[-1] as[0] it[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why shouldn't i have know what i was getting myself into . 	why shouldn't i have know what i was getting myself into .	1	-1	 why[0] shouldn't[0] i[0] have[0] know[0] what[0] i[0] was[0] getting[0] myself[0] into[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
again like this past summers hit " stigmata " , " end of days " may be worse . 	again like this past summers hit " stigmata " , " end of days " may be worse .	2	-3	 again[0] like[1] this[0] past[0] summers[0] hit[0] stigmata[0] end[0] of[0] days[0] may[0] be[0] worse[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's not like this is any kind of original idea , it just throws in some " rosemary's baby " , along with " the devil's advocate " a little " exorcist " and some " stigmata " here and there . 	it's not like this is any kind of original idea , it just throws in some " rosemary's baby " , along with " the devil's advocate " a little " exorcist " and some " stigmata " here and there .	2	-2	 it's[0] not[0] like[1][NegatedDueToPreviousWord] this[0] is[0] any[0] kind[1] of[0] original[0] idea[0] it[0] just[0] throws[0] in[0] some[0] rosemary's[0] baby[1] along[0] with[0] the[0] devil's[-1] advocate[0] a[0] little[0] exorcist[0] and[0] some[0] stigmata[0] here[0] and[0] there[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
whala you have " end of days " a movie that is extremely disappointing and by the previews made it look terrific . 	whala you have " end of days " a movie that is extremely disappointing and by the previews made it look terrific .	4	-4	 whala[0] you[0] have[0] end[0] of[0] days[0] a[0] movie[0] that[0] is[0] extremely[0] disappointing[-1][-2 LastWordBoosterStrength] and[0] by[0] the[0] previews[0] made[0] it[0] look[0] terrific[3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
