the yet-to-be-released krippendorf's tribe is being marketed as a family comedy , but buyer beware . 	Translation	Positive	Negative	EmotionRationale
this movie can't make up its mind . 	this movie can't make up its mind .	1	-1	 this[0] movie[0] can't[0] make[0] up[0] its[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is it a family comedy with vulgar references to both the male and female bodies , menstruation , circumcision , and sex that would make any parents squirm at the thought of having their child next to them ? 	is it a family comedy with vulgar references to both the male and female bodies , menstruation , circumcision , and sex that would make any parents squirm at the thought of having their child next to them ?	1	-3	 is[0] it[0] a[0] family[0] comedy[0] with[0] vulgar[-1] references[0] to[0] both[0] the[0] male[0] and[0] female[0] bodies[0] menstruation[0] circumcision[0] and[0] sex[0] that[0] would[0] make[0] any[0] parents[0] squirm[-2] at[0] the[0] thought[0] of[0] having[0] their[0] child[0] next[0] to[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
or is it an adult comedy approached with such immaturity that only adolescents will appreciate the effort ? 	or is it an adult comedy approached with such immaturity that only adolescents will appreciate the effort ?	2	-1	 or[0] is[0] it[0] an[0] adult[0] comedy[0] approached[0] with[0] such[0] immaturity[0] that[0] only[0] adolescents[0] will[0] appreciate[1] the[0] effort[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
either way , " unbalanced " is the word to stamp on this hit and miss and miss and miss effort . 	either way , " unbalanced " is the word to stamp on this hit and miss and miss and miss effort .	2	-2	 either[0] way[0] unbalanced[0] is[0] the[0] word[0] to[0] stamp[0] on[0] this[0] hit[0] and[0] miss[-1] and[0] miss[-1] and[0] miss[-1] effort[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
the premise is catchy - widowed anthropology professor james krippendorf ( richard dreyfuss ) has spent the past two years " getting over " the death of his wife , neglecting key research and squandering grant money on personal living expenses . 	the premise is catchy - widowed anthropology professor james krippendorf ( richard dreyfuss ) has spent the past two years " getting over " the death of his wife , neglecting key research and squandering grant money on personal living expenses .	1	-3	 the[0] premise[0] is[0] catchy[0] widowed[0] anthropology[0] professor[0] james[0] krippendorf[0] richard[0] dreyfuss[0] has[0] spent[0] the[0] past[0] two[0] years[0] getting[0] over[0] the[0] death[-2] of[0] his[0] wife[0] neglecting[0] key[0] research[0] and[0] squandering[-1] grant[0] money[0] on[0] personal[0] living[0] expenses[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
now it's time to show what he's achieved in those two years , and he has absolutely nothing to show for it . 	now it's time to show what he's achieved in those two years , and he has absolutely nothing to show for it .	1	-1	 now[0] it's[0] time[0] to[0] show[0] what[0] he's[0] achieved[0] in[0] those[0] two[0] years[0] and[0] he[0] has[0] absolutely[0] nothing[0] to[0] show[0] for[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with a fabricated tale of studying a previously undiscovered tribe in new guinea , krippendorf petitions for new funds while hiding the fact that the previous  100 , 000 grant was spent on trips to mcdonald's . 	with a fabricated tale of studying a previously undiscovered tribe in new guinea , krippendorf petitions for new funds while hiding the fact that the previous  100 , 00 grant was spent on trips to mcdonald's .	1	-2	 with[0] a[0] fabricated[-1] tale[0] of[0] studying[0] a[0] previously[0] undiscovered[0] tribe[0] in[0] new[0] guinea[0] krippendorf[0] petitions[0] for[0] new[0] funds[0] while[0] hiding[0] the[0] fact[0] that[0] the[0] previous[0] 100[0] 000/00[0] grant[0] was[0] spent[0] on[0] trips[0] to[0] mcdonald's[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but when his " discovery " becomes the latest craze among colleagues , the professor finds he must do more than talk about the tribe - he must create it . 	but when his " discovery " becomes the latest craze among colleagues , the professor finds he must do more than talk about the tribe - he must create it .	1	-2	 but[0] when[0] his[0] discovery[0] becomes[0] the[0] latest[0] craze[-1] among[0] colleagues[0] the[0] professor[0] finds[0] he[0] must[0] do[0] more[0] than[0] talk[0] about[0] the[0] tribe[0] he[0] must[0] create[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with the aid of his three children , the headstrong teen shelly ( natasha lyonne of everyone says i love you ) , the slightly younger mickey ( gregory smith ) , and the nine-year-old edmund ( carl michael lindner ) , the " shelmikedmu " tribe ( named from the first half of each child's name ) is born , and videos quickly produced in krippendorf's backyard are passed off as stunning documentary footage of the newly found new guinea tribe . 	with the aid of his three children , the headstrong teen shelly ( natasha lyonne of everyone says i love you ) , the slightly younger mickey ( gregory smith ) , and the nine-year-old edmund ( carl michael lindner ) , the " shelmikedmu " tribe ( named from the first half of each child's name ) is born , and videos quickly produced in krippendorf's backyard are passed off as stunning documentary footage of the newly found new guinea tribe .	3	-1	 with[0] the[0] aid[0] of[0] his[0] three[0] children[0] the[0] headstrong[0] teen[0] shelly[0] natasha[0] lyonne[0] of[0] everyone[0] says[0] i[0] love[2] you[0] the[0] slightly[0] younger[0] mickey[0] gregory[0] smith[0] and[0] the[0] nine[0] year[0] old[0] edmund[0] carl[0] michael[0] lindner[0] the[0] shelmikedmu[0] tribe[0] named[0] from[0] the[0] first[0] half[0] of[0] each[0] child's[0] name[0] is[0] born[0] and[0] videos[0] quickly[0] produced[0] in[0] krippendorf's[0] backyard[0] are[0] passed[0] off[0] as[0] stunning[0] documentary[0] footage[0] of[0] the[0] newly[0] found[0] new[0] guinea[0] tribe[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
despite the professor's wishes , the buzz surrounding his discovery only grows , due in greatest part to veronica micelli ( jenna elfman ) , an overly vivacious ( and voluptuous ) anthropologist who barges her way into the discovery and basically deems herself krippendorf's main assistant . 	despite the professor's wishes , the buz surrounding his discovery only grows , due in greatest part to veronica micelli ( jenna elfman ) , an overly vivacious ( and voluptuous ) anthropologist who barges her way into the discovery and basically deems herself krippendorf's main assistant .	3	-1	 despite[0] the[0] professor's[0] wishes[0] the[0] buzz/buz[0] surrounding[0] his[0] discovery[0] only[0] grows[0] due[0] in[0] greatest[2] part[0] to[0] veronica[0] micelli[0] jenna[0] elfman[0] an[0] overly[0] vivacious[0] and[0] voluptuous[0] anthropologist[0] who[0] barges[0] her[0] way[0] into[0] the[0] discovery[0] and[0] basically[0] deems[0] herself[0] krippendorf's[0] main[0] assistant[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
