 * this review contains spoilers * as with most of her films , director amy heckerling's latest , loser , seesaws between unpleasant and artificial , and is sometimes both at once . 	Translation	Positive	Negative	EmotionRationale
when she tackles big issues , such as abortion in fast times at ridgemont high , it's impossible to tell whether she's being matter-of-fact or glib about them ( they carry an almost documentary starkness ) , but whatever the case , she continually refuses to comment politically . 	when she tackles big issues , such as abortion in fast times at ridgemont high , it's impossible to tell whether she's being matter-of-fact or glib about them ( they carry an almost documentary starkness ) , but whatever the case , she continually refuses to comment politically .	1	-2	 when[0] she[0] tackles[0] big[0] issues[0] such[0] as[0] abortion[0] in[0] fast[0] times[0] at[0] ridgemont[0] high[0] it's[0] impossible[0] to[0] tell[0] whether[0] she's[0] being[0] matter[0] of[0] fact[0] or[0] glib[0] about[0] them[0] they[0] carry[0] an[0] almost[0] documentary[0] starkness[0] but[0] whatever[0] the[0] case[0] she[0] continually[0] refuses[-1] to[0] comment[0] politically[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
such is the sitcom tendency of her work : to jeopardize the innocence of her characters and then hit the reset button . 	such is the sitcom tendency of her work : to jeopardize the innocence of her characters and then hit the reset button .	2	-2	 such[0] is[0] the[0] sitcom[0] tendency[0] of[0] her[0] work[0] to[0] jeopardize[-1] the[0] innocence[1] of[0] her[0] characters[0] and[0] then[0] hit[0] the[0] reset[0] button[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this fear of drama soured me on fast times . . . , look who's talking , clueless , and now loser , in which ms . heckerling also demonstrates , for the first time , zero affinity for the milieu . 	this fear of drama soured me on fast times .<br> .<br> .<br> , look who's talking , clueless , and now loser , in which ms .<br> heckerling also demonstrates , for the first time , zero affinity for the milieu .	1	-4	 this[0] fear[-3] of[0] drama[0] soured[-1] me[0] on[0] fast[0] times[0] [[Sentence=-4,1=word max, 1-5]] look[0] who's[0] talking[0] clueless[0] and[0] now[0] loser[-2] in[0] which[0] ms[0] [[Sentence=-3,1=word max, 1-5]] heckerling[0] also[0] demonstrates[0] for[0] the[0] first[0] time[0] zero[0] affinity[0] for[0] the[0] milieu[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
has anyone , for instance , ever met a girl in the stylistic vein of mena suvari's dora ? 	has anyone , for instance , ever met a girl in the stylistic vein of mena suvari's dora ?	1	-1	 has[0] anyone[0] for[0] instance[0] ever[0] met[0] a[0] girl[0] in[0] the[0] stylistic[0] vein[0] of[0] mena[0] suvari's[0] dora[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
attired in black thrift , her eye shadow smeared to racoon chic and her bangy red hair barely contained by girlish clips , she accepts the label of goth , but no self-respecting goth girl ever admitted to digging , as dora does , those geriatric rockers everclear , nor willingly went anywhere with a six-pack-wielding fratboy stranger . 	attired in black thrift , her eye shadow smeared to racoon chic and her bangy red hair barely contained by girlish clips , she accepts the label of goth , but no self-respecting goth girl ever admitted to digging , as dora does , those geriatric rockers everclear , nor willingly went anywhere with a six-pack-wielding fratboy stranger .	3	-2	 attired[0] in[0] black[0] thrift[0] her[0] eye[0] shadow[0] smeared[-1] to[0] racoon[0] chic[0] and[0] her[0] bangy[0] red[0] hair[0] barely[0] contained[0] by[0] girlish[0] clips[0] she[0] accepts[0] the[0] label[0] of[0] goth[0] but[0] no[0] self[0] respecting[2] goth[0] girl[0] ever[0] admitted[0] to[0] digging[0] as[0] dora[0] does[0] those[0] geriatric[0] rockers[0] everclear[0] nor[0] willingly[0] went[0] anywhere[0] with[0] a[0] six[0] pack[0] wielding[0] fratboy[0] stranger[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the mechanics of loser's tired old introvert-boy-falls-for-extrovert-girl plot drive its protagonists into cultural non-specificity , so that they become even less than stereotypes . 	the mechanics of loser's tired old introvert-boy-falls-for-extrovert-girl plot drive its protagonists into cultural non-specificity , so that they become even less than stereotypes .	1	-3	 the[0] mechanics[0] of[0] loser's[-2] tired[-1] old[0] introvert[0] boy[0] falls[0] for[0] extrovert[0] girl[0] plot[0] drive[0] its[0] protagonists[0] into[0] cultural[0] non[0] specificity[0] so[0] that[0] they[0] become[0] even[0] less[0] than[0] stereotypes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they become walking wardrobes . 	they become walking wardrobes .	1	-1	 they[0] become[0] walking[0] wardrobes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
small-town transplant paul ( a strangely static jason biggs ) , our eponymous hero , always wears his woolly hunter's cap with flaps covering the ears , and beneath it rests a parted moptop that couldn't scream " shemp " ( the lame stooge ) wig louder . 	small-town transplant paul ( a strangely static jason biggs ) , our eponymous hero , always wears his woolly hunter's cap with flaps covering the ears , and beneath it rests a parted moptop that couldn't scream " shemp " ( the lame stooge ) wig louder .	4	-3	 small[0] town[0] transplant[0] paul[0] a[0] strangely[0] static[-1] jason[0] biggs[0] our[0] eponymous[0] hero[2] always[0] wears[0] his[0] woolly[0] hunter's[0] cap[0] with[0] flaps[0] covering[0] the[0] ears[0] and[0] beneath[0] it[0] rests[0] a[0] parted[0] moptop[0] that[0] couldn't[0] scream[-3][NegatedDueToPreviousWord] shemp[0] the[0] lame[-2] stooge[0] wig[0] louder[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
he has three smug-looking roommates ( the one-dimensional trio is not supposed to be brothers , but they share similar facial features , including and especially mouths ) , and their fashion sense is incomprehensibly glam . 	he has three smug-looking roommates ( the one-dimensional trio is not supposed to be brothers , but they share similar facial features , including and especially mouths ) , and their fashion sense is incomprehensibly glam .	1	-2	 he[0] has[0] three[0] smug[-1] looking[0] roommates[0] the[0] one[0] dimensional[0] trio[0] is[0] not[0] supposed[0] to[0] be[0] brothers[0] but[0] they[0] share[0] similar[0] facial[0] features[0] including[0] and[0] especially[0] mouths[0] and[0] their[0] fashion[0] sense[0] is[0] incomprehensibly[0] glam[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
though they're not overtly transvestites , heckerling seems to be equating flamboyance with villainy ; how very cruising of her . 	though they're not overtly transvestites , heckerling seems to be equating flamboyance with villainy ; how very cruising of her .	1	-3	 though[0] they're[0] not[0] overtly[0] transvestites[0] heckerling[0] seems[0] to[0] be[0] equating[0] flamboyance[0] with[0] villainy[-2] how[0] very[0] cruising[0] of[0] her[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( the dormies conspire to evict paul and regularly molest women they have drugged . 	 ( the dormies conspire to evict paul and regularly molest women they have drugged .	1	-4	 the[0] dormies[0] conspire[-1] to[0] evict[-2] paul[0] and[0] regularly[0] molest[-3] women[0] they[0] have[0] drugged[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
dora ignorantly downs one of their date rape potions . 	dora ignorantly downs one of their date rape potions .	1	-4	 dora[0] ignorantly[-2] downs[0] one[0] of[0] their[0] date[0] rape[-3] potions[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
unfortunately , either heckerling or the studio is too cowardly to admit if she was subsequently violated . ) 	unfortunately , either heckerling or the studio is too cowardly to admit if she was subsequently violated .<br> )	1	-3	 unfortunately[-1] either[0] heckerling[0] or[0] the[0] studio[0] is[0] too[0] cowardly[-1] to[0] admit[0] if[0] she[0] was[0] subsequently[0] violated[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when paul rescues dora from said narcotic scare , he learns that she is dating their unctuous european lit professor edward alcott ( superb greg kinnear ) . 	when paul rescues dora from said narcotic scare , he learns that she is dating their unctuous european lit professor edward alcott ( superb greg kinnear ) .	1	-4	 when[0] paul[0] rescues[0] dora[0] from[0] said[0] narcotic[0] scare[-3] he[0] learns[0] that[0] she[0] is[0] dating[0] their[0] unctuous[0] european[0] lit[0] professor[0] edward[0] alcott[0] superb[0] greg[0] kinnear[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
although paul's already in love with dora by this point , as is bound to happen to losers when pretty girls address them by name , he gets altruistic and pretends the flowers he bought her are actually from alcott . 	although paul's already in love with dora by this point , as is bound to happen to losers when pretty girls address them by name , he gets altruistic and pretends the flowers he bought her are actually from alcott .	3	-3	 although[0] paul's[0] already[0] in[0] love[2] with[0] dora[0] by[0] this[0] point[0] as[0] is[0] bound[0] to[0] happen[0] to[0] losers[-2] when[0] pretty[2] girls[0] address[0] them[0] by[0] name[0] he[0] gets[0] altruistic[0] and[0] pretends[0] the[0] flowers[0] he[0] bought[0] her[0] are[0] actually[0] from[0] alcott[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
she's thrilled , but nevertheless spends a few days at paul's to recuperate ; the two bond over emergency kitten surgery and a broadway play ( " cabaret " ) , and just when paul's got in his head that she's starting to love him back in that non-friendly way , she decides to become alcott's live-in girlfriend . 	she's thrilled , but nevertheless spends a few days at paul's to recuperate ; the two bond over emergency kitten surgery and a broadway play ( " cabaret " ) , and just when paul's got in his head that she's starting to love him back in that non-friendly way , she decides to become alcott's live-in girlfriend .	4	-2	 she's[0] thrilled[3] but[0] nevertheless[0] spends[0] a[0] few[0] days[0] at[0] paul's[0] to[0] recuperate[0] the[0] two[0] bond[0] over[0] emergency[-1] kitten[0] surgery[0] and[0] a[0] broadway[0] play[0] cabaret[0] and[0] just[0] when[0] paul's[0] got[0] in[0] his[0] head[0] that[0] she's[0] starting[0] to[0] love[2] him[0] back[0] in[0] that[0] non[0] friendly[1] way[0] she[0] decides[0] to[0] become[0] alcott's[0] live[0] in[0] girlfriend[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
cue precious hommage to the graduate , shots of paul drifting around berkeley--er . . . 	cue precious homage to the graduate , shots of paul drifting around berkeley-er .<br> .<br> .	3	-1	 cue[0] precious[2] hommage/homage[0] to[0] the[0] graduate[0] shots[0] of[0] paul[0] drifting[0] around[0] berkeley[0] er[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( aside : simon & garfunkel's " parsley , sage , rosemary & thyme " should never have been allowed in another motion picture . ) 	 ( aside : simon & garfunkel's " parsley , sage , rosemary & thyme " should never have been allowed in another motion picture .<br> )	1	-2	 aside[0] simon[0] &[0] garfunkel's[0] parsley[0] sage[-1] rosemary[0] &[0] thyme[0] should[0] never[0] have[0] been[0] allowed[0] in[0] another[0] motion[0] picture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
heckerling has a lot in common with nora " you've got mail " ephron , the only other prominent chick directing comedies today , in that neither has any use for strong-willed women . 	heckerling has a lot in common with nora " you've got mail " ephron , the only other prominent chick directing comedies today , in that neither has any use for strong-willed women .	1	-1	 heckerling[0] has[0] a[0] lot[0] in[0] common[0] with[0] nora[0] you've[0] got[0] mail[0] ephron[0] the[0] only[0] other[0] prominent[0] chick[0] directing[0] comedies[0] today[0] in[0] that[0] neither[0] has[0] any[0] use[0] for[0] strong[0] willed[0] women[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
men continue to trod on dora until the bitter end ( in the final scene , she gives paul a big smooch after he blurts out his feelings in what amounts to a creepy ultimatum ) , and dora ultimately shrugs off being drugged against her will--mere hours after paul hints to her that she was poisoned , she's cheerily redecorating his apartment . 	men continue to trod on dora until the bitter end ( in the final scene , she gives paul a big smooch after he blurts out his feelings in what amounts to a creepy ultimatum ) , and dora ultimately shrugs off being drugged against her will-mere hours after paul hints to her that she was poisoned , she's cheerily redecorating his apartment .	3	-3	 men[0] continue[0] to[0] trod[0] on[0] dora[0] until[0] the[0] bitter[-1] end[0] in[0] the[0] final[0] scene[0] she[0] gives[0] paul[0] a[0] big[0] smooch[0] after[0] he[0] blurts[-1] out[0] his[0] feelings[0] in[0] what[0] amounts[0] to[0] a[0] creepy[0] ultimatum[-1] and[0] dora[0] ultimately[0] shrugs[0] off[0] being[0] drugged[0] against[-1] her[0] will[0] mere[0] hours[0] after[0] paul[0] hints[0] to[0] her[0] that[0] she[0] was[0] poisoned[-2] she's[0] cheerily[2] redecorating[0] his[0] apartment[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 ( heckerling is so laissez-faire about the issue in general that she reserves the comeuppance of the would-be rapists for jokey epilogue titles . ) 	 ( heckerling is so laissez-faire about the issue in general that she reserves the comeuppance of the would-be rapists for jokey epilogue titles .<br> )	2	-4	 heckerling[0] is[0] so[0] laissez[0] faire[0] about[0] the[0] issue[0] in[0] general[0] that[0] she[0] reserves[0] the[0] comeuppance[0] of[0] the[0] would[0] be[0] rapists[-3] for[0] jokey[1] epilogue[0] titles[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
goth veneer aside , there are an awful lot of girls out there who behave as erratically as dora , and enough angry young dude filmmakers to make movies about them . 	goth veneer aside , there are an awful lot of girls out there who behave as erratically as dora , and enough angry young dude filmmakers to make movies about them .	1	-4	 goth[0] veneer[0] aside[0] there[0] are[0] an[0] awful[-3] lot[0] of[0] girls[0] out[0] there[0] who[0] behave[0] as[0] erratically[0] as[0] dora[0] and[0] enough[0] angry[-3] young[0] dude[0] filmmakers[0] to[0] make[0] movies[0] about[0] them[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
