director andrew davis reworks his fugitive formula and the results are about as exciting as his last film-- the dreadful comedy steal big , steal little-- was funny . 	Translation	Positive	Negative	EmotionRationale
keanu " i'd rather play music than play another action hero " reeves is the grad student on the run , who , along with his superfluous sidekick ( rachel weisz ) , has been framed for a sabotaged science experiment that vaporized eight chicago city blocks . 	keanu " i'd rather play music than play another action hero " reeves is the grad student on the run , who , along with his superfluous sidekick ( rachel weisz ) , has been framed for a sabotaged science experiment that vaporized eight chicago city blocks .	3	-2	 keanu[0] i'd[0] rather[0] play[0] music[0] than[0] play[0] another[0] action[0] hero[2] reeves[0] is[0] the[0] grad[0] student[0] on[0] the[0] run[0] who[0] along[0] with[0] his[0] superfluous[-1] sidekick[0] rachel[0] weisz[0] has[0] been[0] framed[0] for[0] a[0] sabotaged[-1] science[0] experiment[0] that[0] vaporized[0] eight[0] chicago[0] city[0] blocks[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 ( the mushroom-cloud explosion is a knock-out and easily the best part of the movie . 	 ( the mushroom-cloud explosion is a knock-out and easily the best part of the movie .	2	-2	 the[0] mushroom[0] cloud[0] explosion[-1] is[0] a[0] knock[0] out[0] and[0] easily[0] the[0] best[1] part[0] of[0] the[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
or , as one audience member succinctly summed it up : " whoa . " ) 	or , as one audience member succinctly summed it up : " whoa .<br> " )	1	-1	 or[0] as[0] one[0] audience[0] member[0] succinctly[0] summed[0] it[0] up[0] whoa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
false information implicates their involvement and boy and girl are soon on the run , fleeing over open drawbridges , across icy lakes , and through the corridors of power at a top-secret , underground energy facility . 	false information implicates their involvement and boy and girl are soon on the run , fleeing over open drawbridges , across icy lakes , and through the corridors of power at a top-secret , underground energy facility .	1	-2	 false[0] information[0] implicates[0] their[0] involvement[0] and[0] boy[0] and[0] girl[0] are[0] soon[0] on[0] the[0] run[0] fleeing[-1] over[0] open[0] drawbridges[0] across[0] icy[0] lakes[0] and[0] through[0] the[0] corridors[0] of[0] power[0] at[0] a[0] top[0] secret[0] underground[0] energy[0] facility[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
aiding and abetting is the team's shady mentor , played in an excellent-but-so- what performance by morgan freeman . 	aiding and abetting is the team's shady mentor , played in an excellent-but-so- what performance by morgan freeman .	4	-2	 aiding[0] and[0] abetting[0] is[0] the[0] team's[0] shady[-1] mentor[0] played[0] in[0] an[0] excellent[3] but[0] so[0] what[0] performance[0] by[0] morgan[0] freeman[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
 ( brit brian cox is also about , as the behind-the-scenes bad guy . 	 ( brit brian cox is also about , as the behind-the-scenes bad guy .	1	-2	 brit[0] brian[0] cox[0] is[0] also[0] about[0] as[0] the[0] behind[0] the[0] scenes[0] bad[-1] guy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he has some fun fiddling with a southern accent . ) 	he has some fun fiddling with a southern accent .<br> )	1	-1	 he[0] has[0] some[0] fun[1][-1 LastWordBoosterStrength] fiddling[0] with[0] a[0] southern[0] accent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfunny , overscored , and without a single shred of suspense , chain reaction is * the * summer movie to walk out on . 	unfunny , overscored , and without a single shred of suspense , chain reaction is * the * summer movie to walk out on .	1	-2	 unfunny[0] overscored[0] and[0] without[0] a[0] single[0] shred[-1] of[0] suspense[0] chain[0] reaction[0] is[0] the[0] summer[0] movie[0] to[0] walk[0] out[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you make it to the end , a mess of cross-cutting involving another imminent explosion , you'll hear somebody say " i guess it's time to go . " 	if you make it to the end , a mess of cross-cutting involving another imminent explosion , you'll hear somebody say " i guess it's time to go .<br> "	1	-2	 if[0] you[0] make[0] it[0] to[0] the[0] end[0] a[0] mess[0] of[0] cross[-1] cutting[0] involving[0] another[0] imminent[0] explosion[-1] you'll[0] hear[0] somebody[0] say[0] i[0] guess[0] it's[0] time[0] to[0] go[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
heed that warning . 	heed that warning .	1	-1	 heed[0] that[0] warning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
