plot : a little boy born in east germany ( named hansel ) loves the american music . 	Translation	Positive	Negative	EmotionRationale
one day , he gets the opportunity to meet and marry an american g . i . , but first , he must get a sex change ( enter hedwig ) . 	one day , he gets the opportunity to meet and marry an american grin� .<br> i .<br> , but first , he must get a sex change ( enter hedwig ) .	1	-1	 one[0] day[0] he[0] gets[0] the[0] opportunity[0] to[0] meet[0] and[0] marry[0] an[0] american[0] g[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]] but[0] first[0] he[0] must[0] get[0] a[0] sex[0] change[0] enter[0] hedwig[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once married , the two move to the states , but quickly thereafter , get a divorce . 	once married , the two move to the states , but quickly thereafter , get a divorce .	1	-2	 once[0] married[0] the[0] two[0] move[0] to[0] the[0] states[0] but[0] quickly[0] thereafter[0] get[0] a[0] divorce[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at that point , hedwig starts writing music and meets another confused boy , who soon turns into a star . 	at that point , hedwig starts writing music and meets another confused boy , who soon turns into a star .	1	-2	 at[0] that[0] point[0] hedwig[0] starts[0] writing[0] music[0] and[0] meets[0] another[0] confused[-1] boy[0] who[0] soon[0] turns[0] into[0] a[0] star[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that boy also turns his back on hedwig , and it isn't long before hedwig puts together his/her own band and tours the states via seafood restaurants . 	that boy also turns his back on hedwig , and it isn't long before hedwig puts together his/her own band and tours the states via seafood restaurants .	1	-1	 that[0] boy[0] also[0] turns[0] his[0] back[0] on[0] hedwig[0] and[0] it[0] isn't[0] long[0] before[0] hedwig[0] puts[0] together[0] his/her[0] own[0] band[0] and[0] tours[0] the[0] states[0] via[0] seafood[0] restaurants[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is the story of his/her life , told via flashbacks and musical numbers . 	this is the story of his/her life , told via flashbacks and musical numbers .	1	-1	 this[0] is[0] the[0] story[0] of[0] his/her[0] life[0] told[0] via[0] flashbacks[0] and[0] musical[0] numbers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
critique : an artsy-fartsy musical with great songs and a superb performance by john cameron mitchell , doesn't really come together as a whole , with over-the-top symbolism , incoherence and too much pretension to retain my interest all the whole way through . 	critique : an artsy-fartsy musical with great songs and a superb performance by john cameron mitchell , doesn't really come together as a whole , with over-the-top symbolism , incoherence and too much pretension to retain my interest all the whole way through .	3	-1	 critique[0] an[0] artsy[0] fartsy[0] musical[0] with[0] great[2] songs[0] and[0] a[0] superb[0] performance[0] by[0] john[0] cameron[0] mitchell[0] doesn't[0] really[0] come[0] together[0] as[0] a[0] whole[0] with[0] over[0] the[0] top[0] symbolism[0] incoherence[0] and[0] too[0] much[0] pretension[0] to[0] retain[0] my[0] interest[1] all[0] the[0] whole[0] way[0] through[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in fact , this isn't so much of a realistic , articulate , behind-the-scenes look at the rise of a rock 'n roll star , as it is an ambiguous , overly poetic and incomprehensible struggle of a man , his sexuality and his identity as a whole person on this planet . 	in fact , this isn't so much of a realistic , articulate , behind-the-scenes look at the rise of a rock 'n roll star , as it is an ambiguous , overly poetic and incomprehensible struggle of a man , his sexuality and his identity as a whole person on this planet .	2	-2	 in[0] fact[0] this[0] isn't[0] so[0] much[0] of[0] a[0] realistic[0] articulate[0] behind[0] the[0] scenes[0] look[0] at[0] the[0] rise[0] of[0] a[0] rock[1] 'n[0] roll[0] star[0] as[0] it[0] is[0] an[0] ambiguous[-1] overly[0] poetic[0] and[0] incomprehensible[0] struggle[-1] of[0] a[0] man[0] his[0] sexuality[0] and[0] his[0] identity[0] as[0] a[0] whole[0] person[0] on[0] this[0] planet[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i guess that i was expecting the former going in . 	i guess that i was expecting the former going in .	1	-1	 i[0] guess[0] that[0] i[0] was[0] expecting[0] the[0] former[0] going[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is somewhat interesting to a point , but i was personally never able to involve myself too much , as the basic symbolic and incongruent nature of the film left me feeling cold and distant . 	the film is somewhat interesting to a point , but i was personally never able to involve myself too much , as the basic symbolic and incongruent nature of the film left me feeling cold and distant .	2	-2	 the[0] film[0] is[0] somewhat[0] interesting[1] to[0] a[0] point[0] but[0] i[0] was[0] personally[0] never[0] able[0] to[0] involve[0] myself[0] too[0] much[0] as[0] the[0] basic[0] symbolic[0] and[0] incongruent[0] nature[0] of[0] the[0] film[0] left[0] me[0] feeling[0] cold[-1] and[0] distant[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but it is definitely tuned to a certain type of audience . 	but it is definitely tuned to a certain type of audience .	1	-1	 but[0] it[0] is[0] definitely[0] tuned[0] to[0] a[0] certain[0] type[0] of[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chances are that if you are a fan of the wall , the rocky horror picture show or even priscilla , queen of the desert , the elements tangled in this movie will likely strike your fancy ( some of the characters in this film even ask the audience to sing along at some point , and provide the lyrics of their song , on-screen ) . 	chances are that if you are a fan of the wall , the rocky horror picture show or even priscilla , queen of the desert , the elements tangled in this movie will likely strike your fancy ( some of the characters in this film even ask the audience to sing along at some point , and provide the lyrics of their song , on-screen ) .	1	-4	 chances[0] are[0] that[0] if[0] you[0] are[0] a[0] fan[0] of[0] the[0] wall[0] the[0] rocky[0] horror[-3] picture[0] show[0] or[0] even[0] priscilla[0] queen[0] of[0] the[0] desert[0] the[0] elements[0] tangled[0] in[0] this[0] movie[0] will[0] likely[0] strike[-1] your[0] fancy[0] some[0] of[0] the[0] characters[0] in[0] this[0] film[0] even[0] ask[0] the[0] audience[0] to[0] sing[0] along[0] at[0] some[0] point[0] and[0] provide[0] the[0] lyrics[0] of[0] their[0] song[0] on[0] screen[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
well , i personally don't care for those films , and didn't really get into the whole " show " atmosphere of this movie either . 	well , i personally don't care for those films , and didn't really get into the whole " show " atmosphere of this movie either .	1	-2	 well[0] i[0] personally[0] don't[0] care[1][NegatedDueToPreviousWord] for[0] those[0] films[0] and[0] didn't[0] really[0] get[0] into[0] the[0] whole[0] show[0] atmosphere[0] of[0] this[0] movie[0] either[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i guess i might've looked at it all too literally , but like i said earlier , i just didn't care enough about the characters to delve into the " so the butterfly represents his freedom ? " 	i guess i might've looked at it all too literally , but like i said earlier , i just didn't care enough about the characters to delve into the " so the butterfly represents his freedom ?<br> "	2	-1	 i[0] guess[0] i[0] might've[0] looked[0] at[0] it[0] all[0] too[0] literally[0] but[0] like[1] i[0] said[0] earlier[0] i[0] just[0] didn't[0] care[1] enough[0] about[0] the[0] characters[0] to[0] delve[0] into[0] the[0] so[0] the[0] butterfly[0] represents[0] his[0] freedom[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
side of things . 	side of things .	1	-1	 side[0] of[0] things[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all i know is that the film left me with many questions unanswered and didn't make me feel any more fulfilled . 	all i know is that the film left me with many questions unanswered and didn't make me feel any more fulfilled .	1	-1	 all[0] i[0] know[0] is[0] that[0] the[0] film[0] left[0] me[0] with[0] many[0] questions[0] unanswered[0] and[0] didn't[0] make[0] me[0] feel[0] any[0] more[0] fulfilled[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what was hedwig's relationship with that other member of his band ( with the beard ) ? 	what was hedwig's relationship with that other member of his band ( with the beard ) ?	1	-1	 what[0] was[0] hedwig's[0] relationship[0] with[0] that[0] other[0] member[0] of[0] his[0] band[0] with[0] the[0] beard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what happened with hedwig and tommy gnosis at the end of the movie ? 	what happened with hedwig and tommy gnosis at the end of the movie ?	1	-1	 what[0] happened[0] with[0] hedwig[0] and[0] tommy[0] gnosis[0] at[0] the[0] end[0] of[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( was that an actual sequence or a fantasy ? ) 	 ( was that an actual sequence or a fantasy ?<br> )	1	-1	 was[0] that[0] an[0] actual[0] sequence[0] or[0] a[0] fantasy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what ever happened to the lawsuit ? 	what ever happened to the lawsuit ?	1	-2	 what[0] ever[0] happened[0] to[0] the[0] lawsuit[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and more . . . 	and more .<br> .<br> .	1	-1	 and[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
