vikings v . bears ? 	Translation	Positive	Negative	EmotionRationale
no , this isn't the lineup for monday night football . 	no , this isn't the lineup for monday night football .	1	-1	 no[0] this[0] isn't[0] the[0] lineup[0] for[0] monday[0] night[0] football[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rather , these are the two opposing forces that will battle to the death in " the 13th warrior , " a film that is as dramatically flat as it is gratuitously gory . 	rather , these are the two opposing forces that will battle to the death in " the 13th warrior , " a film that is as dramatically flat as it is gratuitously gory .	1	-3	 rather[0] these[0] are[0] the[0] two[0] opposing[0] forces[0] that[0] will[0] battle[-1] to[0] the[0] death[-2] in[0] the[0] 13th[0] warrior[0] a[0] film[0] that[0] is[0] as[0] dramatically[0] flat[0] as[0] it[0] is[0] gratuitously[0] gory[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
based on michael crichton's book , eaters of the dead , this viking saga tries to evoke the mysticism of fabled norsemen and the glorious battles that they fought . 	based on michael crichton's book , eaters of the dead , this viking saga tries to evoke the mysticism of fabled norsemen and the glorious battles that they fought .	2	-3	 based[0] on[0] michael[0] crichton's[0] book[0] eaters[0] of[0] the[0] dead[-2] this[0] viking[0] saga[-1] tries[0] to[0] evoke[0] the[0] mysticism[0] of[0] fabled[0] norsemen[0] and[0] the[0] glorious[1] battles[-1] that[0] they[0] fought[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
their strength and honor would eventually etch their place in history among the greatest warriors that ever picked up a sword . 	their strength and honor would eventually etch their place in history among the greatest warriors that ever picked up a sword .	3	-1	 their[0] strength[0] and[0] honor[0] would[0] eventually[0] etch[0] their[0] place[0] in[0] history[0] among[0] the[0] greatest[2] warriors[0] that[0] ever[0] picked[0] up[0] a[0] sword[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
luckily for the vikings , however , their warring abilities were not as clumsy as this film . 	luckily for the vikings , however , their warring abilities were not as clumsy as this film .	3	-3	 luckily[2] for[0] the[0] vikings[0] however[0] their[0] warring[-2] abilities[0] were[0] not[0] as[0] clumsy[-1][NegatedDueToPreviousWord] as[0] this[0] film[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
antonio bandaras is ahmed , a travelling ambassador . 	antonio bandaras is ahmed , a travelling ambassador .	1	-1	 antonio[0] bandaras[0] is[0] ahmed[0] a[0] travelling[0] ambassador[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
accompanied by his friend ( omar shariff in a cameo ) , they eventually come across a small viking village . 	accompanied by his friend ( omar shariff in a cameo ) , they eventually come across a small viking village .	2	-1	 accompanied[0] by[0] his[0] friend[1] omar[0] shariff[0] in[0] a[0] cameo[0] they[0] eventually[0] come[0] across[0] a[0] small[0] viking[0] village[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we see that the vikings are an extremely proud group whose greatest strength is their fortitude . 	we see that the vikings are an extremely proud group whose greatest strength is their fortitude .	4	-1	 we[0] see[0] that[0] the[0] vikings[0] are[0] an[0] extremely[0] proud[1][2 LastWordBoosterStrength] group[0] whose[0] greatest[2] strength[0] is[0] their[0] fortitude[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
they laugh heartily , revel in their arrogance , and sing songs of battles won . 	they laugh heartily , revel in their arrogance , and sing songs of battles won .	2	-3	 they[0] laugh[1] heartily[0] revel[0] in[0] their[0] arrogance[-2] and[0] sing[0] songs[0] of[0] battles[-1] won[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but their festivities are about to be halted when a messenger boy arrives to tell the village leader that a great evil is threatening their land . 	but their festivities are about to be halted when a messenger boy arrives to tell the village leader that a great evil is threatening their land .	3	-3	 but[0] their[0] festivities[0] are[0] about[0] to[0] be[0] halted[0] when[0] a[0] messenger[0] boy[0] arrives[0] to[0] tell[0] the[0] village[0] leader[0] that[0] a[0] great[2] evil[-2] is[0] threatening[-2] their[0] land[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
help is needed quickly . 	help is needed quickly .	1	-1	 help[0] is[0] needed[0] quickly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an elderly , fortune-telling witch arrives . 	an elderly , fortune-telling witch arrives .	1	-1	 an[0] elderly[0] fortune[0] telling[0] witch[0] arrives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after a brief incantation , she proclaims that 12 warriors and one more " not of norse blood " are needed to ensure victory . 	after a brief incantation , she proclaims that 12 warriors and one more " not of norse blood " are needed to ensure victory .	1	-1	 after[0] a[0] brief[0] incantation[0] she[0] proclaims[0] that[0] 12[0] warriors[0] and[0] one[0] more[0] not[0] of[0] norse[0] blood[0] are[0] needed[0] to[0] ensure[0] victory[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
personally , i always wonder why people believe these oracles when they look so haggardly and on the brink of insanity . 	personally , i always wonder why people believe these oracles when they look so haggardly and on the brink of insanity .	1	-1	 personally[0] i[0] always[0] wonder[0] why[0] people[0] believe[0] these[0] oracles[0] when[0] they[0] look[0] so[0] haggardly[0] and[0] on[0] the[0] brink[0] of[0] insanity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nonetheless , 12 men eagerly accept their place while ahmed becomes the pivotal 13th . 	nonetheless , 12 men eagerly accept their place while ahmed becomes the pivotal 13th .	1	-1	 nonetheless[0] 12[0] men[0] eagerly[0] accept[0] their[0] place[0] while[0] ahmed[0] becomes[0] the[0] pivotal[0] 13th[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the group then sets out to do the greatest battle of their lives . 	the group then sets out to do the greatest battle of their lives .	3	-2	 the[0] group[0] then[0] sets[0] out[0] to[0] do[0] the[0] greatest[2] battle[-1] of[0] their[0] lives[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
of course during their ride , ahmed becomes the target of fun for the other 12 burly viking warriors . 	of course during their ride , ahmed becomes the target of fun for the other 12 burly viking warriors .	2	-1	 of[0] course[0] during[0] their[0] ride[0] ahmed[0] becomes[0] the[0] target[0] of[0] fun[1] for[0] the[0] other[0] 12[0] burly[0] viking[0] warriors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but he ably shows that it's not the size of the dog in the fight but rather the size of the fight in the dog . 	but he ably shows that it's not the size of the dog in the fight but rather the size of the fight in the dog .	1	-3	 but[0] he[0] ably[0] shows[0] that[0] it's[0] not[0] the[0] size[0] of[0] the[0] dog[0] in[0] the[0] fight[-2] but[0] rather[0] the[0] size[0] of[0] the[0] fight[-2] in[0] the[0] dog[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
