one of my favorite songs by the stranglers includes the lyric , " you'd better watch out for the skin deep . " 	Translation	Positive	Negative	EmotionRationale
i'd like to extend the same warning : watch out for skin deep , but whatever you do don't watch skin deep . 	i'd like to extend the same warning : watch out for skin deep , but whatever you do don't watch skin deep .	2	-1	 i'd[0] like[1] to[0] extend[0] the[0] same[0] warning[0] watch[0] out[0] for[0] skin[0] deep[0] but[0] whatever[0] you[0] do[0] don't[0] watch[0] skin[0] deep[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
skin deep is a tedious and uneven comedy written and directed by blake edwards . 	skin deep is a tedious and uneven comedy written and directed by blake edwards .	1	-3	 skin[0] deep[0] is[0] a[0] tedious[-2] and[0] uneven[-1] comedy[0] written[0] and[0] directed[0] by[0] blake[0] edwards[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
john ritter stars as zach , a dried up writer and insatiable womanizer with a big-time drinking problem . 	john ritter stars as zach , a dried up writer and insatiable womanizer with a big-time drinking problem .	1	-2	 john[0] ritter[0] stars[0] as[0] zach[0] a[0] dried[0] up[0] writer[0] and[0] insatiable[0] womanizer[0] with[0] a[0] big[0] time[0] drinking[0] problem[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i never saw edwards' comedy the man who loved women , but i have to wonder whether skin deep is a remake . 	i never saw edwards' comedy the man who loved women , but i have to wonder whether skin deep is a remake .	4	-1	 i[0] never[0] saw[0] edwards'[0] comedy[0] the[0] man[0] who[0] loved[3] women[0] but[0] i[0] have[0] to[0] wonder[0] whether[0] skin[0] deep[0] is[0] a[0] remake[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
you see , to put it mildly , zach goes to bed with just about each and every woman he meets . 	you see , to put it mildly , zach goes to bed with just about each and every woman he meets .	1	-1	 you[0] see[0] to[0] put[0] it[0] mildly[0] zach[0] goes[0] to[0] bed[0] with[0] just[0] about[0] each[0] and[0] every[0] woman[0] he[0] meets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the movie opens , zach's wife , alex , catches him with not only his mistress but also his mistress' hairdresser . 	as the movie opens , zach's wife , alex , catches him with not only his mistress but also his mistress' hairdresser .	1	-1	 as[0] the[0] movie[0] opens[0] zach's[0] wife[0] alex[0] catches[0] him[0] with[0] not[0] only[0] his[0] mistress[0] but[0] also[0] his[0] mistress'[0] hairdresser[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like any sensible wife , alex kicks zach out of the house and divorces him . 	like any sensible wife , alex kicks zach out of the house and divorces him .	2	-2	 like[1] any[0] sensible[0] wife[0] alex[0] kicks[-1] zach[0] out[0] of[0] the[0] house[0] and[0] divorces[-1] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in response , zach goes on a spiritual journey of drinking , womanizing , psychotherapy , and self-discovery . 	in response , zach goes on a spiritual journey of drinking , womanizing , psychotherapy , and self-discovery .	1	-1	 in[0] response[0] zach[0] goes[0] on[0] a[0] spiritual[0] journey[0] of[0] drinking[0] womanizing[0] psychotherapy[0] and[0] self[0] discovery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you're turned on by the idea of watching ritter drink , get arrested , have sex , drink , crash his mercedes , have more sex , drink , get arrested again , drink , and sing horrendously at the piano , then skin deep should be right up your alley . 	if you're turned on by the idea of watching ritter drink , get arrested , have sex , drink , crash his mercedes , have more sex , drink , get arrested again , drink , and sing horrendously at the piano , then skin deep should be right up your alley .	1	-4	 if[0] you're[0] turned[0] on[0] by[0] the[0] idea[0] of[0] watching[0] ritter[0] drink[0] get[0] arrested[0] have[0] sex[0] drink[0] crash[0] his[0] mercedes[0] have[0] more[0] sex[0] drink[0] get[0] arrested[0] again[0] drink[0] and[0] sing[0] horrendously[-3] at[0] the[0] piano[0] then[0] skin[0] deep[0] should[0] be[0] right[0] up[0] your[0] alley[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
skin deep makes the fatal mistake of inflicting on us unbelievable and unsympathetic characters . 	skin deep makes the fatal mistake of inflicting on us unbelievable and unsympathetic characters .	1	-3	 skin[0] deep[0] makes[0] the[0] fatal[-2] mistake[-1] of[0] inflicting[0] on[0] us[0] unbelievable[-1] and[0] unsympathetic[0] characters[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
