long ago , films were constructed of strong dialogue , original characters , memorable plot points , and solid acting . 	Translation	Positive	Negative	EmotionRationale
one of the best examples that hollywood now completely ignore these qualities is found in the new film where the heart is . 	one of the best examples that hollywood now completely ignore these qualities is found in the new film where the heart is .	2	-1	 one[0] of[0] the[0] best[1] examples[0] that[0] hollywood[0] now[0] completely[0] ignore[0] these[0] qualities[0] is[0] found[0] in[0] the[0] new[0] film[0] where[0] the[0] heart[0] is[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this opus about the power of love and the redemption of family follows the tragic , and i mean tragic , life of novalee nation ( natalie portman ) . 	this opus about the power of love and the redemption of family follows the tragic , and i mean tragic , life of novalee nation ( natalie portman ) .	3	-3	 this[0] opus[0] about[0] the[0] power[0] of[0] love[2] and[0] the[0] redemption[0] of[0] family[0] follows[0] the[0] tragic[-2] and[0] i[0] mean[0] tragic[-2] life[0] of[0] novalee[0] nation[0] natalie[0] portman[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
hitting the road with her hick , guitar-playing boyfriend in a rusted-out gm , novalee dreams of the blue skies of bakersfield and sipping chocolate milk beneath a plastic umbrella with her unborn baby , due in a month . 	hitting the road with her hick , guitar-playing boyfriend in a rusted-out gm , novalee dreams of the blue skies of bakersfield and sipping chocolate milk beneath a plastic umbrella with her unborn baby , due in a month .	2	-1	 hitting[0] the[0] road[0] with[0] her[0] hick[0] guitar[0] playing[1] boyfriend[0] in[0] a[0] rusted[0] out[0] gm[0] novalee[0] dreams[0] of[0] the[0] blue[0] skies[0] of[0] bakersfield[0] and[0] sipping[0] chocolate[0] milk[0] beneath[0] a[0] plastic[0] umbrella[0] with[0] her[0] unborn[0] baby[1] due[0] in[0] a[0] month[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
stopping off at a nearby wal-mart for a quick rest , novalee's boyfriend decides to take off and leaves her there . 	stopping off at a nearby wal-mart for a quick rest , novalee's boyfriend decides to take off and leaves her there .	1	-1	 stopping[0] off[0] at[0] a[0] nearby[0] wal[0] mart[0] for[0] a[0] quick[0] rest[0] novalee's[0] boyfriend[0] decides[0] to[0] take[0] off[0] and[0] leaves[0] her[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
novalee then decides to secretly hole up in the wal-mart ( because she's not the brightest bulb in the stagelights ) . 	novalee then decides to secretly hole up in the wal-mart ( because she's not the brightest bulb in the stagelights ) .	1	-1	 novalee[0] then[0] decides[0] to[0] secretly[0] hole[0] up[0] in[0] the[0] wal[0] mart[0] because[0] she's[0] not[0] the[0] brightest[0] bulb[0] in[0] the[0] stagelights[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a wacky librarian ( keith david ) comes to her rescue when she goes into labor one night while she is camped in the outdoors section of the store . 	a wacky librarian ( keith david ) comes to her rescue when she goes into labor one night while she is camped in the outdoors section of the store .	1	-1	 a[0] wacky[0] librarian[0] keith[0] david[0] comes[0] to[0] her[0] rescue[0] when[0] she[0] goes[0] into[0] labor[0] one[0] night[0] while[0] she[0] is[0] camped[0] in[0] the[0] outdoors[0] section[0] of[0] the[0] store[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then the she moves in with a family , befriends everyone in town -- including ashley judd's character ( who has five kids and still can work part-time as a nurse ) -- fights off religious freaks , survives a tornado , breaks the heart of the wacky librarian that saved her , receives an inheritance , builds a martha stewart-esque house , becomes an award-winning photographer , and manages to always look like she stepped out of a cosmo shoot , all while not once doing anything with her kid . 	then the she moves in with a family , befriends everyone in town - including ashley judd's character ( who has five kids and still can work part-time as a nurse ) - fights off religious freaks , survives a tornado , breaks the heart of the wacky librarian that saved her , receives an inheritance , builds a martha stewart-esque house , becomes an award-winning photographer , and manages to always look like she stepped out of a cosmo shoot , all while not once doing anything with her kid .	2	-3	 then[0] the[0] she[0] moves[0] in[0] with[0] a[0] family[0] befriends[0] everyone[0] in[0] town[0] including[0] ashley[0] judd's[0] character[0] who[0] has[0] five[0] kids[0] and[0] still[0] can[0] work[0] part[0] time[0] as[0] a[0] nurse[0] fights[-2] off[0] religious[0] freaks[-1] survives[0] a[0] tornado[0] breaks[0] the[0] heart[0] of[0] the[0] wacky[0] librarian[0] that[0] saved[1] her[0] receives[0] an[0] inheritance[0] builds[0] a[0] martha[0] stewart[0] esque[0] house[0] becomes[0] an[0] award[0] winning[1] photographer[0] and[0] manages[0] to[0] always[0] look[0] like[1] she[0] stepped[0] out[0] of[0] a[0] cosmo[0] shoot[-1] all[0] while[0] not[0] once[0] doing[0] anything[0] with[0] her[0] kid[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this film is terrible . 	this film is terrible .	1	-4	 this[0] film[0] is[0] terrible[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the directing is awful : it seems director matt williams had an index card with six angles written on it and used every one of them , over and over and over again . 	the directing is awful : it seems director matt williams had an index card with six angles written on it and used every one of them , over and over and over again .	1	-4	 the[0] directing[0] is[0] awful[-3] it[0] seems[0] director[0] matt[0] williams[0] had[0] an[0] index[0] card[0] with[0] six[0] angles[0] written[0] on[0] it[0] and[0] used[0] every[0] one[0] of[0] them[0] over[0] and[0] over[0] and[0] over[0] again[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
we get pathetic and ugly acting by natalie portman , who can do good work . 	we get pathetic and ugly acting by natalie portman , who can do good work .	2	-3	 we[0] get[0] pathetic[-2] and[0] ugly[-2] acting[0] by[0] natalie[0] portman[0] who[0] can[0] do[0] good[1] work[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a disjointed pacing of key scenes and a time structure so confusing that it would throw steve prefontaine off . 	a disjointed pacing of key scenes and a time structure so confusing that it would throw steve prefontaine off .	1	-2	 a[0] disjointed[0] pacing[0] of[0] key[0] scenes[0] and[0] a[0] time[0] structure[0] so[0] confusing[-1] that[0] it[0] would[0] throw[0] steve[0] prefontaine[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
