you should have heard the old guys in the crowded bathroom following the " odd couple ii " sneak preview . 	Translation	Positive	Negative	EmotionRationale
they were as happy a group of men as i've ever encountered . 	they were as happy a group of men as i've ever encountered .	2	-1	 they[0] were[0] as[0] happy[1] a[0] group[0] of[0] men[0] as[0] i've[0] ever[0] encountered[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " what a great movie , " exclaimed one gent at the urinal , " everything was so true ! " 	 " what a great movie , " exclaimed one gent at the urinal , " everything was so true !<br> "	3	-1	 what[0] a[0] great[2] movie[0] exclaimed[0] one[0] gent[0] at[0] the[0] urinal[0] everything[0] was[0] so[0] true[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " yeah , " laughed a man standing next to him , " i drive as slow as that one guy did . 	 " yeah , " laughed a man standing next to him , " i drive as slow as that one guy did .	2	-1	 yeah[0] laughed[1] a[0] man[0] standing[0] next[0] to[0] him[0] i[0] drive[0] as[0] slow[0] as[0] that[0] one[0] guy[0] did[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
my kids give me holy hell for it ! " 	my kids give me holy hell for it !<br> "	1	-2	 my[0] kids[0] give[0] me[0] holy[0] hell[-1] for[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " and peeing is a big part of my day , just like with felix , " chuckled another fellow , as he fastened his trousers up around his nipples and prepared to rejoin his wife . 	 " and peeing is a big part of my day , just like with felix , " chuckled another fellow , as he fastened his trousers up around his nipples and prepared to rejoin his wife .	3	-1	 and[0] peeing[0] is[0] a[0] big[0] part[0] of[0] my[0] day[0] just[0] like[1][-1 LastWordBoosterStrength] with[0] felix[0] chuckled[2] another[0] fellow[0] as[0] he[0] fastened[0] his[0] trousers[0] up[0] around[0] his[0] nipples[0] and[0] prepared[0] to[0] rejoin[0] his[0] wife[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if you're over 60 and in the habit of driving at least 20 miles per hour below the posted speed limit , " neil simon's the odd couple ii " may be just the film for you . 	if you're over 60 and in the habit of driving at least 20 miles per hour below the posted speed limit , " neil simon's the odd couple i " may be just the film for you .	1	-1	 if[0] you're[0] over[0] 60[0] and[0] in[0] the[0] habit[0] of[0] driving[0] at[0] least[0] 20[0] miles[0] per[0] hour[0] below[0] the[0] posted[0] speed[0] limit[0] neil[0] simon's[0] the[0] odd[0] couple[0] ii/i[0] may[0] be[0] just[0] the[0] film[0] for[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
others will likely be less charitable . 	others will likely be less charitable .	1	-1	 others[0] will[0] likely[0] be[0] less[0] charitable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while " the odd couple ii " is amiable enough , neil simon's shockingly lazy screenplay feels like a slapped-together tv reunion show , suffering from wheezing situation comedy set-ups and jokes straight out of the borscht-belt . 	while " the odd couple i " is amiable enough , neil simon's shockingly lazy screenplay feels like a slapped-together tv reunion show , suffering from wheezing situation comedy set-ups and jokes straight out of the borscht-belt .	3	-4	 while[0] the[0] odd[0] couple[0] ii/i[0] is[0] amiable[2] enough[0] neil[0] simon's[0] shockingly[-2] lazy[-1] screenplay[0] feels[0] like[1] a[0] slapped[-1] together[0] tv[0] reunion[0] show[0] suffering[-3] from[0] wheezing[0] situation[0] comedy[0] set[0] ups[0] and[0] jokes[1] straight[0] out[0] of[0] the[0] borscht[0] belt[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
simon , once the toast of broadway , has apparently shifted his sights from the great white way to the neighborhood multiplex in branson , missouri . 	simon , once the toast of broadway , has apparently shifted his sights from the great white way to the neighborhood multiplex in branson , missouri .	3	-1	 simon[0] once[0] the[0] toast[0] of[0] broadway[0] has[0] apparently[0] shifted[0] his[0] sights[0] from[0] the[0] great[2] white[0] way[0] to[0] the[0] neighborhood[0] multiplex[0] in[0] branson[0] missouri[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the contrived story , involving the marriage of their kids , provides the excuse for a reunion between oscar madison and felix unger , who haven't seen each other in 17 years . 	the contrived story , involving the marriage of their kids , provides the excuse for a reunion between oscar madison and felix unger , who haven't seen each other in 17 years .	1	-1	 the[0] contrived[0] story[0] involving[0] the[0] marriage[0] of[0] their[0] kids[0] provides[0] the[0] excuse[0] for[0] a[0] reunion[0] between[0] oscar[0] madison[0] and[0] felix[0] unger[0] who[0] haven't[0] seen[0] each[0] other[0] in[0] 17[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the former roommates fly into california from their respective homes for the wedding and , quite literally , run into one another at the airport . 	the former roommates fly into california from their respective homes for the wedding and , quite literally , run into one another at the airport .	3	-1	 the[0] former[0] roommates[0] fly[0] into[0] california[0] from[0] their[0] respective[2] homes[0] for[0] the[0] wedding[0] and[0] quite[0] literally[0] run[0] into[0] one[0] another[0] at[0] the[0] airport[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they take off in a rental car for the ceremony in san molina , get lost and have a series of " wacky " adventures on the road . 	they take off in a rental car for the ceremony in san molina , get lost and have a series of " wacky " adventures on the road .	1	-1	 they[0] take[0] off[0] in[0] a[0] rental[0] car[0] for[0] the[0] ceremony[0] in[0] san[0] molina[0] get[0] lost[0] and[0] have[0] a[0] series[0] of[0] wacky[0] adventures[0] on[0] the[0] road[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
