poster boy for co-dependency needs patching 	Translation	Positive	Negative	EmotionRationale
patch adams a film review by michael redman copyright 1999 by michael redman 	patch adams a film review by michael redman copyright 199 by michael redman	1	-1	 patch[0] adams[0] a[0] film[0] review[0] by[0] michael[0] redman[0] copyright[0] 1999/199[0] by[0] michael[0] redman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mediocrity is a pox on civilization . 	mediocrity is a pox on civilization .	1	-2	 mediocrity[-1] is[0] a[0] pox[0] on[0] civilization[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in our heavily consumer oriented society , there is an enormous demand to churn out " stuff . " 	in our heavily consumer oriented society , there is an enormous demand to churn out " stuff .<br> "	1	-1	 in[0] our[0] heavily[0] consumer[0] oriented[0] society[0] there[0] is[0] an[0] enormous[0] demand[0] to[0] churn[0] out[0] stuff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what would happen to our economy if we didn't feel the need to have more things ? 	what would happen to our economy if we didn't feel the need to have more things ?	1	-1	 what[0] would[0] happen[0] to[0] our[0] economy[0] if[0] we[0] didn't[0] feel[0] the[0] need[0] to[0] have[0] more[0] things[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to make us buy more , businesses need to produce a ton of product . 	to make us buy more , businesses need to produce a ton of product .	1	-1	 to[0] make[0] us[0] buy[0] more[0] businesses[0] need[0] to[0] produce[0] a[0] ton[0] of[0] product[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sheer volume of items necessitates that most of them are of dubious quality . 	the sheer volume of items necessitates that most of them are of dubious quality .	1	-2	 the[0] sheer[0] volume[0] of[0] items[0] necessitates[0] that[0] most[0] of[0] them[0] are[0] of[0] dubious[-1] quality[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film industry is like any other . 	the film industry is like any other .	2	-1	 the[0] film[0] industry[0] is[0] like[1] any[0] other[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in order for studios to survive , they have to make money . 	in order for studios to survive , they have to make money .	1	-1	 in[0] order[0] for[0] studios[0] to[0] survive[0] they[0] have[0] to[0] make[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the prevailing attitude is that more films equal more profit . 	the prevailing attitude is that more films equal more profit .	2	-1	 the[0] prevailing[0] attitude[0] is[0] that[0] more[0] films[0] equal[0] more[0] profit[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
some movies obviously exist only to put wares on the screen and to do that , less talented people are used . 	some movies obviously exist only to put wares on the screen and to do that , less talented people are used .	2	-1	 some[0] movies[0] obviously[0] exist[0] only[0] to[0] put[0] wares[0] on[0] the[0] screen[0] and[0] to[0] do[0] that[0] less[0] talented[1] people[0] are[0] used[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
