whenever u . s . government starts meddling into other countries' affairs , under the pretext of supporting human rights or preventing political , religious or ethnic persecution , the other side is ready to use mantra that says " look who's talking ! 	Translation	Positive	Negative	EmotionRationale
what have you done to the indians ? " 	what have you done to the indians ?<br> "	1	-1	 what[0] have[0] you[0] done[0] to[0] the[0] indians[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , even the americans themselves are ready to use that dark chapter of their own national history when it suits their purposes . 	however , even the americans themselves are ready to use that dark chapter of their own national history when it suits their purposes .	1	-1	 however[0] even[0] the[0] americans[0] themselves[0] are[0] ready[0] to[0] use[0] that[0] dark[0] chapter[0] of[0] their[0] own[0] national[0] history[0] when[0] it[0] suits[0] their[0] purposes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hollywood is just another example , with its revisionist westerns , made in early 1990s . 	hollywood is just another example , with its revisionist westerns , made in early 1990s .	1	-1	 hollywood[0] is[0] just[0] another[0] example[0] with[0] its[0] revisionist[0] westerns[0] made[0] in[0] early[0] 1990s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
those movies tried to exploit the emerging wave of political correctness , coinciding with the 500th anniversary of columbus' discovery of america . 	those movies tried to exploit the emerging wave of political correctness , coinciding with the 500th anniversary of columbus' discovery of america .	1	-1	 those[0] movies[0] tried[0] to[0] exploit[0] the[0] emerging[0] wave[0] of[0] political[0] correctness[0] coinciding[0] with[0] the[0] 500th[0] anniversary[0] of[0] columbus'[0] discovery[0] of[0] america[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of such examples is geronimo : an american legend , 1993 western directed by walter hill , film that deals with one of the last conflicts between american natives and white settlers . 	one of such examples is geronimo : an american legend , 1993 western directed by walter hill , film that deals with one of the last conflicts between american natives and white settlers .	1	-2	 one[0] of[0] such[0] examples[0] is[0] geronimo[0] an[0] american[0] legend[0] 1993[0] western[0] directed[0] by[0] walter[0] hill[0] film[0] that[0] deals[0] with[0] one[0] of[0] the[0] last[0] conflicts[-1] between[0] american[0] natives[0] and[0] white[0] settlers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the hero of the film is geronimo ( played by wes studi ) , leader of apaches , fierce warrior tribe that used to give hard time to white settlers during the second half of 19th century . 	the hero of the film is geronimo ( played by wes studi ) , leader of apaches , fierce warrior tribe that used to give hard time to white settlers during the second half of 19th century .	3	-3	 the[0] hero[2] of[0] the[0] film[0] is[0] geronimo[0] played[0] by[0] wes[0] studi[0] leader[0] of[0] apaches[0] fierce[-2] warrior[0] tribe[0] that[0] used[0] to[0] give[0] hard[0] time[0] to[0] white[0] settlers[0] during[0] the[0] second[0] half[0] of[0] 19th[0] century[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
when the movie begins , in 1885 , geronimo and his apaches made peace with u . s . government and try to live peacefully in arizona reservation . 	when the movie begins , in 1885 , geronimo and his apaches made peace with you .<br> s .<br> government and try to live peacefully in arizona reservation .	1	-1	 when[0] the[0] movie[0] begins[0] in[0] 1885[0] geronimo[0] and[0] his[0] apaches[0] made[0] peace[0] with[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] government[0] and[0] try[0] to[0] live[0] peacefully[0] in[0] arizona[0] reservation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , broken promises , injustice and violence against his people would make geronimo restless . 	however , broken promises , injustice and violence against his people would make geronimo restless .	2	-4	 however[0] broken[-1] promises[1] injustice[0] and[0] violence[-3] against[-1] his[0] people[0] would[0] make[0] geronimo[0] restless[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
with not more 30 or so of his followers , he escapes reservation and begins guerrilla campaign . 	with not more 30 or so of his followers , he escapes reservation and begins guerrilla campaign .	1	-2	 with[0] not[0] more[0] 30[0] or[0] so[0] of[0] his[0] followers[0] he[0] escapes[0] reservation[0] and[0] begins[0] guerrilla[-1] campaign[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
general crook ( gene hackman ) , commander of u . s . army forces , respects geronimo and knows that even his 5 , 000 force isn't enough to catch geronimo in the great spaces of the american southwest . 	general crook ( gene hackman ) , commander of you .<br> s .<br> army forces , respects geronimo and knows that even his 5 , 00 force isn't enough to catch geronimo in the great spaces of the american southwest .	3	-2	 general[0] crook[-1] gene[0] hackman[0] commander[0] of[0] u[0] [[Sentence=-2,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] army[0] forces[0] respects[2] geronimo[0] and[0] knows[0] that[0] even[0] his[0] 5[0] 000/00[0] force[-1] isn't[0] enough[0] to[0] catch[0] geronimo[0] in[0] the[0] great[2] spaces[0] of[0] the[0] american[0] southwest[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
