forgive the fevered criticism but the fervor of the crucible infects . 	Translation	Positive	Negative	EmotionRationale
set in 1692 at salem , massachusetts , the crucible opens with a group of teenage girls passionately singing and dancing around a boiling cauldron in the middle of a forest under the glow of a full moon . 	set in 1692 at salem , massachusetts , the crucible opens with a group of teenage girls passionately singing and dancing around a boiling cauldron in the middle of a forest under the glow of a full moon .	3	-1	 set[0] in[0] 1692[0] at[0] salem[0] massachusetts[0] the[0] crucible[0] opens[0] with[0] a[0] group[0] of[0] teenage[0] girls[0] passionately[2] singing[0] and[0] dancing[0] around[0] a[0] boiling[0] cauldron[0] in[0] the[0] middle[0] of[0] a[0] forest[0] under[0] the[0] glow[0] of[0] a[0] full[0] moon[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they beckon the names of men as the targets of their love spells . 	they beckon the names of men as the targets of their love spells .	3	-1	 they[0] beckon[0] the[0] names[0] of[0] men[0] as[0] the[0] targets[0] of[0] their[0] love[2] spells[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
then one of the girls lets her hair down and sheds her clothes . 	then one of the girls lets her hair down and sheds her clothes .	1	-1	 then[0] one[0] of[0] the[0] girls[0] lets[0] her[0] hair[0] down[0] and[0] sheds[0] her[0] clothes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not to be outdone in her quest to regain the attention of john proctor ( daniel day lewis ) , abigail ( winona ryder ) suddenly seizes a chicken , beats it against the ground and smears her face and lips with the fresh blood . 	not to be outdone in her quest to regain the attention of john proctor ( daniel day lewis ) , abigail ( winona ryder ) suddenly seizes a chicken , beats it against the ground and smears her face and lips with the fresh blood .	1	-2	 not[0] to[0] be[0] outdone[0] in[0] her[0] quest[0] to[0] regain[0] the[0] attention[0] of[0] john[0] proctor[0] daniel[0] day[0] lewis[0] abigail[0] winona[0] ryder[0] suddenly[0] seizes[0] a[0] chicken[0] beats[0] it[0] against[-1] the[0] ground[0] and[0] smears[-1] her[0] face[0] and[0] lips[0] with[0] the[0] fresh[0] blood[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
taking even adolescent hormone surges into account , surely this chicken-bashing bit is a bit excessive , especially for prim puritan sensibilities ? 	taking even adolescent hormone surges into account , surely this chicken-bashing bit is a bit excessive , especially for prim puritan sensibilities ?	1	-2	 taking[0] even[0] adolescent[0] hormone[0] surges[0] into[0] account[0] surely[0] this[0] chicken[0] bashing[0] bit[0] is[0] a[0] bit[0] excessive[-1] especially[0] for[0] prim[0] puritan[0] sensibilities[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
surely to the puritan eye this is as close to a coven of witches as it gets ? 	surely to the puritan eye this is as close to a coven of witches as it gets ?	1	-1	 surely[0] to[0] the[0] puritan[0] eye[0] this[0] is[0] as[0] close[0] to[0] a[0] coven[0] of[0] witches[0] as[0] it[0] gets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the crucible errs from the beginning and arthur miller's name should be summoned for blame here for the addition of the above scene to his screen adaptation of his play . 	the crucible errs from the beginning and arthur miller's name should be summoned for blame here for the addition of the above scene to his screen adaptation of his play .	1	-2	 the[0] crucible[0] errs[0] from[0] the[0] beginning[0] and[0] arthur[0] miller's[0] name[0] should[0] be[0] summoned[0] for[0] blame[-1] here[0] for[0] the[0] addition[0] of[0] the[0] above[0] scene[0] to[0] his[0] screen[0] adaptation[0] of[0] his[0] play[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is far from a harmless event , a bad start to an already shaky morality tale . 	this is far from a harmless event , a bad start to an already shaky morality tale .	2	-2	 this[0] is[0] far[0] from[0] a[0] harmless[1] event[0] a[0] bad[-1] start[0] to[0] an[0] already[0] shaky[-1] morality[0] tale[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the play describes the film's opening scene during tense exchanges that makes one wonder about the veracity of both accusation and reply , and this adds to the play's charged atmosphere . 	the play describes the film's opening scene during tense exchanges that makes one wonder about the veracity of both accusation and reply , and this adds to the play's charged atmosphere .	1	-3	 the[0] play[0] describes[0] the[0] film's[0] opening[0] scene[0] during[0] tense[-2] exchanges[0] that[0] makes[0] one[0] wonder[0] about[0] the[0] veracity[0] of[0] both[0] accusation[-1] and[0] reply[0] and[0] this[0] adds[0] to[0] the[0] play's[0] charged[-1] atmosphere[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the film , the opening scene becomes an unintentional pandora's box . 	in the film , the opening scene becomes an unintentional pandora's box .	1	-1	 in[0] the[0] film[0] the[0] opening[0] scene[0] becomes[0] an[0] unintentional[0] pandora's[0] box[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
