hey , i've got a great idea for a movie ! 	Translation	Positive	Negative	EmotionRationale
ok , here it is : we'll get tim allen to pull angry faces for about two hours or so ! 	ok , here it is : we'll get tim allen to pull angry faces for about two hours or so !	1	-4	 ok[0] here[0] it[0] is[0] we'll[0] get[0] tim[0] allen[0] to[0] pull[0] angry[-3] faces[0] for[0] about[0] two[0] hours[0] or[0] so[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
what's that ? 	what's that ?	1	-1	 what's[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sounds too boring ? 	sounds too boring ?	1	-2	 sounds[0] too[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ok , how about this then : we still have tim allen pull faces for about two hours , but half of them are angry looks and half of them are " i'm in pain ! " 	ok , how about this then : we still have tim allen pull faces for about two hours , but half of them are angry looks and half of them are " i'm in pain !<br> "	1	-4	 ok[0] how[0] about[0] this[0] then[0] we[0] still[0] have[0] tim[0] allen[0] pull[0] faces[0] for[0] about[0] two[0] hours[0] but[0] half[0] of[0] them[0] are[0] angry[-3] looks[0] and[0] half[0] of[0] them[0] are[0] i'm[0] in[0] pain[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
looks ! 	looks !	1	-1	 looks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what's that ? 	what's that ?	1	-1	 what's[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that still doesn't sound funny to you ? 	that still doesn't sound funny to you ?	2	-1	 that[0] still[0] doesn't[0] sound[0] funny[1] to[0] you[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
how about if we through in some " ewwwww ! " 	how about if we through in some " ew !<br> "	1	-1	 how[0] about[0] if[0] we[0] through[0] in[0] some[0] ewwwww/ew[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
looks ? 	looks ?	1	-1	 looks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
still not funny ? 	still not funny ?	1	-2	 still[0] not[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you answered " no , that doesn't sound funny " , then ( ding ding ding ! ) 	if you answered " no , that doesn't sound funny " , then ( ding ding ding !<br> )	2	-1	 if[0] you[0] answered[0] no[0] that[0] doesn't[0] sound[0] funny[1] then[0] ding[0] ding[0] ding[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you're absolutely correct ! 	you're absolutely correct !	1	-1	 you're[0] absolutely[0] correct[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for richer or poorer is a moronic farce about a rich married couple ( played by tim allen and kirstie alley ) who seek refuge in an amish community after their bumbling accountant ( wayne knight , best know as newman on tv's " seinfeld " ) gets them in trouble for tax evasion . 	for richer or poorer is a moronic farce about a rich married couple ( played by tim allen and kirstie alley ) who seek refuge in an amish community after their bumbling accountant ( wayne knight , best know as newman on tv's " seinfeld " ) gets them in trouble for tax evasion .	2	-3	 for[0] richer[0] or[0] poorer[-1] is[0] a[0] moronic[-2] farce[-1] about[0] a[0] rich[0] married[0] couple[0] played[0] by[0] tim[0] allen[0] and[0] kirstie[0] alley[0] who[0] seek[0] refuge[0] in[0] an[0] amish[0] community[0] after[0] their[0] bumbling[0] accountant[0] wayne[0] knight[0] best[1] know[0] as[0] newman[0] on[0] tv's[0] seinfeld[0] gets[0] them[0] in[0] trouble[-1] for[0] tax[-1] evasion[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
what ensues is a badly scripted and horribly directed 114 minutes of cinema hell . 	what ensues is a badly scripted and horribly directed 114 minutes of cinema hell .	1	-4	 what[0] ensues[0] is[0] a[0] badly[-1] scripted[0] and[0] horribly[-3] directed[0] 114[0] minutes[0] of[0] cinema[0] hell[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
what makes this all wrong is that nobody seems to have what the film needs . 	what makes this all wrong is that nobody seems to have what the film needs .	1	-2	 what[0] makes[0] this[0] all[0] wrong[-1] is[0] that[0] nobody[0] seems[0] to[0] have[0] what[0] the[0] film[0] needs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
namely , talent ! 	namely , talent !	2	-1	 namely[0] talent[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
