plot : good ol' texan kid suddenly gets to play first-string quarterback on his high school team's football team , in a town where football is considered religion . 	Translation	Positive	Negative	EmotionRationale
the coach is just about the biggest a-hole you'd ever want to meet , who will do practically anything to win . 	the coach is just about the biggest a-hole you'd ever want to meet , who will do practically anything to win .	1	-1	 the[0] coach[0] is[0] just[0] about[0] the[0] biggest[0] a[0] hole[0] you'd[0] ever[0] want[0] to[0] meet[0] who[0] will[0] do[0] practically[0] anything[0] to[0] win[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the good ol' texan boy does not approve of said man's methods . 	the good ol' texan boy does not approve of said man's methods .	2	-1	 the[0] good[1] ol'[0] texan[0] boy[0] does[0] not[0] approve[0] of[0] said[0] man's[0] methods[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
critique : a fun football movie . 	critique : a fun football movie .	2	-1	 critique[0] a[0] fun[1] football[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this film was obviously geared towards the teen market , with mtv behind its production , a big tv star actor in the lead role , rockin' hip music galore , and plenty of t&a . 	this film was obviously geared towards the teen market , with mtv behind its production , a big tv star actor in the lead role , rockin' hip music galore , and plenty of t&a .	1	-1	 this[0] film[0] was[0] obviously[0] geared[0] towards[0] the[0] teen[0] market[0] with[0] mtv[0] behind[0] its[0] production[0] a[0] big[0] tv[0] star[0] actor[0] in[0] the[0] lead[0] role[0] rockin'[0] hip[0] music[0] galore[0] and[0] plenty[0] of[0] t&a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
having said that , i enjoyed the look and feel of the movie , thought james van der beek gave a solid performance , loved the slick sounds , and yup , loved that t&a ! 	having said that , i enjoyed the look and feel of the movie , thought james van der beek gave a solid performance , loved the slick sounds , and yup , loved that t&a !	4	-1	 having[0] said[0] that[0] i[0] enjoyed[2] the[0] look[0] and[0] feel[0] of[0] the[0] movie[0] thought[0] james[0] van[0] der[0] beek[0] gave[0] a[0] solid[0] performance[0] loved[3] the[0] slick[0] sounds[0] and[0] yup[0] loved[3] that[0] t&a[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i actually thought this was a comedy going in , but overall , it plays more towards the dramatic , than a comedy . 	i actually thought this was a comedy going in , but overall , it plays more towards the dramatic , than a comedy .	2	-1	 i[0] actually[0] thought[0] this[0] was[0] a[0] comedy[0] going[0] in[0] but[0] overall[0] it[0] plays[1] more[0] towards[0] the[0] dramatic[0] than[0] a[0] comedy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i also enjoyed jon voight's performance as the stubborn dick coach , as well as many of the other character players on the team . 	i also enjoyed jon voight's performance as the stubborn dick coach , as well as many of the other character players on the team .	3	-3	 i[0] also[0] enjoyed[2] jon[0] voight's[0] performance[0] as[0] the[0] stubborn[-2] dick[0] coach[0] as[0] well[0] as[0] many[0] of[0] the[0] other[0] character[0] players[0] on[0] the[0] team[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
this is not a classic film by any stretch of the imagination , but it might teach some kids the hard lessons behind the " fun " game of football , or just allow them to have a good time for about an hour and forty-five minutes in the movie theatre ( or in the comfort of their own home , depending on where you watch this stuff . ) 	this is not a classic film by any stretch of the imagination , but it might teach some kids the hard lessons behind the " fun " game of football , or just allow them to have a good time for about an hour and forty-five minutes in the movie theatre ( or in the comfort of their own home , depending on where you watch this stuff .<br> )	2	-1	 this[0] is[0] not[0] a[0] classic[0] film[0] by[0] any[0] stretch[0] of[0] the[0] imagination[0] but[0] it[0] might[0] teach[0] some[0] kids[0] the[0] hard[0] lessons[0] behind[0] the[0] fun[1] game[0] of[0] football[0] or[0] just[0] allow[0] them[0] to[0] have[0] a[0] good[1] time[0] for[0] about[0] an[0] hour[0] and[0] forty[0] five[0] minutes[0] in[0] the[0] movie[0] theatre[0] or[0] in[0] the[0] comfort[1] of[0] their[0] own[0] home[0] depending[0] on[0] where[0] you[0] watch[0] this[0] stuff[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all in all , i would definitely watch this movie if you like football , play football or want your kid to succeed in high school football . 	all in all , i would definitely watch this movie if you like football , play football or want your kid to succeed in high school football .	3	-1	 all[0] in[0] all[0] i[0] would[0] definitely[0] watch[0] this[0] movie[0] if[0] you[0] like[1] football[0] play[0] football[0] or[0] want[0] your[0] kid[0] to[0] succeed[2] in[0] high[0] school[0] football[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you could also watch it if you like teen flicks with a lot of cute guys and girls running around doing their stuff . 	you could also watch it if you like teen flicks with a lot of cute guys and girls running around doing their stuff .	2	-1	 you[0] could[0] also[0] watch[0] it[0] if[0] you[0] like[1] teen[0] flicks[0] with[0] a[0] lot[0] of[0] cute[1] guys[0] and[0] girls[0] running[0] around[0] doing[0] their[0] stuff[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and did i mention the t&a ? 	and did i mention the t&a ?	1	-1	 and[0] did[0] i[0] mention[0] the[0] t&a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 : ) 	 : )	1	-1	[[[0,0 max of sentences]]]
little known facts about this film and its stars : james van der beek actually started acting after a concussion stopped him from playing football in real life . 	little known facts about this film and its stars : james van der beek actually started acting after a concussion stopped him from playing football in real life .	2	-1	 little[0] known[0] facts[0] about[0] this[0] film[0] and[0] its[0] stars[0] james[0] van[0] der[0] beek[0] actually[0] started[0] acting[0] after[0] a[0] concussion[0] stopped[0] him[0] from[0] playing[1] football[0] in[0] real[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is the oldest of three children , and his father is a cellular phone salesman while his mom runs a gymnastics studio . 	he is the oldest of three children , and his father is a cellular phone salesman while his mom runs a gymnastics studio .	1	-1	 he[0] is[0] the[0] oldest[0] of[0] three[0] children[0] and[0] his[0] father[0] is[0] a[0] cellular[0] phone[0] salesman[0] while[0] his[0] mom[0] runs[0] a[0] gymnastics[0] studio[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's born in connecticut and received  200 , 000 for his role in this film . 	he's born in connecticut and received  200 , 00 for his role in this film .	1	-1	 he's[0] born[0] in[0] connecticut[0] and[0] received[0] 200[0] 000/00[0] for[0] his[0] role[0] in[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
actor scott caan , who plays football player " tweeder " in this film , is the son of famed actor james caan in real life . 	actor scot can , who plays football player " tweeder " in this film , is the son of famed actor james can in real life .	2	-1	 actor[0] scott/scot[0] caan/can[0] who[0] plays[1] football[0] player[0] tweeder[0] in[0] this[0] film[0] is[0] the[0] son[0] of[0] famed[0] actor[0] james[0] caan/can[0] in[0] real[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that's right , he's sonny's son ! 	that's right , he's sonny's son !	1	-1	 that's[0] right[0] he's[0] sonny's[0] son[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
actress amy smart , who plays van der beek's girlfriend in this movie , also played the main star's girl in the 1999 film outside providence ( 6 . 5/10 ) . 	actress amy smart , who plays van der beek's girlfriend in this movie , also played the main star's girl in the 199 film outside providence ( 6 .<br> 5/10 ) .	2	-1	 actress[0] amy[0] smart[1] who[0] plays[1] van[0] der[0] beek's[0] girlfriend[0] in[0] this[0] movie[0] also[0] played[0] the[0] main[0] star's[0] girl[0] in[0] the[0] 1999/199[0] film[0] outside[0] providence[0] 6[0] [[Sentence=-1,2=word max, 1-5]] 5/10[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
screenwriter w . peter iliff also had a part in writing the screenplays for the 1992 harrison ford film , patriot games , and the keanu reeves surfing flick , point break . 	screenwriter w .<br> peter iliff also had a part in writing the screenplays for the 1992 harrison ford film , patriot games , and the keanu reeves surfing flick , point break .	1	-1	 screenwriter[0] w[0] [[Sentence=-1,1=word max, 1-5]] peter[0] iliff[0] also[0] had[0] a[0] part[0] in[0] writing[0] the[0] screenplays[0] for[0] the[0] 1992[0] harrison[0] ford[0] film[0] patriot[0] games[0] and[0] the[0] keanu[0] reeves[0] surfing[0] flick[0] point[0] break[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director brian robbins might be best remembered as the " cool dude " from the tv series " head of the class " . 	director brian robins might be best remembered as the " cool dude " from the tv series " head of the class " .	2	-1	 director[0] brian[0] robbins/robins[0] might[0] be[0] best[1] remembered[0] as[0] the[0] cool[1] dude[0] from[0] the[0] tv[0] series[0] head[0] of[0] the[0] class[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
