after being hypnotized , a man believes there is a ghost in his house . 	Translation	Positive	Negative	EmotionRationale
the review 	the review	1	-1	 the[0] review[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
two low-key summer horror films have become surprise financial successes this year : the blair witch project and the sixth sense . 	two low-key summer horror films have become surprise financial successes this year : the blair witch project and the sixth sense .	3	-4	 two[0] low[-1] key[0] summer[0] horror[-3] films[0] have[0] become[0] surprise[0] financial[0] successes[2] this[0] year[0] the[0] blair[0] witch[0] project[0] and[0] the[0] sixth[0] sense[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
each has made well over  100 million in north america , based on a combination of strong word of mouth and clever advertising . 	each has made well over  100 million in north america , based on a combination of strong word of mouth and clever advertising .	1	-1	 each[0] has[0] made[0] well[0] over[0] 100[0] million[0] in[0] north[0] america[0] based[0] on[0] a[0] combination[0] of[0] strong[0] word[0] of[0] mouth[0] and[0] clever[0] advertising[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if a film's box office take were based primarily on its quality , stir of echoes would join blair and sense in grossing far more money than expected , for it is as scary , if not scarier than the other two . 	if a film's box office take were based primarily on its quality , stir of echoes would join blair and sense in grossing far more money than expected , for it is as scary , if not scarier than the other two .	1	-4	 if[0] a[0] film's[0] box[0] office[0] take[0] were[0] based[0] primarily[0] on[0] its[0] quality[0] stir[0] of[0] echoes[0] would[0] join[0] blair[0] and[0] sense[0] in[0] grossing[-1] far[0] more[0] money[0] than[0] expected[0] for[0] it[0] is[0] as[0] scary[-3] if[0] not[0] scarier[0] than[0] the[0] other[0] two[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
writer/director david koepp has given artisan entertainment , the folks who distributed blair witch a second creepy hit . 	writer/director david koep has given artisan entertainment , the folks who distributed blair witch a second creepy hit .	1	-1	 writer/director[0] david[0] koepp/koep[0] has[0] given[0] artisan[0] entertainment[0] the[0] folks[0] who[0] distributed[0] blair[0] witch[0] a[0] second[0] creepy[0] hit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story gets going after tom witzky ( bacon ) , an average blue-collar dad , gets hypnotized by his wife maggie's ( erbe ) sister lisa ( douglas ) at a party . 	the story gets going after tom witzky ( bacon ) , an average blue-collar dad , gets hypnotized by his wife maggie's ( erbe ) sister lisa ( douglas ) at a party .	1	-1	 the[0] story[0] gets[0] going[0] after[0] tom[0] witzky[0] bacon[0] an[0] average[0] blue[0] collar[0] dad[0] gets[0] hypnotized[0] by[0] his[0] wife[0] maggie's[0] erbe[0] sister[0] lisa[0] douglas[0] at[0] a[0] party[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while the hypnosis goes as expected to the party-goers , it triggers something in tom's head . 	while the hypnosis goes as expected to the party-goers , it triggers something in tom's head .	1	-1	 while[0] the[0] hypnosis[0] goes[0] as[0] expected[0] to[0] the[0] party[0] goers[0] it[0] triggers[0] something[0] in[0] tom's[0] head[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
things begin to change around him ( blinking red lights let off a strange hum , for example ) , and he fights to stay in control of his own senses . 	things begin to change around him ( blinking red lights let off a strange hum , for example ) , and he fights to stay in control of his own senses .	1	-3	 things[0] begin[0] to[0] change[0] around[0] him[0] blinking[0] red[0] lights[0] let[0] off[0] a[0] strange[0] hum[0] for[0] example[0] and[0] he[0] fights[-2] to[0] stay[0] in[0] control[0] of[0] his[0] own[0] senses[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
where these experiences take tom , maggie and their son jake ( cope ) , who tom thinks might have some answers , is down a dark path that will scare and disturb you . 	where these experiences take tom , maggie and their son jake ( cope ) , who tom thinks might have some answers , is down a dark path that will scare and disturb you .	1	-4	 where[0] these[0] experiences[0] take[0] tom[0] maggie[0] and[0] their[0] son[0] jake[0] cope[0] who[0] tom[0] thinks[0] might[0] have[0] some[0] answers[0] is[0] down[0] a[0] dark[0] path[0] that[0] will[0] scare[-3] and[0] disturb[-1] you[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
david koepp keeps the action localized ; the majority of the action takes place at tom's house or just down the street . 	david koep keeps the action localized ; the majority of the action takes place at tom's house or just down the street .	1	-1	 david[0] koepp/koep[0] keeps[0] the[0] action[0] localized[0] the[0] majority[0] of[0] the[0] action[0] takes[0] place[0] at[0] tom's[0] house[0] or[0] just[0] down[0] the[0] street[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
