robert redford is very good at playing characters who have incredible , god-given gifts , but are able to act like ordinary people . 	Translation	Positive	Negative	EmotionRationale
in " the natural " ( 1984 ) , he played the fallen angelic character of roy hobbs , the baseball player who was destined to be " the best there ever was , " but still acted like a humble farm boy . 	in " the natural " ( 1984 ) , he played the fallen angelic character of roy hobs , the baseball player who was destined to be " the best there ever was , " but still acted like a humble farm boy .	2	-1	 in[0] the[0] natural[0] 1984[0] he[0] played[0] the[0] fallen[0] angelic[1] character[0] of[0] roy[0] hobbs/hobs[0] the[0] baseball[0] player[0] who[0] was[0] destined[0] to[0] be[0] the[0] best[1] there[0] ever[0] was[0] but[0] still[0] acted[0] like[1] a[0] humble[0] farm[0] boy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in " butch cassidy and the sundance kid " ( 1969 ) , he was the most dangerous shot in the west , yet he came off like a nothing more than a boyishly good-looking charmer . 	in " butch cassidy and the sundance kid " ( 1969 ) , he was the most dangerous shot in the west , yet he came off like a nothing more than a boyishly good-looking charmer .	2	-2	 in[0] butch[0] cassidy[0] and[0] the[0] sundance[0] kid[0] 1969[0] he[0] was[0] the[0] most[0] dangerous[-1] shot[-1] in[0] the[0] west[0] yet[0] he[0] came[0] off[0] like[1] a[0] nothing[0] more[0] than[0] a[0] boyishly[0] good[1] looking[0] charmer[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
even in " indecent proposal " ( 1993 ) , where he played a man who was so good at making money that he believed he could buy love , redford was still able to exude an aura of shy decency , especially when reciting a tale of lost love . 	even in " indecent proposal " ( 1993 ) , where he played a man who was so good at making money that he believed he could buy love , redford was still able to exude an aura of shy decency , especially when reciting a tale of lost love .	3	-3	 even[0] in[0] indecent[-2] proposal[0] 1993[0] where[0] he[0] played[0] a[0] man[0] who[0] was[0] so[0] good[1] at[0] making[0] money[0] that[0] he[0] believed[0] he[0] could[0] buy[0] love[2] redford[0] was[0] still[0] able[0] to[0] exude[0] an[0] aura[0] of[0] shy[-2] decency[0] especially[0] when[0] reciting[0] a[0] tale[0] of[0] lost[0] love[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in his latest film , " the horse whisperer , " based on the best-selling novel by nicholas evans , redford again plays such a character . 	in his latest film , " the horse whisperer , " based on the best-selling novel by nicholas evans , redford again plays such a character .	2	-1	 in[0] his[0] latest[0] film[0] the[0] horse[0] whisperer[0] based[0] on[0] the[0] best[1] selling[0] novel[0] by[0] nicholas[0] evans[0] redford[0] again[0] plays[1] such[0] a[0] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
redford also directed the film although he swore up and down that he would never direct himself in a movie - i suppose the character of tom booker , a man who has the amazing gift of understanding and somehow communicating with horses , was just too good to pass up . 	redford also directed the film although he swore up and down that he would never direct himself in a movie - i suppose the character of tom booker , a man who has the amazing gift of understanding and somehow communicating with horses , was just too good to pass up .	3	-2	 redford[0] also[0] directed[0] the[0] film[0] although[0] he[0] swore[-1] up[0] and[0] down[0] that[0] he[0] would[0] never[0] direct[0] himself[0] in[0] a[0] movie[0] i[0] suppose[0] the[0] character[0] of[0] tom[0] booker[0] a[0] man[0] who[0] has[0] the[0] amazing[2] gift[0] of[0] understanding[0] and[0] somehow[0] communicating[0] with[0] horses[0] was[0] just[0] too[0] good[1] to[0] pass[0] up[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
despite his enormous and rare gift when it comes to training troubled horses ( a magazine article coins the phrase " horse whisperer " to describe his uncanny talent ) , booker sees himself as an everyday cattle rancher whose greatest fear is growing old and no longer having a purpose in life . 	despite his enormous and rare gift when it comes to training troubled horses ( a magazine article coins the phrase " horse whisperer " to describe his uncanny talent ) , booker sees himself as an everyday cattle rancher whose greatest fear is growing old and no longer having a purpose in life .	3	-4	 despite[0] his[0] enormous[0] and[0] rare[0] gift[0] when[0] it[0] comes[0] to[0] training[0] troubled[-1] horses[0] a[0] magazine[0] article[0] coins[0] the[0] phrase[0] horse[0] whisperer[0] to[0] describe[0] his[0] uncanny[0] talent[1] booker[0] sees[0] himself[0] as[0] an[0] everyday[0] cattle[0] rancher[0] whose[0] greatest[2] fear[-3] is[0] growing[0] old[0] and[0] no[0] longer[0] having[0] a[0] purpose[0] in[0] life[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
booker's talents are taxed into service by annie maclean ( kristin scott thomas ) , a new york magazine editor whose daughter , grace ( scarlett johansson ) , was recently in a horrible accident . 	booker's talents are taxed into service by annie maclean ( kristin scot thomas ) , a new york magazine editor whose daughter , grace ( scarlet johansson ) , was recently in a horrible accident .	3	-4	 booker's[0] talents[1] are[0] taxed[-1] into[0] service[0] by[0] annie[0] maclean[0] kristin[0] scott/scot[0] thomas[0] a[0] new[0] york[0] magazine[0] editor[0] whose[0] daughter[0] grace[2] scarlett/scarlet[0] johansson[0] was[0] recently[0] in[0] a[0] horrible[-3] accident[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the accident , which is filmed with gut-wrenching horror , happens when grace and her best friend are out riding horses - an eighteen-wheeler kills grace's friend , severely wounds and traumatizes grace's horse , pilgrim , and causes grace to lose part of her right leg . 	the accident , which is filmed with gut-wrenching horror , happens when grace and her best friend are out riding horses - an eighteen-wheeler kills grace's friend , severely wounds and traumatizes grace's horse , pilgrim , and causes grace to lose part of her right leg .	3	-4	 the[0] accident[-1] which[0] is[0] filmed[0] with[0] gut[0] wrenching[0] horror[-3] happens[0] when[0] grace[2] and[0] her[0] best[1] friend[1] are[0] out[0] riding[0] horses[0] an[0] eighteen[0] wheeler[0] kills[0] grace's[0] friend[1] severely[-1] wounds[-1] and[0] traumatizes[-3] grace's[0] horse[0] pilgrim[0] and[0] causes[0] grace[2] to[0] lose[-1] part[0] of[0] her[0] right[0] leg[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
annie believes that if pilgrim can be healed , grace will be healed as well , which leads her to booker . 	annie believes that if pilgrim can be healed , grace will be healed as well , which leads her to booker .	3	-1	 annie[0] believes[0] that[0] if[0] pilgrim[0] can[0] be[0] healed[0] grace[2] will[0] be[0] healed[0] as[0] well[0] which[0] leads[0] her[0] to[0] booker[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
at first , she tries to get booker to come to new york to see the horse , but that doesn't work . 	at first , she tries to get booker to come to new york to see the horse , but that doesn't work .	1	-1	 at[0] first[0] she[0] tries[0] to[0] get[0] booker[0] to[0] come[0] to[0] new[0] york[0] to[0] see[0] the[0] horse[0] but[0] that[0] doesn't[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
