no humans were harmed , tested or tasted in the making of this film . 	Translation	Positive	Negative	EmotionRationale
all recipes are fictions . 	all recipes are fictions .	1	-1	 all[0] recipes[0] are[0] fictions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
twentieth century fox does not condone cannibalism . 	twentieth century fox does not condone cannibalism .	2	-1	 twentieth[0] century[0] fox[0] does[0] not[0] condone[0] cannibalism[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a psychological thriller that will scare you to the depth of your soul ! 	a psychological thriller that will scare you to the depth of your soul !	2	-4	 a[0] psychological[0] thriller[1] that[0] will[0] scare[-3] you[0] to[0] the[0] depth[0] of[0] your[0] soul[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
director/writer antonia bird shows us that the most terrifying horror is not provided by giant beasts , but instead by monsters lurking in ourselves . . 	director/writer antonia bird shows us that the most terrifying horror is not provided by giant beasts , but instead by monsters lurking in ourselves .<br> .	1	-5	 director/writer[0] antonia[0] bird[0] shows[0] us[0] that[0] the[0] most[0] terrifying[-3] horror[-3][-1 MultiplePositiveWords] is[0] not[0] provided[0] by[0] giant[0] beasts[0] but[0] instead[0] by[0] monsters[0] lurking[0] in[0] ourselves[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
 " . . they were a party of settlers in covered wagon times and they had to resent to cannibalism in order to stay alive . . " 	 " .<br> .<br> they were a party of settlers in covered wagon times and they had to resent to cannibalism in order to stay alive .<br> .<br> "	1	-3	 they[0] were[0] a[0] party[0] of[0] settlers[0] in[0] covered[0] wagon[0] times[0] and[0] they[0] had[0] to[0] resent[-2] to[0] cannibalism[-1] in[0] order[0] to[0] stay[0] alive[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this true story , briefly mentioned in " the shining " , has no turned into a 143 minutes long motion picture . 	this true story , briefly mentioned in " the shining " , has no turned into a 143 minutes long motion picture .	2	-1	 this[0] true[1] story[0] briefly[0] mentioned[0] in[0] the[0] shining[0] has[0] no[0] turned[0] into[0] a[0] 143[0] minutes[0] long[0] motion[0] picture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in 1847 , the united states was a land of pioneers , of gold-starved americans making their way west . 	in 1847 , the united states was a land of pioneers , of gold-starved americans making their way west .	1	-2	 in[0] 1847[0] the[0] united[0] states[0] was[0] a[0] land[0] of[0] pioneers[0] of[0] gold[0] starved[-1] americans[0] making[0] their[0] way[0] west[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it was a period of manifest destiny , the inevitability of the country extending its boundaries , stretching out its arms and consuming all the land it could . 	it was a period of manifest destiny , the inevitability of the country extending its boundaries , stretching out its arms and consuming all the land it could .	1	-1	 it[0] was[0] a[0] period[0] of[0] manifest[0] destiny[0] the[0] inevitability[0] of[0] the[0] country[0] extending[0] its[0] boundaries[0] stretching[0] out[0] its[0] arms[0] and[0] consuming[0] all[0] the[0] land[0] it[0] could[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
capt . john boyd ( guy pearce ) has become both a " hero " and a victim during this period of relentless consumption . . . 	capt .<br> john boyd ( guy pearce ) has become both a " hero " and a victim during this period of relentless consumption .<br> .<br> .	3	-3	 capt[0] [[Sentence=-1,1=word max, 1-5]] john[0] boyd[0] guy[0] pearce[0] has[0] become[0] both[0] a[0] hero[2] and[0] a[0] victim[-2] during[0] this[0] period[0] of[0] relentless[0] consumption[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in ways he could never have imagined . 	in ways he could never have imagined .	1	-1	 in[0] ways[0] he[0] could[0] never[0] have[0] imagined[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
