are we victims of fate in life or can we create our own destiny ? 	Translation	Positive	Negative	EmotionRationale
director/writer brad anderson seems to be saying yes to both questions in his witty film " next stop wonderland " . 	director/writer brad anderson seems to be saying yes to both questions in his witty film " next stop wonderland " .	1	-1	 director/writer[0] brad[0] anderson[0] seems[0] to[0] be[0] saying[0] yes[0] to[0] both[0] questions[0] in[0] his[0] witty[0] film[0] next[0] stop[0] wonderland[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the two main characters , alan and erin , spend the entire movie in each other's orbit , catching glimpses of one another , yet not quite connecting until the inevitable conclusion . 	the two main characters , alan and erin , spend the entire movie in each other's orbit , catching glimpses of one another , yet not quite connecting until the inevitable conclusion .	1	-1	 the[0] two[0] main[0] characters[0] alan[0] and[0] erin[0] spend[0] the[0] entire[0] movie[0] in[0] each[0] other's[0] orbit[0] catching[0] glimpses[0] of[0] one[0] another[0] yet[0] not[0] quite[0] connecting[0] until[0] the[0] inevitable[0] conclusion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is it fate that keeps them near each other and ultimately puts them together ? 	is it fate that keeps them near each other and ultimately puts them together ?	1	-1	 is[0] it[0] fate[0] that[0] keeps[0] them[0] near[0] each[0] other[0] and[0] ultimately[0] puts[0] them[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
does this predestination carry over to all aspects of life ? 	does this predestination carry over to all aspects of life ?	1	-1	 does[0] this[0] predestination[0] carry[0] over[0] to[0] all[0] aspects[0] of[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the film starts , erin castleton ( hope davis ) , a melancholy 29- year old late shift nurse , is ending her live-in relationship with her boyfriend ( hoffman ) . 	as the film starts , erin castleton ( hope davis ) , a melancholy 29- year old late shift nurse , is ending her live-in relationship with her boyfriend ( hoffman ) .	3	-4	 as[0] the[0] film[0] starts[0] erin[0] castleton[0] hope[2] davis[0] a[0] melancholy[-3] 29[0] year[0] old[0] late[0] shift[0] nurse[0] is[0] ending[0] her[0] live[0] in[0] relationship[0] with[0] her[0] boyfriend[0] hoffman[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
rather , he is ending it with her . 	rather , he is ending it with her .	1	-1	 rather[0] he[0] is[0] ending[0] it[0] with[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
arriving home from work , erin finds her boyfriend parked in front of their apartment , car packed with his belongings . 	arriving home from work , erin finds her boyfriend parked in front of their apartment , car packed with his belongings .	1	-1	 arriving[0] home[0] from[0] work[0] erin[0] finds[0] her[0] boyfriend[0] parked[0] in[0] front[0] of[0] their[0] apartment[0] car[0] packed[0] with[0] his[0] belongings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a fumbling , amusing and self deluding ramble , he instructs erin to watch a videotape he's made detailing why their relationship is doomed to fail and why he's leaving . 	in a fumbling , amusing and self deluding ramble , he instructs erin to watch a videotape he's made detailing why their relationship is doomed to fail and why he's leaving .	2	-3	 in[0] a[0] fumbling[0] amusing[1] and[0] self[0] deluding[0] ramble[-1] he[0] instructs[0] erin[0] to[0] watch[0] a[0] videotape[0] he's[0] made[0] detailing[0] why[0] their[0] relationship[0] is[0] doomed[-1] to[0] fail[-2] and[0] why[0] he's[0] leaving[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's obvious he lacks the courage to confront her directly as he rails on about accomplishing something with his life and taking a stand , all the while backpedaling his way out of their relationship . 	it's obvious he lacks the courage to confront her directly as he rails on about accomplishing something with his life and taking a stand , all the while backpedaling his way out of their relationship .	2	-3	 it's[0] obvious[0] he[0] lacks[0] the[0] courage[1] to[0] confront[-2] her[0] directly[0] as[0] he[0] rails[0] on[0] about[0] accomplishing[1] something[0] with[0] his[0] life[0] and[0] taking[0] a[0] stand[0] all[0] the[0] while[0] backpedaling[0] his[0] way[0] out[0] of[0] their[0] relationship[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he then flees the scene with the grace of an inept thief . 	he then flees the scene with the grace of an inept thief .	3	-2	 he[0] then[0] flees[-1] the[0] scene[0] with[0] the[0] grace[2] of[0] an[0] inept[0] thief[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
