the happy bastard's 30-second review 	Translation	Positive	Negative	EmotionRationale
big daddy 	big daddy	1	-1	 big[0] daddy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
happy gilmore as a father ? 	happy gilmore as a father ?	2	-1	 happy[1] gilmore[0] as[0] a[0] father[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of course ! 	of course !	1	-1	 of[0] course[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's the latest scenario presented by adam sandler in the new movie big daddy , a movie that's passable but isn't really considered some of sandler's best work . 	that's the latest scenario presented by adam sandler in the new movie big daddy , a movie that's passable but isn't really considered some of sandler's best work .	2	-1	 that's[0] the[0] latest[0] scenario[0] presented[0] by[0] adam[0] sandler[0] in[0] the[0] new[0] movie[0] big[0] daddy[0] a[0] movie[0] that's[0] passable[0] but[0] isn't[0] really[0] considered[0] some[0] of[0] sandler's[0] best[1] work[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he doesn't actually play happy gilmore in the movie , but a variation of him . 	he doesn't actually play happy gilmore in the movie , but a variation of him .	2	-1	 he[0] doesn't[0] actually[0] play[0] happy[1] gilmore[0] in[0] the[0] movie[0] but[0] a[0] variation[0] of[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's sonny coufax , a man who's living off a settlement he got for a cab running over his foot and his one-day-a-week gig as a tollbooth man ( tollbooth willie ? ) . 	he's sonny coufax , a man who's living off a settlement he got for a cab running over his foot and his one-day-a-week gig as a tolbooth man ( tolbooth willie ?<br> ) .	1	-1	 he's[0] sonny[0] coufax[0] a[0] man[0] who's[0] living[0] off[0] a[0] settlement[0] he[0] got[0] for[0] a[0] cab[0] running[0] over[0] his[0] foot[0] and[0] his[0] one[0] day[0] a[0] week[0] gig[0] as[0] a[0] tollbooth/tolbooth[0] man[0] tollbooth/tolbooth[0] willie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his girlfriend ( kristy swanson ) is fed up with his lifestyle and demands a change before she leaves him . 	his girlfriend ( kristy swanson ) is fed up with his lifestyle and demands a change before she leaves him .	1	-1	 his[0] girlfriend[0] kristy[0] swanson[0] is[0] fed[0] up[0] with[0] his[0] lifestyle[0] and[0] demands[0] a[0] change[0] before[0] she[0] leaves[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
enter a 5-year old kid , who's mysteriously dropped at his doorstep and intended for his preppy roommate ( jon stewart ) , who's off in china on a business trip . 	enter a 5-year old kid , who's mysteriously dropped at his doorstep and intended for his preppy roommate ( jon stewart ) , who's off in china on a business trip .	1	-1	 enter[0] a[0] 5[0] year[0] old[0] kid[0] who's[0] mysteriously[0] dropped[0] at[0] his[0] doorstep[0] and[0] intended[0] for[0] his[0] preppy[0] roommate[0] jon[0] stewart[0] who's[0] off[0] in[0] china[0] on[0] a[0] business[0] trip[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from there , coufax basically acts as the kid's father , teaching him different things like peeing on the side of a building and tripping up skateboarders with sticks . 	from there , coufax basically acts as the kid's father , teaching him different things like peeing on the side of a building and tripping up skateboarders with sticks .	2	-1	 from[0] there[0] coufax[0] basically[0] acts[0] as[0] the[0] kid's[0] father[0] teaching[0] him[0] different[0] things[0] like[1] peeing[0] on[0] the[0] side[0] of[0] a[0] building[0] and[0] tripping[0] up[0] skateboarders[0] with[0] sticks[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he even manages to use the kid in a sort of con game to get the attention of a beautiful law office worker ( joey lauren adams ) , but , somehow , he also garners the attention of social services , who aren't particularly pleased with coufax's actions , as he pretends to be his roommate to keep the kid . 	he even manages to use the kid in a sort of con game to get the attention of a beautiful law office worker ( joey lauren adams ) , but , somehow , he also garners the attention of social services , who aren't particularly pleased with coufax's actions , as he pretends to be his roommate to keep the kid .	3	-2	 he[0] even[0] manages[0] to[0] use[0] the[0] kid[0] in[0] a[0] sort[0] of[0] con[0] game[0] to[0] get[0] the[0] attention[0] of[0] a[0] beautiful[2] law[0] office[0] worker[0] joey[0] lauren[0] adams[0] but[0] somehow[0] he[0] also[0] garners[0] the[0] attention[0] of[0] social[0] services[0] who[0] aren't[0] particularly[0] pleased[1][NegatedDueToPreviousWord] with[0] coufax's[0] actions[0] as[0] he[0] pretends[0] to[0] be[0] his[0] roommate[0] to[0] keep[0] the[0] kid[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
