seen september 13 , 1998 at 4 p . m at rotterdam square mall cinema 6 , theater #2 , with chris wessell for free using my sony/loews critic's pass . 	Translation	Positive	Negative	EmotionRationale
[theater rating : * * 1/2 : good seats , average sound , picture unstable] 	[theater rating : * * 1/2 : good seats , average sound , picture unstable]	2	-1	 [theater[0] rating[0] 1/2[0] good[1] seats[0] average[0] sound[0] picture[0] unstable][0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " rounders " is exactly the kind of movie parents don't want their kids to see . 	 " rounders " is exactly the kind of movie parents don't want their kids to see .	2	-1	 rounders[0] is[0] exactly[0] the[0] kind[1] of[0] movie[0] parents[0] don't[0] want[0] their[0] kids[0] to[0] see[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's not that it's a drunken orgy of sex and violence , but because it's a film that flat-out says you can make a career out of gambling . 	it's not that it's a drunken orgy of sex and violence , but because it's a film that flat-out says you can make a career out of gambling .	1	-4	 it's[0] not[0] that[0] it's[0] a[0] drunken[-1] orgy[0] of[0] sex[0] and[0] violence[-3] but[0] because[0] it's[0] a[0] film[0] that[0] flat[0] out[0] says[0] you[0] can[0] make[0] a[0] career[0] out[0] of[0] gambling[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and to take make things " worse " it proves this through its original , fascinating story . 	and to take make things " worse " it proves this through its original , fascinating story .	1	-3	 and[0] to[0] take[0] make[0] things[0] worse[-2] it[0] proves[0] this[0] through[0] its[0] original[0] fascinating[0] story[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there have been countless crime films both past and present that evoke the " noir " mood , that is , the dark , shady atmosphere where the vices of the world become more fascinating on screen than they would in real life . 	there have been countless crime films both past and present that evoke the " noir " mood , that is , the dark , shady atmosphere where the vices of the world become more fascinating on screen than they would in real life .	1	-2	 there[0] have[0] been[0] countless[0] crime[-1] films[0] both[0] past[0] and[0] present[0] that[0] evoke[0] the[0] noir[0] mood[0] that[0] is[0] the[0] dark[0] shady[-1] atmosphere[0] where[0] the[0] vices[0] of[0] the[0] world[0] become[0] more[0] fascinating[0] on[0] screen[0] than[0] they[0] would[0] in[0] real[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this film starts off in the tradiational noir style , introducing us to the underworld of modern gambling where the stakes are high and so is the price for losing . 	this film starts off in the tradiational noir style , introducing us to the underworld of modern gambling where the stakes are high and so is the price for losing .	1	-3	 this[0] film[0] starts[0] off[0] in[0] the[0] tradiational[0] noir[0] style[0] introducing[0] us[0] to[0] the[0] underworld[-1] of[0] modern[0] gambling[0] where[0] the[0] stakes[0] are[0] high[0] and[0] so[0] is[0] the[0] price[0] for[0] losing[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
matt damon stars as mike mcdermott , a 20-something law student in present-day new york city who tells us how the game of poker is really played . 	matt damon stars as mike mcdermott , a 20-something law student in present-day new york city who tells us how the game of poker is really played .	1	-1	 matt[0] damon[0] stars[0] as[0] mike[0] mcdermott[0] a[0] 20[0] something[0] law[0] student[0] in[0] present[0] day[0] new[0] york[0] city[0] who[0] tells[0] us[0] how[0] the[0] game[0] of[0] poker[0] is[0] really[0] played[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
damon narrates throughout the film , but the entire opening scene is voiced-over so perfectly to completely and totally define the setting . 	damon narrates throughout the film , but the entire opening scene is voiced-over so perfectly to completely and totally define the setting .	2	-1	 damon[0] narrates[0] throughout[0] the[0] film[0] but[0] the[0] entire[0] opening[0] scene[0] is[0] voiced[0] over[0] so[0] perfectly[1] to[0] completely[0] and[0] totally[0] define[0] the[0] setting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mike's about to go up against teddy kgb ( malkovich ) , a russian gangster who looks like a serial killer . 	mike's about to go up against teddy kgb ( malkovich ) , a russian gangster who looks like a serial killer .	2	-2	 mike's[0] about[0] to[0] go[0] up[0] against[-1] teddy[0] kgb[0] malkovich[0] a[0] russian[0] gangster[0] who[0] looks[0] like[1] a[0] serial[0] killer[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but then again , he practically is one and the film does everything to convey that sense - the look in his eyes , his slow movements , his intricate mannerisms - all combined with the classic noir cinematography of isolated brightness within the darkness of the underworld ( literally ) . 	but then again , he practically is one and the film does everything to convey that sense - the look in his eyes , his slow movements , his intricate mannerisms - all combined with the classic noir cinematography of isolated brightness within the darkness of the underworld ( literally ) .	1	-2	 but[0] then[0] again[0] he[0] practically[0] is[0] one[0] and[0] the[0] film[0] does[0] everything[0] to[0] convey[0] that[0] sense[0] the[0] look[0] in[0] his[0] eyes[0] his[0] slow[0] movements[0] his[0] intricate[0] mannerisms[0] all[0] combined[0] with[0] the[0] classic[0] noir[0] cinematography[0] of[0] isolated[-1] brightness[0] within[0] the[0] darkness[0] of[0] the[0] underworld[-1] literally[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
