in many ways , " twotg " does for tough-guy movies what la confidential did for police stories . 	Translation	Positive	Negative	EmotionRationale
there's savviness in its writing and a mature patience in allowing the material to unfold . 	there's saviness in its writing and a mature patience in allowing the material to unfold .	1	-1	 there's[0] savviness/saviness[0] in[0] its[0] writing[0] and[0] a[0] mature[0] patience[0] in[0] allowing[0] the[0] material[0] to[0] unfold[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , i suppose , we wouldn't expect less from christopher mcquarrie , who was responsible for giving us " the usual suspects " . 	but , i suppose , we wouldn't expect less from christopher mcquarrie , who was responsible for giving us " the usual suspects " .	1	-1	 but[0] i[0] suppose[0] we[0] wouldn't[0] expect[0] less[0] from[0] christopher[0] mcquarrie[0] who[0] was[0] responsible[0] for[0] giving[0] us[0] the[0] usual[0] suspects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his writing talents are still in tact as he brings to us a bloody yet intellectual tale of two unabashed but dimwitted thugs and a plan gone awry . 	his writing talents are still in tact as he brings to us a bloody yet intellectual tale of two unabashed but dimwitted thugs and a plan gone awry .	2	-2	 his[0] writing[0] talents[1] are[0] still[0] in[0] tact[0] as[0] he[0] brings[0] to[0] us[0] a[0] bloody[-1] yet[0] intellectual[0] tale[0] of[0] two[0] unabashed[0] but[0] dimwitted[-1] thugs[0] and[0] a[0] plan[0] gone[0] awry[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the two goons are parker and longbaugh ( ryan phillipe and benicio del toro ) . 	the two goons are parker and longbaugh ( ryan phillipe and benicio del toro ) .	1	-1	 the[0] two[0] goons[0] are[0] parker[0] and[0] longbaugh[0] ryan[0] phillipe[0] and[0] benicio[0] del[0] toro[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these two men show the hardened wear of those who have always had it tough . 	these two men show the hardened wear of those who have always had it tough .	1	-2	 these[0] two[0] men[0] show[0] the[0] hardened[0] wear[0] of[0] those[0] who[0] have[0] always[0] had[0] it[0] tough[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
their troubled youths have forged two nihilistic souls who use their amazing gunplay skills to survive . 	their troubled youths have forged two nihilistic souls who use their amazing gunplay skills to survive .	3	-2	 their[0] troubled[-1] youths[0] have[0] forged[0] two[0] nihilistic[0] souls[0] who[0] use[0] their[0] amazing[2] gunplay[-1] skills[0] to[0] survive[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
given the choice of minimum wage or petty crime , they'll always choose the latter . 	given the choice of minimum wage or petty crime , they'll always choose the latter .	1	-2	 given[0] the[0] choice[0] of[0] minimum[0] wage[0] or[0] petty[0] crime[-1] they'll[0] always[0] choose[0] the[0] latter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yet , they are incredibly foolish planners . 	yet , they are incredibly foolish planners .	1	-4	 yet[0] they[0] are[0] incredibly[0] foolish[-1][-2 LastWordBoosterStrength] planners[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
actually , these two never really have a plan . 	actually , these two never really have a plan .	1	-1	 actually[0] these[0] two[0] never[0] really[0] have[0] a[0] plan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they just improvise along the way , hoping that their bravado and arsenal of guns will take care of anything that they might have overlooked . 	they just improvise along the way , hoping that their bravado and arsenal of guns will take care of anything that they might have overlooked .	2	-2	 they[0] just[0] improvise[0] along[0] the[0] way[0] hoping[1] that[0] their[0] bravado[-1] and[0] arsenal[0] of[0] guns[-1] will[0] take[0] care[1] of[0] anything[0] that[0] they[0] might[0] have[0] overlooked[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
their next scheme , which they cook up about as fast as a mcdonald's burger , is to kidnap some surrogate mother named robin ( juliette lewis ) that was hired by some well-to-do family . 	their next scheme , which they cook up about as fast as a mcdonald's burger , is to kidnap some surrogate mother named robin ( juliette lewis ) that was hired by some well-to-do family .	1	-2	 their[0] next[0] scheme[0] which[0] they[0] cook[0] up[0] about[0] as[0] fast[0] as[0] a[0] mcdonald's[0] burger[0] is[0] to[0] kidnap[-1] some[0] surrogate[0] mother[0] named[0] robin[0] juliette[0] lewis[0] that[0] was[0] hired[0] by[0] some[0] well[0] to[0] do[0] family[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if all goes well , they'll receive a nice bit of ransom money and life goes on . 	if all goes well , they'll receive a nice bit of ransom money and life goes on .	2	-1	 if[0] all[0] goes[0] well[0] they'll[0] receive[0] a[0] nice[1] bit[0] of[0] ransom[0] money[0] and[0] life[0] goes[0] on[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what parker and longbaugh do not realize is that robin is carrying a baby for the chidduck family , whose patriarch is a feared crime boss . 	what parker and longbaugh do not realize is that robin is carrying a baby for the chidduck family , whose patriarch is a feared crime boss .	2	-3	 what[0] parker[0] and[0] longbaugh[0] do[0] not[0] realize[0] is[0] that[0] robin[0] is[0] carrying[0] a[0] baby[1] for[0] the[0] chidduck[0] family[0] whose[0] patriarch[0] is[0] a[0] feared[-2] crime[-1] boss[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
moreover , two bodyguards ( nicky katt and taye diggs ) constantly escort her . 	moreover , two bodyguards ( nicky katt and taye digs ) constantly escort her .	1	-1	 moreover[0] two[0] bodyguards[0] nicky[0] katt[0] and[0] taye[0] diggs/digs[0] constantly[0] escort[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these two protectors find an eerie sense of pleasure when being confronted and tested in life and death situations . 	these two protectors find an eerie sense of pleasure when being confronted and tested in life and death situations .	3	-3	 these[0] two[0] protectors[0] find[0] an[0] eerie[0] sense[0] of[0] pleasure[2] when[0] being[0] confronted[-2] and[0] tested[0] in[0] life[0] and[0] death[-2] situations[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
they would rather die than fail ; thus their bravado level is equally high . 	they would rather die than fail ; thus their bravado level is equally high .	1	-3	 they[0] would[0] rather[0] die[0] than[0] fail[-2] thus[0] their[0] bravado[-1] level[0] is[0] equally[0] high[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but it seems that the testosterone levels of parker and longbaugh are a bit higher , and they employ some unusual but fun-to-watch tactics to pull off the kidnapping and to outrun the pursuers in a sort of slow-motion car chase down a series of alleyways . 	but it seems that the testosterone levels of parker and longbaugh are a bit higher , and they employ some unusual but fun-to-watch tactics to pull off the kidnapping and to outrun the pursuers in a sort of slow-motion car chase down a series of alleyways .	2	-2	 but[0] it[0] seems[0] that[0] the[0] testosterone[0] levels[0] of[0] parker[0] and[0] longbaugh[0] are[0] a[0] bit[0] higher[0] and[0] they[0] employ[0] some[0] unusual[0] but[0] fun[1] to[0] watch[0] tactics[0] to[0] pull[0] off[0] the[0] kidnapping[0] and[0] to[0] outrun[0] the[0] pursuers[0] in[0] a[0] sort[0] of[0] slow[0] motion[0] car[0] chase[-1] down[0] a[0] series[0] of[0] alleyways[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the next hour or so , we watch the chidduck camp regroup and assess their situation . 	the next hour or so , we watch the chidduck camp regroup and assess their situation .	1	-1	 the[0] next[0] hour[0] or[0] so[0] we[0] watch[0] the[0] chidduck[0] camp[0] regroup[0] and[0] assess[0] their[0] situation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
during this time , additional plot lines come into play and more and more details are revealed . 	during this time , additional plot lines come into play and more and more details are revealed .	1	-1	 during[0] this[0] time[0] additional[0] plot[0] lines[0] come[0] into[0] play[0] and[0] more[0] and[0] more[0] details[0] are[0] revealed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because the chidduck's can not go to the police and because of the special circumstances involving the kidnapping , we are introduced to more characters that will help to influence the outcome . 	because the chidduck's can not go to the police and because of the special circumstances involving the kidnapping , we are introduced to more characters that will help to influence the outcome .	2	-1	 because[0] the[0] chidduck's[0] can[0] not[0] go[0] to[0] the[0] police[0] and[0] because[0] of[0] the[0] special[1] circumstances[0] involving[0] the[0] kidnapping[0] we[0] are[0] introduced[0] to[0] more[0] characters[0] that[0] will[0] help[0] to[0] influence[0] the[0] outcome[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we discover that not everyone in the chidduck camp is loyal to the cause . 	we discover that not everyone in the chidduck camp is loyal to the cause .	2	-1	 we[0] discover[0] that[0] not[0] everyone[0] in[0] the[0] chidduck[0] camp[0] is[0] loyal[1] to[0] the[0] cause[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as a result , there are undercurrents of a conspiracy , and elements of betrayal and subterfuge . 	as a result , there are undercurrents of a conspiracy , and elements of betrayal and subterfuge .	1	-3	 as[0] a[0] result[0] there[0] are[0] undercurrents[0] of[0] a[0] conspiracy[-1] and[0] elements[0] of[0] betrayal[-2] and[0] subterfuge[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the sepia-toned atmosphere is made all the more fascinating thanks to a terrific soundtrack which emits velvet forebodings , shrills of intrigue and crescendos that tell us of life and death situations that are about to occur . 	the sepia-toned atmosphere is made all the more fascinating thanks to a terrific soundtrack which emits velvet forebodings , shrills of intrigue and crescendos that tell us of life and death situations that are about to occur .	4	-3	 the[0] sepia[0] toned[0] atmosphere[0] is[0] made[0] all[0] the[0] more[0] fascinating[0] thanks[1] to[0] a[0] terrific[3] soundtrack[0] which[0] emits[0] velvet[0] forebodings[0] shrills[-1] of[0] intrigue[0] and[0] crescendos[0] that[0] tell[0] us[0] of[0] life[0] and[0] death[-2] situations[0] that[0] are[0] about[0] to[0] occur[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the momentum and the coolness of the film , however , begins to fizzle in the last 30 minutes , which featured an overly extended shootout where our two desperados try to make their way off with the ransom money . 	the momentum and the coolness of the film , however , begins to fizle in the last 30 minutes , which featured an overly extended shootout where our two desperados try to make their way off with the ransom money .	1	-2	 the[0] momentum[0] and[0] the[0] coolness[-1] of[0] the[0] film[0] however[0] begins[0] to[0] fizzle/fizle[0] in[0] the[0] last[0] 30[0] minutes[0] which[0] featured[0] an[0] overly[0] extended[0] shootout[-1] where[0] our[0] two[0] desperados[0] try[0] to[0] make[0] their[0] way[0] off[0] with[0] the[0] ransom[0] money[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
