the farrelly brothers' third film , after dumb and dumber ( 7 . 5/10 ) and kingpin ( 8/10 ) , brings together the real-life couple of cameron diaz and matt dillon , some nasty humour , a cute dog , and a mix of love , fate and romance . 	Translation	Positive	Negative	EmotionRationale
plot : high-school nerd ted gets lucky when the cutest girl in his class asks him to the prom . 	plot : high-school nerd ted gets lucky when the cutest girl in his class asks him to the prom .	2	-3	 plot[0] high[0] school[0] nerd[-2] ted[0] gets[0] lucky[1] when[0] the[0] cutest[1] girl[0] in[0] his[0] class[0] asks[0] him[0] to[0] the[0] prom[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
unfortunately for ted , he accidentally gets a part of his male anatomy ( ouch ! ) 	unfortunately for ted , he accidentally gets a part of his male anatomy ( ouch !<br> )	1	-2	 unfortunately[-1] for[0] ted[0] he[0] accidentally[-1] gets[0] a[0] part[0] of[0] his[0] male[0] anatomy[0] ouch[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
caught in his zipper , and misses the big night . 	caught in his zipper , and misses the big night .	1	-3	 caught[0] in[0] his[0] zipper[0] and[0] misses[-2] the[0] big[0] night[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
thirteen years later , ted still can't get mary out of his mind , and hires a private detective ( dillon ) to find her . 	thirteen years later , ted still can't get mary out of his mind , and hires a private detective ( dillon ) to find her .	1	-1	 thirteen[0] years[0] later[0] ted[0] still[0] can't[0] get[0] mary[0] out[0] of[0] his[0] mind[0] and[0] hires[0] a[0] private[0] detective[0] dillon[0] to[0] find[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once found , it turns out that mary has more than one suitor , and that's when the real fun begins . 	once found , it turns out that mary has more than one suitor , and that's when the real fun begins .	2	-1	 once[0] found[0] it[0] turns[0] out[0] that[0] mary[0] has[0] more[0] than[0] one[0] suitor[0] and[0] that's[0] when[0] the[0] real[0] fun[1] begins[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
critique : likeable comedy with a few extremely funny scenes , some funny looking people , and a plot that won't ever put you to sleep . 	critique : likeable comedy with a few extremely funny scenes , some funny looking people , and a plot that won't ever put you to sleep .	4	-1	 critique[0] likeable[2] comedy[0] with[0] a[0] few[0] extremely[0] funny[1][2 LastWordBoosterStrength] scenes[0] some[0] funny[1][-1 LastWordBoosterStrength] looking[0] people[0] and[0] a[0] plot[0] that[0] won't[0] ever[0] put[0] you[0] to[0] sleep[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
having said that , i must admit that i did like the farrellys' two previous films more than this one , but that is saying a lot , since i really did love those earlier pics . 	having said that , i must admit that i did like the farrellys' two previous films more than this one , but that is saying a lot , since i really did love those earlier pics .	2	-1	 having[0] said[0] that[0] i[0] must[0] admit[0] that[0] i[0] did[0] like[1][-1 LastWordBoosterStrength] the[0] farrellys'[0] two[0] previous[0] films[0] more[0] than[0] this[0] one[0] but[0] that[0] is[0] saying[0] a[0] lot[0] since[0] i[0] really[0] did[0] love[2][-1 LastWordBoosterStrength] those[0] earlier[0] pics[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this one is also quite funny , but it didn't really blow me away like the others . 	this one is also quite funny , but it didn't really blow me away like the others .	2	-1	 this[0] one[0] is[0] also[0] quite[0] funny[1] but[0] it[0] didn't[0] really[0] blow[0] me[0] away[0] like[1] the[0] others[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
then again , maybe my expectations were too high . 	then again , maybe my expectations were too high .	1	-1	 then[0] again[0] maybe[0] my[0] expectations[0] were[0] too[0] high[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then again , maybe i should shut up , and write a little more about the film , and less about my supposed subconscious reasons for liking/disliking the film . 	then again , maybe i should shut up , and write a little more about the film , and less about my supposed subconscious reasons for liking/disliking the film .	1	-1	 then[0] again[0] maybe[0] i[0] should[0] shut[0] up[0] and[0] write[0] a[0] little[0] more[0] about[0] the[0] film[0] and[0] less[0] about[0] my[0] supposed[0] subconscious[0] reasons[0] for[0] liking/disliking[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
continuing where their other pictures left off , the farrellys' create a cutesy world of people with strange and endearing qualities , and a simple plot by which to tie them all together . 	continuing where their other pictures left off , the farrellys' create a cutesy world of people with strange and endearing qualities , and a simple plot by which to tie them all together .	2	-1	 continuing[0] where[0] their[0] other[0] pictures[0] left[0] off[0] the[0] farrellys'[0] create[0] a[0] cutesy[1] world[0] of[0] people[0] with[0] strange[0] and[0] endearing[0] qualities[0] and[0] a[0] simple[0] plot[0] by[0] which[0] to[0] tie[0] them[0] all[0] together[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this one also includes plenty of toilet humour , but also some borderline fun-making of the disabled and mentally-challenged . 	this one also includes plenty of toilet humour , but also some borderline fun-making of the disabled and mentally-challenged .	3	-2	 this[0] one[0] also[0] includes[0] plenty[0] of[0] toilet[0] humour[2] but[0] also[0] some[0] borderline[0] fun[1] making[0] of[0] the[0] disabled[-1] and[0] mentally[0] challenged[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i must admit that i really wasn't sure whether to laugh at some points or not . 	i must admit that i really wasn't sure whether to laugh at some points or not .	2	-1	 i[0] must[0] admit[0] that[0] i[0] really[0] wasn't[0] sure[0] whether[0] to[0] laugh[1] at[0] some[0] points[0] or[0] not[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not a good place to be . 	not a good place to be .	1	-2	 not[0] a[0] good[1][NegatedDueToPreviousWord] place[0] to[0] be[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
having said that , the scenes that did tear through the audience , and yours truly , were extremely hilarious , and went on for several minutes after the punchline . 	having said that , the scenes that did tear through the audience , and yours truly , were extremely hilarious , and went on for several minutes after the punchline .	5	-2	 having[0] said[0] that[0] the[0] scenes[0] that[0] did[0] tear[-1][--1 LastWordBoosterStrength] through[0] the[0] audience[0] and[0] yours[0] truly[1] were[0] extremely[0] hilarious[2][2 LastWordBoosterStrength] and[0] went[0] on[0] for[0] several[0] minutes[0] after[0] the[0] punchline[-1] [[Sentence=-2,5=word max, 1-5]][[[5,-2 max of sentences]]]
the laughter practically killed out the next scene for one of the best ones in the movie ( something to do with hair gel ) . 	the laughter practically killed out the next scene for one of the best ones in the movie ( something to do with hair gel ) .	2	-4	 the[0] laughter[1] practically[0] killed[-3] out[0] the[0] next[0] scene[0] for[0] one[0] of[0] the[0] best[1] ones[0] in[0] the[0] movie[0] something[0] to[0] do[0] with[0] hair[0] gel[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
on the negative end , i did not like the musical interludes of jonathan richman that ran through the entire picture . 	on the negative end , i did not like the musical interludes of jonathan richman that ran through the entire picture .	1	-2	 on[0] the[0] negative[-1] end[0] i[0] did[0] not[0] like[1][NegatedDueToPreviousWord] the[0] musical[0] interludes[0] of[0] jonathan[0] richman[0] that[0] ran[0] through[0] the[0] entire[0] picture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i found them quite useless , unfunny and distracting . 	i found them quite useless , unfunny and distracting .	1	-3	 i[0] found[0] them[0] quite[0] useless[-2] unfunny[0] and[0] distracting[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
also , i found that a lot of the funnier scenes had already been shown in the film's trailer . 	also , i found that a lot of the funnier scenes had already been shown in the film's trailer .	2	-1	 also[0] i[0] found[0] that[0] a[0] lot[0] of[0] the[0] funnier[1] scenes[0] had[0] already[0] been[0] shown[0] in[0] the[0] film's[0] trailer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and of course , i never quite buy the fact that these beautiful , intelligent , single women still can't seem to find the " right guy " ( see kiss the girls ( 7/10 ) . 	and of course , i never quite buy the fact that these beautiful , intelligent , single women still can't seem to find the " right guy " ( see kiss the girls ( 7/10 ) .	3	-1	 and[0] of[0] course[0] i[0] never[0] quite[0] buy[0] the[0] fact[0] that[0] these[0] beautiful[2] intelligent[1] single[0] women[0] still[0] can't[0] seem[0] to[0] find[0] the[0] right[0] guy[0] see[0] kiss[2] the[0] girls[0] 7/10[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i did really like all of the actors in the film , especially ben stiller , who appears to be solidifying his mark as a great comical actor with this picture and one of my favourites from 1996 , flirting with disaster ( 8/10 ) . 	i did really like all of the actors in the film , especially ben stiller , who appears to be solidifying his mark as a great comical actor with this picture and one of my favourites from 1996 , flirting with disaster ( 8/10 ) .	3	-2	 i[0] did[0] really[0] like[1][1 LastWordBoosterStrength] all[0] of[0] the[0] actors[0] in[0] the[0] film[0] especially[0] ben[0] stiller[0] who[0] appears[0] to[0] be[0] solidifying[0] his[0] mark[0] as[0] a[0] great[2] comical[0] actor[0] with[0] this[0] picture[0] and[0] one[0] of[0] my[0] favourites[1] from[0] 1996[0] flirting[1] with[0] disaster[-1] 8/10[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i also liked matt dillon with his big teeth , and lee evans with his superb faux-sympathy british accent . 	i also liked matt dillon with his big teeth , and lee evans with his superb faux-sympathy british accent .	3	-1	 i[0] also[0] liked[2] matt[0] dillon[0] with[0] his[0] big[0] teeth[0] and[0] lee[0] evans[0] with[0] his[0] superb[0] faux[0] sympathy[0] british[0] accent[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
funny stuff . 	funny stuff .	2	-1	 funny[1] stuff[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
also , make sure that you stay for the credits , because there is an entire montage of outtakes from the film that plays under a lip-synched version of " build me up buttercup " , which is really cool . 	also , make sure that you stay for the credits , because there is an entire montage of outtakes from the film that plays under a lip-synched version of " build me up buttercup " , which is really cool .	3	-1	 also[0] make[0] sure[0] that[0] you[0] stay[0] for[0] the[0] credits[0] because[0] there[0] is[0] an[0] entire[0] montage[0] of[0] outtakes[0] from[0] the[0] film[0] that[0] plays[1] under[0] a[0] lip[0] synched[0] version[0] of[0] build[0] me[0] up[0] buttercup[0] which[0] is[0] really[0] cool[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
overall , a cute comedy with a decent premise , and a few particularly hilarious scenes . 	overall , a cute comedy with a decent premise , and a few particularly hilarious scenes .	3	-1	 overall[0] a[0] cute[1] comedy[0] with[0] a[0] decent[0] premise[0] and[0] a[0] few[0] particularly[0] hilarious[2] scenes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
