one of the last entries in the long-running carry on series , carry on behind is very similar to carry on camping in that it involves a group of holidaymakers descending on a 'caravan' site . 	Translation	Positive	Negative	EmotionRationale
professors anna vrooshka ( elke sommer ) and roland crump ( kenneth williams ) and a group of archaeology students stay in the caravan site owned by major leep ( kenneth connor ) so that they can explore the nearby roman settlement remains . 	professors anna vrooshka ( elke sommer ) and roland crump ( kenneth williams ) and a group of archaeology students stay in the caravan site owned by major leep ( kenneth connor ) so that they can explore the nearby roman settlement remains .	1	-1	 professors[0] anna[0] vrooshka[0] elke[0] sommer[0] and[0] roland[0] crump[0] kenneth[0] williams[0] and[0] a[0] group[0] of[0] archaeology[0] students[0] stay[0] in[0] the[0] caravan[0] site[0] owned[0] by[0] major[0] leep[0] kenneth[0] connor[0] so[0] that[0] they[0] can[0] explore[0] the[0] nearby[0] roman[0] settlement[0] remains[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anna has a little trouble understanding english and sometimes people get the wrong end of the stick : - for instance , when anna is asking for 'scrubbers for dirty caravan' , she means that she wants a scrubbing brush to clean the caravan ! 	anna has a little trouble understanding english and sometimes people get the wrong end of the stick : - for instance , when anna is asking for 'scrubbers for dirty caravan' , she means that she wants a scrubbing brush to clean the caravan !	1	-2	 anna[0] has[0] a[0] little[0] trouble[-1] understanding[0] english[0] and[0] sometimes[0] people[0] get[0] the[0] wrong[-1] end[0] of[0] the[0] stick[0] for[0] instance[0] when[0] anna[0] is[0] asking[0] for[0] 'scrubbers[0] for[0] dirty[-1] caravan'[0] she[0] means[0] that[0] she[0] wants[0] a[0] scrubbing[0] brush[0] to[0] clean[0] the[0] caravan[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
arthur upmore ( bernard bresslaw ) and his wife linda ( patsy rowlands ) take her mother daphne barnes ( joan sims ) and her minah bird on holiday with them . 	arthur upmore ( bernard bresslaw ) and his wife linda ( patsy rowlands ) take her mother daphne barnes ( joan sims ) and her minah bird on holiday with them .	1	-1	 arthur[0] upmore[0] bernard[0] bresslaw[0] and[0] his[0] wife[0] linda[0] patsy[0] rowlands[0] take[0] her[0] mother[0] daphne[0] barnes[0] joan[0] sims[0] and[0] her[0] minah[0] bird[0] on[0] holiday[0] with[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mother-in-law jokes prevail . 	mother-in-law jokes prevail .	2	-1	 mother[0] in[0] law[0] jokes[1] prevail[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
furthermore , the trouble that joe and norma baxter ( ian lavender and adrienne posta ) have with their large irish greyhound allows for some comical moments between the two families . 	furthermore , the trouble that joe and norma baxter ( ian lavender and adrienne posta ) have with their large irish greyhound allows for some comical moments between the two families .	1	-2	 furthermore[0] the[0] trouble[-1] that[0] joe[0] and[0] norma[0] baxter[0] ian[0] lavender[0] and[0] adrienne[0] posta[0] have[0] with[0] their[0] large[0] irish[0] greyhound[0] allows[0] for[0] some[0] comical[0] moments[0] between[0] the[0] two[0] families[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fred ramsden ( windsor davies ) and ernie bragg ( jack douglas ) leave their wives ( liz fraser and patricia franklin ) behind for a fishing holiday . 	fred ramsden ( windsor davies ) and ernie brag ( jack douglas ) leave their wives ( liz fraser and patricia franklin ) behind for a fishing holiday .	1	-2	 fred[0] ramsden[0] windsor[0] davies[0] and[0] ernie[0] bragg/brag[-1] jack[0] douglas[0] leave[0] their[0] wives[0] liz[0] fraser[0] and[0] patricia[0] franklin[0] behind[0] for[0] a[0] fishing[0] holiday[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , they have more in mind than fishing when they catch sight of two young girls , sandra ( carol hawkins ) and carol ( sherrie hewson ) . 	however , they have more in mind than fishing when they catch sight of two young girls , sandra ( carol hawkins ) and carol ( sherrie hewson ) .	1	-1	 however[0] they[0] have[0] more[0] in[0] mind[0] than[0] fishing[0] when[0] they[0] catch[0] sight[0] of[0] two[0] young[0] girls[0] sandra[0] carol[0] hawkins[0] and[0] carol[0] sherrie[0] hewson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story involves the disruption caused by the archaeological professors of the day-to-day running of the camp , the search for the minah bid and greyhound , the major , fred and ernie's desperate need of a woman , a misunderstanding leading to a striptease at the caravan park's pub , and a shock in store for daphne . 	the story involves the disruption caused by the archaeological professors of the day-to-day running of the camp , the search for the minah bid and greyhound , the major , fred and ernie's desperate need of a woman , a misunderstanding leading to a striptease at the caravan park's pub , and a shock in store for daphne .	1	-3	 the[0] story[0] involves[0] the[0] disruption[-1] caused[0] by[0] the[0] archaeological[0] professors[0] of[0] the[0] day[0] to[0] day[0] running[0] of[0] the[0] camp[0] the[0] search[0] for[0] the[0] minah[0] bid[0] and[0] greyhound[0] the[0] major[0] fred[0] and[0] ernie's[0] desperate[-2] need[0] of[0] a[0] woman[0] a[0] misunderstanding[-1] leading[0] to[0] a[0] striptease[0] at[0] the[0] caravan[0] park's[0] pub[0] and[0] a[0] shock[-2] in[0] store[0] for[0] daphne[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the partnership between sommer and williams is very effective and amusing . 	the partnership between sommer and williams is very effective and amusing .	2	-1	 the[0] partnership[0] between[0] sommer[0] and[0] williams[0] is[0] very[0] effective[0] and[0] amusing[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is what binds the movie together . 	this is what binds the movie together .	1	-1	 this[0] is[0] what[0] binds[0] the[0] movie[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joan sims stands out as the demanding mother-in-law , bernard bresslaw and patsy rowlands work well together as husband and wife , and carol hawkins and sherrie hewson are a welcome addition to the cast . 	joan sims stands out as the demanding mother-in-law , bernard bresslaw and patsy rowlands work well together as husband and wife , and carol hawkins and sherrie hewson are a welcome addition to the cast .	2	-1	 joan[0] sims[0] stands[0] out[0] as[0] the[0] demanding[0] mother[0] in[0] law[0] bernard[0] bresslaw[0] and[0] patsy[0] rowlands[0] work[0] well[0] together[0] as[0] husband[0] and[0] wife[0] and[0] carol[0] hawkins[0] and[0] sherrie[0] hewson[0] are[0] a[0] welcome[1] addition[0] to[0] the[0] cast[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
