historical epic as a genre was almost banished from hollywood in early 1990s . 	Translation	Positive	Negative	EmotionRationale
for many critics , scholars and , most importantly , film producers , it was a thing of the past - something that could have attracted crowds only in the era of black-and-white television and non-cgi special effects . 	for many critics , scholars and , most importantly , film producers , it was a thing of the past - something that could have attracted crowds only in the era of black-and-white television and non-cgi special effects .	2	-1	 for[0] many[0] critics[0] scholars[0] and[0] most[0] importantly[0] film[0] producers[0] it[0] was[0] a[0] thing[0] of[0] the[0] past[0] something[0] that[0] could[0] have[0] attracted[1] crowds[0] only[0] in[0] the[0] era[0] of[0] black[0] and[0] white[0] television[0] and[0] non[0] cgi[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but in 1995 , same as in the case of dances with wolves five years ago , there came the man who decided to use of all his energy and talents of actor , producer and director in order to revitalise that particular genre . 	but in 1995 , same as in the case of dances with wolves five years ago , there came the man who decided to use of all his energy and talents of actor , producer and director in order to revitalise that particular genre .	2	-1	 but[0] in[0] 1995[0] same[0] as[0] in[0] the[0] case[0] of[0] dances[0] with[0] wolves[0] five[0] years[0] ago[0] there[0] came[0] the[0] man[0] who[0] decided[0] to[0] use[0] of[0] all[0] his[0] energy[0] and[0] talents[1] of[0] actor[0] producer[0] and[0] director[0] in[0] order[0] to[0] revitalise[0] that[0] particular[0] genre[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and , same as in the case of dances with wolves , he was awarded for his effort with " oscars " . 	and , same as in the case of dances with wolves , he was awarded for his effort with " oscars " .	1	-1	 and[0] same[0] as[0] in[0] the[0] case[0] of[0] dances[0] with[0] wolves[0] he[0] was[0] awarded[0] for[0] his[0] effort[0] with[0] oscars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the name of the film was braveheart , and the name of its director and main actor was mel gibson . 	the name of the film was braveheart , and the name of its director and main actor was mel gibson .	3	-1	 the[0] name[0] of[0] the[0] film[0] was[0] braveheart[2] and[0] the[0] name[0] of[0] its[0] director[0] and[0] main[0] actor[0] was[0] mel[0] gibson[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the plot chronicles the life of scottish warlord and folk hero william wallace ( 1272 - 1305 ) . 	the plot chronicles the life of scottish warlord and folk hero william wallace ( 1272 - 1305 ) .	3	-1	 the[0] plot[0] chronicles[0] the[0] life[0] of[0] scottish[0] warlord[0] and[0] folk[0] hero[2] william[0] wallace[0] 1272[0] 1305[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in his time , english king edward i " longshanks " ( played by patrick mcgoohan ) has almost completely subdued entire british isles , including scotland , whose proud inhabitants are now subjected by " ius primae noctis " and various other forms of humiliation and oppression by english knights . 	in his time , english king edward i " longshanks " ( played by patrick mcgoohan ) has almost completely subdued entire british isles , including scotland , whose proud inhabitants are now subjected by " ius primae noctis " and various other forms of humiliation and oppression by english knights .	2	-4	 in[0] his[0] time[0] english[0] king[0] edward[0] i[0] longshanks[0] played[0] by[0] patrick[0] mcgoohan[0] has[0] almost[0] completely[0] subdued[0] entire[0] british[0] isles[0] including[0] scotland[0] whose[0] proud[1] inhabitants[0] are[0] now[0] subjected[0] by[0] ius[0] primae[0] noctis[0] and[0] various[0] other[0] forms[0] of[0] humiliation[-3] and[0] oppression[-2] by[0] english[0] knights[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
although english had killed his father many years ago , young scottish commoner william wallace ( played by mel gibson ) doesn't care about politics and wants only to have peaceful life with his new bride murron ( played by catherine maccormack ) . 	although english had killed his father many years ago , young scottish commoner william wallace ( played by mel gibson ) doesn't care about politics and wants only to have peaceful life with his new bride murron ( played by catherine maccormack ) .	2	-4	 although[0] english[0] had[0] killed[-3] his[0] father[0] many[0] years[0] ago[0] young[0] scottish[0] commoner[-1] william[0] wallace[0] played[0] by[0] mel[0] gibson[0] doesn't[0] care[1] about[0] politics[0] and[0] wants[0] only[0] to[0] have[0] peaceful[0] life[0] with[0] his[0] new[0] bride[0] murron[0] played[0] by[0] catherine[0] maccormack[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
murron's death changes that and wallace takes arms and , together with small but dedicated band of followers , begins guerrilla campaign that would systematically destroy almost every english garrison in the country . 	murron's death changes that and wallace takes arms and , together with small but dedicated band of followers , begins guerrilla campaign that would systematically destroy almost every english garrison in the country .	1	-3	 murron's[0] death[-2] changes[0] that[0] and[0] wallace[0] takes[0] arms[0] and[0] together[0] with[0] small[0] but[0] dedicated[0] band[0] of[0] followers[0] begins[0] guerrilla[-1] campaign[0] that[0] would[0] systematically[0] destroy[-2] almost[0] every[0] english[0] garrison[0] in[0] the[0] country[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
through time , more and more people join his ranks and in 1298 wallace's rag-tag army scores surprising victory against english knights in the battle of stirling bridge . 	through time , more and more people join his ranks and in 1298 wallace's rag-tag army scores surprising victory against english knights in the battle of stirling bridge .	1	-2	 through[0] time[0] more[0] and[0] more[0] people[0] join[0] his[0] ranks[0] and[0] in[0] 1298[0] wallace's[0] rag[0] tag[0] army[0] scores[0] surprising[0] victory[0] against[-1] english[0] knights[0] in[0] the[0] battle[-1] of[0] stirling[0] bridge[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the newly won freedom is endangered by the internal squabbles between scots themselves , especially nobles under pretender robert the bruce ( played by angus macfadyen ) , who wouldn't like to have a simple commoner as a national leader . 	but the newly won freedom is endangered by the internal squabbles between scots themselves , especially nobles under pretender robert the bruce ( played by angus macfadyen ) , who wouldn't like to have a simple commoner as a national leader .	1	-2	 but[0] the[0] newly[0] won[0] freedom[0] is[0] endangered[-1] by[0] the[0] internal[0] squabbles[0] between[0] scots[0] themselves[0] especially[0] nobles[0] under[0] pretender[0] robert[0] the[0] bruce[0] played[0] by[0] angus[0] macfadyen[0] who[0] wouldn't[0] like[1][NegatedDueToPreviousWord] to[0] have[0] a[0] simple[0] commoner[-1] as[0] a[0] national[0] leader[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
