 " being john malkovich " is the type of film we need to see more . 	Translation	Positive	Negative	EmotionRationale
today's films are either blockbusters that entertain us with tiresome formulas , or those that have similar themes . 	today's films are either blockbusters that entertain us with tiresome formulas , or those that have similar themes .	1	-2	 today's[0] films[0] are[0] either[0] blockbusters[-1] that[0] entertain[0] us[0] with[0] tiresome[-1] formulas[0] or[0] those[0] that[0] have[0] similar[0] themes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
malkovich falls under none of these categories , and it's quite refreshing to see that occur . 	malkovich falls under none of these categories , and it's quite refreshing to see that occur .	1	-1	 malkovich[0] falls[0] under[0] none[0] of[0] these[0] categories[0] and[0] it's[0] quite[0] refreshing[0] to[0] see[0] that[0] occur[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this strangely provoking story , is actually somewhat understandable . 	this strangely provoking story , is actually somewhat understandable .	1	-1	 this[0] strangely[0] provoking[0] story[0] is[0] actually[0] somewhat[0] understandable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
john cusack plays a puppeteer trying to make it to the big time . 	john cusack plays a puppeteer trying to make it to the big time .	2	-1	 john[0] cusack[0] plays[1] a[0] puppeteer[0] trying[0] to[0] make[0] it[0] to[0] the[0] big[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his wife ( cameron diaz ) supports the both of them by working at a petstore , which explains the obscure pets they keep in their apartment . 	his wife ( cameron diaz ) supports the both of them by working at a petstore , which explains the obscure pets they keep in their apartment .	2	-1	 his[0] wife[0] cameron[0] diaz[0] supports[1] the[0] both[0] of[0] them[0] by[0] working[0] at[0] a[0] petstore[0] which[0] explains[0] the[0] obscure[0] pets[0] they[0] keep[0] in[0] their[0] apartment[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when cusack finally realizes he needs to get a job , he finds an ad for a filing clerk . 	when cusack finally realizes he needs to get a job , he finds an ad for a filing clerk .	1	-1	 when[0] cusack[0] finally[0] realizes[0] he[0] needs[0] to[0] get[0] a[0] job[0] he[0] finds[0] an[0] ad[0] for[0] a[0] filing[0] clerk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when he reaches the building , he arrives at a 7 1/2 floor . 	when he reaches the building , he arrives at a 7 1/2 floor .	1	-1	 when[0] he[0] reaches[0] the[0] building[0] he[0] arrives[0] at[0] a[0] 7[0] 1/2[0] floor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's there that he discovers a secret portal that leads to being john malkovich for 15 minutes at a time . 	it's there that he discovers a secret portal that leads to being john malkovich for 15 minutes at a time .	1	-1	 it's[0] there[0] that[0] he[0] discovers[0] a[0] secret[0] portal[0] that[0] leads[0] to[0] being[0] john[0] malkovich[0] for[0] 15[0] minutes[0] at[0] a[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meanwhile , cusack meets a business partner ( catherine keener ) , in which he falls madly in love with her . 	meanwhile , cusack meets a business partner ( catherine keener ) , in which he falls madly in love with her .	3	-1	 meanwhile[0] cusack[0] meets[0] a[0] business[0] partner[0] catherine[0] keener[0] in[0] which[0] he[0] falls[0] madly[1] in[0] love[2] with[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the only problem is , she has no interest in him what so ever . 	the only problem is , she has no interest in him what so ever .	2	-2	 the[0] only[0] problem[-1] is[0] she[0] has[0] no[0] interest[1] in[0] him[0] what[0] so[0] ever[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the whole portal thing , isn't just a toy , in fact , it becomes cusack's dream . 	the whole portal thing , isn't just a toy , in fact , it becomes cusack's dream .	1	-1	 the[0] whole[0] portal[0] thing[0] isn't[0] just[0] a[0] toy[0] in[0] fact[0] it[0] becomes[0] cusack's[0] dream[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
being inside malkovich's mind , gave him the opportunity to basically control mlakovich , like a puppet , and to fulfill his fantasies . 	being inside malkovich's mind , gave him the opportunity to basically control mlakovich , like a puppet , and to fulfil his fantasies .	2	-1	 being[0] inside[0] malkovich's[0] mind[0] gave[0] him[0] the[0] opportunity[0] to[0] basically[0] control[0] mlakovich[0] like[1] a[0] puppet[0] and[0] to[0] fulfill/fulfil[0] his[0] fantasies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i don't want to give away too much , but cusack becomes too attached with his discovery . 	i don't want to give away too much , but cusack becomes too attached with his discovery .	1	-1	 i[0] don't[0] want[0] to[0] give[0] away[0] too[0] much[0] but[0] cusack[0] becomes[0] too[0] attached[0] with[0] his[0] discovery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in my opinion , this idea is absolutely brilliant . 	in my opinion , this idea is absolutely brilliant .	3	-1	 in[0] my[0] opinion[0] this[0] idea[0] is[0] absolutely[0] brilliant[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's really quite scary to think that someone could become you , control you , be you . 	it's really quite scary to think that someone could become you , control you , be you .	1	-4	 it's[0] really[0] quite[0] scary[-3] to[0] think[0] that[0] someone[0] could[0] become[0] you[0] control[0] you[0] be[0] you[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it makes you wonder why we act like we do , and why sometimes we blurt out things or act out something out of the blue . 	it makes you wonder why we act like we do , and why sometimes we blurt out things or act out something out of the blue .	2	-2	 it[0] makes[0] you[0] wonder[0] why[0] we[0] act[0] like[1] we[0] do[0] and[0] why[0] sometimes[0] we[0] blurt[-1] out[0] things[0] or[0] act[0] out[0] something[0] out[0] of[0] the[0] blue[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
even if the script is super sharp , i can't help but find the ending displeasing . 	even if the script is super sharp , i can't help but find the ending displeasing .	3	-1	 even[0] if[0] the[0] script[0] is[0] super[2] sharp[0] i[0] can't[0] help[0] but[0] find[0] the[0] ending[0] displeasing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it could have lead up to something more , or at least an amusing conclusion . 	it could have lead up to something more , or at least an amusing conclusion .	2	-1	 it[0] could[0] have[0] lead[0] up[0] to[0] something[0] more[0] or[0] at[0] least[0] an[0] amusing[1] conclusion[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it tried to explain a mythology about the portals , that made it seem rushed . 	it tried to explain a mythology about the portals , that made it seem rushed .	1	-1	 it[0] tried[0] to[0] explain[0] a[0] mythology[0] about[0] the[0] portals[0] that[0] made[0] it[0] seem[0] rushed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
other than that , i had a very enjoyable time . 	other than that , i had a very enjoyable time .	4	-1	 other[0] than[0] that[0] i[0] had[0] a[0] very[0] enjoyable[2][1 LastWordBoosterStrength] time[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the acting was quite delightful as well . 	the acting was quite delightful as well .	3	-1	 the[0] acting[0] was[0] quite[0] delightful[2] as[0] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
john cusack has finally been given a chance to prove his ability , and he does it well . 	john cusack has finally been given a chance to prove his ability , and he does it well .	1	-1	 john[0] cusack[0] has[0] finally[0] been[0] given[0] a[0] chance[0] to[0] prove[0] his[0] ability[0] and[0] he[0] does[0] it[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's by far the most underrated actor due to a lack of popularity , but i'm hoping that will change . 	he's by far the most underrated actor due to a lack of popularity , but i'm hoping that will change .	2	-2	 he's[0] by[0] far[0] the[0] most[0] underrated[0] actor[0] due[0] to[0] a[0] lack[-1] of[0] popularity[1] but[0] i'm[0] hoping[1] that[0] will[0] change[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
cameron diaz was her usual charming self , although i felt that part was wrong for her , but she pulled it off . 	cameron diaz was her usual charming self , although i felt that part was wrong for her , but she pulled it off .	2	-2	 cameron[0] diaz[0] was[0] her[0] usual[0] charming[1] self[0] although[0] i[0] felt[0] that[0] part[0] was[0] wrong[-1] for[0] her[0] but[0] she[0] pulled[0] it[0] off[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
john malkovich himself continues to creep out people with his eerie facial expressions and tone of voice . 	john malkovich himself continues to creep out people with his eerie facial expressions and tone of voice .	1	-1	 john[0] malkovich[0] himself[0] continues[0] to[0] creep[0] out[0] people[0] with[0] his[0] eerie[0] facial[0] expressions[0] and[0] tone[0] of[0] voice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
