star wars : episode i - the phantom menace review 	Translation	Positive	Negative	EmotionRationale
a review by jamey hughton stars ) 	a review by jamey hughton stars )	1	-1	 a[0] review[0] by[0] jamey[0] hughton[0] stars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
starring-liam neeson , ewan mcgregor , natalie portman and jake lloyd director-george lucas rated g 	starring-liam neeson , ewan mcgregor , natalie portman and jake lloyd director-george lucas rated grin�	1	-1	 starring[0] liam[0] neeson[0] ewan[0] mcgregor[0] natalie[0] portman[0] and[0] jake[0] lloyd[0] director[0] george[0] lucas[0] rated[0] g[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with all the hype that star wars : episode 1- the phantom menace has been receiving , it seems almost impossible to avoid interest in seeing the film . 	with all the hype that star wars : episode 1- the phantom menace has been receiving , it seems almost impossible to avoid interest in seeing the film .	2	-3	 with[0] all[0] the[0] hype[0] that[0] star[0] wars[-2] episode[0] 1[0] the[0] phantom[0] menace[-2] has[0] been[0] receiving[0] it[0] seems[0] almost[0] impossible[0] to[0] avoid[-1] interest[1] in[0] seeing[0] the[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the movie is easily the most anticipated motion picture ever , with a marketing campaign so strong it has brought colonel sanders , the taco bell chihuahua and pizza hut together . 	the movie is easily the most anticipated motion picture ever , with a marketing campaign so strong it has brought colonel sanders , the taco bell chihuahua and piza hut together .	1	-1	 the[0] movie[0] is[0] easily[0] the[0] most[0] anticipated[0] motion[0] picture[0] ever[0] with[0] a[0] marketing[0] campaign[0] so[0] strong[0] it[0] has[0] brought[0] colonel[0] sanders[0] the[0] taco[0] bell[0] chihuahua[0] and[0] pizza/piza[0] hut[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
can george lucas succeed yet again with transporting us back a long time ago , in a galaxy far , far away . . . . ? 	can george lucas succeed yet again with transporting us back a long time ago , in a galaxy far , far away .<br> .<br> .<br> .<br> ?	3	-1	 can[0] george[0] lucas[0] succeed[2] yet[0] again[0] with[0] transporting[0] us[0] back[0] a[0] long[0] time[0] ago[0] in[0] a[0] galaxy[0] far[0] far[0] away[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
yes . this star wars prequel may be the worst of the bunch , with amateurish dialogue and an overall lack of humanity . 	yes .<br> this star wars prequel may be the worst of the bunch , with amateurish dialogue and an overall lack of humanity .	1	-3	 yes[0] [[Sentence=-1,1=word max, 1-5]] this[0] star[0] wars[-2] prequel[0] may[0] be[0] the[0] worst[-2] of[0] the[0] bunch[0] with[0] amateurish[0] dialogue[0] and[0] an[0] overall[0] lack[-1] of[0] humanity[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but that doesn't mean it fails to comply on the basis of solid entertainment . 	but that doesn't mean it fails to comply on the basis of solid entertainment .	1	-3	 but[0] that[0] doesn't[0] mean[0] it[0] fails[-2] to[0] comply[0] on[0] the[0] basis[0] of[0] solid[0] entertainment[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the phantom menace features the most eye-catching , jaw-dropping visual look in cinematic history . 	the phantom menace features the most eye-catching , jaw-dropping visual look in cinematic history .	1	-3	 the[0] phantom[0] menace[-2] features[0] the[0] most[0] eye[0] catching[0] jaw[0] dropping[0] visual[0] look[0] in[0] cinematic[0] history[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the tremendous action sequences will have you clinging to your arm rest , and the special effects are nothing short of the best ( and most plentiful ) to ever be caught on film . 	the tremendous action sequences will have you clinging to your arm rest , and the special effects are nothing short of the best ( and most plentiful ) to ever be caught on film .	2	-1	 the[0] tremendous[0] action[0] sequences[0] will[0] have[0] you[0] clinging[0] to[0] your[0] arm[0] rest[0] and[0] the[0] special[1] effects[0] are[0] nothing[0] short[0] of[0] the[0] best[1] and[0] most[0] plentiful[0] to[0] ever[0] be[0] caught[0] on[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the vast digitized worlds and sheer imagination that was applied to this project is astounding . 	the vast digitized worlds and sheer imagination that was applied to this project is astounding .	1	-1	 the[0] vast[0] digitized[0] worlds[0] and[0] sheer[0] imagination[0] that[0] was[0] applied[0] to[0] this[0] project[0] is[0] astounding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the phantom menace is a delectable feast for the senses , even if it has some disappointing aspects . 	the phantom menace is a delectable feast for the senses , even if it has some disappointing aspects .	3	-3	 the[0] phantom[0] menace[-2] is[0] a[0] delectable[2] feast[0] for[0] the[0] senses[0] even[0] if[0] it[0] has[0] some[0] disappointing[-1][--1 LastWordBoosterStrength] aspects[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
after we're treated to the famous prologue in the sky , with john williams' thundering score , we meet qui-gon jonn ( liam neeson ) and young obi-wan kenobi ( ewan mcgregor ) , a jedi master and his trainee  padawan' . 	after we're treated to the famous prologue in the sky , with john williams' thundering score , we meet qui-gon jon ( liam neeson ) and young obi-wan kenobi ( ewan mcgregor ) , a jedi master and his trainee  padawan' .	1	-1	 after[0] we're[0] treated[0] to[0] the[0] famous[0] prologue[0] in[0] the[0] sky[0] with[0] john[0] williams'[0] thundering[0] score[0] we[0] meet[0] qui[0] gon[0] jonn/jon[0] liam[0] neeson[0] and[0] young[0] obi[0] wan[0] kenobi[0] ewan[0] mcgregor[0] a[0] jedi[0] master[0] and[0] his[0] trainee[0] padawan'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are on the ship accommodating the fleet headquarters for the evil trade federation , and have been sent to settle disputes regarding the taxation of trade routes to the planet of naboo . 	they are on the ship accommodating the fleet headquarters for the evil trade federation , and have been sent to settle disputes regarding the taxation of trade routes to the planet of naboo .	1	-3	 they[0] are[0] on[0] the[0] ship[0] accommodating[0] the[0] fleet[-1] headquarters[0] for[0] the[0] evil[-2] trade[0] federation[0] and[0] have[0] been[0] sent[0] to[0] settle[0] disputes[0] regarding[0] the[0] taxation[-1] of[0] trade[0] routes[0] to[0] the[0] planet[0] of[0] naboo[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
oh , but enough about that . 	oh , but enough about that .	1	-1	 oh[0] but[0] enough[0] about[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the prime concern for this prequel is introducing young anakin skywalker ( jake lloyd ) into the picture . 	the prime concern for this prequel is introducing young anakin skywalker ( jake lloyd ) into the picture .	1	-2	 the[0] prime[0] concern[-1] for[0] this[0] prequel[0] is[0] introducing[0] young[0] anakin[0] skywalker[0] jake[0] lloyd[0] into[0] the[0] picture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as you already know , this seemingly charming lad is the boy who will soon become darth vader . 	as you already know , this seemingly charming lad is the boy who will soon become darth vader .	2	-1	 as[0] you[0] already[0] know[0] this[0] seemingly[0] charming[1] lad[0] is[0] the[0] boy[0] who[0] will[0] soon[0] become[0] darth[0] vader[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a spectacular pod race comes soon hereafter . 	a spectacular pod race comes soon hereafter .	1	-1	 a[0] spectacular[0] pod[0] race[0] comes[0] soon[0] hereafter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this particular race is the most exciting , energetic , high-octane action sequence that you'll ever see . 	this particular race is the most exciting , energetic , high-octane action sequence that you'll ever see .	3	-1	 this[0] particular[0] race[0] is[0] the[0] most[0] exciting[2] energetic[0] high[0] octane[0] action[0] sequence[0] that[0] you'll[0] ever[0] see[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one of the delights of the series is meeting the newest set of strange alien creatures that lucas has devised , and the phantom menace is no exception . 	one of the delights of the series is meeting the newest set of strange alien creatures that lucas has devised , and the phantom menace is no exception .	3	-3	 one[0] of[0] the[0] delights[2] of[0] the[0] series[0] is[0] meeting[0] the[0] newest[0] set[0] of[0] strange[0] alien[-1] creatures[0] that[0] lucas[0] has[0] devised[0] and[0] the[0] phantom[0] menace[-2] is[0] no[0] exception[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i loved sebulba , the rat-like scoundrel whom anakin has to face in the pod race , and boss nass , the leader of the gungans ( who are a neighbouring species to naboo ) . 	i loved sebulba , the rat-like scoundrel whom anakin has to face in the pod race , and boss nass , the leader of the gungans ( who are a neighbouring species to naboo ) .	4	-2	 i[0] loved[3] sebulba[0] the[0] rat[-1] like[1] scoundrel[-1] whom[0] anakin[0] has[0] to[0] face[0] in[0] the[0] pod[0] race[0] and[0] boss[0] nass[0] the[0] leader[0] of[0] the[0] gungans[-1] who[0] are[0] a[0] neighbouring[0] species[0] to[0] naboo[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
one character who has been subject to criticism is jar-jar binks , a member of the gungan race . 	one character who has been subject to criticism is jar-jar binks , a member of the gungan race .	1	-2	 one[0] character[0] who[0] has[0] been[0] subject[0] to[0] criticism[-1] is[0] jar[0] jar[0] binks[0] a[0] member[0] of[0] the[0] gungan[-1] race[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jar-jar speaks like roger rabbit on a hallucinogenic drug , and is there for the sole purpose of supplying comic relief . 	jar-jar speaks like roger rabbit on a hallucinogenic drug , and is there for the sole purpose of supplying comic relief .	2	-1	 jar[0] jar[0] speaks[0] like[1] roger[0] rabbit[0] on[0] a[0] hallucinogenic[0] drug[0] and[0] is[0] there[0] for[0] the[0] sole[0] purpose[0] of[0] supplying[0] comic[0] relief[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yes , he is initially annoying , but i can admit to laughing over some of his harmless , goofy antics . 	yes , he is initially annoying , but i can admit to laughing over some of his harmless , goofy antics .	2	-3	 yes[0] he[0] is[0] initially[0] annoying[-2] but[0] i[0] can[0] admit[0] to[0] laughing[1] over[0] some[0] of[0] his[0] harmless[1] goofy[0] antics[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there is some lack of dramatic pull in this star wars entry , but the presentation almost makes you forget the plot and character lapses . 	there is some lack of dramatic pull in this star wars entry , but the presentation almost makes you forget the plot and character lapses .	1	-3	 there[0] is[0] some[0] lack[-1][--1 LastWordBoosterStrength] of[0] dramatic[0] pull[0] in[0] this[0] star[0] wars[-2] entry[0] but[0] the[0] presentation[0] almost[0] makes[0] you[0] forget[0] the[0] plot[0] and[0] character[0] lapses[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the final light-saber battle , between the jedi's and the horrific ( and terminally underused ) villain darth maul , is spectacular to behold . 	the final light-saber battle , between the jedi's and the horrific ( and terminally underused ) villain darth maul , is spectacular to behold .	1	-4	 the[0] final[0] light[0] saber[0] battle[-1] between[0] the[0] jedi's[0] and[0] the[0] horrific[-3] and[0] terminally[0] underused[0] villain[-2] darth[0] maul[0] is[0] spectacular[0] to[0] behold[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
jabba the hutt , yoda , c-3po and r2-d2 have cameo appearances . 	jabba the hut , yoda , c-3po and r2-d2 have cameo appearances .	1	-1	 jabba[0] the[0] hutt/hut[0] yoda[0] c[0] -3po[0] and[0] r2[0] d2[0] have[0] cameo[0] appearances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lucas has not forget how to captivate an audience , even if his latest shows obvious signs of tiredness . 	lucas has not forget how to captivate an audience , even if his latest shows obvious signs of tiredness .	1	-1	 lucas[0] has[0] not[0] forget[0] how[0] to[0] captivate[0] an[0] audience[0] even[0] if[0] his[0] latest[0] shows[0] obvious[0] signs[0] of[0] tiredness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one can only wonder what the possible technology will present for the next two installments , episode's i and ii . 	one can only wonder what the possible technology will present for the next two instalments , episode's i and i .	1	-1	 one[0] can[0] only[0] wonder[0] what[0] the[0] possible[0] technology[0] will[0] present[0] for[0] the[0] next[0] two[0] installments/instalments[0] episode's[0] i[0] and[0] ii/i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when they arrive , you'll know where to find me . 	when they arrive , you'll know where to find me .	1	-1	 when[0] they[0] arrive[0] you'll[0] know[0] where[0] to[0] find[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
