as a revolutionary war hero in the patriot , mel gibson provides another macho man performance for hollywood audiences . 	Translation	Positive	Negative	EmotionRationale
you know the type : his shirt is always shredded , his face always scarred , he has a soft spot for his loved ones and a " to kill " list for his enemies . 	you know the type : his shirt is always shredded , his face always scarred , he has a soft spot for his loved ones and a " to kill " list for his enemies .	4	-2	 you[0] know[0] the[0] type[0] his[0] shirt[0] is[0] always[0] shredded[-1] his[0] face[0] always[0] scarred[0] he[0] has[0] a[0] soft[0] spot[0] for[0] his[0] loved[3] ones[0] and[0] a[0] to[0] kill[-1] list[0] for[0] his[0] enemies[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
oscar-hungry director/executive producer roland emmerich did not intend to , but he made the stereotypical action hero for the 18th century . 	oscar-hungry director/executive producer roland emmerich did not intend to , but he made the stereotypical action hero for the 18th century .	3	-2	 oscar[0] hungry[-1] director/executive[0] producer[0] roland[0] emmerich[0] did[0] not[0] intend[0] to[0] but[0] he[0] made[0] the[0] stereotypical[0] action[0] hero[2] for[0] the[0] 18th[0] century[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as gibson delivers lines like , " before this war is over , i am going to kill you , " schwarzenegger in commando or stallone in cobra immediately come to mind . 	as gibson delivers lines like , " before this war is over , i am going to kill you , " schwarzenegger in commando or stallone in cobra immediately come to mind .	2	-3	 as[0] gibson[0] delivers[0] lines[0] like[1] before[0] this[0] war[-2] is[0] over[0] i[0] am[0] going[0] to[0] kill[-1] you[0] schwarzenegger[0] in[0] commando[0] or[0] stallone[0] in[0] cobra[0] immediately[0] come[0] to[0] mind[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
oddly enough , the patriot is as much an epic three-hour-tear-fest like gladiator , as it is a ninety-minute guilty pleasure . 	oddly enough , the patriot is as much an epic three-hour-tear-fest like gladiator , as it is a ninety-minute guilty pleasure .	3	-4	 oddly[0] enough[0] the[0] patriot[0] is[0] as[0] much[0] an[0] epic[0] three[0] hour[0] tear[-1] fest[0] like[1] gladiator[0] as[0] it[0] is[0] a[0] ninety[0] minute[0] guilty[-3] pleasure[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
at times absorbing , at others enjoyably insipid , this is good , bloody summer fun . 	at times absorbing , at others enjoyably insipid , this is good , bloody summer fun .	3	-2	 at[0] times[0] absorbing[0] at[0] others[0] enjoyably[2] insipid[0] this[0] is[0] good[1] bloody[-1] summer[0] fun[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i probably would have despised this film had it not been released over the july 4th weekend . 	i probably would have despised this film had it not been released over the july 4th weekend .	1	-4	 i[0] probably[0] would[0] have[0] despised[-3] this[0] film[0] had[0] it[0] not[0] been[0] released[0] over[0] the[0] july[0] 4th[0] weekend[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
some of the images are so zealously americanized ( the flag is used as a lifesaving weapon for example ) , that independence day seems the only appropriate time of year to wholeheartedly accept it . 	some of the images are so zealously americanized ( the flag is used as a lifesaving weapon for example ) , that independence day seems the only appropriate time of year to wholeheartedly accept it .	1	-2	 some[0] of[0] the[0] images[0] are[0] so[0] zealously[0] americanized[0] the[0] flag[0] is[0] used[0] as[0] a[0] lifesaving[0] weapon[-1] for[0] example[0] that[0] independence[0] day[0] seems[0] the[0] only[0] appropriate[0] time[0] of[0] year[0] to[0] wholeheartedly[0] accept[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
like emmerich's id4 , this is obvious propaganda where the americans are the hapless underdogs motivated by freedom for all . 	like emmerich's id4 , this is obvious propaganda where the americans are the hapless underdogs motivated by freedom for all .	2	-2	 like[1] emmerich's[0] id4[0] this[0] is[0] obvious[0] propaganda[-1] where[0] the[0] americans[0] are[0] the[0] hapless[-1] underdogs[0] motivated[0] by[0] freedom[0] for[0] all[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sure it's predictable and melodramatic , but for a moment after leaving the theater , i was dumbfounded with patriotism . 	sure it's predictable and melodramatic , but for a moment after leaving the theater , i was dumbfounded with patriotism .	1	-2	 sure[0] it's[0] predictable[0] and[0] melodramatic[-1] but[0] for[0] a[0] moment[0] after[0] leaving[0] the[0] theater[0] i[0] was[0] dumbfounded[-1] with[0] patriotism[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and isn't that the point of the patriot ? 	and isn't that the point of the patriot ?	1	-1	 and[0] isn't[0] that[0] the[0] point[0] of[0] the[0] patriot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gibson plays benjamin martin , the lionized french and indian war veteran , who , at the beginning of the film , is emotionally suffering after his loving wife passed away . 	gibson plays benjamin martin , the lionized french and indian war veteran , who , at the beginning of the film , is emotionally suffering after his loving wife passed away .	4	-4	 gibson[0] plays[1] benjamin[0] martin[0] the[0] lionized[0] french[0] and[0] indian[0] war[-2] veteran[0] who[0] at[0] the[0] beginning[0] of[0] the[0] film[0] is[0] emotionally[0] suffering[-3] after[0] his[0] loving[3] wife[0] passed[0] away[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
he is left to father seven children at his south carolina estate along with black servants ( not slaves ! ) . 	he is left to father seven children at his south carolina estate along with black servants ( not slaves !<br> ) .	1	-1	 he[0] is[0] left[0] to[0] father[0] seven[0] children[0] at[0] his[0] south[0] carolina[0] estate[0] along[0] with[0] black[0] servants[0] not[0] slaves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the revolutionary war rumbles miles away , martin swears to keep his family close and away from the battlefields . 	as the revolutionary war rumbles miles away , martin swears to keep his family close and away from the battlefields .	1	-3	 as[0] the[0] revolutionary[-1] war[-2] rumbles[0] miles[0] away[0] martin[0] swears[0] to[0] keep[0] his[0] family[0] close[0] and[0] away[0] from[0] the[0] battlefields[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but when the oldest son enlists anyway and another is murdered by a wicked redcoat colonel ( jason isaacs ) , martin quickly decides to save the day ( or save the fate of america as presented by emmerich ) . 	but when the oldest son enlists anyway and another is murdered by a wicked redcoat colonel ( jason isacs ) , martin quickly decides to save the day ( or save the fate of america as presented by emmerich ) .	3	-4	 but[0] when[0] the[0] oldest[0] son[0] enlists[0] anyway[0] and[0] another[0] is[0] murdered[-3] by[0] a[0] wicked[2] redcoat[0] colonel[0] jason[0] isaacs/isacs[0] martin[0] quickly[0] decides[0] to[0] save[1] the[0] day[0] or[0] save[1] the[0] fate[0] of[0] america[0] as[0] presented[0] by[0] emmerich[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
forming a band of aggressive farmers and using guerilla tactics considered unfair in the art of war , martin becomes the number one target of the british army . 	forming a band of aggressive farmers and using guerilla tactics considered unfair in the art of war , martin becomes the number one target of the british army .	1	-3	 forming[0] a[0] band[0] of[0] aggressive[-2] farmers[0] and[0] using[0] guerilla[0] tactics[0] considered[0] unfair[-1] in[0] the[0] art[0] of[0] war[-2] martin[0] becomes[0] the[0] number[0] one[0] target[0] of[0] the[0] british[0] army[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the best parts of the patriot are the scenes in which martin and his rugged militia men outsmart the british armies left and right . 	the best parts of the patriot are the scenes in which martin and his rugged militia men outsmart the british armies left and right .	2	-1	 the[0] best[1] parts[0] of[0] the[0] patriot[0] are[0] the[0] scenes[0] in[0] which[0] martin[0] and[0] his[0] rugged[0] militia[0] men[0] outsmart[0] the[0] british[0] armies[0] left[0] and[0] right[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
every time the farmers attacked the unsuspecting enemy , to see the disbelief on british general cornwallis' ( tom wilkinson ) face was priceless entertainment . 	every time the farmers attacked the unsuspecting enemy , to see the disbelief on british general cornwallis' ( tom wilkinson ) face was priceless entertainment .	4	-3	 every[0] time[0] the[0] farmers[0] attacked[-2] the[0] unsuspecting[0] enemy[-1] to[0] see[0] the[0] disbelief[-1] on[0] british[0] general[0] cornwallis'[0] tom[0] wilkinson[0] face[0] was[0] priceless[3] entertainment[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
and as the tension gradually formulates with the running time , a final battle is inevitable . 	and as the tension gradually formulates with the running time , a final battle is inevitable .	1	-3	 and[0] as[0] the[0] tension[-2] gradually[0] formulates[0] with[0] the[0] running[0] time[0] a[0] final[0] battle[-1] is[0] inevitable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as for the numerous battle scenes , they are expertly done . 	as for the numerous battle scenes , they are expertly done .	1	-2	 as[0] for[0] the[0] numerous[0] battle[-1] scenes[0] they[0] are[0] expertly[0] done[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
clearer and more realistic than those of gladiator , the gruesome images are what give this film an r rating . 	clearer and more realistic than those of gladiator , the gruesome images are what give this film an are rating .	1	-1	 clearer[0] and[0] more[0] realistic[0] than[0] those[0] of[0] gladiator[0] the[0] gruesome[0] images[0] are[0] what[0] give[0] this[0] film[0] an[0] r[0] rating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you really get a sense of how warfare was performed during that time period . 	you really get a sense of how warfare was performed during that time period .	1	-3	 you[0] really[0] get[0] a[0] sense[0] of[0] how[0] warfare[-2] was[0] performed[0] during[0] that[0] time[0] period[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
everything is performed in an orderly ( but still quite gory ) fashion - one side shoots , then the other side , then the remaining soldiers charge . 	everything is performed in an orderly ( but still quite gory ) fashion - one side shoots , then the other side , then the remaining soldiers charge .	1	-2	 everything[0] is[0] performed[0] in[0] an[0] orderly[0] but[0] still[0] quite[0] gory[0] fashion[0] one[0] side[0] shoots[-1] then[0] the[0] other[0] side[0] then[0] the[0] remaining[0] soldiers[0] charge[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's organized , strategic and , according to martin , ineffective . 	it's organized , strategic and , according to martin , ineffective .	1	-2	 it's[0] organized[0] strategic[0] and[0] according[0] to[0] martin[0] ineffective[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is a very interesting contrast between the traditional battle style and martin's take-no-prisoners method . 	there is a very interesting contrast between the traditional battle style and martin's take-no-prisoners method .	3	-2	 there[0] is[0] a[0] very[0] interesting[1][1 LastWordBoosterStrength] contrast[0] between[0] the[0] traditional[0] battle[-1] style[0] and[0] martin's[0] take[0] no[0] prisoners[-1] method[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
what drives martin to these supposedly unfair actions , are the originally brutal tactics of colonel tavington . 	what drives martin to these supposedly unfair actions , are the originally brutal tactics of colonel tavington .	1	-3	 what[0] drives[0] martin[0] to[0] these[0] supposedly[0] unfair[-1] actions[0] are[0] the[0] originally[0] brutal[-2] tactics[0] of[0] colonel[0] tavington[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
played wonderfully by jason isaacs , tavington is the type who loves to glare down from his horse at civilians , who nervously avoid eye contact . 	played wonderfully by jason isacs , tavington is the type who loves to glare down from his horse at civilians , who nervously avoid eye contact .	3	-3	 played[0] wonderfully[2] by[0] jason[0] isaacs/isacs[0] tavington[0] is[0] the[0] type[0] who[0] loves[2] to[0] glare[-1] down[0] from[0] his[0] horse[0] at[0] civilians[0] who[0] nervously[-2] avoid[-1] eye[0] contact[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
