ingredients : down-on-his-luck evangelist , church 	Translation	Positive	Negative	EmotionRationale
synopsis : sonny dewey ( robert duvall ) is a tireless texas pentecostal preacher who unexpectedly catches his wife ( farrah fawcett ) in bed with another guy . 	synopsis : sonny dewey ( robert duvall ) is a tireless texas pentecostal preacher who unexpectedly catches his wife ( farrah fawcett ) in bed with another guy .	1	-2	 synopsis[0] sonny[0] dewey[0] robert[0] duvall[0] is[0] a[0] tireless[0] texas[0] pentecostal[0] preacher[0] who[0] unexpectedly[-1] catches[0] his[0] wife[0] farrah[0] fawcett[0] in[0] bed[0] with[0] another[0] guy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in a regrettable crime of passion he takes a baseball bat to the guy's head , and suddenly finds himself a fugitive for murder , and estranged from his wife and two kids . 	in a regrettable crime of passion he takes a baseball bat to the guy's head , and suddenly finds himself a fugitive for murder , and estranged from his wife and two kids .	3	-4	 in[0] a[0] regrettable[-1] crime[-1] of[0] passion[2] he[0] takes[0] a[0] baseball[0] bat[0] to[0] the[0] guy's[0] head[0] and[0] suddenly[0] finds[0] himself[0] a[0] fugitive[-1] for[0] murder[-3] and[0] estranged[-1] from[0] his[0] wife[0] and[0] two[0] kids[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
to atone for his sins , sonny flees to a rural bayou town in louisiana and baptizes himself as a new creature - - the apostle e . f . as the apostle e . f . sonny's main mission is to revive an abandoned church community and preach the gospel at the local radio station . 	to atone for his sins , sonny flees to a rural bayou town in louisiana and baptizes himself as a new creature - - the apostle e .<br> f .<br> as the apostle e .<br> f .<br> sonny's main mission is to revive an abandoned church community and preach the gospel at the local radio station .	1	-3	 to[0] atone[0] for[0] his[0] sins[-2] sonny[0] flees[-1] to[0] a[0] rural[0] bayou[0] town[0] in[0] louisiana[0] and[0] baptizes[0] himself[0] as[0] a[0] new[0] creature[0] the[0] apostle[0] e[0] [[Sentence=-3,1=word max, 1-5]] f[0] [[Sentence=-1,1=word max, 1-5]] as[0] the[0] apostle[0] e[0] [[Sentence=-1,1=word max, 1-5]] f[0] [[Sentence=-1,1=word max, 1-5]] sonny's[0] main[0] mission[0] is[0] to[0] revive[0] an[0] abandoned[-1] church[0] community[0] and[0] preach[0] the[0] gospel[0] at[0] the[0] local[0] radio[0] station[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
soon he sets about resurrecting the one way road to heaven holiness temple . 	soon he sets about resurrecting the one way road to heaven holiness temple .	2	-1	 soon[0] he[0] sets[0] about[0] resurrecting[0] the[0] one[0] way[0] road[0] to[0] heaven[1] holiness[0] temple[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but sonny knows his time is short ; one day the police will find him . 	but sonny knows his time is short ; one day the police will find him .	1	-1	 but[0] sonny[0] knows[0] his[0] time[0] is[0] short[0] one[0] day[0] the[0] police[0] will[0] find[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
opinion : this movie is a thought-provoking look at an evangelist in real life terms . 	opinion : this movie is a thought-provoking look at an evangelist in real life terms .	1	-1	 opinion[0] this[0] movie[0] is[0] a[0] thought[0] provoking[0] look[0] at[0] an[0] evangelist[0] in[0] real[0] life[0] terms[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i believe that robert duvall ( who is the producer , director , writer , and main star of the apostle ) deserves an oscar for his performance as sonny the religious crusader - - a performance which is so complex and realistic it ranks as one of the finest acting performances on film . 	i believe that robert duvall ( who is the producer , director , writer , and main star of the apostle ) deserves an oscar for his performance as sonny the religious crusader - - a performance which is so complex and realistic it ranks as one of the finest acting performances on film .	1	-1	 i[0] believe[0] that[0] robert[0] duvall[0] who[0] is[0] the[0] producer[0] director[0] writer[0] and[0] main[0] star[0] of[0] the[0] apostle[0] deserves[0] an[0] oscar[0] for[0] his[0] performance[0] as[0] sonny[0] the[0] religious[0] crusader[0] a[0] performance[0] which[0] is[0] so[0] complex[0] and[0] realistic[0] it[0] ranks[0] as[0] one[0] of[0] the[0] finest[0] acting[0] performances[0] on[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
duvall's portrayal of a true believer is authentic , superb , and inspired ; it offers the audience a completely honest look at southern religion , as well as a portrait of a fallible , complicated man driven by his beliefs . 	duvall's portrayal of a true believer is authentic , superb , and inspired ; it offers the audience a completely honest look at southern religion , as well as a portrait of a fallible , complicated man driven by his beliefs .	3	-2	 duvall's[0] portrayal[0] of[0] a[0] true[1] believer[0] is[0] authentic[0] superb[0] and[0] inspired[2] it[0] offers[0] the[0] audience[0] a[0] completely[0] honest[0] look[0] at[0] southern[0] religion[0] as[0] well[0] as[0] a[0] portrait[0] of[0] a[0] fallible[0] complicated[-1] man[0] driven[0] by[0] his[0] beliefs[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
incidentally , in real life duvall was just as 'driven' in getting the project underway . 	incidentally , in real life duvall was just as 'driven' in getting the project underway .	1	-1	 incidentally[0] in[0] real[0] life[0] duvall[0] was[0] just[0] as[0] 'driven'[0] in[0] getting[0] the[0] project[0] underway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since no major hollywood studio wanted to risk financing a complex movie about an evangelist , the apostle as a project lay dormant for almost 13 years before duvall was able to get it done , paying for its production with his own money ( about five million dollars ) . 	since no major hollywood studio wanted to risk financing a complex movie about an evangelist , the apostle as a project lay dormant for almost 13 years before duvall was able to get it done , paying for its production with his own money ( about five million dollars ) .	1	-2	 since[0] no[0] major[0] hollywood[0] studio[0] wanted[0] to[0] risk[-1] financing[0] a[0] complex[0] movie[0] about[0] an[0] evangelist[0] the[0] apostle[0] as[0] a[0] project[0] lay[0] dormant[0] for[0] almost[0] 13[0] years[0] before[0] duvall[0] was[0] able[0] to[0] get[0] it[0] done[0] paying[0] for[0] its[0] production[0] with[0] his[0] own[0] money[0] about[0] five[0] million[0] dollars[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in terms of hard-hitting realism and character portrayal the apostle would rank as one of the best movies of this decade , and i emphatically recommend the apostle for connoisseurs of stage and fine acting on film . 	in terms of hard-hitting realism and character portrayal the apostle would rank as one of the best movies of this decade , and i emphatically recommend the apostle for connoisseurs of stage and fine acting on film .	3	-1	 in[0] terms[0] of[0] hard[0] hitting[0] realism[0] and[0] character[0] portrayal[0] the[0] apostle[0] would[0] rank[0] as[0] one[0] of[0] the[0] best[1] movies[0] of[0] this[0] decade[0] and[0] i[0] emphatically[0] recommend[0] the[0] apostle[0] for[0] connoisseurs[0] of[0] stage[0] and[0] fine[2] acting[0] on[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
similarly , those with a steep background in pentecostal christianity would find the apostle a thought-provoking experience . 	similarly , those with a steep background in pentecostal christianity would find the apostle a thought-provoking experience .	1	-1	 similarly[0] those[0] with[0] a[0] steep[0] background[0] in[0] pentecostal[0] christianity[0] would[0] find[0] the[0] apostle[0] a[0] thought[0] provoking[0] experience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the other hand , the apostle's main strength - - duvall's preaching - - is also what limits the apostle's target audience . 	on the other hand , the apostle's main strength - - duvall's preaching - - is also what limits the apostle's target audience .	1	-1	 on[0] the[0] other[0] hand[0] the[0] apostle's[0] main[0] strength[0] duvall's[0] preaching[0] is[0] also[0] what[0] limits[0] the[0] apostle's[0] target[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in terms of plot and pure entertainment value , the apostle is definitely not for everyone . 	in terms of plot and pure entertainment value , the apostle is definitely not for everyone .	2	-1	 in[0] terms[0] of[0] plot[0] and[0] pure[0] entertainment[0] value[1] the[0] apostle[0] is[0] definitely[0] not[0] for[0] everyone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
teenagers , action fans , comedy fans , and people who find church completely boring should stay far away from this movie , since three quarters of the film is watching sonny preach at church . 	teenagers , action fans , comedy fans , and people who find church completely boring should stay far away from this movie , since three quarters of the film is watching sonny preach at church .	1	-3	 teenagers[0] action[0] fans[0] comedy[0] fans[0] and[0] people[0] who[0] find[0] church[0] completely[0] boring[-1][-1 LastWordBoosterStrength] should[0] stay[0] far[0] away[0] from[0] this[0] movie[0] since[0] three[0] quarters[0] of[0] the[0] film[0] is[0] watching[0] sonny[0] preach[0] at[0] church[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in other words , the apostle is a four star performance , but with a very limited audience . 	in other words , the apostle is a four star performance , but with a very limited audience .	1	-1	 in[0] other[0] words[0] the[0] apostle[0] is[0] a[0] four[0] star[0] performance[0] but[0] with[0] a[0] very[0] limited[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
