vampire lore and legend has always been a popular fantasy element , substantiated by not only the sheer number of movies about the subject , but also the proliferation of cults and sects of adherents . 	Translation	Positive	Negative	EmotionRationale
and , unlike any of the more outlandish myths , the vampire holds some real-world probability ( one study claims 1 , 000 bloodsuckers exist worldwide , and places 50 in los angeles ) . 	and , unlike any of the more outlandish myths , the vampire holds some real-world probability ( one study claims 1 , 00 bloodsuckers exist worldwide , and places 50 in los angeles ) .	1	-1	 and[0] unlike[0] any[0] of[0] the[0] more[0] outlandish[0] myths[0] the[0] vampire[0] holds[0] some[0] real[0] world[0] probability[0] one[0] study[0] claims[0] 1[0] 000/00[0] bloodsuckers[0] exist[0] worldwide[0] and[0] places[0] 50[0] in[0] los[0] angeles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but lest the nasties be mistaken for simple comic book bad guys , john carpenter would like to remind us that they are - and always have been - a truly frightening element of the thriller genre . 	but lest the nasties be mistaken for simple comic book bad guys , john carpenter would like to remind us that they are - and always have been - a truly frightening element of the thriller genre .	2	-4	 but[0] lest[0] the[0] nasties[-2] be[0] mistaken[-1] for[0] simple[0] comic[0] book[0] bad[-1] guys[0] john[0] carpenter[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] remind[0] us[0] that[0] they[0] are[0] and[0] always[0] have[0] been[0] a[0] truly[1] frightening[-3] element[0] of[0] the[0] thriller[1] genre[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and remind us he does in his latest film , vampires . 	and remind us he does in his latest film , vampires .	1	-1	 and[0] remind[0] us[0] he[0] does[0] in[0] his[0] latest[0] film[0] vampires[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there was some question , as halloween weekend approached , of how well vampires would do in comparison to new line cinema's immensely successful blade , released in august . 	there was some question , as halloween weekend approached , of how well vampires would do in comparison to new line cinema's immensely successful blade , released in august .	3	-1	 there[0] was[0] some[0] question[0] as[0] halloween[0] weekend[0] approached[0] of[0] how[0] well[0] vampires[0] would[0] do[0] in[0] comparison[0] to[0] new[0] line[0] cinema's[0] immensely[0] successful[2] blade[0] released[0] in[0] august[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the two films take noticeably different stands on the vampire issue , and don't even agree on some basic points of the slaying method . 	the two films take noticeably different stands on the vampire issue , and don't even agree on some basic points of the slaying method .	1	-1	 the[0] two[0] films[0] take[0] noticeably[0] different[0] stands[0] on[0] the[0] vampire[0] issue[0] and[0] don't[0] even[0] agree[0] on[0] some[0] basic[0] points[0] of[0] the[0] slaying[0] method[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( for instance , blade's main weapons are silver and garlic , whereas main character jack crow's technique is a wooden stake to the heart . ) 	 ( for instance , blade's main weapons are silver and garlic , whereas main character jack crow's technique is a wooden stake to the heart .<br> )	1	-2	 for[0] instance[0] blade's[0] main[0] weapons[-1] are[0] silver[0] and[0] garlic[0] whereas[0] main[0] character[0] jack[0] crow's[0] technique[0] is[0] a[0] wooden[0] stake[0] to[0] the[0] heart[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
blade also gives more of a face to the vampire civilization , while carpenter would like us to remain in the dark about how the pasties operate . 	blade also gives more of a face to the vampire civilization , while carpenter would like us to remain in the dark about how the pasties operate .	1	-1	 blade[0] also[0] gives[0] more[0] of[0] a[0] face[0] to[0] the[0] vampire[0] civilization[0] while[0] carpenter[0] would[0] like[1][-1 LastWordBoosterStrength] us[0] to[0] remain[0] in[0] the[0] dark[0] about[0] how[0] the[0] pasties[0] operate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both have their advantages , and here , carpenter's style lends itself to a darker breed of suspense rather than the action movie that blade director stephen norrington delievered . 	both have their advantages , and here , carpenter's style lends itself to a darker breed of suspense rather than the action movie that blade director stephen norrington delievered .	1	-1	 both[0] have[0] their[0] advantages[0] and[0] here[0] carpenter's[0] style[0] lends[0] itself[0] to[0] a[0] darker[0] breed[0] of[0] suspense[0] rather[0] than[0] the[0] action[0] movie[0] that[0] blade[0] director[0] stephen[0] norrington[0] delievered[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when it's all said and done , though , the vampires still kill and die with a bloody flourish ; the level for gore is indeed set to maximum . 	when it's all said and done , though , the vampires still kill and die with a bloody flourish ; the level for gore is indeed set to maximum .	1	-2	 when[0] it's[0] all[0] said[0] and[0] done[0] though[0] the[0] vampires[0] still[0] kill[-1] and[0] die[0] with[0] a[0] bloody[-1] flourish[0] the[0] level[0] for[0] gore[0] is[0] indeed[0] set[0] to[0] maximum[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this time , our hero is vatican-sponsored slayer jack crow ( james woods ) . 	this time , our hero is vatican-sponsored slayer jack crow ( james woods ) .	3	-2	 this[0] time[0] our[0] hero[2] is[0] vatican[0] sponsored[0] slayer[-1] jack[0] crow[0] james[0] woods[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he's a cynical , battle-worn veteran , and the best of his bunch . 	he's a cynical , battle-worn veteran , and the best of his bunch .	2	-2	 he's[0] a[0] cynical[-1] battle[-1] worn[-1] veteran[0] and[0] the[0] best[1] of[0] his[0] bunch[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he and his team are responsible for cleaning out the american southwest , and after exterminating a nest one night , they run up against a super-vampire ( termed a " master " ) named valek ( thomas ian griffith ) . 	he and his team are responsible for cleaning out the american southwest , and after exterminating a nest one night , they run up against a super-vampire ( termed a " master " ) named valek ( thomas ian griffith ) .	3	-2	 he[0] and[0] his[0] team[0] are[0] responsible[0] for[0] cleaning[0] out[0] the[0] american[0] southwest[0] and[0] after[0] exterminating[-1] a[0] nest[0] one[0] night[0] they[0] run[0] up[0] against[-1] a[0] super[2] vampire[0] termed[0] a[0] master[0] named[0] valek[0] thomas[0] ian[0] griffith[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
valek kills all of jack's team except for his partner , tony montoya ( daniel baldwin ) , and as the two regroup , they learn that valek is the original vampire - now over six hundred years old . 	valek kills all of jack's team except for his partner , tony montoya ( daniel baldwin ) , and as the two regroup , they learn that valek is the original vampire - now over six hundred years old .	1	-1	 valek[0] kills[0] all[0] of[0] jack's[0] team[0] except[0] for[0] his[0] partner[0] tony[0] montoya[0] daniel[0] baldwin[0] and[0] as[0] the[0] two[0] regroup[0] they[0] learn[0] that[0] valek[0] is[0] the[0] original[0] vampire[0] now[0] over[0] six[0] hundred[0] years[0] old[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
apparently , valek and his minions have been sweeping the southwest for decades in search of a cross that will enable them to walk in the daytime . 	apparently , valek and his minions have been sweeping the southwest for decades in search of a cross that will enable them to walk in the daytime .	1	-2	 apparently[0] valek[0] and[0] his[0] minions[0] have[0] been[0] sweeping[0] the[0] southwest[0] for[0] decades[0] in[0] search[0] of[0] a[0] cross[-1] that[0] will[0] enable[0] them[0] to[0] walk[0] in[0] the[0] daytime[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so with the aid of a priest named adam ( tim guinee ) and a bitten hooker ( sheryl lee ) as bait , they track valek down for the final confrontation . 	so with the aid of a priest named adam ( tim guinee ) and a bitten hooker ( sheryl lee ) as bait , they track valek down for the final confrontation .	1	-3	 so[0] with[0] the[0] aid[0] of[0] a[0] priest[0] named[0] adam[0] tim[0] guinee[0] and[0] a[0] bitten[0] hooker[0] sheryl[0] lee[0] as[0] bait[-1] they[0] track[0] valek[0] down[0] for[0] the[0] final[0] confrontation[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the script for vampires , written by don jakoby and based on the john steakley novel , is perhaps the wittiest piece of screenplay to see production all year . 	the script for vampires , written by don jakoby and based on the john steakley novel , is perhaps the wittiest piece of screenplay to see production all year .	1	-1	 the[0] script[0] for[0] vampires[0] written[0] by[0] don[0] jakoby[0] and[0] based[0] on[0] the[0] john[0] steakley[0] novel[0] is[0] perhaps[0] the[0] wittiest[0] piece[0] of[0] screenplay[0] to[0] see[0] production[0] all[0] year[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
