the ring is probably one of the creepiest movies i've seen in years . 	Translation	Positive	Negative	EmotionRationale
but then again , i've always had this phobia of asian born horror films . 	but then again , i've always had this phobia of asian born horror films .	1	-4	 but[0] then[0] again[0] i've[0] always[0] had[0] this[0] phobia[-2] of[0] asian[0] born[0] horror[-3] films[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i remember when i was a kid i was scared as hell with those green faced , long-haired floating ghosts donning their white gowns  euuugh . 	i remember when i was a kid i was scared as hell with those green faced , long-haired floating ghosts donning their white gowns  eugh .	2	-4	 i[0] remember[0] when[0] i[0] was[0] a[0] kid[0] i[0] was[0] scared[-3] as[0] hell[-1] with[0] those[0] green[0] faced[0] long[0] haired[0] floating[0] ghosts[0] donning[0] their[0] white[0] gowns[0] euuugh/eugh[0][+0.6 MultipleLetters] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the ring really brings back those memories and its grips me long after the movie has ended . 	the ring really brings back those memories and its grips me long after the movie has ended .	1	-1	 the[0] ring[0] really[0] brings[0] back[0] those[0] memories[0] and[0] its[0] grips[0] me[0] long[0] after[0] the[0] movie[0] has[0] ended[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unlike the horror films coming from the west , i'm pretty much used to the gore and visual effects , so much so , they become rather bland nowadays . 	unlike the horror films coming from the west , i'm pretty much used to the gore and visual effects , so much so , they become rather bland nowadays .	3	-4	 unlike[0] the[0] horror[-3] films[0] coming[0] from[0] the[0] west[0] i'm[0] pretty[2] much[0] used[0] to[0] the[0] gore[0] and[0] visual[0] effects[0] so[0] much[0] so[0] they[0] become[0] rather[0] bland[-1] nowadays[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
there's really no scary movie from the west for a long time . 	there's really no scary movie from the west for a long time .	1	-4	 there's[0] really[0] no[0] scary[-3] movie[0] from[0] the[0] west[0] for[0] a[0] long[0] time[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if you have something in mind , please tell me . 	if you have something in mind , please tell me .	2	-1	 if[0] you[0] have[0] something[0] in[0] mind[0] please[1] tell[0] me[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this japanese flick is supposed to be based upon stories written by  the stephen king of japan' , which is also ( i heard ) televised over the air in japan . 	this japanese flick is supposed to be based upon stories written by  the stephen king of japan' , which is also ( i heard ) televised over the air in japan .	1	-1	 this[0] japanese[0] flick[0] is[0] supposed[0] to[0] be[0] based[0] upon[0] stories[0] written[0] by[0] the[0] stephen[0] king[0] of[0] japan'[0] which[0] is[0] also[0] i[0] heard[0] televised[0] over[0] the[0] air[0] in[0] japan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film revolves around a mysterious videotape which will bring death for sure to the person who watches it , one week prior to viewing . 	the film revolves around a mysterious videotape which will bring death for sure to the person who watches it , one week prior to viewing .	1	-3	 the[0] film[0] revolves[0] around[0] a[0] mysterious[0] videotape[0] which[0] will[0] bring[0] death[-2] for[0] sure[0] to[0] the[0] person[0] who[0] watches[0] it[0] one[0] week[0] prior[0] to[0] viewing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a journalist and her husband , stupid enough , tests the so call  urban legend' and ends up having a week before she meets her doom . 	a journalist and her husband , stupid enough , tests the so call  urban legend' and ends up having a week before she meets her doom .	1	-2	 a[0] journalist[0] and[0] her[0] husband[0] stupid[-1] enough[0] tests[0] the[0] so[0] call[0] urban[0] legend'[0] and[0] ends[0] up[0] having[0] a[0] week[0] before[0] she[0] meets[0] her[0] doom[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she and her husband then goes on a search for the origin of the videocassette , to get to the root of the whole curse with the hopes of freeing themselves . 	she and her husband then goes on a search for the origin of the videocassette , to get to the root of the whole curse with the hopes of freeing themselves .	2	-2	 she[0] and[0] her[0] husband[0] then[0] goes[0] on[0] a[0] search[0] for[0] the[0] origin[0] of[0] the[0] videocassette[0] to[0] get[0] to[0] the[0] root[0] of[0] the[0] whole[0] curse[-1] with[0] the[0] hopes[1] of[0] freeing[0] themselves[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the ring plays on the senses like no other horror film today . 	the ring plays on the senses like no other horror film today .	2	-4	 the[0] ring[0] plays[1] on[0] the[0] senses[0] like[1] no[0] other[0] horror[-3] film[0] today[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
visual subtlety , minimal music and an intriguing plot puts the audience within an aura of suspense throughout the entire film . 	visual subtlety , minimal music and an intriguing plot puts the audience within an aura of suspense throughout the entire film .	1	-1	 visual[0] subtlety[0] minimal[0] music[0] and[0] an[0] intriguing[0] plot[0] puts[0] the[0] audience[0] within[0] an[0] aura[0] of[0] suspense[0] throughout[0] the[0] entire[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
very well done indeed , especially for a film that does not have a single trace of violence and gore . 	very well done indeed , especially for a film that does not have a single trace of violence and gore .	1	-4	 very[0] well[0] done[0] indeed[0] especially[0] for[0] a[0] film[0] that[0] does[0] not[0] have[0] a[0] single[0] trace[0] of[0] violence[-3] and[0] gore[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
now , that s something budding horror film-maker wannabes should consider looking into . 	now , that s something budding horror film-maker wannabes should consider looking into .	1	-4	 now[0] that[0] s[0] something[0] budding[0] horror[-3] film[0] maker[0] wannabes[0] should[0] consider[0] looking[0] into[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
just an idea of how visually powerful the film is , it is in japanese and subtitled in chinese ; both of which , i can't understand at all ( ok , i had a friend who gave me a gist prior to watching , but he revealed very little ! ) . 	just an idea of how visually powerful the film is , it is in japanese and subtitled in chinese ; both of which , i can't understand at all ( ok , i had a friend who gave me a gist prior to watching , but he revealed very little !<br> ) .	2	-1	 just[0] an[0] idea[0] of[0] how[0] visually[0] powerful[0] the[0] film[0] is[0] it[0] is[0] in[0] japanese[0] and[0] subtitled[0] in[0] chinese[0] both[0] of[0] which[0] i[0] can't[0] understand[0] at[0] all[0] ok[0] i[0] had[0] a[0] friend[1] who[0] gave[0] me[0] a[0] gist[0] prior[0] to[0] watching[0] but[0] he[0] revealed[0] very[0] little[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the twists in the plot , leading to an unforgettable climax ( will definitely leave an impression on the audience ) will have you at the edge of your seat . 	the twists in the plot , leading to an unforgettable climax ( will definitely leave an impression on the audience ) will have you at the edge of your seat .	1	-1	 the[0] twists[0] in[0] the[0] plot[0] leading[0] to[0] an[0] unforgettable[0] climax[0] will[0] definitely[0] leave[0] an[0] impression[0] on[0] the[0] audience[0] will[0] have[0] you[0] at[0] the[0] edge[0] of[0] your[0] seat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
