the calendar year has not even reached its midway point , but that hasn't prevented columbia pictures from trotting out a lavish period drama more befitting of the winter oscar-bait season . 	Translation	Positive	Negative	EmotionRationale
bille august's high-profile adaptation of victor hugo's classic les miserables delivers everything one would expect from a classy hollywood epic--handsome production values , strong performances by a top-notch cast , a literate screenplay--with one critically missing element : emotional sweep . 	bile august's high-profile adaptation of victor hugo's classic les miserables delivers everything one would expect from a classy hollywood epic-handsome production values , strong performances by a top-notch cast , a literate screenplay-with one critically missing element : emotional sweep .	2	-3	 bille/bile[0] august's[0] high[0] profile[0] adaptation[0] of[0] victor[0] hugo's[0] classic[0] les[0] miserables[-2] delivers[0] everything[0] one[0] would[0] expect[0] from[0] a[0] classy[0] hollywood[0] epic[0] handsome[1] production[0] values[1] strong[0] performances[0] by[0] a[0] top[0] notch[0] cast[0] a[0] literate[0] screenplay[0] with[0] one[0] critically[-1] missing[0] element[0] emotional[-1] sweep[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
for those not familiar with hugo's original novel or the hit stage musical it inspired , the hook of les miserables essentially boils down to something like a 19th-century french-set version of the fugitive . 	for those not familiar with hugo's original novel or the hit stage musical it inspired , the hook of les miserables essentially boils down to something like a 19th-century french-set version of the fugitive .	3	-3	 for[0] those[0] not[0] familiar[0] with[0] hugo's[0] original[0] novel[0] or[0] the[0] hit[0] stage[0] musical[0] it[0] inspired[2] the[0] hook[0] of[0] les[0] miserables[-2] essentially[0] boils[0] down[0] to[0] something[0] like[1] a[0] 19th[0] century[0] french[0] set[0] version[0] of[0] the[0] fugitive[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
after serving 19 years in a prison work camp for stealing a loaf of bread , the brutish jean valjean ( liam neeson ) is paroled . 	after serving 19 years in a prison work camp for stealing a loaf of bread , the brutish jean valjean ( liam neeson ) is paroled .	1	-3	 after[0] serving[0] 19[0] years[0] in[0] a[0] prison[-1] work[0] camp[0] for[0] stealing[-2] a[0] loaf[0] of[0] bread[0] the[0] brutish[-1] jean[0] valjean[0] liam[0] neeson[0] is[0] paroled[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
immediately upon release , he steals valuable silverware from a kindly bishop who takes him in for a night ; he is caught by authorities , only to be forgiven by the bishop , who lets valjean keep the silver to start a new life on the straight and narrow . 	immediately upon release , he steals valuable silverware from a kindly bishop who takes him in for a night ; he is caught by authorities , only to be forgiven by the bishop , who lets valjean keep the silver to start a new life on the straight and narrow .	2	-3	 immediately[0] upon[0] release[0] he[0] steals[-2] valuable[1] silverware[0] from[0] a[0] kindly[1] bishop[0] who[0] takes[0] him[0] in[0] for[0] a[0] night[0] he[0] is[0] caught[0] by[0] authorities[0] only[0] to[0] be[0] forgiven[1] by[0] the[0] bishop[0] who[0] lets[0] valjean[0] keep[0] the[0] silver[0] to[0] start[0] a[0] new[0] life[0] on[0] the[0] straight[0] and[0] narrow[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that he does , and in doing so breaks his parole , which sets the obsessively determined inspector javert ( geoffrey rush ) , who was one of the guards in valjean's prison camp , on his trail . 	that he does , and in doing so breaks his parole , which sets the obsessively determined inspector javert ( geoffrey rush ) , who was one of the guards in valjean's prison camp , on his trail .	1	-3	 that[0] he[0] does[0] and[0] in[0] doing[0] so[0] breaks[0] his[0] parole[0] which[0] sets[0] the[0] obsessively[-2] determined[0] inspector[0] javert[0] geoffrey[0] rush[0] who[0] was[0] one[0] of[0] the[0] guards[0] in[0] valjean's[0] prison[-1] camp[0] on[0] his[0] trail[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
thematically , however , les miserables is a story about redemption , which valjean finds through his dealings with two women , the hard-luck factory-worker-turned-prostitute fantine ( uma thurman ) , and her illegitimate daughter , cosette . 	thematically , however , les miserables is a story about redemption , which valjean finds through his dealings with two women , the hard-luck factory-worker-turned-prostitute fantine ( uma thurman ) , and her illegitimate daughter , cosette .	3	-3	 thematically[0] however[0] les[0] miserables[-2] is[0] a[0] story[0] about[0] redemption[0] which[0] valjean[0] finds[0] through[0] his[0] dealings[0] with[0] two[0] women[0] the[0] hard[0] luck[2] factory[0] worker[0] turned[0] prostitute[0] fantine[0] uma[0] thurman[0] and[0] her[0] illegitimate[0] daughter[0] cosette[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
years after breaking parole , valjean becomes mayor of the town of vigau , where he forms a warm friendship with fantine after saving her from an unjust arrest by javert . 	years after breaking parole , valjean becomes mayor of the town of vigau , where he forms a warm friendship with fantine after saving her from an unjust arrest by javert .	2	-2	 years[0] after[0] breaking[0] parole[0] valjean[0] becomes[0] mayor[0] of[0] the[0] town[0] of[0] vigau[0] where[0] he[0] forms[0] a[0] warm[0] friendship[1] with[0] fantine[0] after[0] saving[0] her[0] from[0] an[0] unjust[-1] arrest[0] by[0] javert[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
valjean promises the gravely ill fantine he will rescue the young cosette ( mimi newman ) from her cruel caretakers , the thenardiers , and raise the child as his own . 	valjean promises the gravely ill fantine he will rescue the young cosette ( mimi newman ) from her cruel caretakers , the thenardiers , and raise the child as his own .	2	-4	 valjean[0] promises[1] the[0] gravely[0] ill[-1] fantine[0] he[0] will[0] rescue[0] the[0] young[0] cosette[0] mimi[0] newman[0] from[0] her[0] cruel[-3] caretakers[0] the[0] thenardiers[0] and[0] raise[0] the[0] child[0] as[0] his[0] own[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the " father " and " daughter " eventually land in paris , where the teenage cosette ( claire danes ) falls for dashing student revolutionary marius ( hans matheson ) . 	the " father " and " daughter " eventually land in paris , where the teenage cosette ( claire danes ) falls for dashing student revolutionary marius ( hans matheson ) .	1	-2	 the[0] father[0] and[0] daughter[0] eventually[0] land[0] in[0] paris[0] where[0] the[0] teenage[0] cosette[0] claire[0] danes[0] falls[0] for[0] dashing[0] student[0] revolutionary[-1] marius[0] hans[0] matheson[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the decades-spanning story is the stuff that cinematic epics are made of , and the danish august turns in his most accomplished english-language work , following the underrated 1994 superstar soap the house of the spirits and last year's stylish but highly preposterous mystery smilla's sense of snow . 	the decades-spanning story is the stuff that cinematic epics are made of , and the danish august turns in his most accomplished english-language work , following the underrated 1994 superstar soap the house of the spirits and last year's stylish but highly preposterous mystery smilla's sense of snow .	3	-2	 the[0] decades[0] spanning[0] story[0] is[0] the[0] stuff[0] that[0] cinematic[0] epics[0] are[0] made[0] of[0] and[0] the[0] danish[0] august[0] turns[0] in[0] his[0] most[0] accomplished[1] english[0] language[0] work[0] following[0] the[0] underrated[0] 1994[0] superstar[0] soap[0] the[0] house[0] of[0] the[0] spirits[0] and[0] last[0] year's[0] stylish[0] but[0] highly[0] preposterous[-1] mystery[0] smilla's[2] sense[0] of[0] snow[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
