in my review of there's something about mary , i said something to the effect of " laughter isn't everything . " 	Translation	Positive	Negative	EmotionRationale
i now need to make a brief addendum to my postulate : laughter isn't everything , unless i'm watching a jim abrahams film . 	i now need to make a brief addendum to my postulate : laughter isn't everything , unless i'm watching a jim abrahams film .	2	-1	 i[0] now[0] need[0] to[0] make[0] a[0] brief[0] addendum[0] to[0] my[0] postulate[0] laughter[1] isn't[0] everything[0] unless[0] i'm[0] watching[0] a[0] jim[0] abrahams[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
see , spoofs are easy with me . 	see , spoofs are easy with me .	1	-1	 see[0] spoofs[0] are[0] easy[0] with[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i love movies , and i love movies that make fun of movies that i love . 	i love movies , and i love movies that make fun of movies that i love .	3	-1	 i[0] love[2] movies[0] and[0] i[0] love[2] movies[0] that[0] make[0] fun[1] of[0] movies[0] that[0] i[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sometimes i'm the only one in the theater laughing . 	sometimes i'm the only one in the theater laughing .	2	-1	 sometimes[0] i'm[0] the[0] only[0] one[0] in[0] the[0] theater[0] laughing[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sometimes i laugh so hard that i embarass myself because my laugh is so high-pitched in comparison to my speaking voice ( it cuts right through everyone else's laughter ) . 	sometimes i laugh so hard that i embarass myself because my laugh is so high-pitched in comparison to my speaking voice ( it cuts right through everyone else's laughter ) .	2	-1	 sometimes[0] i[0] laugh[1] so[0] hard[0] that[0] i[0] embarass[0] myself[0] because[0] my[0] laugh[1] is[0] so[0] high[0] pitched[0] in[0] comparison[0] to[0] my[0] speaking[0] voice[0] it[0] cuts[0] right[0] through[0] everyone[0] else's[0] laughter[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sometimes i laugh so much that my cheekbones are sore by the end of the film . 	sometimes i laugh so much that my cheekbones are sore by the end of the film .	2	-2	 sometimes[0] i[0] laugh[1] so[0] much[0] that[0] my[0] cheekbones[0] are[0] sore[-1] by[0] the[0] end[0] of[0] the[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
abraham's latest film , mafia ! , induced this kind of hysteria upon me . 	abraham's latest film , mafia !<br> , induced this kind of hysteria upon me .	2	-2	 abraham's[0] latest[0] film[0] mafia[0] [[Sentence=-1,1=word max, 1-5]] induced[0] this[0] kind[1] of[0] hysteria[-1] upon[0] me[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's gotten some mediocre reviews , but , hey , i'm the guy who laughs at everything . 	it's gotten some mediocre reviews , but , hey , i'm the guy who laughs at everything .	2	-1	 it's[0] gotten[0] some[0] mediocre[-1][--1 LastWordBoosterStrength] reviews[0] but[0] hey[1] i'm[0] the[0] guy[0] who[0] laughs[1] at[0] everything[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there may be a lot of jokes that flop in this film , but there are far more that work , and i laughed so frequently that the failed jokes usually occurred as i was recovering from the previous bout of giddy madness . 	there may be a lot of jokes that flop in this film , but there are far more that work , and i laughed so frequently that the failed jokes usually occurred as i was recovering from the previous bout of giddy madness .	2	-3	 there[0] may[0] be[0] a[0] lot[0] of[0] jokes[1] that[0] flop[0] in[0] this[0] film[0] but[0] there[0] are[0] far[0] more[0] that[0] work[0] and[0] i[0] laughed[1] so[0] frequently[0] that[0] the[0] failed[-2] jokes[1] usually[0] occurred[0] as[0] i[0] was[0] recovering[0] from[0] the[0] previous[0] bout[0] of[0] giddy[0] madness[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i enjoy films like this because not one second of it is serious or thought-provoking . 	i enjoy films like this because not one second of it is serious or thought-provoking .	3	-2	 i[0] enjoy[2] films[0] like[1] this[0] because[0] not[0] one[0] second[0] of[0] it[0] is[0] serious[-1] or[0] thought[0] provoking[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
most lighweight films that pose as comedies try to do other things , like develop characters , shape stories , and other such nonsense . 	most lighweight films that pose as comedies try to do other things , like develop characters , shape stories , and other such nonsense .	2	-2	 most[0] lighweight[0] films[0] that[0] pose[0] as[0] comedies[0] try[0] to[0] do[0] other[0] things[0] like[1] develop[0] characters[0] shape[0] stories[0] and[0] other[0] such[0] nonsense[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
mafia ! 	mafia !	1	-1	 mafia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
has no pretentions about characters or story , and it exists for no other reason than to make people laugh . 	has no pretentions about characters or story , and it exists for no other reason than to make people laugh .	2	-1	 has[0] no[0] pretentions[0] about[0] characters[0] or[0] story[0] and[0] it[0] exists[0] for[0] no[0] other[0] reason[0] than[0] to[0] make[0] people[0] laugh[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film begins on the perfect high note , with a mockery of the opening of casino . 	the film begins on the perfect high note , with a mockery of the opening of casino .	2	-3	 the[0] film[0] begins[0] on[0] the[0] perfect[1] high[0] note[0] with[0] a[0] mockery[-2] of[0] the[0] opening[0] of[0] casino[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
our hero ( jay mohr ) is seen walking from a casino and getting into his car , which subsequently explodes and sends him flying through the air against a backdrop of flowing fire . 	our hero ( jay mohr ) is seen walking from a casino and getting into his car , which subsequently explodes and sends him flying through the air against a backdrop of flowing fire .	3	-2	 our[0] hero[2] jay[0] mohr[0] is[0] seen[0] walking[0] from[0] a[0] casino[0] and[0] getting[0] into[0] his[0] car[0] which[0] subsequently[0] explodes[-1] and[0] sends[0] him[0] flying[0] through[0] the[0] air[0] against[-1] a[0] backdrop[0] of[0] flowing[0] fire[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
