one of my colleagues was surprised when i told her i was willing to see betsy's wedding . 	Translation	Positive	Negative	EmotionRationale
and she was shocked to hear that i actually liked it . 	and she was shocked to hear that i actually liked it .	3	-3	 and[0] she[0] was[0] shocked[-2] to[0] hear[0] that[0] i[0] actually[0] liked[2] it[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
her reaction was understandable when you consider that the film revolves around molly ringwald , who hasn't made a worthwhile film since 1986 . 	her reaction was understandable when you consider that the film revolves around molly ringwald , who hasn't made a worthwhile film since 1986 .	2	-1	 her[0] reaction[0] was[0] understandable[0] when[0] you[0] consider[0] that[0] the[0] film[0] revolves[0] around[0] molly[0] ringwald[0] who[0] hasn't[0] made[0] a[0] worthwhile[1] film[0] since[0] 1986[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but the fact is , betsy's wedding is also an alan alda film . 	but the fact is , betsy's wedding is also an alan alda film .	1	-1	 but[0] the[0] fact[0] is[0] betsy's[0] wedding[0] is[0] also[0] an[0] alan[0] alda[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and while ringwald has been making duds for the last four years , alda has been involved with several noteworthy projects , including crimes and misdemeanors and a new life . 	and while ringwald has been making duds for the last four years , alda has been involved with several noteworthy projects , including crimes and misdemeanors and a new life .	1	-2	 and[0] while[0] ringwald[0] has[0] been[0] making[0] duds[0] for[0] the[0] last[0] four[0] years[0] alda[0] has[0] been[0] involved[0] with[0] several[0] noteworthy[0] projects[0] including[0] crimes[-1] and[0] misdemeanors[0] and[0] a[0] new[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
written and directed by alda , betsy's wedding is a vibrant slice-of-life , mixing a few dramatic moments into a big bowl of whimsical humor . 	written and directed by alda , betsy's wedding is a vibrant slice-of-life , mixing a few dramatic moments into a big bowl of whimsical humor .	3	-1	 written[0] and[0] directed[0] by[0] alda[0] betsy's[0] wedding[0] is[0] a[0] vibrant[0] slice[0] of[0] life[0] mixing[0] a[0] few[0] dramatic[0] moments[0] into[0] a[0] big[0] bowl[0] of[0] whimsical[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
alda's comic elixir is smooth and refreshing--and a welcome change of pace from the usual summer fare . 	alda's comic elixir is smooth and refreshing-and a welcome change of pace from the usual summer fare .	2	-1	 alda's[0] comic[0] elixir[0] is[0] smooth[0] and[0] refreshing[0] and[0] a[0] welcome[1] change[0] of[0] pace[0] from[0] the[0] usual[0] summer[0] fare[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as bride and groom , molly ringwald and dylan walsh are the pivotal characters in the film , but they are by far the least interesting . 	as bride and groom , molly ringwald and dylan walsh are the pivotal characters in the film , but they are by far the least interesting .	2	-1	 as[0] bride[0] and[0] groom[0] molly[0] ringwald[0] and[0] dylan[0] walsh[0] are[0] the[0] pivotal[0] characters[0] in[0] the[0] film[0] but[0] they[0] are[0] by[0] far[0] the[0] least[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
walsh is a nonentity , with all the screen presence of a door knob . 	walsh is a nonentity , with all the screen presence of a door knob .	1	-1	 walsh[0] is[0] a[0] nonentity[0] with[0] all[0] the[0] screen[0] presence[0] of[0] a[0] door[0] knob[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ringwald is simply unbearable and is easily the weakest link in the chain . 	ringwald is simply unbearable and is easily the weakest link in the chain .	1	-4	 ringwald[0] is[0] simply[0] unbearable[-3] and[0] is[0] easily[0] the[0] weakest[-1] link[0] in[0] the[0] chain[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
she looks hideous with her short-cropped orange hair , red lip-stick and grotesque outfits . 	she looks hideous with her short-cropped orange hair , red lip-stick and grotesque outfits .	1	-2	 she[0] looks[0] hideous[-1] with[0] her[0] short[0] cropped[0] orange[0] hair[0] red[0] lip[0] stick[0] and[0] grotesque[-1] outfits[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she's supposed to be a dress designer , but she looks more like a clown . 	she's supposed to be a dress designer , but she looks more like a clown .	2	-1	 she's[0] supposed[0] to[0] be[0] a[0] dress[0] designer[0] but[0] she[0] looks[0] more[0] like[1] a[0] clown[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and to make matters worse , ringwald's performance matches her appearance . 	and to make matters worse , ringwald's performance matches her appearance .	1	-3	 and[0] to[0] make[0] matters[0] worse[-2] ringwald's[0] performance[0] matches[0] her[0] appearance[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
thankfully , alda keeps ringwald's screen time to a minimum ; he is far more interested in the colorful periphery characters . 	thankfully , alda keeps ringwald's screen time to a minimum ; he is far more interested in the colorful periphery characters .	2	-1	 thankfully[1] alda[0] keeps[0] ringwald's[0] screen[0] time[0] to[0] a[0] minimum[0] he[0] is[0] far[0] more[0] interested[1] in[0] the[0] colorful[0] periphery[0] characters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the wedding is just a device to bring together the bride's working-class , italian family and the groom's rich , gentile family . 	the wedding is just a device to bring together the bride's working-class , italian family and the groom's rich , gentile family .	1	-1	 the[0] wedding[0] is[0] just[0] a[0] device[0] to[0] bring[0] together[0] the[0] bride's[0] working[0] class[0] italian[0] family[0] and[0] the[0] groom's[0] rich[0] gentile[0] family[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ringwald's folks are homey and down-to-earth , with alda as her free-spirited father , madeline kahn as her practical mother , and ally sheedy as her lonely sister . 	ringwald's folks are homey and down-to-earth , with alda as her free-spirited father , madeline kahn as her practical mother , and ally sheedy as her lonely sister .	1	-2	 ringwald's[0] folks[0] are[0] homey[0] and[0] down[0] to[0] earth[0] with[0] alda[0] as[0] her[0] free[0] spirited[0] father[0] madeline[0] kahn[0] as[0] her[0] practical[0] mother[0] and[0] ally[0] sheedy[0] as[0] her[0] lonely[-1] sister[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
walsh's clan , on the other hand , is prim , proper and ostentatious . 	walsh's clan , on the other hand , is prim , proper and ostentatious .	1	-1	 walsh's[0] clan[0] on[0] the[0] other[0] hand[0] is[0] prim[0] proper[0] and[0] ostentatious[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the two families meet and mingle , the movie becomes a story of culture clash , or as one character puts it , " money versus values . " 	when the two families meet and mingle , the movie becomes a story of culture clash , or as one character puts it , " money versus values .<br> "	2	-2	 when[0] the[0] two[0] families[0] meet[0] and[0] mingle[0] the[0] movie[0] becomes[0] a[0] story[0] of[0] culture[0] clash[-1] or[0] as[0] one[0] character[0] puts[0] it[0] money[0] versus[0] values[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ally sheedy , in a wonderfully understated performance , is one of the film's most pleasant surprises . 	ally sheedy , in a wonderfully understated performance , is one of the film's most pleasant surprises .	3	-1	 ally[0] sheedy[0] in[0] a[0] wonderfully[2] understated[0] performance[0] is[0] one[0] of[0] the[0] film's[0] most[0] pleasant[2] surprises[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sheedy expresses more with just her eyes than ringwald does with her entire body . 	sheedy expresses more with just her eyes than ringwald does with her entire body .	1	-1	 sheedy[0] expresses[0] more[0] with[0] just[0] her[0] eyes[0] than[0] ringwald[0] does[0] with[0] her[0] entire[0] body[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's anthony lapaglia , however , who seizes the spotlight . 	it's anthony lapaglia , however , who seizes the spotlight .	1	-1	 it's[0] anthony[0] lapaglia[0] however[0] who[0] seizes[0] the[0] spotlight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lapaglia plays stevie dee , a suave , overly polite mafioso who is formally courting sheedy with old-fashioned chivalry . 	lapaglia plays stevie dee , a suave , overly polite mafioso who is formally courting sheedy with old-fashioned chivalry .	2	-1	 lapaglia[0] plays[1] stevie[0] dee[0] a[0] suave[0] overly[0] polite[0] mafioso[0] who[0] is[0] formally[0] courting[0] sheedy[0] with[0] old[0] fashioned[0] chivalry[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lapaglia's sincere but dim-witted character is a riot . 	lapaglia's sincere but dim-witted character is a riot .	1	-2	 lapaglia's[0] sincere[0] but[0] dim[-1] witted[0] character[0] is[0] a[0] riot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and what's uncanny is that lapaglia is a dead ringer for robert de niro , with a little bit of alec baldwin thrown in for good measure . 	and what's uncanny is that lapaglia is a dead ringer for robert de niro , with a little bit of alec baldwin thrown in for good measure .	2	-3	 and[0] what's[0] uncanny[0] is[0] that[0] lapaglia[0] is[0] a[0] dead[-2] ringer[0] for[0] robert[0] de[0] niro[0] with[0] a[0] little[0] bit[0] of[0] alec[0] baldwin[0] thrown[0] in[0] for[0] good[1] measure[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
lapaglia seems to have attended the de niro school of gangster acting , and his inspired performance is partly a tribute to his role-model and partly a rip-off . 	lapaglia seems to have attended the de niro school of gangster acting , and his inspired performance is partly a tribute to his role-model and partly a rip-off .	3	-2	 lapaglia[0] seems[0] to[0] have[0] attended[0] the[0] de[0] niro[0] school[0] of[0] gangster[0] acting[0] and[0] his[0] inspired[2] performance[0] is[0] partly[0] a[0] tribute[0] to[0] his[0] role[0] model[0] and[0] partly[0] a[0] rip[-1] off[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i don't know whether to say a star is born or a star is re-born , but i do know that lapaglia's over-the-top performance should not be missed . 	i don't know whether to say a star is born or a star is re-born , but i do know that lapaglia's over-the-top performance should not be missed .	2	-1	 i[0] don't[0] know[0] whether[0] to[0] say[0] a[0] star[0] is[0] born[0] or[0] a[0] star[0] is[0] re[0] born[0] but[0] i[0] do[0] know[0] that[0] lapaglia's[0] over[0] the[0] top[0] performance[0] should[0] not[0] be[0] missed[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the scrumptious comic acting , however , extends well beyond sheedy and lapaglia . 	the scrumptious comic acting , however , extends well beyond sheedy and lapaglia .	4	-1	 the[0] scrumptious[3] comic[0] acting[0] however[0] extends[0] well[0] beyond[0] sheedy[0] and[0] lapaglia[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
