with the sudden liberal emergence of personal privacy abounding in the news lately , what with that whole clinton thing going on ( you know , 100 million bucks to discover the president got boinked by an intern - oh , please , government , waste my taxes just a bit more , would you ? ) , 	Translation	Positive	Negative	EmotionRationale
it's about time tony scott helmed the newest action pic disguised as an important if not slightly ignorant social statement . 	it's about time tony scot helmed the newest action pic disguised as an important if not slightly ignorant social statement .	2	-1	 it's[0] about[0] time[0] tony[0] scott/scot[0] helmed[0] the[0] newest[0] action[0] pic[0] disguised[0] as[0] an[0] important[0] if[0] not[0] slightly[0] ignorant[-2][--1 LastWordBoosterStrength][NegatedDueToPreviousWord] social[0] statement[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with this and " crimson tide , " he's created two successfully chilly films that are interesting , exciting , even pretty smart , but never totally riveting as cinema , and the problem i think with each of these films is that each film is too obsessed with its message to ever be really satisfying , and too obsessed with looking all cutting edge to ever be totally smart . 	with this and " crimson tide , " he's created two successfully chilly films that are interesting , exciting , even pretty smart , but never totally riveting as cinema , and the problem i think with each of these films is that each film is too obsessed with its message to ever be really satisfying , and too obsessed with looking all cutting edge to ever be totally smart .	3	-3	 with[0] this[0] and[0] crimson[0] tide[0] he's[0] created[0] two[0] successfully[2] chilly[0] films[0] that[0] are[0] interesting[1] exciting[2] even[0] pretty[2] smart[1] but[0] never[0] totally[0] riveting[0] as[0] cinema[0] and[0] the[0] problem[-1] i[0] think[0] with[0] each[0] of[0] these[0] films[0] is[0] that[0] each[0] film[0] is[0] too[0] obsessed[-2] with[0] its[0] message[0] to[0] ever[0] be[0] really[0] satisfying[1][1 LastWordBoosterStrength] and[0] too[0] obsessed[-2] with[0] looking[0] all[0] cutting[0] edge[0] to[0] ever[0] be[0] totally[0] smart[1][1 LastWordBoosterStrength] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
that film dealt with a civil war inside a nuclear submarine over whether or not to follow rules or question them , and was appropriately scary and all , but never totally thrilling or overly brilliant . 	that film dealt with a civil war inside a nuclear submarine over whether or not to follow rules or question them , and was appropriately scary and all , but never totally thrilling or overly brilliant .	2	-5	 that[0] film[0] dealt[0] with[0] a[0] civil[0] war[-2] inside[0] a[0] nuclear[0] submarine[0] over[0] whether[0] or[0] not[0] to[0] follow[0] rules[0] or[0] question[0] them[0] and[0] was[0] appropriately[0] scary[-3] and[0] all[0] but[0] never[0] totally[0] thrilling[3][1 LastWordBoosterStrength][NegatedDueToPreviousWord] or[0] overly[0] brilliant[1] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
 " enemy of the state " is the same way : it's engrossing for its entire running time , and it's scary the way that it shows a man's decent into kafkaism , but it's too technical . 	 " enemy of the state " is the same way : it's engrossing for its entire running time , and it's scary the way that it shows a man's decent into kafkaism , but it's too technical .	1	-4	 enemy[-1] of[0] the[0] state[0] is[0] the[0] same[0] way[0] it's[0] engrossing[0] for[0] its[0] entire[0] running[0] time[0] and[0] it's[0] scary[-3] the[0] way[0] that[0] it[0] shows[0] a[0] man's[0] decent[0] into[0] kafkaism[0] but[0] it's[0] too[0] technical[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's too cold and not as fascinating or exciting as it could be . 	it's too cold and not as fascinating or exciting as it could be .	3	-2	 it's[0] too[0] cold[-1] and[0] not[0] as[0] fascinating[0] or[0] exciting[2] as[0] it[0] could[0] be[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it casts will smith , one of the better big budget leading men in movies these days because he's charming and witty and never uninteresting , and hopes that his charisma can make up for his character not being well developed enough to really be a person . 	it casts will smith , one of the better big budget leading men in movies these days because he's charming and witty and never uninteresting , and hopes that his charisma can make up for his character not being well developed enough to really be a person .	2	-1	 it[0] casts[0] will[0] smith[0] one[0] of[0] the[0] better[0] big[0] budget[0] leading[0] men[0] in[0] movies[0] these[0] days[0] because[0] he's[0] charming[1] and[0] witty[0] and[0] never[0] uninteresting[0] and[0] hopes[1] that[0] his[0] charisma[0] can[0] make[0] up[0] for[0] his[0] character[0] not[0] being[0] well[0] developed[0] enough[0] to[0] really[0] be[0] a[0] person[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i hate to do this , but last year's film " the game " got it damn perfect : it casts michael douglas as a deeply flawed human being , a man who is cold and has cut off everyone from his life , and then pulls everything he thought he had as a security blanket away from him and watched what happened . 	i hate to do this , but last year's film " the game " got it damn perfect : it casts michael douglas as a deeply flawed human being , a man who is cold and has cut off everyone from his life , and then pulls everything he thought he had as a security blanket away from him and watched what happened .	2	-4	 i[0] hate[-3] to[0] do[0] this[0] but[0] last[0] year's[0] film[0] the[0] game[0] got[0] it[0] damn[-1] perfect[1] it[0] casts[0] michael[0] douglas[0] as[0] a[0] deeply[0] flawed[0] human[0] being[0] a[0] man[0] who[0] is[0] cold[-1] and[0] has[0] cut[0] off[0] everyone[0] from[0] his[0] life[0] and[0] then[0] pulls[0] everything[0] he[0] thought[0] he[0] had[0] as[0] a[0] security[1] blanket[0] away[0] from[0] him[0] and[0] watched[0] what[0] happened[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the result was not only a film that was exciting and chilling , but also the best mindfuck of the entire year . 	the result was not only a film that was exciting and chilling , but also the best mindfuck of the entire year .	3	-1	 the[0] result[0] was[0] not[0] only[0] a[0] film[0] that[0] was[0] exciting[2] and[0] chilling[0] but[0] also[0] the[0] best[1] mindfuck[0] of[0] the[0] entire[0] year[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
not that i want every kafkaesque film to be " the game " ( this year's " the spanish prisoner " succeeds with less thrills and chills ) , but it should be an example of what works and what doesn't . 	not that i want every kafkaesque film to be " the game " ( this year's " the spanish prisoner " succeeds with less thrills and chills ) , but it should be an example of what works and what doesn't .	4	-2	 not[0] that[0] i[0] want[0] every[0] kafkaesque[0] film[0] to[0] be[0] the[0] game[0] this[0] year's[0] the[0] spanish[0] prisoner[-1] succeeds[2] with[0] less[0] thrills[3] and[0] chills[0] but[0] it[0] should[0] be[0] an[0] example[0] of[0] what[0] works[0] and[0] what[0] doesn't[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
will smith's character is , frankly , too perfect , at least too movie perfect . 	will smith's character is , frankly , too perfect , at least too movie perfect .	2	-1	 will[0] smith's[0] character[0] is[0] frankly[0] too[0] perfect[1] at[0] least[0] too[0] movie[0] perfect[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he had an affair with another woman ( lisa bonet , ha ha ) , but his relationship with his wife ( regina king ) is basically fine regardless . 	he had an affair with another woman ( lisa bonet , ha ha ) , but his relationship with his wife ( regina king ) is basically fine regardless .	3	-2	 he[0] had[0] an[0] affair[0] with[0] another[0] woman[0] lisa[0] bonet[0] ha[1] ha[1] but[0] his[0] relationship[0] with[0] his[0] wife[0] regina[0] king[0] is[0] basically[0] fine[2] regardless[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he has a kid , and he's raking in money as a lawyer , albeit a very good and reasonably moral one . 	he has a kid , and he's raking in money as a lawyer , albeit a very good and reasonably moral one .	3	-1	 he[0] has[0] a[0] kid[0] and[0] he's[0] raking[0] in[0] money[0] as[0] a[0] lawyer[0] albeit[0] a[0] very[0] good[1][1 LastWordBoosterStrength] and[0] reasonably[0] moral[0] one[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so he generally doesn't have any real problems as a human being , and is therefore boring . . . except that he is played by will smith , who embodies him with about as much will smith charm as he can without entering " id4 " / " men in black " territory . 	so he generally doesn't have any real problems as a human being , and is therefore boring .<br> .<br> .<br> except that he is played by will smith , who embodies him with about as much will smith charm as he can without entering " id4 " / " men in black " territory .	2	-2	 so[0] he[0] generally[0] doesn't[0] have[0] any[0] real[0] problems[-1] as[0] a[0] human[0] being[0] and[0] is[0] therefore[0] boring[-1] [[Sentence=-2,1=word max, 1-5]] except[0] that[0] he[0] is[0] played[0] by[0] will[0] smith[0] who[0] embodies[0] him[0] with[0] about[0] as[0] much[0] will[0] smith[0] charm[1] as[0] he[0] can[0] without[0] entering[0] id4[0] /[0] men[0] in[0] black[0] territory[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
