it is with hesitance that i call " apocalypse now " a masterpiece . 	Translation	Positive	Negative	EmotionRationale
certainly , it had the pedigree to be one of the greatest films ever made , with a director known for producing masterpieces with ease , and some of the finest actors of the 1970's . 	certainly , it had the pedigree to be one of the greatest films ever made , with a director known for producing masterpieces with ease , and some of the finest actors of the 1970's .	3	-1	 certainly[0] it[0] had[0] the[0] pedigree[0] to[0] be[0] one[0] of[0] the[0] greatest[2] films[0] ever[0] made[0] with[0] a[0] director[0] known[0] for[0] producing[0] masterpieces[0] with[0] ease[0] and[0] some[0] of[0] the[0] finest[0] actors[0] of[0] the[0] 1970's[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the plot , an adaptation of joseph conrad's " heart of darkness " , was set in vietnam , and the timing of the film was supposed to be brilliant , coming on the heels of the end of the war . 	the plot , an adaptation of joseph conrad's " heart of darkness " , was set in vietnam , and the timing of the film was supposed to be brilliant , coming on the heels of the end of the war .	2	-3	 the[0] plot[0] an[0] adaptation[0] of[0] joseph[0] conrad's[0] heart[0] of[0] darkness[0] was[0] set[0] in[0] vietnam[0] and[0] the[0] timing[0] of[0] the[0] film[0] was[0] supposed[0] to[0] be[0] brilliant[1] coming[0] on[0] the[0] heels[0] of[0] the[0] end[0] of[0] the[0] war[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " apocalypse " certainly has its moments , some of which are the finest in film history . 	 " apocalypse " certainly has its moments , some of which are the finest in film history .	1	-1	 apocalypse[0] certainly[0] has[0] its[0] moments[0] some[0] of[0] which[0] are[0] the[0] finest[0] in[0] film[0] history[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot is fairly simple . 	the plot is fairly simple .	1	-1	 the[0] plot[0] is[0] fairly[0] simple[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
captain willard ( sheen ) , is a troubled soldier who came back to hanoi for a 2nd tour of duty . 	captain willard ( sheen ) , is a troubled soldier who came back to hanoi for a 2nd tour of duty .	1	-2	 captain[0] willard[0] sheen[0] is[0] a[0] troubled[-1] soldier[0] who[0] came[0] back[0] to[0] hanoi[0] for[0] a[0] 2nd[0] tour[0] of[0] duty[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his mission is simple : take a boat up to cambodian territory , and destroy the command of renegade colonel kurtz ( brando ) " with extreme prejudice " . 	his mission is simple : take a boat up to cambodian territory , and destroy the command of renegade colonel kurtz ( brando ) " with extreme prejudice " .	1	-3	 his[0] mission[0] is[0] simple[0] take[0] a[0] boat[0] up[0] to[0] cambodian[0] territory[0] and[0] destroy[-2] the[0] command[0] of[0] renegade[0] colonel[0] kurtz[0] brando[0] with[0] extreme[0] prejudice[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
along the way , willard runs into a series of adventures , including one with lt . col . kilgore ( duvall ) , and a strange encounter with playboy bunnies . 	along the way , willard runs into a series of adventures , including one with lt .<br> col .<br> kilgore ( duvall ) , and a strange encounter with playboy bunnies .	1	-1	 along[0] the[0] way[0] willard[0] runs[0] into[0] a[0] series[0] of[0] adventures[0] including[0] one[0] with[0] lt[0] [[Sentence=-1,1=word max, 1-5]] col[0] [[Sentence=-1,1=word max, 1-5]] kilgore[0] duvall[0] and[0] a[0] strange[0] encounter[0] with[0] playboy[0] bunnies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
willard' s four person crew finally make it to kurtz' compound , where he discovers kurtz has set himself up as a god among the natives . 	willard' s four person crew finally make it to kurtz' compound , where he discovers kurtz has set himself up as a god among the natives .	1	-1	 willard'[0] s[0] four[0] person[0] crew[0] finally[0] make[0] it[0] to[0] kurtz'[0] compound[0] where[0] he[0] discovers[0] kurtz[0] has[0] set[0] himself[0] up[0] as[0] a[0] god[0] among[0] the[0] natives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
willard's experiences with kurtz take up the last half-hour , with a confrontation and eventual ending . 	willard's experiences with kurtz take up the last half-hour , with a confrontation and eventual ending .	1	-3	 willard's[0] experiences[0] with[0] kurtz[0] take[0] up[0] the[0] last[0] half[0] hour[0] with[0] a[0] confrontation[-2] and[0] eventual[0] ending[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the movie is visually breathtaking . 	the movie is visually breathtaking .	1	-1	 the[0] movie[0] is[0] visually[0] breathtaking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the battle scenes are exquisitely done , and the score is brilliant , setting a murky mood of darkness that is first-rate . 	the battle scenes are exquisitely done , and the score is brilliant , setting a murky mood of darkness that is first-rate .	2	-2	 the[0] battle[-1] scenes[0] are[0] exquisitely[0] done[0] and[0] the[0] score[0] is[0] brilliant[1] setting[0] a[0] murky[-1] mood[0] of[0] darkness[0] that[0] is[0] first[0] rate[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the collage of disturbing images that coppola presents is at times both astonishing and sickening . 	the collage of disturbing images that coppola presents is at times both astonishing and sickening .	1	-4	 the[0] collage[0] of[0] disturbing[-1] images[0] that[0] coppola[0] presents[0] is[0] at[0] times[0] both[0] astonishing[0] and[0] sickening[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the vast amount of detail poured into every war scene is stunning , and there are many episodes that are deeply powerful which resonate through the entire movie . 	the vast amount of detail poured into every war scene is stunning , and there are many episodes that are deeply powerful which resonate through the entire movie .	1	-3	 the[0] vast[0] amount[0] of[0] detail[0] poured[0] into[0] every[0] war[-2] scene[0] is[0] stunning[0] and[0] there[0] are[0] many[0] episodes[0] that[0] are[0] deeply[0] powerful[0] which[0] resonate[0] through[0] the[0] entire[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the journey to kurtz' camp is quite a ride , with psychosis setting in on almost every character . 	the journey to kurtz' camp is quite a ride , with psychosis setting in on almost every character .	1	-1	 the[0] journey[0] to[0] kurtz'[0] camp[0] is[0] quite[0] a[0] ride[0] with[0] psychosis[0] setting[0] in[0] on[0] almost[0] every[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the most interesting one is kilgore , the lt . col . who cares more about the surf than about the mission . 	the most interesting one is kilgore , the lt .<br> col .<br> who cares more about the surf than about the mission .	2	-1	 the[0] most[0] interesting[1] one[0] is[0] kilgore[0] the[0] lt[0] [[Sentence=-1,2=word max, 1-5]] col[0] [[Sentence=-1,1=word max, 1-5]] who[0] cares[1] more[0] about[0] the[0] surf[0] than[0] about[0] the[0] mission[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is at times revolting , psychotic , and incredible , and it is one hell of a movie . 	it is at times revolting , psychotic , and incredible , and it is one hell of a movie .	1	-2	 it[0] is[0] at[0] times[0] revolting[-1] psychotic[0] and[0] incredible[0] and[0] it[0] is[0] one[0] hell[-1] of[0] a[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the scenes are bold , inventive , and powerful , and the acting is stunning , especially be sheen , duvall , and fishburne . 	the scenes are bold , inventive , and powerful , and the acting is stunning , especially be sheen , duvall , and fishburne .	1	-1	 the[0] scenes[0] are[0] bold[0] inventive[0] and[0] powerful[0] and[0] the[0] acting[0] is[0] stunning[0] especially[0] be[0] sheen[0] duvall[0] and[0] fishburne[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
