 " i know what you did last summer , " the first high-profile slasher thriller to be released after 1996's " scream , " and written by the same screenwriter , kevin williamson , is a stylish , effective horror film that became 1997's biggest hit of the fall season . 	Translation	Positive	Negative	EmotionRationale
while " scream " was a more knowing film about the genre , " i know what you did last summer " is more reminiscent of a straight-forward slasher flick , but it is far more intelligent than such bottom-of-the-barrel guilty pleasures as all nine of the " friday the 13th " films ( well , okay , " jason goes to hell " was pure hell to sit through ) . 	while " scream " was a more knowing film about the genre , " i know what you did last summer " is more reminiscent of a straight-forward slasher flick , but it is far more intelligent than such bottom-of-the-barrel guilty pleasures as all nine of the " friday the 13th " films ( well , okay , " jason goes to hell " was pure hell to sit through ) .	3	-4	 while[0] scream[-3] was[0] a[0] more[0] knowing[0] film[0] about[0] the[0] genre[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] is[0] more[0] reminiscent[0] of[0] a[0] straight[0] forward[0] slasher[-1] flick[0] but[0] it[0] is[0] far[0] more[0] intelligent[1] than[0] such[0] bottom[0] of[0] the[0] barrel[0] guilty[-3] pleasures[2] as[0] all[0] nine[0] of[0] the[0] friday[0] the[0] 13th[0] films[0] well[0] okay[0] jason[0] goes[0] to[0] hell[-1] was[0] pure[0] hell[-1] to[0] sit[0] through[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the film starts off with four talented , aspiring teenage friends who have just graduated from high school in their small boating town of southport , n . c . 	the film starts off with four talented , aspiring teenage friends who have just graduated from high school in their small boating town of southport , n .<br> c .	2	-1	 the[0] film[0] starts[0] off[0] with[0] four[0] talented[1] aspiring[0] teenage[0] friends[1] who[0] have[0] just[0] graduated[0] from[0] high[0] school[0] in[0] their[0] small[0] boating[0] town[0] of[0] southport[0] n[0] [[Sentence=-1,2=word max, 1-5]] c[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
it is the 4th of july , and they will soon be heading their separate ways . 	it is the 4th of july , and they will soon be heading their separate ways .	1	-1	 it[0] is[0] the[0] 4th[0] of[0] july[0] and[0] they[0] will[0] soon[0] be[0] heading[0] their[0] separate[0] ways[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kind-hearted julie ( jennifer love hewitt ) , and outsider ray ( freddie prinze jr . ) will be headed off to college , while helen ( sarah michelle gellar ) , who has just been honored croaker queen in the town , and her ignorant jock boyfriend , barry ( ryan phillippe ) , are going to new york to become an actress and football player . 	kind-hearted julie ( jennifer love hewitt ) , and outsider ray ( freddie prinze jr .<br> ) will be headed off to college , while helen ( sarah michelle gellar ) , who has just been honored croaker queen in the town , and her ignorant jock boyfriend , barry ( ryan phillippe ) , are going to new york to become an actress and football player .	3	-3	 kind[1] hearted[0] julie[0] jennifer[0] love[2] hewitt[0] and[0] outsider[-1] ray[0] freddie[0] prinze[0] jr[0] [[Sentence=-2,3=word max, 1-5]] will[0] be[0] headed[0] off[0] to[0] college[0] while[0] helen[0] sarah[0] michelle[0] gellar[0] who[0] has[0] just[0] been[0] honored[0] croaker[0] queen[0] in[0] the[0] town[0] and[0] her[0] ignorant[-2] jock[0] boyfriend[0] barry[0] ryan[0] phillippe[0] are[0] going[0] to[0] new[0] york[0] to[0] become[0] an[0] actress[0] and[0] football[0] player[0] [[Sentence=-3,1=word max, 1-5]][[[3,-3 max of sentences]]]
when the four of them travel to a nearby mountain-side beach for the evening , they are dismayed after hitting a man in the road on their way home . 	when the four of them travel to a nearby mountain-side beach for the evening , they are dismayed after hitting a man in the road on their way home .	1	-3	 when[0] the[0] four[0] of[0] them[0] travel[0] to[0] a[0] nearby[0] mountain[0] side[0] beach[0] for[0] the[0] evening[0] they[0] are[0] dismayed[-2] after[0] hitting[0] a[0] man[0] in[0] the[0] road[0] on[0] their[0] way[0] home[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
distraught and confused , they decide they can't go to the police because they will be charged with manslaughter , so they devise a plan to throw the apparently dead victim off a peer into the ocean , in hopes no one will find him . 	distraught and confused , they decide they can't go to the police because they will be charged with manslaughter , so they devise a plan to throw the apparently dead victim off a peer into the ocean , in hopes no one will find him .	2	-4	 distraught[-3] and[0] confused[-1] they[0] decide[0] they[0] can't[0] go[0] to[0] the[0] police[0] because[0] they[0] will[0] be[0] charged[-1] with[0] manslaughter[-3] so[0] they[0] devise[0] a[0] plan[0] to[0] throw[0] the[0] apparently[0] dead[-2] victim[-2][-1 MultiplePositiveWords] off[0] a[0] peer[0] into[0] the[0] ocean[0] in[0] hopes[1] no[0] one[0] will[0] find[0] him[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
julie is apprehensive about it , but is forced into it by barry . 	julie is apprehensive about it , but is forced into it by barry .	1	-3	 julie[0] is[0] apprehensive[-2] about[0] it[0] but[0] is[0] forced[0] into[0] it[0] by[0] barry[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
switch to exactly a year later , julie , still unable to come to terms with what she did , reluctantly returns home from college to find that all three of her old friends are still in the town because their career plans did not work out . 	switch to exactly a year later , julie , still unable to come to terms with what she did , reluctantly returns home from college to find that all three of her old friends are still in the town because their career plans did not work out .	2	-1	 switch[0] to[0] exactly[0] a[0] year[0] later[0] julie[0] still[0] unable[0] to[0] come[0] to[0] terms[0] with[0] what[0] she[0] did[0] reluctantly[-1][--1 LastWordBoosterStrength] returns[0] home[0] from[0] college[0] to[0] find[0] that[0] all[0] three[0] of[0] her[0] old[0] friends[1] are[0] still[0] in[0] the[0] town[0] because[0] their[0] career[0] plans[0] did[0] not[0] work[0] out[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
almost immediately , julie recieves an ominous letter that simply reads , " i know what you did last summer , " and that is the start of their problems as they find themselves being terrorized by a mysterious figure dressed in fisherman gear and yielding a giant hook . 	almost immediately , julie recieves an ominous letter that simply reads , " i know what you did last summer , " and that is the start of their problems as they find themselves being terrorized by a mysterious figure dressed in fisherman gear and yielding a giant hook .	1	-3	 almost[0] immediately[0] julie[0] recieves[0] an[0] ominous[-2] letter[0] that[0] simply[0] reads[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] and[0] that[0] is[0] the[0] start[0] of[0] their[0] problems[-1] as[0] they[0] find[0] themselves[0] being[0] terrorized[-2] by[0] a[0] mysterious[0] figure[0] dressed[0] in[0] fisherman[0] gear[0] and[0] yielding[0] a[0] giant[0] hook[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " i know what you did last summer , " is a successful horror film for a number of reasons . 	 " i know what you did last summer , " is a successful horror film for a number of reasons .	3	-4	 i[0] know[0] what[0] you[0] did[0] last[0] summer[0] is[0] a[0] successful[2] horror[-3] film[0] for[0] a[0] number[0] of[0] reasons[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
