edward zwick's " the siege " raises more questions than it can convincingly answer or even clearly articulate . 	Translation	Positive	Negative	EmotionRationale
its subject is the rising threat of terrorism in american cities . 	its subject is the rising threat of terrorism in american cities .	1	-3	 its[0] subject[0] is[0] the[0] rising[0] threat[-2] of[0] terrorism[-2] in[0] american[0] cities[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
denzel washington is anthony " hub " hubbard , who runs the fbi's anti-terrorism task force in new york . 	denzel washington is anthony " hub " hubbard , who runs the fbi's anti-terrorism task force in new york .	1	-3	 denzel[0] washington[0] is[0] anthony[0] hub[0] hubbard[0] who[0] runs[0] the[0] fbi's[0] anti[0] terrorism[-2] task[0] force[-1] in[0] new[0] york[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his investigation into arab terrorist cells intensifies when suicide bombers take out a busload of people . 	his investigation into arab terrorist cells intensifies when suicide bombers take out a busload of people .	1	-4	 his[0] investigation[0] into[0] arab[0] terrorist[-2] cells[0] intensifies[0] when[0] suicide[-3] bombers[-1] take[0] out[0] a[0] busload[0] of[0] people[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
hub focuses on a mysterious cia operative ( annette bening ) , whose goes by both " elise " and " sharon . " 	hub focuses on a mysterious cia operative ( annette bening ) , whose goes by both " elise " and " sharon .<br> "	1	-1	 hub[0] focuses[0] on[0] a[0] mysterious[0] cia[0] operative[0] annette[0] bening[0] whose[0] goes[0] by[0] both[0] elise[0] and[0] sharon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the terrorist attacks continue and the body count rises , the question of martial law is raised . 	as the terrorist attacks continue and the body count rises , the question of martial law is raised .	1	-4	 as[0] the[0] terrorist[-2] attacks[-2][-1 MultiplePositiveWords] continue[0] and[0] the[0] body[0] count[0] rises[0] the[0] question[0] of[0] martial[0] law[0] is[0] raised[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
enter general devereaux ( bruce willis ) , who opposes martial law at first but who , as soon as the president decides to send in the army , begins herding arab immigrants into a prison camp and attacking every link that hub uncovers in the terrorist chain . 	enter general devereaux ( bruce willis ) , who opposes martial law at first but who , as soon as the president decides to send in the army , begins herding arab immigrants into a prison camp and attacking every link that hub uncovers in the terrorist chain .	1	-3	 enter[0] general[0] devereaux[0] bruce[0] willis[0] who[0] opposes[0] martial[0] law[0] at[0] first[0] but[0] who[0] as[0] soon[0] as[0] the[0] president[0] decides[0] to[0] send[0] in[0] the[0] army[0] begins[0] herding[0] arab[0] immigrants[0] into[0] a[0] prison[-1] camp[0] and[0] attacking[-2] every[0] link[0] that[0] hub[0] uncovers[0] in[0] the[0] terrorist[-2] chain[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
hub listens as devereaux tortures and murders a suspect . 	hub listens as devereaux tortures and murders a suspect .	1	-4	 hub[0] listens[0] as[0] devereaux[0] tortures[-3] and[0] murders[-3] a[0] suspect[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the future zwick and screenwriter lawrence wright offer is all too possible . 	the future zwick and screenwriter lawrence wright offer is all too possible .	1	-1	 the[0] future[0] zwick[0] and[0] screenwriter[0] lawrence[0] wright[0] offer[0] is[0] all[0] too[0] possible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what would happen , they ask , if terrorism became as much a fact of daily life in new york as it is in cities like beirut and belfast ? 	what would happen , they ask , if terrorism became as much a fact of daily life in new york as it is in cities like beirut and belfast ?	2	-3	 what[0] would[0] happen[0] they[0] ask[0] if[0] terrorism[-2] became[0] as[0] much[0] a[0] fact[0] of[0] daily[0] life[0] in[0] new[0] york[0] as[0] it[0] is[0] in[0] cities[0] like[1] beirut[0] and[0] belfast[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
what would happen to our civil liberties if soldiers patrol our streets with machine guns ? 	what would happen to our civil liberties if soldiers patrol our streets with machine guns ?	1	-2	 what[0] would[0] happen[0] to[0] our[0] civil[0] liberties[0] if[0] soldiers[0] patrol[0] our[0] streets[0] with[0] machine[0] guns[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
