aliens ! ! well , that is what this movie is about . 	Translation	Positive	Negative	EmotionRationale
computer generated aliens . 	computer generated aliens .	1	-1	 computer[0] generated[0] aliens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ok , the movie is not just about computer generated aliens . 	ok , the movie is not just about computer generated aliens .	1	-1	 ok[0] the[0] movie[0] is[0] not[0] just[0] about[0] computer[0] generated[0] aliens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's about computer generated aliens and a secret organization known as mib . 	it's about computer generated aliens and a secret organization known as mib .	1	-1	 it's[0] about[0] computer[0] generated[0] aliens[0] and[0] a[0] secret[0] organization[0] known[0] as[0] mib[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if one wasn't green and running around the other would not exist as it's known . 	if one wasn't green and running around the other would not exist as it's known .	1	-1	 if[0] one[0] wasn't[0] green[0] and[0] running[0] around[0] the[0] other[0] would[0] not[0] exist[0] as[0] it's[0] known[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the computer graphics in this movie are spectacular , they make you want to believe that aliens like the ones depicted exits . 	the computer graphics in this movie are spectacular , they make you want to believe that aliens like the ones depicted exits .	2	-1	 the[0] computer[0] graphics[0] in[0] this[0] movie[0] are[0] spectacular[0] they[0] make[0] you[0] want[0] to[0] believe[0] that[0] aliens[0] like[1] the[0] ones[0] depicted[0] exits[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
since seeing this movie i have to agree concede that denis rodman is an alien , he simply has to be . 	since seeing this movie i have to agree concede that denis rodman is an alien , he simply has to be .	1	-2	 since[0] seeing[0] this[0] movie[0] i[0] have[0] to[0] agree[0] concede[0] that[0] denis[0] rodman[0] is[0] an[0] alien[-1] he[0] simply[0] has[0] to[0] be[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , in all seriousness the aliens created here are not only of the monster variety but are also of the soft , squishy and cuddly kind . 	well , in all seriousness the aliens created here are not only of the monster variety but are also of the soft , squishy and cuddly kind .	3	-2	 well[0] in[0] all[0] seriousness[-1] the[0] aliens[0] created[0] here[0] are[0] not[0] only[0] of[0] the[0] monster[-1] variety[0] but[0] are[0] also[0] of[0] the[0] soft[0] squishy[0] and[0] cuddly[2] kind[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
just adds something of a lighter note to the movie where it could have become very dark . 	just adds something of a lighter note to the movie where it could have become very dark .	1	-1	 just[0] adds[0] something[0] of[0] a[0] lighter[0] note[0] to[0] the[0] movie[0] where[0] it[0] could[0] have[0] become[0] very[0] dark[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
along with aliens comes the humor and in a pretty decent way . 	along with aliens comes the humor and in a pretty decent way .	3	-1	 along[0] with[0] aliens[0] comes[0] the[0] humor[2] and[0] in[0] a[0] pretty[2] decent[0] way[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
j , well soon to be j , a smart ass cop ( played by will smith ) runs down what he thinks is a would-be villain and gets some attention from the mib and k in particular . 	j , well soon to be j , a smart ass cop ( played by will smith ) runs down what he thinks is a would-be villain and gets some attention from the mib and k in particular .	2	-3	 j[0] well[0] soon[0] to[0] be[0] j[0] a[0] smart[1] ass[0] cop[0] played[0] by[0] will[0] smith[0] runs[0] down[0] what[0] he[0] thinks[0] is[0] a[0] would[0] be[0] villain[-2] and[0] gets[0] some[0] attention[0] from[0] the[0] mib[0] and[0] k[0] in[0] particular[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
