it is hard to imagine that a movie which includes abortion and incest as prominent plot devices could be so sensitive , so delicate , so insightful and yes , even so enjoyable . 	Translation	Positive	Negative	EmotionRationale
somehow , the cider house rules manages to keep an even keel in the face of the harsh subject matter and allows a substantial amount of heart to shine through . 	somehow , the cider house rules manages to keep an even keel in the face of the harsh subject matter and allows a substantial amount of heart to shine through .	1	-2	 somehow[0] the[0] cider[0] house[0] rules[0] manages[0] to[0] keep[0] an[0] even[0] keel[0] in[0] the[0] face[0] of[0] the[0] harsh[-1] subject[0] matter[0] and[0] allows[0] a[0] substantial[0] amount[0] of[0] heart[0] to[0] shine[0] through[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
set in the 1940's , the film tells the story of a unique young man named homer wells ( tobey maguire , ride with the devil ) . 	set in the 1940's , the film tells the story of a unique young man named homer wells ( tobey maguire , ride with the devil ) .	1	-2	 set[0] in[0] the[0] 1940's[0] the[0] film[0] tells[0] the[0] story[0] of[0] a[0] unique[0] young[0] man[0] named[0] homer[0] wells[0] tobey[0] maguire[0] ride[0] with[0] the[0] devil[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
an orphan , twice rejected as an infant by possible adoptive parents , he grows up in the care and under the tutelage of dr . wilbur larch ( michael caine , little voice ) , father figure to the orphans of st . cloud , obstetrician or abortionist to the unhappily pregnant women who come there seeking his help . 	an orphan , twice rejected as an infant by possible adoptive parents , he grows up in the care and under the tutelage of dr .<br> wilbur larch ( michael caine , little voice ) , father figure to the orphans of st .<br> cloud , obstetrician or abortionist to the unhappily pregnant women who come there seeking his help .	2	-3	 an[0] orphan[-1] twice[0] rejected[-1] as[0] an[0] infant[0] by[0] possible[0] adoptive[0] parents[0] he[0] grows[0] up[0] in[0] the[0] care[1] and[0] under[0] the[0] tutelage[0] of[0] dr[0] [[Sentence=-2,2=word max, 1-5]] wilbur[0] larch[0] michael[0] caine[0] little[0] voice[0] father[0] figure[0] to[0] the[0] orphans[0] of[0] st[0] [[Sentence=-1,1=word max, 1-5]] cloud[0] obstetrician[0] or[0] abortionist[0] to[0] the[0] unhappily[-2] pregnant[0] women[0] who[0] come[0] there[0] seeking[0] his[0] help[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
figuring that as long as homer was going to stay at the orphanage , he might as well be of use , dr . larch begins teaching him all he knows about obstetrics . 	figuring that as long as homer was going to stay at the orphanage , he might as well be of use , dr .<br> larch begins teaching him all he knows about obstetrics .	1	-1	 figuring[0] that[0] as[0] long[0] as[0] homer[0] was[0] going[0] to[0] stay[0] at[0] the[0] orphanage[0] he[0] might[0] as[0] well[0] be[0] of[0] use[0] dr[0] [[Sentence=-1,1=word max, 1-5]] larch[0] begins[0] teaching[0] him[0] all[0] he[0] knows[0] about[0] obstetrics[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
soon homer is delivering babies like a professional . 	soon homer is delivering babies like a professional .	2	-1	 soon[0] homer[0] is[0] delivering[0] babies[1] like[1] a[0] professional[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he refuses to perform abortions , instead wondering why the couples just didn't behave more responsibly . 	he refuses to perform abortions , instead wondering why the couples just didn't behave more responsibly .	1	-2	 he[0] refuses[-1] to[0] perform[0] abortions[0] instead[0] wondering[0] why[0] the[0] couples[0] just[0] didn't[0] behave[0] more[0] responsibly[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
larch , too old and experienced to have such youthful ideals , marvels that homer " continues to have such high expectations of people . " 	larch , too old and experienced to have such youthful ideals , marvels that homer " continues to have such high expectations of people .<br> "	1	-1	 larch[0] too[0] old[0] and[0] experienced[0] to[0] have[0] such[0] youthful[0] ideals[0] marvels[0] that[0] homer[0] continues[0] to[0] have[0] such[0] high[0] expectations[0] of[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
such is the result of an insulated upbringing . 	such is the result of an insulated upbringing .	1	-1	 such[0] is[0] the[0] result[0] of[0] an[0] insulated[0] upbringing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
though skilled in certain medical procedures , homer remains woefully naive and ignorant about most everything else . 	though skilled in certain medical procedures , homer remains woefully naive and ignorant about most everything else .	1	-3	 though[0] skilled[0] in[0] certain[0] medical[0] procedures[0] homer[0] remains[0] woefully[-2] naive[-1] and[0] ignorant[-2] about[0] most[0] everything[0] else[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he finally figures that in order to find his place in the world , he must go out into it . 	he finally figures that in order to find his place in the world , he must go out into it .	1	-1	 he[0] finally[0] figures[0] that[0] in[0] order[0] to[0] find[0] his[0] place[0] in[0] the[0] world[0] he[0] must[0] go[0] out[0] into[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
