 " last night " could have an " aka " tagged on the end of it that says , " it's the end of the world , and we feel fine " . 	Translation	Positive	Negative	EmotionRationale
 " last night " is about just that . 	 " last night " is about just that .	1	-1	 last[0] night[0] is[0] about[0] just[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the last night of planet earth's existence . 	the last night of planet earth's existence .	1	-1	 the[0] last[0] night[0] of[0] planet[0] earth's[0] existence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the world is going to end at precisely midnight , january 1st , 2000 . 	the world is going to end at precisely midnight , january 1st , 200 .	1	-1	 the[0] world[0] is[0] going[0] to[0] end[0] at[0] precisely[0] midnight[0] january[0] 1st[0] 2000/200[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how scientists were so accurately able to predict when this catastrophic event would occur is never explained . 	how scientists were so accurately able to predict when this catastrophic event would occur is never explained .	1	-1	 how[0] scientists[0] were[0] so[0] accurately[0] able[0] to[0] predict[0] when[0] this[0] catastrophic[0] event[0] would[0] occur[0] is[0] never[0] explained[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nor is the event itself . 	nor is the event itself .	1	-1	 nor[0] is[0] the[0] event[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
throughout the entire movie , no explanation is given as to why this is happening . 	throughout the entire movie , no explanation is given as to why this is happening .	1	-1	 throughout[0] the[0] entire[0] movie[0] no[0] explanation[0] is[0] given[0] as[0] to[0] why[0] this[0] is[0] happening[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in doing this , mckellar ( who also wrote and directed the film ) seems to be trying to transcend the genre . 	in doing this , mckellar ( who also wrote and directed the film ) seems to be trying to transcend the genre .	1	-1	 in[0] doing[0] this[0] mckellar[0] who[0] also[0] wrote[0] and[0] directed[0] the[0] film[0] seems[0] to[0] be[0] trying[0] to[0] transcend[0] the[0] genre[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's attempted to make a film about people , and how each of them deals with their last night of life . 	he's attempted to make a film about people , and how each of them deals with their last night of life .	1	-1	 he's[0] attempted[0] to[0] make[0] a[0] film[0] about[0] people[0] and[0] how[0] each[0] of[0] them[0] deals[0] with[0] their[0] last[0] night[0] of[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film contains no science fiction elements , which allows the viewer to concentrate on the feelings and actions of the characters . 	the film contains no science fiction elements , which allows the viewer to concentrate on the feelings and actions of the characters .	1	-1	 the[0] film[0] contains[0] no[0] science[0] fiction[0] elements[0] which[0] allows[0] the[0] viewer[0] to[0] concentrate[0] on[0] the[0] feelings[0] and[0] actions[0] of[0] the[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mckellar is largely successful in his attempt to rise above his material . 	mckellar is largely successful in his attempt to rise above his material .	3	-1	 mckellar[0] is[0] largely[0] successful[2] in[0] his[0] attempt[0] to[0] rise[0] above[0] his[0] material[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
