 " you leave little notes on my pillow . 	Translation	Positive	Negative	EmotionRationale
i told you a million times i can't stand little notes on my pillow . 	i told you a million times i can't stand little notes on my pillow .	1	-1	 i[0] told[0] you[0] a[0] million[0] times[0] i[0] can't[0] stand[0] little[0] notes[0] on[0] my[0] pillow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
'we are all out of corn flakes - f . u . ' 	'we are all out of corn flakes - f .<br> you .<br> '	1	-1	 'we[0] are[0] all[0] out[0] of[0] corn[0] flakes[0] f[0] [[Sentence=-1,1=word max, 1-5]] u[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it took me three hours to figure out that 'f . u . ' was felix unger . " 	it took me three hours to figure out that 'f .<br> you .<br> ' was felix unger .<br> "	1	-1	 it[0] took[0] me[0] three[0] hours[0] to[0] figure[0] out[0] that[0] 'f[0] [[Sentence=-1,1=word max, 1-5]] u[0] [[Sentence=-1,1=word max, 1-5]] '[0] was[0] felix[0] unger[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
--- a frustrated oscar madison ( walter matthau ) running down a list of his complaints against his roommate felix unger ( jack lemmon ) , in the odd couple . 	- a frustrated oscar madison ( walter matthau ) running down a list of his complaints against his roommate felix unger ( jack lemon ) , in the odd couple .	1	-3	 a[0] frustrated[-2] oscar[0] madison[0] walter[0] matthau[0] running[0] down[0] a[0] list[0] of[0] his[0] complaints[-1] against[-1] his[0] roommate[0] felix[0] unger[0] jack[0] lemmon/lemon[0] in[0] the[0] odd[0] couple[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the classic neil simon comedy ( based on his own stage play ) about suicidal felix ( lemmon ) , who is persuaded by his poker friend oscar ( matthau ) to stay with him in his apartment after felix's wife throws him out and files for divorce . 	the classic neil simon comedy ( based on his own stage play ) about suicidal felix ( lemon ) , who is persuaded by his poker friend oscar ( matthau ) to stay with him in his apartment after felix's wife throws him out and files for divorce .	2	-2	 the[0] classic[0] neil[0] simon[0] comedy[0] based[0] on[0] his[0] own[0] stage[0] play[0] about[0] suicidal[0] felix[0] lemmon/lemon[0] who[0] is[0] persuaded[0] by[0] his[0] poker[0] friend[1] oscar[0] matthau[0] to[0] stay[0] with[0] him[0] in[0] his[0] apartment[0] after[0] felix's[0] wife[0] throws[0] him[0] out[0] and[0] files[0] for[0] divorce[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the hook : oscar is messy and likes his apartment that way , while felix is an obsessive/compulsive neat freak . 	the hook : oscar is messy and likes his apartment that way , while felix is an obsessive/compulsive neat freak .	3	-3	 the[0] hook[0] oscar[0] is[0] messy[0] and[0] likes[2] his[0] apartment[0] that[0] way[0] while[0] felix[0] is[0] an[0] obsessive/compulsive[-2] neat[0] freak[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the two men , despite their friendship , instantly clash . 	the two men , despite their friendship , instantly clash .	2	-2	 the[0] two[0] men[0] despite[0] their[0] friendship[1] instantly[0] clash[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
movies just aren't as delightfully funny as this one is . 	movies just aren't as delightfully funny as this one is .	2	-3	 movies[0] just[0] aren't[0] as[0] delightfully[2][NegatedDueToPreviousWord] funny[1] as[0] this[0] one[0] is[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
every line of neil simon's dialogue flows like comedic poetry , and all the actors are just perfect in their performances . 	every line of neil simon's dialogue flows like comedic poetry , and all the actors are just perfect in their performances .	2	-1	 every[0] line[0] of[0] neil[0] simon's[0] dialogue[0] flows[0] like[1] comedic[0] poetry[0] and[0] all[0] the[0] actors[0] are[0] just[0] perfect[1][-1 LastWordBoosterStrength] in[0] their[0] performances[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lemmon is at his best as the anxiety ridden felix , but it's matthau who shines brightest as oscar , whose world is being invaded and rearranged , mostly against his wishes ( the type of character i always enjoy identifying with ) . 	lemon is at his best as the anxiety ridden felix , but it's matthau who shines brightest as oscar , whose world is being invaded and rearranged , mostly against his wishes ( the type of character i always enjoy identifying with ) .	3	-3	 lemmon/lemon[0] is[0] at[0] his[0] best[1] as[0] the[0] anxiety[-2] ridden[0] felix[0] but[0] it's[0] matthau[0] who[0] shines[0] brightest[0] as[0] oscar[0] whose[0] world[0] is[0] being[0] invaded[-1] and[0] rearranged[0] mostly[0] against[-1] his[0] wishes[0] the[0] type[0] of[0] character[0] i[0] always[0] enjoy[2] identifying[0] with[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and who can forget that catchy score by neal hefti ? 	and who can forget that catchy score by neal hefti ?	1	-1	 and[0] who[0] can[0] forget[0] that[0] catchy[0] score[0] by[0] neal[0] hefti[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the best thing about the film ( and this is a testament to the quality of the writing ) is that it's a comedy with substance . 	the best thing about the film ( and this is a testament to the quality of the writing ) is that it's a comedy with substance .	2	-1	 the[0] best[1] thing[0] about[0] the[0] film[0] and[0] this[0] is[0] a[0] testament[0] to[0] the[0] quality[0] of[0] the[0] writing[0] is[0] that[0] it's[0] a[0] comedy[0] with[0] substance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
these two men , even while at each other's throats , genuinely care for one another as friends . 	these two men , even while at each other's throats , genuinely care for one another as friends .	2	-1	 these[0] two[0] men[0] even[0] while[0] at[0] each[0] other's[0] throats[0] genuinely[0] care[1] for[0] one[0] another[0] as[0] friends[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when they clash , it isn't cartoonish hatred being displayed , but genuine frustration with the fact that they are such good friends but just cannot manage to co-exist . 	when they clash , it isn't cartoonish hatred being displayed , but genuine frustration with the fact that they are such good friends but just cannot manage to co-exist .	4	-3	 when[0] they[0] clash[-1] it[0] isn't[0] cartoonish[0] hatred[-3][NegatedDueToPreviousWord] being[0] displayed[0] but[0] genuine[0] frustration[-2] with[0] the[0] fact[0] that[0] they[0] are[0] such[0] good[1] friends[1] but[0] just[0] cannot[0] manage[0] to[0] co[0] exist[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
movies nowadays , take grumpy old men for example , just don't have that extra spark there . 	movies nowadays , take grumpy old men for example , just don't have that extra spark there .	1	-1	 movies[0] nowadays[0] take[0] grumpy[0] old[0] men[0] for[0] example[0] just[0] don't[0] have[0] that[0] extra[0] spark[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these days it's just animosity for the sake of comedy . 	these days it's just animosity for the sake of comedy .	1	-1	 these[0] days[0] it's[0] just[0] animosity[-1][--1 LastWordBoosterStrength] for[0] the[0] sake[0] of[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a television series followed ( starring jack klugman and tony randall ) , which i'll admit i've never seen an episode of in its entirety , and neil simon even scripted the sequel , the odd couple ii , which was released in 1998 . 	a television series followed ( starring jack klugman and tony randall ) , which i'll admit i've never seen an episode of in its entirety , and neil simon even scripted the sequel , the odd couple i , which was released in 1998 .	1	-1	 a[0] television[0] series[0] followed[0] starring[0] jack[0] klugman[0] and[0] tony[0] randall[0] which[0] i'll[0] admit[0] i've[0] never[0] seen[0] an[0] episode[0] of[0] in[0] its[0] entirety[0] and[0] neil[0] simon[0] even[0] scripted[0] the[0] sequel[0] the[0] odd[0] couple[0] ii/i[0] which[0] was[0] released[0] in[0] 1998[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
neither of them compare to this comic masterpiece though . 	neither of them compare to this comic masterpiece though .	1	-1	 neither[0] of[0] them[0] compare[0] to[0] this[0] comic[0] masterpiece[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's one of the best comedies of all time and easily earns its spot in my top ten favorite films . 	it's one of the best comedies of all time and easily earns its spot in my top ten favorite films .	2	-1	 it's[0] one[0] of[0] the[0] best[1] comedies[0] of[0] all[0] time[0] and[0] easily[0] earns[0] its[0] spot[0] in[0] my[0] top[0] ten[0] favorite[1] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
