there must be some unwritten rule that states , one gets enlightenment not in the way one expects to get enlightenment but in the commitment given to seeking wisdom , even if it is a foolish road one is on and it seems to be leading nowhere . 	Translation	Positive	Negative	EmotionRationale
in the exotic morocco of 1972 , a 25-year-old english hippie mother , julia ( winslet ) , of two sweet young girls , the 6-year-old lucy ( carrie ) and the 8-year-old bea ( bella ) , has arrived for a year's stay , with the self-absorbed mother oblivious to how her daughters might be adjusting to this foreign experience while she is searching for a change of life from her unfaithful poet husband ( she is not officially married to him ) and her cold one-room london flat , and is sort of looking for the eternal truth in the sunny climate of marrakech . 	in the exotic morocco of 1972 , a 25-year-old english hippie mother , julia ( winslet ) , of two sweet young girls , the 6-year-old lucy ( carrie ) and the 8-year-old bea ( bella ) , has arrived for a year's stay , with the self-absorbed mother oblivious to how her daughters might be adjusting to this foreign experience while she is searching for a change of life from her unfaithful poet husband ( she is not officially married to him ) and her cold one-room london flat , and is sort of looking for the eternal truth in the sunny climate of marrakech .	2	-2	 in[0] the[0] exotic[0] morocco[0] of[0] 1972[0] a[0] 25[0] year[0] old[0] english[0] hippie[0] mother[0] julia[0] winslet[0] of[0] two[0] sweet[1] young[0] girls[0] the[0] 6[0] year[0] old[0] lucy[0] carrie[0] and[0] the[0] 8[0] year[0] old[0] bea[0] bella[0] has[0] arrived[0] for[0] a[0] year's[0] stay[0] with[0] the[0] self[0] absorbed[0] mother[0] oblivious[0] to[0] how[0] her[0] daughters[0] might[0] be[0] adjusting[0] to[0] this[0] foreign[-1] experience[0] while[0] she[0] is[0] searching[0] for[0] a[0] change[0] of[0] life[0] from[0] her[0] unfaithful[-1] poet[0] husband[0] she[0] is[0] not[0] officially[0] married[0] to[0] him[0] and[0] her[0] cold[-1] one[0] room[0] london[0] flat[0] and[0] is[0] sort[0] of[0] looking[0] for[0] the[0] eternal[0] truth[1] in[0] the[0] sunny[1] climate[0] of[0] marrakech[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
at least she says she is , as she is making some attempt to contact a sufi sheikh there who has all the answers . 	at least she says she is , as she is making some attempt to contact a sufi sheikh there who has all the answers .	1	-1	 at[0] least[0] she[0] says[0] she[0] is[0] as[0] she[0] is[0] making[0] some[0] attempt[0] to[0] contact[0] a[0] sufi[0] sheikh[0] there[0] who[0] has[0] all[0] the[0] answers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she has not planned things out too carefully , having no money , and the trip doesn't seem like it's much fun , more like a misadventure , with some romance with a local moroccan thrown in . 	she has not planned things out too carefully , having no money , and the trip doesn't seem like it's much fun , more like a misadventure , with some romance with a local moroccan thrown in .	3	-1	 she[0] has[0] not[0] planned[0] things[0] out[0] too[0] carefully[0] having[0] no[0] money[0] and[0] the[0] trip[0] doesn't[0] seem[0] like[1] it's[0] much[0] fun[1] more[0] like[1] a[0] misadventure[0] with[0] some[0] romance[3][-1 LastWordBoosterStrength] with[0] a[0] local[0] moroccan[0] thrown[0] in[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
drugs , a world-wide youthful phenomena during this period , where many westerners came to morocco to smoke the good hashish found there and to live the 'good life' cheaply , and to be in a spot where they did not have to worry about being hassled by the local authorities , even though drugs are illegal there . 	drugs , a world-wide youthful phenomena during this period , where many westerners came to morocco to smoke the good hashish found there and to live the 'good life' cheaply , and to be in a spot where they did not have to worry about being hassled by the local authorities , even though drugs are illegal there .	2	-4	 drugs[0] a[0] world[0] wide[0] youthful[0] phenomena[0] during[0] this[0] period[0] where[0] many[0] westerners[0] came[0] to[0] morocco[0] to[0] smoke[0] the[0] good[1] hashish[0] found[0] there[0] and[0] to[0] live[0] the[0] 'good[0] life'[0] cheaply[-1] and[0] to[0] be[0] in[0] a[0] spot[0] where[0] they[0] did[0] not[0] have[0] to[0] worry[-3] about[0] being[0] hassled[-1] by[0] the[0] local[0] authorities[0] even[0] though[0] drugs[0] are[0] illegal[-1] there[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but this is not shown as one of her reasons for being here . 	but this is not shown as one of her reasons for being here .	1	-1	 but[0] this[0] is[0] not[0] shown[0] as[0] one[0] of[0] her[0] reasons[0] for[0] being[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this film , the subject of drugs is never broached , only hinted at in an off-handed but slurring way , as the hippie commune is shown in a negative light , strumming on their guitars and bragging about the hits of acid they have taken . 	in this film , the subject of drugs is never broached , only hinted at in an off-handed but slurring way , as the hippie commune is shown in a negative light , strumming on their guitars and bragging about the hits of acid they have taken .	1	-2	 in[0] this[0] film[0] the[0] subject[0] of[0] drugs[0] is[0] never[0] broached[0] only[0] hinted[0] at[0] in[0] an[0] off[0] handed[0] but[0] slurring[0] way[0] as[0] the[0] hippie[0] commune[0] is[0] shown[0] in[0] a[0] negative[-1] light[0] strumming[0] on[0] their[0] guitars[0] and[0] bragging[-1] about[0] the[0] hits[0] of[0] acid[0] they[0] have[0] taken[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even the ones coming here for spiritual reasons , to follow the mystical sufis , seem lost following a culture that is far different from where they were coming from . 	even the ones coming here for spiritual reasons , to follow the mystical sufis , seem lost following a culture that is far different from where they were coming from .	1	-1	 even[0] the[0] ones[0] coming[0] here[0] for[0] spiritual[0] reasons[0] to[0] follow[0] the[0] mystical[0] sufis[0] seem[0] lost[0] following[0] a[0] culture[0] that[0] is[0] far[0] different[0] from[0] where[0] they[0] were[0] coming[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is based on the novel that contained the autobiographical experiences of sigmund freud's grand-daughter , esther freud , who traveled here in the 1960s with her mother and sister . 	the film is based on the novel that contained the autobiographical experiences of sigmund freud's grand-daughter , esther freud , who traveled here in the 1960s with her mother and sister .	2	-1	 the[0] film[0] is[0] based[0] on[0] the[0] novel[0] that[0] contained[0] the[0] autobiographical[0] experiences[0] of[0] sigmund[0] freud's[0] grand[1] daughter[0] esther[0] freud[0] who[0] traveled[0] here[0] in[0] the[0] 1960s[0] with[0] her[0] mother[0] and[0] sister[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is written by the director's brother , who has previously directed regeneration , the playboys , and trojan eddie . 	it is written by the director's brother , who has previously directed regeneration , the playboys , and trojan eddie .	1	-1	 it[0] is[0] written[0] by[0] the[0] director's[0] brother[0] who[0] has[0] previously[0] directed[0] regeneration[0] the[0] playboys[0] and[0] trojan[0] eddie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the title of the film comes from the squealing giggles that saying hideous kinky gives the little girls . 	the title of the film comes from the squealing giggles that saying hideous kinky gives the little girls .	3	-2	 the[0] title[0] of[0] the[0] film[0] comes[0] from[0] the[0] squealing[0] giggles[2] that[0] saying[0] hideous[-1] kinky[0] gives[0] the[0] little[0] girls[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
