as the small boats rock slowly toward the shore at omaha beach normandy on d-day , the weary , seasick soldiers take a deep breath and open the large protective shield at the back of the boat . 	Translation	Positive	Negative	EmotionRationale
they are unaware of exactly what is going to happen . 	they are unaware of exactly what is going to happen .	1	-1	 they[0] are[0] unaware[0] of[0] exactly[0] what[0] is[0] going[0] to[0] happen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one man kisses the crucifix that hangs around his neck . 	one man kisses the crucifix that hangs around his neck .	3	-1	 one[0] man[0] kisses[2] the[0] crucifix[0] that[0] hangs[0] around[0] his[0] neck[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as the flap falls , the battle begins . 	as the flap falls , the battle begins .	1	-2	 as[0] the[0] flap[0] falls[0] the[0] battle[-1] begins[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they are trapped like rats in a cage and proceed to be blown to pieces in the wake of enemy gunfire . 	they are trapped like rats in a cage and proceed to be blown to pieces in the wake of enemy gunfire .	2	-2	 they[0] are[0] trapped[0] like[1] rats[0] in[0] a[0] cage[0] and[0] proceed[0] to[0] be[0] blown[0] to[0] pieces[0] in[0] the[0] wake[0] of[0] enemy[-1] gunfire[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
amid the chaos of this massacre , stands a shot that , at least for me , hangs in the air like the girl in the little red coat in schindler's list . 	amid the chaos of this massacre , stands a shot that , at least for me , hangs in the air like the girl in the little red coat in schindler's list .	2	-2	 amid[0] the[0] chaos[-1] of[0] this[0] massacre[-1] stands[0] a[0] shot[-1] that[0] at[0] least[0] for[0] me[0] hangs[0] in[0] the[0] air[0] like[1] the[0] girl[0] in[0] the[0] little[0] red[0] coat[0] in[0] schindler's[0] list[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a soldier , clearly missing an arm , wanders around the body-strewn beach like a lost puppy . 	a soldier , clearly missing an arm , wanders around the body-strewn beach like a lost puppy .	2	-1	 a[0] soldier[0] clearly[0] missing[0] an[0] arm[0] wanders[0] around[0] the[0] body[0] strewn[0] beach[0] like[1] a[0] lost[0] puppy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we are not invited to know what he is searching for until he finds it himself . 	we are not invited to know what he is searching for until he finds it himself .	1	-1	 we[0] are[0] not[0] invited[0] to[0] know[0] what[0] he[0] is[0] searching[0] for[0] until[0] he[0] finds[0] it[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he bends over , picks up his arm and starts to carry it , probably not bothering to ask himself ; " what now ? " 	he bends over , picks up his arm and starts to carry it , probably not bothering to ask himself ; " what now ?<br> "	2	-1	 he[0] bends[0] over[0] picks[0] up[0] his[0] arm[0] and[0] starts[0] to[0] carry[0] it[0] probably[0] not[0] bothering[-1][NegatedDueToPreviousWord] to[0] ask[0] himself[0] what[0] now[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
saving private ryan is a masterfully composed film . 	saving private ryan is a masterfully composed film .	1	-1	 saving[0] private[0] ryan[0] is[0] a[0] masterfully[0] composed[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the direction is out of this world , surely the type of command that can win spielberg another directing oscar . 	the direction is out of this world , surely the type of command that can win spielberg another directing oscar .	1	-1	 the[0] direction[0] is[0] out[0] of[0] this[0] world[0] surely[0] the[0] type[0] of[0] command[0] that[0] can[0] win[0] spielberg[0] another[0] directing[0] oscar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
