one of the best things about my job is that , every so often , a film still catches me by surprise . 	Translation	Positive	Negative	EmotionRationale
 " spy kids " certainly did . 	 " spy kids " certainly did .	1	-1	 spy[0] kids[0] certainly[0] did[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an adventure story aimed primarily at children , the movie is smart , zippy fun . 	an adventure story aimed primarily at children , the movie is smart , zippy fun .	2	-1	 an[0] adventure[0] story[0] aimed[0] primarily[0] at[0] children[0] the[0] movie[0] is[0] smart[1] zippy[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the production neither panders nor talks down to its audience . 	the production neither panders nor talks down to its audience .	1	-1	 the[0] production[0] neither[0] panders[0] nor[0] talks[0] down[0] to[0] its[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the brother and sister at the center of the tale are believable , likable kids and their parents are ? get ready for this ? intelligent , capable and loving . 	the brother and sister at the center of the tale are believable , likable kids and their parents are ?<br> get ready for this ?<br> intelligent , capable and loving .	4	-1	 the[0] brother[0] and[0] sister[0] at[0] the[0] center[0] of[0] the[0] tale[0] are[0] believable[0] likable[0] kids[0] and[0] their[0] parents[0] are[0] [[Sentence=-1,1=word max, 1-5]] get[0] ready[0] for[0] this[0] [[Sentence=-1,1=word max, 1-5]] intelligent[1] capable[0] and[0] loving[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
bathroom humor is kept to a minimum and the numerous well-staged action scenes avoid excessive violence . 	bathroom humor is kept to a minimum and the numerous well-staged action scenes avoid excessive violence .	3	-4	 bathroom[0] humor[2] is[0] kept[0] to[0] a[0] minimum[0] and[0] the[0] numerous[0] well[0] staged[0] action[0] scenes[0] avoid[-1] excessive[-1] violence[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
what a relief it is to be able to review an all-ages film on its artistic merits and not its ethics . 	what a relief it is to be able to review an all-ages film on its artistic merits and not its ethics .	2	-1	 what[0] a[0] relief[1] it[0] is[0] to[0] be[0] able[0] to[0] review[0] an[0] all[0] ages[0] film[0] on[0] its[0] artistic[0] merits[1] and[0] not[0] its[0] ethics[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
consider the other pg rated " family friendly " movie in theaters now . 	consider the other pg rated " family friendly " movie in theaters now .	2	-1	 consider[0] the[0] other[0] pg[0] rated[0] family[0] friendly[1] movie[0] in[0] theaters[0] now[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " see spot run " has a mother going out of town , leaving her son with an idiot neighbor . 	 " see spot run " has a mother going out of town , leaving her son with an idiot neighbor .	1	-3	 see[0] spot[0] run[0] has[0] a[0] mother[0] going[0] out[0] of[0] town[0] leaving[0] her[0] son[0] with[0] an[0] idiot[-2] neighbor[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
body function humor abounds , including a slapstick bit that has the adult male lead repeatedly falling in dog poop . 	body function humor abounds , including a slapstick bit that has the adult male lead repeatedly falling in dog poop .	3	-2	 body[0] function[0] humor[2] abounds[0] including[0] a[0] slapstick[-1] bit[0] that[0] has[0] the[0] adult[0] male[0] lead[0] repeatedly[0] falling[0] in[0] dog[0] poop[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
what really disturbs me are the jokes that bookend the film . 	what really disturbs me are the jokes that bookend the film .	2	-3	 what[0] really[0] disturbs[-1][-1 LastWordBoosterStrength] me[0] are[0] the[0] jokes[1] that[0] bookend[0] the[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
