 " crazy/beautiful " suffers from the damned-if-you-do , damned-if-you-don't syndrome . 	Translation	Positive	Negative	EmotionRationale
after a spate of flighty , cookie-cutter teen films , the romantic drama addresses alcoholism and parental loss along with its love story . 	after a spate of flighty , cookie-cutter teen films , the romantic drama addresses alcoholism and parental loss along with its love story .	4	-3	 after[0] a[0] spate[0] of[0] flighty[0] cookie[0] cutter[0] teen[0] films[0] the[0] romantic[3] drama[0] addresses[0] alcoholism[0] and[0] parental[0] loss[-2] along[0] with[0] its[0] love[2] story[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
but rather than applaud the production , early reviews have dismissed it as an overblown " afterschool special . " 	but rather than applaud the production , early reviews have dismissed it as an overblown " afterschool special .<br> "	2	-2	 but[0] rather[0] than[0] applaud[1] the[0] production[0] early[0] reviews[0] have[0] dismissed[-1] it[0] as[0] an[0] overblown[0] afterschool[0] special[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
even worse , in the wake of federal trade commission hearings that blasted the industry for marketing violent and sexual movies to young people , the studio got a case of the heebie-jeebies and forced director john stockwell to re-shoot scenes and cut footage to " tone things down . " 	even worse , in the wake of federal trade commission hearings that blasted the industry for marketing violent and sexual movies to young people , the studio got a case of the heebie-jeebies and forced director john stockwell to re-shoot scenes and cut footage to " tone things down .<br> "	1	-3	 even[0] worse[-2] in[0] the[0] wake[0] of[0] federal[0] trade[0] commission[0] hearings[0] that[0] blasted[0] the[0] industry[0] for[0] marketing[0] violent[-2] and[0] sexual[0] movies[0] to[0] young[0] people[0] the[0] studio[0] got[0] a[0] case[0] of[0] the[0] heebie[0] jeebies[0] and[0] forced[0] director[0] john[0] stockwell[0] to[0] re[0] shoot[-1] scenes[0] and[0] cut[0] footage[0] to[0] tone[0] things[0] down[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
needless to say , the filmmaker was frustrated . 	needless to say , the filmmaker was frustrated .	1	-3	 needless[0] to[0] say[0] the[0] filmmaker[0] was[0] frustrated[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " we were trying to make a cautionary tale , " he told newsweek , " and we couldn't show the behavior we were trying to caution people away from . " 	 " we were trying to make a cautionary tale , " he told newsweek , " and we couldn't show the behavior we were trying to caution people away from .<br> "	1	-1	 we[0] were[0] trying[0] to[0] make[0] a[0] cautionary[0] tale[0] he[0] told[0] newsweek[0] and[0] we[0] couldn't[0] show[0] the[0] behavior[0] we[0] were[0] trying[0] to[0] caution[0] people[0] away[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
regardless , the film works , thanks to exceptional performances from its lead players and a script determined to transcend stereotypes . 	regardless , the film works , thanks to exceptional performances from its lead players and a script determined to transcend stereotypes .	2	-2	 regardless[-1] the[0] film[0] works[0] thanks[1] to[0] exceptional[0] performances[0] from[0] its[0] lead[0] players[0] and[0] a[0] script[0] determined[0] to[0] transcend[0] stereotypes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " crazy/beautiful " is quality fare , good enough that i half-expected the summer movie crap police to walk into the press screening and confiscate the print for " failure to incorporate explosions and poop jokes . " 	 " crazy/beautiful " is quality fare , good enough that i half-expected the summer movie crap police to walk into the press screening and confiscate the print for " failure to incorporate explosions and poop jokes .<br> "	2	-3	 crazy/beautiful[0] is[0] quality[0] fare[0] good[1] enough[0] that[0] i[0] half[0] expected[0] the[0] summer[0] movie[0] crap[-2] police[0] to[0] walk[0] into[0] the[0] press[0] screening[0] and[0] confiscate[-1] the[0] print[0] for[0] failure[-2] to[0] incorporate[0] explosions[-1] and[0] poop[0] jokes[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
set in pacific palisades , calif . , the story follows the burgeoning relationship between two teens . 	set in pacific palisades , calif .<br> , the story follows the burgeoning relationship between two teens .	1	-1	 set[0] in[0] pacific[0] palisades[0] calif[0] [[Sentence=-1,1=word max, 1-5]] the[0] story[0] follows[0] the[0] burgeoning[0] relationship[0] between[0] two[0] teens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every morning and evening , carlos nunez ( jay hernandez ) takes a two-hour bus ride in order to attend pacific high school . 	every morning and evening , carlos nunez ( jay hernandez ) takes a two-hour bus ride in order to attend pacific high school .	1	-1	 every[0] morning[0] and[0] evening[0] carlos[0] nunez[0] jay[0] hernandez[0] takes[0] a[0] two[0] hour[0] bus[0] ride[0] in[0] order[0] to[0] attend[0] pacific[0] high[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an honor student and star athlete , carlos is responsible , modest and focused as he works on securing a place in the naval academy . 	an honor student and star athlete , carlos is responsible , modest and focused as he works on securing a place in the naval academy .	2	-1	 an[0] honor[0] student[0] and[0] star[0] athlete[0] carlos[0] is[0] responsible[0] modest[0] and[0] focused[0] as[0] he[0] works[0] on[0] securing[1] a[0] place[0] in[0] the[0] naval[0] academy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all is well until he meets nicole oakley ( kirsten dunst ) , the daughter of a rich congressman ( bruce davison ) . 	all is well until he meets nicole oakley ( kirsten dunst ) , the daughter of a rich congressman ( bruce davison ) .	1	-1	 all[0] is[0] well[0] until[0] he[0] meets[0] nicole[0] oakley[0] kirsten[0] dunst[0] the[0] daughter[0] of[0] a[0] rich[0] congressman[0] bruce[0] davison[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nicole is a drunk apparently hell-bent on self-destruction . 	nicole is a drunk apparently hell-bent on self-destruction .	1	-2	 nicole[0] is[0] a[0] drunk[-1] apparently[0] hell[-1] bent[0] on[0] self[0] destruction[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
carlos is smart enough to recognize the danger in getting involved with her , but he is only human and she has the greatest smile . 	carlos is smart enough to recognize the danger in getting involved with her , but he is only human and she has the greatest smile .	4	-2	 carlos[0] is[0] smart[1] enough[0] to[0] recognize[0] the[0] danger[-1] in[0] getting[0] involved[0] with[0] her[0] but[0] he[0] is[0] only[0] human[0] and[0] she[0] has[0] the[0] greatest[2] smile[2][+1 MultiplePositiveWords] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
plus , as her father notes , she has a real knack for drawing others into her downward spiral . 	plus , as her father notes , she has a real knack for drawing others into her downward spiral .	1	-1	 plus[0] as[0] her[0] father[0] notes[0] she[0] has[0] a[0] real[0] knack[0] for[0] drawing[0] others[0] into[0] her[0] downward[0] spiral[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as with " save the last dance , " " crazy/beautiful " ( god , how i hate lower-case titles ) takes situations that look stale on paper and makes them seem fresh . 	as with " save the last dance , " " crazy/beautiful " ( god , how i hate lower-case titles ) takes situations that look stale on paper and makes them seem fresh .	2	-4	 as[0] with[0] save[1] the[0] last[0] dance[0] crazy/beautiful[0] god[0] how[0] i[0] hate[-3] lower[0] case[0] titles[0] takes[0] situations[0] that[0] look[0] stale[-1] on[0] paper[0] and[0] makes[0] them[0] seem[0] fresh[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
while noting the racial and social differences between the kids , the screenplay dances around most of the clich ? s ( there are still several mtv moments , though ) . 	while noting the racial and social differences between the kids , the screenplay dances around most of the clich ?<br> s ( there are still several mtv moments , though ) .	1	-1	 while[0] noting[0] the[0] racial[0] and[0] social[0] differences[0] between[0] the[0] kids[0] the[0] screenplay[0] dances[0] around[0] most[0] of[0] the[0] clich[0] [[Sentence=-1,1=word max, 1-5]] s[0] there[0] are[0] still[0] several[0] mtv[0] moments[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the filmmakers make a point to give characters that crucial extra bit of shading that turns them into individuals instead of stereotypes and the actors take it from there . 	the filmmakers make a point to give characters that crucial extra bit of shading that turns them into individuals instead of stereotypes and the actors take it from there .	1	-1	 the[0] filmmakers[0] make[0] a[0] point[0] to[0] give[0] characters[0] that[0] crucial[0] extra[0] bit[0] of[0] shading[0] that[0] turns[0] them[0] into[0] individuals[0] instead[0] of[0] stereotypes[0] and[0] the[0] actors[0] take[0] it[0] from[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cute-as-a-button dunst forces the viewer to share the pain beneath nicole's behavior . 	cute-as-a-button dunst forces the viewer to share the pain beneath nicole's behavior .	2	-4	 cute[1] as[0] a[0] button[0] dunst[0] forces[0] the[0] viewer[0] to[0] share[0] the[0] pain[-3] beneath[0] nicole's[0] behavior[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
she is credible enough that when dad urges carlos to get away from her before she drags him down , i hoped the boy would listen . 	she is credible enough that when dad urges carlos to get away from her before she drags him down , i hoped the boy would listen .	2	-1	 she[0] is[0] credible[0] enough[0] that[0] when[0] dad[0] urges[0] carlos[0] to[0] get[0] away[0] from[0] her[0] before[0] she[0] drags[0] him[0] down[0] i[0] hoped[1] the[0] boy[0] would[0] listen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as carlos , hernandez is a revelation . 	as carlos , hernandez is a revelation .	1	-1	 as[0] carlos[0] hernandez[0] is[0] a[0] revelation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hunky without looking like the product of a hollywood design team , the young man can really act ; we will see a lot of this guy in the future . 	hunky without looking like the product of a hollywood design team , the young man can really act ; we will see a lot of this guy in the future .	2	-1	 hunky[0] without[0] looking[0] like[1] the[0] product[0] of[0] a[0] hollywood[0] design[0] team[0] the[0] young[0] man[0] can[0] really[0] act[0] we[0] will[0] see[0] a[0] lot[0] of[0] this[0] guy[0] in[0] the[0] future[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
aside from its title , the biggest problem with " crazy/beautiful " is its ending , which wraps everything up too fast and too tidy . 	aside from its title , the biggest problem with " crazy/beautiful " is its ending , which wraps everything up too fast and too tidy .	1	-2	 aside[0] from[0] its[0] title[0] the[0] biggest[0] problem[-1] with[0] crazy/beautiful[0] is[0] its[0] ending[0] which[0] wraps[0] everything[0] up[0] too[0] fast[0] and[0] too[0] tidy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after carefully presenting credible characters and situations , the conclusion feels rushed and lazy . 	after carefully presenting credible characters and situations , the conclusion feels rushed and lazy .	1	-2	 after[0] carefully[0] presenting[0] credible[0] characters[0] and[0] situations[0] the[0] conclusion[0] feels[0] rushed[0] and[0] lazy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
still , this is the kind of film that deserves accolades from critics instead of cheap shots . 	still , this is the kind of film that deserves accolades from critics instead of cheap shots .	2	-2	 still[0] this[0] is[0] the[0] kind[1] of[0] film[0] that[0] deserves[0] accolades[0] from[0] critics[0] instead[0] of[0] cheap[-1] shots[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " afterschool special " my ass ? " crazy/beautiful " is the real deal . 	 " afterschool special " my ass ?<br> " crazy/beautiful " is the real deal .	2	-1	 afterschool[0] special[1] my[0] ass[0] [[Sentence=-1,2=word max, 1-5]] crazy/beautiful[0] is[0] the[0] real[0] deal[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
