in a flashback , the teenage girl in the eccentric family in the canadian film , the hanging garden , tells her senile grandmother that she is going to a school dance . 	Translation	Positive	Negative	EmotionRationale
horrified , the grandmother wants to know if her granddaughter knows " the rule of 6 . " 	horrified , the grandmother wants to know if her granddaughter knows " the rule of 6 .<br> "	1	-4	 horrified[-3] the[0] grandmother[0] wants[0] to[0] know[0] if[0] her[0] granddaughter[0] knows[0] the[0] rule[0] of[0] 6[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if you don't break off a kiss by the count of 6 , then you committed a sin with the boy . 	if you don't break off a kiss by the count of 6 , then you committed a sin with the boy .	3	-2	 if[0] you[0] don't[0] break[0] off[0] a[0] kiss[2] by[0] the[0] count[0] of[0] 6[0] then[0] you[0] committed[0] a[0] sin[-1] with[0] the[0] boy[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and most of all , the grandmother wants to know if she has " protection ? " 	and most of all , the grandmother wants to know if she has " protection ?<br> "	1	-1	 and[0] most[0] of[0] all[0] the[0] grandmother[0] wants[0] to[0] know[0] if[0] she[0] has[0] protection[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she must carry a rosary in her pocket at all times . 	she must carry a rosary in her pocket at all times .	1	-1	 she[0] must[0] carry[0] a[0] rosary[0] in[0] her[0] pocket[0] at[0] all[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the richly acted film is written and directed by thom fitzgerald in a quirky but loving style . 	the richly acted film is written and directed by thom fitzgerald in a quirky but loving style .	4	-1	 the[0] richly[0] acted[0] film[0] is[0] written[0] and[0] directed[0] by[0] thom[0] fitzgerald[0] in[0] a[0] quirky[0] but[0] loving[3] style[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
although some may refer to the film as yet another dysfunctional family picture , that moniker misses the mark . 	although some may refer to the film as yet another dysfunctional family picture , that moniker misses the mark .	1	-3	 although[0] some[0] may[0] refer[0] to[0] the[0] film[0] as[0] yet[0] another[0] dysfunctional[0] family[0] picture[0] that[0] moniker[0] misses[-2] the[0] mark[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
yes , every member of the household has their own special problems , but the writer didn't choose to name so many characters for various flowers by accident . 	yes , every member of the household has their own special problems , but the writer didn't choose to name so many characters for various flowers by accident .	2	-2	 yes[0] every[0] member[0] of[0] the[0] household[0] has[0] their[0] own[0] special[1] problems[-1] but[0] the[0] writer[0] didn't[0] choose[0] to[0] name[0] so[0] many[0] characters[0] for[0] various[0] flowers[0] by[0] accident[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this delightful little picture mixes love , tragedy and pathos , resulting in a hopeful and almost magical concoction . 	this delightful little picture mixes love , tragedy and pathos , resulting in a hopeful and almost magical concoction .	3	-3	 this[0] delightful[2] little[0] picture[0] mixes[0] love[2] tragedy[-2] and[0] pathos[0] resulting[0] in[0] a[0] hopeful[1] and[0] almost[0] magical[0] concoction[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
during the opening credits we observe the boy , sweet william , at the center of the story . 	during the opening credits we observe the boy , sweet william , at the center of the story .	2	-1	 during[0] the[0] opening[0] credits[0] we[0] observe[0] the[0] boy[0] sweet[1] william[0] at[0] the[0] center[0] of[0] the[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
first , he's an average sized young lad who is slapped off-screen by his father . 	first , he's an average sized young lad who is slapped off-screen by his father .	1	-2	 first[0] he's[0] an[0] average[0] sized[0] young[0] lad[0] who[0] is[0] slapped[-1] off[0] screen[0] by[0] his[0] father[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
