everyone knows someone like giles de'ath : stuffy , arrogant , set in his ways , and at war with anything that could in any way be associated with " progress . " 	Translation	Positive	Negative	EmotionRationale
giles is a writer , but the product of his typewriter is the kind of scholarly stuff that is immediately put onto library stacks where it can gather dust until some graduate student needs another reference for his or her thesis . 	giles is a writer , but the product of his typewriter is the kind of scholarly stuff that is immediately put onto library stacks where it can gather dust until some graduate student needs another reference for his or her thesis .	2	-1	 giles[0] is[0] a[0] writer[0] but[0] the[0] product[0] of[0] his[0] typewriter[0] is[0] the[0] kind[1] of[0] scholarly[0] stuff[0] that[0] is[0] immediately[0] put[0] onto[0] library[0] stacks[0] where[0] it[0] can[0] gather[0] dust[0] until[0] some[0] graduate[0] student[0] needs[0] another[0] reference[0] for[0] his[0] or[0] her[0] thesis[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his house looks like an immaculate museum ? with no television , microwave , word processor , or other technological gadgets , only the electric lights betray that he's living in the twentieth century , not the nineteenth . 	his house looks like an immaculate museum ?<br> with no television , microwave , word processor , or other technological gadgets , only the electric lights betray that he's living in the twentieth century , not the nineteenth .	2	-3	 his[0] house[0] looks[0] like[1] an[0] immaculate[1] museum[0] [[Sentence=-1,2=word max, 1-5]] with[0] no[0] television[0] microwave[0] word[0] processor[0] or[0] other[0] technological[0] gadgets[0] only[0] the[0] electric[0] lights[0] betray[-2] that[0] he's[0] living[0] in[0] the[0] twentieth[0] century[0] not[0] the[0] nineteenth[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
this is the kind of role that could easily be turned into a flat stereotype , but john hurt , in what is certainly his best performance in a decade and possibly the most impressive of his long and distinguished career , turns " erstwhile fogy " giles into a three-dimensional human being . 	this is the kind of role that could easily be turned into a flat stereotype , but john hurt , in what is certainly his best performance in a decade and possibly the most impressive of his long and distinguished career , turns " erstwhile fogy " giles into a three-dimensional human being .	2	-3	 this[0] is[0] the[0] kind[1] of[0] role[0] that[0] could[0] easily[0] be[0] turned[0] into[0] a[0] flat[0] stereotype[0] but[0] john[0] hurt[-2] in[0] what[0] is[0] certainly[0] his[0] best[1] performance[0] in[0] a[0] decade[0] and[0] possibly[0] the[0] most[0] impressive[1] of[0] his[0] long[0] and[0] distinguished[0] career[0] turns[0] erstwhile[0] fogy[0] giles[0] into[0] a[0] three[0] dimensional[0] human[0] being[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
despite his tunnel vision , it's impossible not to like the man , especially after his entire being is transformed by that singular affliction to which no one is immune : love . 	despite his tunnel vision , it's impossible not to like the man , especially after his entire being is transformed by that singular affliction to which no one is immune : love .	3	-3	 despite[0] his[0] tunnel[0] vision[0] it's[0] impossible[0] not[0] to[0] like[1][NegatedDueToPreviousWord] the[0] man[0] especially[0] after[0] his[0] entire[0] being[0] is[0] transformed[0] by[0] that[0] singular[0] affliction[-2] to[0] which[0] no[0] one[0] is[0] immune[0] love[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and , as giles discovers during the course of this amusing , warm-hearted motion picture , it's possible to find the object of one's affection in the most unusual places . 	and , as giles discovers during the course of this amusing , warm-hearted motion picture , it's possible to find the object of one's affection in the most unusual places .	3	-1	 and[0] as[0] giles[0] discovers[0] during[0] the[0] course[0] of[0] this[0] amusing[1] warm[0] hearted[0] motion[0] picture[0] it's[0] possible[0] to[0] find[0] the[0] object[0] of[0] one's[0] affection[2] in[0] the[0] most[0] unusual[0] places[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
giles , who is a widower and a recluse , does not frequent the cinema , but when he learns that an e . m . forster film is playing at the local theater , he screws up his courage and decides to go . 	giles , who is a widower and a recluse , does not frequent the cinema , but when he learns that an e .<br> m .<br> forster film is playing at the local theater , he screws up his courage and decides to go .	2	-1	 giles[0] who[0] is[0] a[0] widower[0] and[0] a[0] recluse[0] does[0] not[0] frequent[0] the[0] cinema[0] but[0] when[0] he[0] learns[0] that[0] an[0] e[0] [[Sentence=-1,1=word max, 1-5]] m[0] [[Sentence=-1,1=word max, 1-5]] forster[0] film[0] is[0] playing[1] at[0] the[0] local[0] theater[0] he[0] screws[0] up[0] his[0] courage[1] and[0] decides[0] to[0] go[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what he doesn't realize is that the movie house is showing two films : the forster adaptation and a teen exploitation flick called hotpants college ii . 	what he doesn't realize is that the movie house is showing two films : the forster adaptation and a teen exploitation flick called hotpants college i .	1	-1	 what[0] he[0] doesn't[0] realize[0] is[0] that[0] the[0] movie[0] house[0] is[0] showing[0] two[0] films[0] the[0] forster[0] adaptation[0] and[0] a[0] teen[0] exploitation[0] flick[0] called[0] hotpants[0] college[0] ii/i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a nonplused giles ends up sitting in a darkened room watching buff male and female bodies in various states of undress . 	a nonplused giles ends up sitting in a darkened room watching buff male and female bodies in various states of undress .	1	-1	 a[0] nonplused[0] giles[0] ends[0] up[0] sitting[0] in[0] a[0] darkened[0] room[0] watching[0] buff[0] male[0] and[0] female[0] bodies[0] in[0] various[0] states[0] of[0] undress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just as giles is about to leave , however , he notices ronnie bostock ( jason priestley ) , and , suddenly , it's love at first sight . 	just as giles is about to leave , however , he notices ronnie bostock ( jason priestley ) , and , suddenly , it's love at first sight .	3	-1	 just[0] as[0] giles[0] is[0] about[0] to[0] leave[0] however[0] he[0] notices[0] ronnie[0] bostock[0] jason[0] priestley[0] and[0] suddenly[0] it's[0] love[2] at[0] first[0] sight[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
giles is enraptured , and the moment hotpants college ii is over , he beings to scour stores for bostock memorabilia , including teen magazines and video tapes . 	giles is enraptured , and the moment hotpants college i is over , he beings to scour stores for bostock memorabilia , including teen magazines and video tapes .	1	-1	 giles[0] is[0] enraptured[0] and[0] the[0] moment[0] hotpants[0] college[0] ii/i[0] is[0] over[0] he[0] beings[0] to[0] scour[0] stores[0] for[0] bostock[0] memorabilia[0] including[0] teen[0] magazines[0] and[0] video[0] tapes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
