it might surprise some to know that joel and ethan coen , who have brought such unabated lunacy to our movie screens as " raising arizona " and " the hudsucker proxy , " made their feature film debut with " blood simple , " a grim and often gruesome tale of revenge , murder , and literally fatal misconceptions in rural texas . 	Translation	Positive	Negative	EmotionRationale
it bears some resemblance , story-wise , to the coens' recent " fargo , " but even the darkly satirical humor and the enjoyably quirky characterizations that characterized that film are scarce here ; " blood simple " is pretty much cold and brutal from beginning to end . 	it bears some resemblance , story-wise , to the coens' recent " fargo , " but even the darkly satirical humor and the enjoyably quirky characterizations that characterized that film are scarce here ; " blood simple " is pretty much cold and brutal from beginning to end .	3	-3	 it[0] bears[0] some[0] resemblance[0] story[0] wise[0] to[0] the[0] coens'[0] recent[0] fargo[0] but[0] even[0] the[0] darkly[0] satirical[0] humor[2] and[0] the[0] enjoyably[2] quirky[0] characterizations[0] that[0] characterized[0] that[0] film[0] are[0] scarce[0] here[0] blood[0] simple[0] is[0] pretty[2] much[0] cold[-1] and[0] brutal[-2] from[0] beginning[0] to[0] end[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the premise of " blood simple " is really just a slight variation on the standard love-triangle/revenge scheme : sleazy bar owner julian marty ( dan hedaya ) hires a shifty private detective ( m . 	the premise of " blood simple " is really just a slight variation on the standard love-triangle/revenge scheme : sleazy bar owner julian marty ( dan hedaya ) hires a shifty private detective ( m .	3	-3	 the[0] premise[0] of[0] blood[0] simple[0] is[0] really[0] just[0] a[0] slight[0] variation[0] on[0] the[0] standard[0] love[2] triangle/revenge[0] scheme[0] sleazy[-2] bar[0] owner[0] julian[0] marty[0] dan[0] hedaya[0] hires[0] a[0] shifty[0] private[0] detective[0] m[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
emmet walsh ) to kill his wife abby ( frances mcdormand ) and her illicit lover ray ( john getz ) . 	emmet walsh ) to kill his wife aby ( frances mcdormand ) and her illicit lover ray ( john getz ) .	4	-2	 emmet[0] walsh[0] to[0] kill[-1] his[0] wife[0] abby/aby[0] frances[0] mcdormand[0] and[0] her[0] illicit[0] lover[3] ray[0] john[0] getz[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
things start to go haywire when walsh decides instead to fake the murder with photographic trickery but , upon collecting the money , becomes uncertain as to whether or not marty is capable of keeping his mouth shut about the scheme . 	things start to go haywire when walsh decides instead to fake the murder with photographic trickery but , upon collecting the money , becomes uncertain as to whether or not marty is capable of keeping his mouth shut about the scheme .	1	-4	 things[0] start[0] to[0] go[0] haywire[0] when[0] walsh[0] decides[0] instead[0] to[0] fake[-1] the[0] murder[-3] with[0] photographic[0] trickery[-1] but[0] upon[0] collecting[0] the[0] money[0] becomes[0] uncertain[0] as[0] to[0] whether[0] or[0] not[0] marty[0] is[0] capable[0] of[0] keeping[0] his[0] mouth[0] shut[0] about[0] the[0] scheme[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
to reveal any more details of the story would be to give away too much , but what ensues is a series of bloody ( and i do mean bloody ) confrontations , each triggered by one or more characters misunderstanding what is actually happening . 	to reveal any more details of the story would be to give away too much , but what ensues is a series of bloody ( and i do mean bloody ) confrontations , each triggered by one or more characters misunderstanding what is actually happening .	1	-3	 to[0] reveal[0] any[0] more[0] details[0] of[0] the[0] story[0] would[0] be[0] to[0] give[0] away[0] too[0] much[0] but[0] what[0] ensues[0] is[0] a[0] series[0] of[0] bloody[-1] and[0] i[0] do[0] mean[0] bloody[-1] confrontations[-2] each[0] triggered[0] by[0] one[0] or[0] more[0] characters[0] misunderstanding[-1] what[0] is[0] actually[0] happening[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
every act of violence or deception in this film makes sense when seen through the perpetrator's eyes , but we , the audience , are made privy to the " big picture " and thus can recognize that each misdeed is somehow either unnecessary or directed at the wrong person . 	every act of violence or deception in this film makes sense when seen through the perpetrator's eyes , but we , the audience , are made privy to the " big picture " and thus can recognize that each misdeed is somehow either unnecessary or directed at the wrong person .	1	-4	 every[0] act[0] of[0] violence[-3] or[0] deception[-1] in[0] this[0] film[0] makes[0] sense[0] when[0] seen[0] through[0] the[0] perpetrator's[0] eyes[0] but[0] we[0] the[0] audience[0] are[0] made[0] privy[0] to[0] the[0] big[0] picture[0] and[0] thus[0] can[0] recognize[0] that[0] each[0] misdeed[0] is[0] somehow[0] either[0] unnecessary[-1] or[0] directed[0] at[0] the[0] wrong[-1] person[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this aspect of the story , along with the intense atmosphere of repulsion and brutality - one gets the sense that if guns and , in one case , shovels , were not available , some of these characters would claw each other to death - are the most effective components of the film . 	this aspect of the story , along with the intense atmosphere of repulsion and brutality - one gets the sense that if guns and , in one case , shovels , were not available , some of these characters would claw each other to death - are the most effective components of the film .	1	-3	 this[0] aspect[0] of[0] the[0] story[0] along[0] with[0] the[0] intense[0] atmosphere[0] of[0] repulsion[0] and[0] brutality[-2] one[0] gets[0] the[0] sense[0] that[0] if[0] guns[-1] and[0] in[0] one[0] case[0] shovels[0] were[0] not[0] available[0] some[0] of[0] these[0] characters[0] would[0] claw[0] each[0] other[0] to[0] death[-2] are[0] the[0] most[0] effective[0] components[0] of[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the coens might have done well to title the film " fear and loathing in texas . " 	the coens might have done well to title the film " fear and loathing in texas .<br> "	1	-4	 the[0] coens[0] might[0] have[0] done[0] well[0] to[0] title[0] the[0] film[0] fear[-3] and[0] loathing[0] in[0] texas[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
some have labeled " blood simple as a modern-day noir , but , while i am not an expert on either genre , it seems more like a horror movie than anything else . 	some have labeled " blood simple as a modern-day noir , but , while i am not an expert on either genre , it seems more like a horror movie than anything else .	2	-4	 some[0] have[0] labeled[0] blood[0] simple[0] as[0] a[0] modern[0] day[0] noir[0] but[0] while[0] i[0] am[0] not[0] an[0] expert[0] on[0] either[0] genre[0] it[0] seems[0] more[0] like[1] a[0] horror[-3] movie[0] than[0] anything[0] else[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the coens seem much more interested in the plot twists and the atmosphere of confusion and paranoia than they do in the characters , and the final sequence is nothing more than a showdown between the one ( relatively ) innocent character and the only one of the murderers left alive . 	the coens seem much more interested in the plot twists and the atmosphere of confusion and paranoia than they do in the characters , and the final sequence is nothing more than a showdown between the one ( relatively ) innocent character and the only one of the murderers left alive .	2	-4	 the[0] coens[0] seem[0] much[0] more[0] interested[1] in[0] the[0] plot[0] twists[0] and[0] the[0] atmosphere[0] of[0] confusion[-1] and[0] paranoia[-2] than[0] they[0] do[0] in[0] the[0] characters[0] and[0] the[0] final[0] sequence[0] is[0] nothing[0] more[0] than[0] a[0] showdown[0] between[0] the[0] one[0] relatively[0] innocent[1] character[0] and[0] the[0] only[0] one[0] of[0] the[0] murderers[-3] left[0] alive[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
