i'm an avid fan of the " alien " saga , so this review is obviously a tad biased ( at least i admitted it ) . 	Translation	Positive	Negative	EmotionRationale
of course , that doesn't mean that i'm gonna be giving this a four-star review or something , because " alien : resurrection , " the fourth film in the cool-as-hell series is not an absolutely amazing film , much like the first two were . 	of course , that doesn't mean that i'm gonna be giving this a four-star review or something , because " alien : resurrection , " the fourth film in the cool-as-hell series is not an absolutely amazing film , much like the first two were .	2	-4	 of[0] course[0] that[0] doesn't[0] mean[0] that[0] i'm[0] gonna[0] be[0] giving[0] this[0] a[0] four[0] star[0] review[0] or[0] something[0] because[0] alien[-1] resurrection[0] the[0] fourth[0] film[0] in[0] the[0] cool[1] as[0] hell[-1] series[0] is[0] not[0] an[0] absolutely[0] amazing[2][1 LastWordBoosterStrength][NegatedDueToPreviousWord] film[0] much[0] like[1] the[0] first[0] two[0] were[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
however , it's a very good film which never fails to entertain , and consists of yet another mutation in the style of the series . 	however , it's a very good film which never fails to entertain , and consists of yet another mutation in the style of the series .	3	-1	 however[0] it's[0] a[0] very[0] good[1][1 LastWordBoosterStrength] film[0] which[0] never[0] fails[-2][NegatedDueToPreviousWord] to[0] entertain[0] and[0] consists[0] of[0] yet[0] another[0] mutation[0] in[0] the[0] style[0] of[0] the[0] series[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in short , i had a good time . 	in short , i had a good time .	2	-1	 in[0] short[0] i[0] had[0] a[0] good[1] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " alien : resurrection " leaves off 200 years after the last one , where our heroine protagonist , ellen ripley ( sigourney weaver ) , the science fiction genre's answer to job , had killed herself after discovering that an alien was inside her body , waiting to pop out like it did to john hurt in the first one . 	 " alien : resurrection " leaves off 200 years after the last one , where our heroine protagonist , ellen ripley ( sigourney weaver ) , the science fiction genre's answer to job , had killed herself after discovering that an alien was inside her body , waiting to pop out like it did to john hurt in the first one .	3	-4	 alien[-1] resurrection[0] leaves[0] off[0] 200[0] years[0] after[0] the[0] last[0] one[0] where[0] our[0] heroine[2] protagonist[0] ellen[0] ripley[0] sigourney[0] weaver[0] the[0] science[0] fiction[0] genre's[0] answer[0] to[0] job[0] had[0] killed[-3] herself[0] after[0] discovering[0] that[0] an[0] alien[-1] was[0] inside[0] her[0] body[0] waiting[0] to[0] pop[0] out[0] like[1] it[0] did[0] to[0] john[0] hurt[-2] in[0] the[0] first[0] one[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
of course , the last one wasn't very great or anything ( i liked it , though not as much as the first two ) , and more importantly , it wasn't financially successful ( a tawdry 55 million bucks ! ) . 	of course , the last one wasn't very great or anything ( i liked it , though not as much as the first two ) , and more importantly , it wasn't financially successful ( a tawdry 55 million bucks !<br> ) .	4	-1	 of[0] course[0] the[0] last[0] one[0] wasn't[0] very[0] great[2][1 LastWordBoosterStrength] or[0] anything[0] i[0] liked[2] it[0] though[0] not[0] as[0] much[0] as[0] the[0] first[0] two[0] and[0] more[0] importantly[0] it[0] wasn't[0] financially[0] successful[2] a[0] tawdry[0] 55[0] million[0] bucks[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
so back we are , with ripley back as a clone , which means we get another little satirical look at cloning ( not that that's a bad thing , but it's becoming a cliche ) . 	so back we are , with ripley back as a clone , which means we get another little satirical look at cloning ( not that that's a bad thing , but it's becoming a cliche ) .	1	-2	 so[0] back[0] we[0] are[0] with[0] ripley[0] back[0] as[0] a[0] clone[0] which[0] means[0] we[0] get[0] another[0] little[0] satirical[0] look[0] at[0] cloning[0] not[0] that[0] that's[0] a[0] bad[-1] thing[0] but[0] it's[0] becoming[0] a[0] cliche[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so she's cloned aboard an even more futuristic-looking ship called " the auriga " by some doctors ( including the necessary bad government guy , dr . wren , played by j . e . freeman , as well as the little-seen dr . gediman , played by none other than brad douriff ) , mainly because they have a version of her with the alien still inside her . 	so she's cloned aboard an even more futuristic-looking ship called " the auriga " by some doctors ( including the necessary bad government guy , dr .<br> wren , played by j .<br> e .<br> freeman , as well as the little-seen dr .<br> gediman , played by none other than brad douriff ) , mainly because they have a version of her with the alien still inside her .	1	-2	 so[0] she's[0] cloned[0] aboard[0] an[0] even[0] more[0] futuristic[0] looking[0] ship[0] called[0] the[0] auriga[0] by[0] some[0] doctors[0] including[0] the[0] necessary[0] bad[-1] government[0] guy[0] dr[0] [[Sentence=-2,1=word max, 1-5]] wren[0] played[0] by[0] j[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] freeman[0] as[0] well[0] as[0] the[0] little[0] seen[0] dr[0] [[Sentence=-1,1=word max, 1-5]] gediman[0] played[0] by[0] none[0] other[0] than[0] brad[0] douriff[0] mainly[0] because[0] they[0] have[0] a[0] version[0] of[0] her[0] with[0] the[0] alien[-1] still[0] inside[0] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
once you get past the fact that you can't figure out where they got her blood ( although i think it might have been from the blood samples taken by charles dance in the third one ) , the film's okay . 	once you get past the fact that you can't figure out where they got her blood ( although i think it might have been from the blood samples taken by charles dance in the third one ) , the film's okay .	1	-1	 once[0] you[0] get[0] past[0] the[0] fact[0] that[0] you[0] can't[0] figure[0] out[0] where[0] they[0] got[0] her[0] blood[0] although[0] i[0] think[0] it[0] might[0] have[0] been[0] from[0] the[0] blood[0] samples[0] taken[0] by[0] charles[0] dance[0] in[0] the[0] third[0] one[0] the[0] film's[0] okay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also on board are a band of mercenary pirates , including michael wincott , ron perlman , kim flowers , raymond cruz , dominique pinon ( a jeunet sytable ) and . . . winona ryder , who plays analee call , who turns out to have a bit of a secret ( i won't state it , but unless you've been shacking up with salinger for the past two years , you probably know all about it - although it's nicely covered up ) . 	also on board are a band of mercenary pirates , including michael wincott , ron perlman , kim flowers , raymond cruz , dominique pinon ( a jeunet sytable ) and .<br> .<br> .<br> winona ryder , who plays analee call , who turns out to have a bit of a secret ( i won't state it , but unless you've been shacking up with salinger for the past two years , you probably know all about it - although it's nicely covered up ) .	2	-1	 also[0] on[0] board[0] are[0] a[0] band[0] of[0] mercenary[0] pirates[0] including[0] michael[0] wincott[0] ron[0] perlman[0] kim[0] flowers[0] raymond[0] cruz[0] dominique[0] pinon[0] a[0] jeunet[0] sytable[0] and[0] [[Sentence=-1,1=word max, 1-5]] winona[0] ryder[0] who[0] plays[1] analee[0] call[0] who[0] turns[0] out[0] to[0] have[0] a[0] bit[0] of[0] a[0] secret[0] i[0] won't[0] state[0] it[0] but[0] unless[0] you've[0] been[0] shacking[0] up[0] with[0] salinger[0] for[0] the[0] past[0] two[0] years[0] you[0] probably[0] know[0] all[0] about[0] it[0] although[0] it's[0] nicely[1] covered[0] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's a bit of a non-sexual-yet-slightly-homoerotic relationship between her and ripley , but it's never really deepened enough . 	there's a bit of a non-sexual-yet-slightly-homoerotic relationship between her and ripley , but it's never really deepened enough .	1	-1	 there's[0] a[0] bit[0] of[0] a[0] non[0] sexual[0] yet[0] slightly[0] homoerotic[0] relationship[0] between[0] her[0] and[0] ripley[0] but[0] it's[0] never[0] really[0] deepened[0] enough[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
