that's the question i asked myself when venturing nervously into " the wedding singer , " the latest film to star the saturday night live alumnus . 	Translation	Positive	Negative	EmotionRationale
does he draw laughs from his sad , puppy dog expression and don't-hate-me-for-being-a-simpleton observations ? 	does he draw laughs from his sad , puppy dog expression and don't-hate-me-for-being-a-simpleton observations ?	4	-4	 does[0] he[0] draw[0] laughs[1] from[0] his[0] sad[-3] puppy[0] dog[0] expression[0] and[0] don't[0] hate[-3][NegatedDueToPreviousWord] me[0] for[0] being[0] a[0] simpleton[-1] observations[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
or do fans giggle when he screams at the top of his lungs at people ? 	or do fans giggle when he screams at the top of his lungs at people ?	3	-4	 or[0] do[0] fans[0] giggle[2] when[0] he[0] screams[-3] at[0] the[0] top[0] of[0] his[0] lungs[0] at[0] people[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
or is it just the fact that he sings songs with silly lyrics that bowl audiences over ? 	or is it just the fact that he sings songs with silly lyrics that bowl audiences over ?	1	-2	 or[0] is[0] it[0] just[0] the[0] fact[0] that[0] he[0] sings[0] songs[0] with[0] silly[-1] lyrics[0] that[0] bowl[0] audiences[0] over[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , there's a little bit of all of that in " the wedding singer " and while i exited the theater still not one hundred percent sure of mr . sandler's thing , i did have a surprisingly good time . 	well , there's a little bit of all of that in " the wedding singer " and while i exited the theater still not one hundred percent sure of mr .<br> sandler's thing , i did have a surprisingly good time .	2	-1	 well[0] there's[0] a[0] little[0] bit[0] of[0] all[0] of[0] that[0] in[0] the[0] wedding[0] singer[0] and[0] while[0] i[0] exited[0] the[0] theater[0] still[0] not[0] one[0] hundred[0] percent[0] sure[0] of[0] mr[0] [[Sentence=-1,1=word max, 1-5]] sandler's[0] thing[0] i[0] did[0] have[0] a[0] surprisingly[0] good[1] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that's because , in a nutshell , " the wedding singer " is one of the sweetest movies you're ever likely to come across . 	that's because , in a nutshell , " the wedding singer " is one of the sweetest movies you're ever likely to come across .	1	-1	 that's[0] because[0] in[0] a[0] nutshell[0] the[0] wedding[0] singer[0] is[0] one[0] of[0] the[0] sweetest[0] movies[0] you're[0] ever[0] likely[0] to[0] come[0] across[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's right . 	that's right .	1	-1	 that's[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sweet . 	sweet .	2	-1	 sweet[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the humor in the film runs the gamut from dumb to mildly amusing to laugh-out-loud hysterical but the tone ? 	the humor in the film runs the gamut from dumb to mildly amusing to laugh-out-loud hysterical but the tone ?	3	-2	 the[0] humor[2] in[0] the[0] film[0] runs[0] the[0] gamut[0] from[0] dumb[-1] to[0] mildly[0] amusing[1] to[0] laugh[1] out[0] loud[0] hysterical[-1] but[0] the[0] tone[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
well , it's just lovely . 	well , it's just lovely .	1	-1	 well[0] it's[0] just[0] lovely[1][-1 LastWordBoosterStrength] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i have to admit i was half-expecting farting armpit humor , gratuitous nudity , superfluous , cloying subplots , and some nasty , unnecessary violence . 	i have to admit i was half-expecting farting armpit humor , gratuitous nudity , superfluous , cloying subplots , and some nasty , unnecessary violence .	3	-4	 i[0] have[0] to[0] admit[0] i[0] was[0] half[0] expecting[0] farting[0] armpit[0] humor[2] gratuitous[-1] nudity[0] superfluous[-1] cloying[0] subplots[0] and[0] some[0] nasty[-2][--1 LastWordBoosterStrength] unnecessary[-1] violence[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
instead ? 	instead ?	1	-1	 instead[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , i've said it before . 	well , i've said it before .	1	-1	 well[0] i've[0] said[0] it[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sweet . 	sweet .	2	-1	 sweet[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
